ranking,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,»ï¼º,0.3,102,4091,3553,634,1066,188,19,127,1673,606,49,44,398,15,47,650,78,0.471,0.374,0.845,101,0.3,0.216
2,³Ø¼¾,0.3,102,4151,3620,658,1085,227,12,155,1801,622,40,37,393,13,61,815,79,0.498,0.374,0.872,100,0.294,0.268
3,µÎ»ê,0.291,99,3950,3410,570,991,176,16,98,1493,541,51,45,378,17,66,544,95,0.438,0.368,0.806,98,0.284,0.262
4,NC,0.288,101,3994,3485,591,1002,205,20,110,1577,557,47,36,351,17,74,717,65,0.453,0.362,0.815,101,0.296,0.274
5,·Ôµ¥,0.277,104,4082,3557,545,985,176,14,130,1579,515,50,23,395,16,57,866,105,0.444,0.356,0.8,104,0.272,0.19
6,SK,0.276,99,3888,3373,476,931,146,9,92,1371,451,75,17,360,12,63,720,73,0.406,0.355,0.761,99,0.277,0.236
7,ÇÑÈ­,0.27,102,4037,3404,504,919,162,13,82,1353,467,114,27,406,23,86,780,78,0.397,0.36,0.757,102,0.264,0.196
8,kt,0.27,102,3988,3498,466,944,161,13,87,1392,443,62,26,355,13,47,799,75,0.398,0.343,0.741,101,0.259,0.243
9,LG,0.259,103,3984,3491,458,905,171,16,83,1357,423,60,29,347,17,57,803,68,0.389,0.334,0.723,103,0.238,0.231
10,KIA,0.256,100,3835,3362,469,861,161,14,95,1335,440,54,23,327,11,69,778,68,0.397,0.332,0.729,100,0.26,0.214
