PRODUCT_ID,PACKING_SLIP_DESC,MERCH_DIV_DESC,BRAND_NAME,,,
5643,A-D tarte Amazonian Clay Volumizing Mascara Duo,Health/Beauty,tarte,,,
22506,"Dell All-in-One 20 Monitor Intel Dual Core""",Electronics,Dell,,,
5321,"Dennis Basso 80 x 20"" Floral Lace Shawl""",Accessories,Dennis Basso,,,
56183,Prepology 3-piece Magic Tong Set with Silicone,Home Decor,Prepology,,,
10811,BareTraps Tall Shaft Boots w/ Ruching & Gore -,Accessories,BareTraps,,,
8221,Nature's Code 90 Day Vitamin Foundation System,Health,Nature's Code,,,
3044,Susan Graver Faux Leather Trench Coat,Apparel,Susan Graver,,,
6298,Denim & Co. Faux Suede Tiered Long Skirt,Apparel,Denim & Co.,,,
54451,Lock & Lock 6-piece Variety Bowl Storage Set,Home Decor,Lock & Lock,,,
33601,MyPillow Custom Fit Standard Pillow,Textile/Furnit,Not Known,,,
170,Lee Sands Men's Eelskin Bi-fold Wallet,Accessories,Lee Sands,,,
37977,Jacqueline Kennedy Goldtone Paperclip,Jewelry,Jacqueline Kennedy,,,
22637,"Dell 17 Laptop Intel Core i3 6GB 500GB HD""",Electronics,Dell,,,
46531,Honora Cultured Pearl Wide 3.0mm Potato,Jewelry,Honora,,,
3964,philosophy candy cane treats for feet scrub &,Health/Beauty,philosophy,,,
10510,Carole Hochman Sweet Poppies Microfleece &,Apparel,Carole Hochman,,,
59633,Kansas City Steaks (10)4oz Top Sirloin &(10)5oz,Home Decor,Not Known,,,
11333,"bliss (3) 16 oz. Soapy Suds, (3) 6.7 oz Body",Health/Beauty,Bliss,,,
7293,Dooney & Bourke Florentine Leather  Medium,Accessories,Dooney & Bourke,,,
22624,PC Treasures Software Bundle,Electronics,PC Treasures,,,
22847,"Accessory Kit OTE Headphone, Headrest, Armor",Electronics,Not Known,,,
61151,"Meep 7 Children's 8GB WiFi Tablet w/Apps By""",Entertainment,Not Known,,,
55631,Lock & Lock 4-piece Tall Square Storage Set,Home Decor,Lock & Lock,,,
3104,Denim & Co. Essentials Long Sleeve Velour Tunic,Apparel,Denim & Co.,,,
22172,Pivot Power by Quirky Flexible Surge Protector,Housewares,Quirky,,,
61593,Don Aslett's 10-piece Ultra Plush Microfiber,Housewares,Don Aslett,,,
7268,Nature's Code 90 Day Vitamin Foundation System,Health,Nature's Code,,,
14374,philosophy grace scented olive oil body scrub &,Health/Beauty,philosophy,,,
19910,Denim & Co. 3/4 Sleeve Duet Top with Inset and,Apparel,Denim & Co.,,,
20318,Susan Graver Retro Print Georgette Top,Apparel,Susan Graver,,,
4553,Bob Mackie's Zip Front Jacket with Stud Detail,Apparel,Bob Mackie,,,
22862,PC Treasures Software Bundle w/ Lifetime Tech,Electronics,Not Known,,,
22908,Apple iPad Mini 64GB WiFi Tablet w/ &,Electronics,Not Known,,,
58370,Corazonas Healthy Snack 24-pk. All Natural,Home Decor,Corazonas,,,
58860,Bliss Hammocks XL Gravity Free Recliner w/Tray,Home Decor,Bliss Hammocks,,,
7853,Susan Graver Brushed French Terry V-neck 3/4,Apparel,Susan Graver,,,
13295,Vionic w/ Orthaheel Porto III Orthotic Triple,Accessories,Vionic with Orthaheel Technology,,,
58041,"Set of 2 (14) Easy Plant Hanging Planters""",Home Decor,Langdon,,,
58127,Set of 6 Battery Operated Motion Activated LED,Home Decor,N/A,,,
59897,A-D KIND Bar (18)1.4oz Chocolate Plus Snack Bar,Home Decor,KIND,,,
12598,Clarks Bendables Lexi Holly Leather Lightweight,Accessories,Clarks,,,
13776,Mally 4-piece Eye Amplifying Shadow Liner,Health/Beauty,Mally Beauty,,,
39372,Tacori IV Diamonique Epiphany Bloom Cut,Jewelry,Not Known,,,
29131,Temp-tations Old World 4pc Dessert Plate or Mug,Home Decor,Temp-tations,,,
2,Barely Breezies Set of 5 Combed Cotton Panties,Accessories,Not Known,,,
58837,Roberta's 6-pc Limitless Water Me Not Stonecrop,Home Decor,Roberta's,,,
10629,Clarks Bendables Sapphire June Leather Shooties,Accessories,Clarks,,,
2287,Susan Graver Liquid Knit Tunic Top w/Origami,Apparel,Susan Graver,,,
