CUSTOMER_NBR,STATE,ZIP_CODE,SHOPPER_SEGMENT_CODE,city,latitude,longitude,timezone
405680,OR,97331,0.0,Corvallis,44.565647999999996,-123.27906000000002,PST
412727,OR,97007,5.0,Beaverton,45.469079,-122.85602,PST
227815,OR,97007,3.0,Beaverton,45.469079,-122.85602,PST
417636,OR,97007,4.0,Beaverton,45.469079,-122.85602,PST
125405,OR,97007,0.0,Beaverton,45.469079,-122.85602,PST
605263,OR,97007,0.0,Beaverton,45.469079,-122.85602,PST
171429,OR,97007,1.0,Beaverton,45.469079,-122.85602,PST
681651,OR,97007,0.0,Beaverton,45.469079,-122.85602,PST
692386,OR,97370,0.0,Philomath,44.578526000000004,-123.43709,PST
495041,OR,97501,4.0,Medford,42.313497999999996,-122.87943999999999,PST
350871,OR,97501,4.0,Medford,42.313497999999996,-122.87943999999999,PST
432149,OR,97501,1.0,Medford,42.313497999999996,-122.87943999999999,PST
221569,OR,97501,1.0,Medford,42.313497999999996,-122.87943999999999,PST
8500,OR,97501,3.0,Medford,42.313497999999996,-122.87943999999999,PST
651313,OR,97501,0.0,Medford,42.313497999999996,-122.87943999999999,PST
42428,OR,97501,1.0,Medford,42.313497999999996,-122.87943999999999,PST
403423,OR,97501,0.0,Medford,42.313497999999996,-122.87943999999999,PST
487468,OR,97520,0.0,Ashland,42.169751,-122.61771999999999,PST
366700,OR,97520,4.0,Ashland,42.169751,-122.61771999999999,PST
560314,OR,97520,4.0,Ashland,42.169751,-122.61771999999999,PST
106637,OR,97520,4.0,Ashland,42.169751,-122.61771999999999,PST
459522,OR,97520,3.0,Ashland,42.169751,-122.61771999999999,PST
141682,OR,97520,0.0,Ashland,42.169751,-122.61771999999999,PST
508650,OR,97229,4.0,Portland,45.540966999999995,-122.81728000000001,PST
103325,OR,97229,0.0,Portland,45.540966999999995,-122.81728000000001,PST
299745,OR,97229,0.0,Portland,45.540966999999995,-122.81728000000001,PST
409627,OR,97229,5.0,Portland,45.540966999999995,-122.81728000000001,PST
150238,OR,97229,5.0,Portland,45.540966999999995,-122.81728000000001,PST
703787,OR,97229,0.0,Portland,45.540966999999995,-122.81728000000001,PST
691043,OR,97229,2.0,Portland,45.540966999999995,-122.81728000000001,PST
644823,OR,97229,5.0,Portland,45.540966999999995,-122.81728000000001,PST
447641,OR,97229,4.0,Portland,45.540966999999995,-122.81728000000001,PST
727868,OR,97401,3.0,Eugene,44.06092,-123.08275,PST
630667,OR,97401,3.0,Eugene,44.06092,-123.08275,PST
607858,OR,97401,5.0,Eugene,44.06092,-123.08275,PST
281559,OR,97401,3.0,Eugene,44.06092,-123.08275,PST
544074,OR,97401,4.0,Eugene,44.06092,-123.08275,PST
564576,OR,97401,0.0,Eugene,44.06092,-123.08275,PST
741940,OR,97401,0.0,Eugene,44.06092,-123.08275,PST
271637,OR,97401,4.0,Eugene,44.06092,-123.08275,PST
206938,OR,97401,5.0,Eugene,44.06092,-123.08275,PST
184141,OR,97401,1.0,Eugene,44.06092,-123.08275,PST
545247,OR,97401,4.0,Eugene,44.06092,-123.08275,PST
63276,OR,97380,2.0,Siletz,44.738153999999994,-123.91023,PST
33507,OR,97380,4.0,Siletz,44.738153999999994,-123.91023,PST
312416,OR,97008,2.0,Beaverton,45.46059,-122.80683,PST
248194,OR,97008,1.0,Beaverton,45.46059,-122.80683,PST
290183,OR,97008,2.0,Beaverton,45.46059,-122.80683,PST
637521,OR,97008,3.0,Beaverton,45.46059,-122.80683,PST
668703,OR,97008,0.0,Beaverton,45.46059,-122.80683,PST
79030,OR,97008,1.0,Beaverton,45.46059,-122.80683,PST
72772,OR,97267,0.0,Portland,45.408882,-122.61476,PST
579736,OR,97267,0.0,Portland,45.408882,-122.61476,PST
650457,OR,97267,1.0,Portland,45.408882,-122.61476,PST
367364,OR,97267,1.0,Portland,45.408882,-122.61476,PST
585361,OR,97267,5.0,Portland,45.408882,-122.61476,PST
57101,OR,97267,5.0,Portland,45.408882,-122.61476,PST
569367,OR,97267,1.0,Portland,45.408882,-122.61476,PST
214886,OR,97267,0.0,Portland,45.408882,-122.61476,PST
78970,OR,97267,4.0,Portland,45.408882,-122.61476,PST
70805,OR,97267,2.0,Portland,45.408882,-122.61476,PST
111455,OR,97838,1.0,Hermiston,45.846441999999996,-119.28423000000001,PST
372736,OR,97838,3.0,Hermiston,45.846441999999996,-119.28423000000001,PST
309778,OR,97838,3.0,Hermiston,45.846441999999996,-119.28423000000001,PST
419368,OR,97838,2.0,Hermiston,45.846441999999996,-119.28423000000001,PST
391305,OR,97838,1.0,Hermiston,45.846441999999996,-119.28423000000001,PST
5227,OR,97477,3.0,Springfield,44.061057,-123.01768999999999,PST
738645,OR,97477,3.0,Springfield,44.061057,-123.01768999999999,PST
164708,OR,97477,1.0,Springfield,44.061057,-123.01768999999999,PST
616812,OR,97477,3.0,Springfield,44.061057,-123.01768999999999,PST
419771,OR,97477,0.0,Springfield,44.061057,-123.01768999999999,PST
423812,OR,97477,3.0,Springfield,44.061057,-123.01768999999999,PST
701710,OR,97477,1.0,Springfield,44.061057,-123.01768999999999,PST
534229,OR,97477,3.0,Springfield,44.061057,-123.01768999999999,PST
673111,OR,97477,2.0,Springfield,44.061057,-123.01768999999999,PST
498554,OR,97477,0.0,Springfield,44.061057,-123.01768999999999,PST
165601,OR,97230,1.0,Portland,45.539473,-122.50488,PST
347003,OR,97230,4.0,Portland,45.539473,-122.50488,PST
481718,OR,97230,3.0,Portland,45.539473,-122.50488,PST
228920,OR,97230,0.0,Portland,45.539473,-122.50488,PST
426697,OR,97230,3.0,Portland,45.539473,-122.50488,PST
485141,OR,97230,0.0,Portland,45.539473,-122.50488,PST
650486,OR,97230,4.0,Portland,45.539473,-122.50488,PST
721065,OR,97230,3.0,Portland,45.539473,-122.50488,PST
141793,OR,97230,4.0,Portland,45.539473,-122.50488,PST
169615,OR,97230,0.0,Portland,45.539473,-122.50488,PST
536338,OR,97230,0.0,Portland,45.539473,-122.50488,PST
517270,OR,97230,4.0,Portland,45.539473,-122.50488,PST
124562,OR,97146,0.0,Warrenton,46.136322,-123.91753,PST
232450,OR,97146,5.0,Warrenton,46.136322,-123.91753,PST
97995,OR,97103,1.0,Astoria,46.155007,-123.7417,PST
145602,OR,97103,1.0,Astoria,46.155007,-123.7417,PST
7748,OR,97420,3.0,Coos Bay,43.357357,-124.21086000000001,PST
195784,OR,97420,2.0,Coos Bay,43.357357,-124.21086000000001,PST
582598,OR,97420,0.0,Coos Bay,43.357357,-124.21086000000001,PST
116927,OR,97420,5.0,Coos Bay,43.357357,-124.21086000000001,PST
418005,OR,97420,4.0,Coos Bay,43.357357,-124.21086000000001,PST
513398,OR,97420,0.0,Coos Bay,43.357357,-124.21086000000001,PST
185186,OR,97420,3.0,Coos Bay,43.357357,-124.21086000000001,PST
301342,OR,97420,0.0,Coos Bay,43.357357,-124.21086000000001,PST
601366,OR,97068,5.0,West Linn,45.361990999999996,-122.64443,PST
686288,OR,97068,1.0,West Linn,45.361990999999996,-122.64443,PST
44269,OR,97068,1.0,West Linn,45.361990999999996,-122.64443,PST
544138,OR,97068,5.0,West Linn,45.361990999999996,-122.64443,PST
96739,OR,97202,1.0,Portland,45.481790999999994,-122.64055,PST
577042,OR,97202,0.0,Portland,45.481790999999994,-122.64055,PST
55487,OR,97202,0.0,Portland,45.481790999999994,-122.64055,PST
385932,OR,97202,0.0,Portland,45.481790999999994,-122.64055,PST
150656,OR,97202,3.0,Portland,45.481790999999994,-122.64055,PST
328603,OR,97402,4.0,Eugene,44.062231,-123.16803999999999,PST
