ORDER_NBR,ORDER_LINE_NBR,CUSTOMER_NBR,PRODUCT_ID,ORDER_DATE,ORDER_TIME
3,1,627088,8228,2012-10-01 0:00,3:40:06
4,1,419748,61616,2012-10-01 0:00,7:32:14
16,1,250358,3265,2012-10-01 0:00,14:16:30
17,2,250358,3523,2012-10-01 0:00,14:16:30
24,1,381935,56148,2012-10-01 0:00,14:50:34
28,1,192008,61691,2012-10-01 0:00,15:04:22
45,1,652000,58807,2012-10-01 0:00,15:45:46
46,1,652000,41374,2012-10-01 0:00,15:45:47
47,1,652000,31686,2012-10-01 0:00,15:45:47
57,1,118551,43953,2012-10-02 0:00,10:18:38
73,1,66348,40800,2012-10-02 0:00,11:01:59
74,1,66348,38686,2012-10-02 0:00,11:01:59
89,1,535022,3455,2012-10-02 0:00,15:38:16
90,1,535022,5921,2012-10-02 0:00,15:38:16
91,1,535022,7704,2012-10-02 0:00,15:38:36
112,1,615747,11645,2012-10-03 0:00,10:25:31
112,3,615747,11645,2012-10-03 0:00,10:25:31
112,2,615747,11645,2012-10-03 0:00,10:25:31
113,1,403563,15700,2012-10-03 0:00,10:27:32
145,1,465976,26755,2012-10-03 0:00,13:19:31
173,1,111123,31908,2012-10-03 0:00,20:33:37
174,1,271244,9547,2012-10-03 0:00,22:53:28
208,1,652000,26803,2012-10-04 0:00,13:40:12
209,1,652000,58714,2012-10-04 0:00,13:41:03
210,3,355768,4523,2012-10-04 0:00,13:42:32
210,1,355768,10839,2012-10-04 0:00,13:42:32
210,2,355768,4523,2012-10-04 0:00,13:42:32
211,2,355768,10613,2012-10-04 0:00,13:42:33
211,1,355768,10613,2012-10-04 0:00,13:42:33
212,2,652000,6829,2012-10-04 0:00,13:43:35
212,1,652000,6829,2012-10-04 0:00,13:43:35
214,1,652000,4673,2012-10-04 0:00,13:46:04
219,1,235500,19087,2012-10-05 0:00,3:30:09
224,1,676677,12427,2012-10-05 0:00,11:35:16
283,1,539481,58554,2012-10-06 0:00,22:18:28
