CUSTOMER_NBR,STATE,ZIP_CODE,SHOPPER_SEGMENT_CODE
405680,OR,97331,
634748,IL,60126,1
693545,MI,48170,1
473617,DE,19720,1
620023,TN,38018,
461662,GA,31907,1
159833,VT,5463,
656353,PR,917,
43606,MD,20613,1
490812,TX,79761,
653606,VA,24522,1
644822,TX,76443,4
634849,CA,92111,
198457,FL,33175,3
78738,TX,75093,4
613693,MA,2703,2
500057,NY,10550,1
268670,NC,27604,4
602334,FL,33955,3
132721,OH,44720,3
439857,MD,21236,
270839,TX,79009,3
9156,LA,71292,3
256863,CA,90220,2
95071,FL,34983,
489286,KY,42413,1
582247,MI,49428,
296686,GA,31503,
127872,CA,91604,
738897,CA,93463,3
432844,NJ,8205,3
183153,NY,10549,3
437220,IL,60655,3
8931,IL,61364,3
383526,WI,53717,3
455480,CA,95482,
297677,WA,98625,
404385,OH,45240,1
152765,FL,32771,3
529274,CA,93312,1
256900,OK,74426,3
436802,NE,68154,3
333744,WI,53186,3
202232,PA,19148,
630052,MI,49461,
341919,GA,30066,3
136988,MI,49332,2
265328,MA,1089,4
74277,MN,55345,5
536244,CA,93551,3
388926,CA,94404,
278732,MN,55904,1
656079,GA,30004,
509367,PA,18517,4
311099,FL,33401,4
122751,NC,27540,1
291599,CA,93245,4
408911,SC,29649,1
656383,CA,92708,3
675057,NV,89122,3
400704,NY,11236,1
76450,IL,60030,
71427,NH,3826,3
616566,NY,11357,3
506615,CO,80906,3
496608,TN,37064,
583680,PA,19380,
425386,VA,24078,3
55652,PA,15237,3
251938,FL,33024,3
685281,VA,20176,
586669,CT,6401,2
600574,MI,48179,5
248585,IL,60457,
531047,CA,92120,5
186706,CT,6762,1
480184,NJ,7721,
108801,TX,76934,2
376369,NE,69343,
7339,DC,20020,
578941,OH,44514,
57644,HI,96746,2
465872,KY,40475,1
504803,TN,37148,1
184463,FL,33414,5
521044,CT,6489,3
506754,IN,47802,
532133,GA,31305,3
183983,CO,81001,
435692,PA,18104,4
711139,FL,33449,3
326575,NC,28174,1
6878,MO,63366,4
211632,NJ,8087,
626147,CT,6475,3
271917,MD,21655,3
598231,NJ,7945,5
203395,LA,71292,
221449,MI,49346,5
139172,LA,70739,
377138,NY,11706,2
267004,TX,77084,4
417505,GA,31792,3
84243,OH,43110,1
142842,NY,14220,
16765,VA,23325,5
737470,KY,42431,1
177739,AR,71635,1
285821,TX,77494,
138504,CA,92056,
498635,NH,3049,5
613287,MA,1013,4
548,IL,61369,
403952,MI,48457,1
411461,MS,39478,4
30703,FL,32226,3
261396,PA,18055,3
213916,OH,45744,1
121014,MD,21718,
257248,MI,48312,5
262417,WI,53223,1
172631,PA,15068,2
593925,AZ,86436,4
345356,FL,33437,3
406785,IN,46635,1
290576,AZ,85737,4
262189,VA,23451,1
693782,PA,17365,1
95018,FL,32784,3
572552,NY,11421,1
438880,AL,35803,3
195325,TN,37918,
602974,NY,10456,
719780,KY,41031,3
475129,TX,77034,1
32326,NJ,8402,3
260309,NY,11226,3
330612,NJ,7076,3
131132,CA,92111,3
6214,PA,17064,2
153470,IL,61238,
202811,GA,30213,1
375195,MO,63020,3
372029,MN,55807,
119625,NY,11413,
227287,LA,70806,4
302555,NY,11950,3
424792,MD,21030,5
79696,CA,94590,
74966,MI,48101,2
88168,NC,28753,1
402076,NY,14227,1
744903,WV,25705,3
109385,NC,28388,1
259682,AR,72653,2
175569,ND,58237,2
577786,NJ,7062,4
500522,GA,30281,
731996,VA,20110,
634232,VA,22153,4
217330,NE,68355,4
663402,NJ,8817,4
281174,IL,60586,
670376,LA,70458,1
405193,VT,5161,4
491842,CT,6040,3
297849,MI,48837,
103264,PA,19111,1
349520,OK,73801,3
395239,MO,63144,
233834,WI,53132,1
38508,VA,22314,3
43560,IN,46516,3
166525,MN,55356,1
252417,TX,75751,
20382,VA,23005,3
515389,CA,94133,3
257093,NJ,8882,3
465012,FL,33565,1
200688,NJ,8057,5
71057,CA,92694,1
263383,PA,15068,4
104054,MD,21784,4
173114,CA,94518,1
557524,NE,68955,3
30634,MS,38852,3
38730,PA,19002,3
391280,NC,28350,4
416380,CA,95901,1
715156,MI,48390,
214354,FL,32955,4
437518,CA,94579,3
711567,AL,36830,4
348686,IL,60706,3
643975,CA,92802,
47555,TX,78254,5
263308,VA,23875,
506861,DE,19977,
411117,WA,98512,3
495308,IL,62822,1
406581,NM,88005,4
191680,VA,24244,3
721078,MD,20850,4
175795,NJ,8722,4
236239,NJ,7871,3
421189,OK,74455,1
56595,LA,70785,1
222125,OH,43402,
645052,CT,6382,4
174614,PA,18252,5
451609,VA,23832,3
550502,NJ,8628,1
150005,PA,19111,
389637,FL,32826,5
224487,FL,32570,
628226,MO,63042,3
234982,AL,35020,3
637340,GA,31312,2
453512,GA,30566,1
547055,OH,45238,1
553581,FL,34428,
521154,CT,6249,4
478085,CA,95618,1
