PRODUCT_ID,AIR_DATE,PRODUCT_AIRTIME_MINS,PRODUCT_START_TMS,PRODUCT_STOP_TMS
2186,2012-10-16 0:00,0.38,2012-10-16 0:43,2012-10-16 0:44
2186,2012-10-16 0:00,5.08,2012-10-16 0:48,2012-10-16 0:53
2478,2012-10-16 0:00,0.5,2012-10-16 0:25,2012-10-16 0:26
2478,2012-10-16 0:00,12.53,2012-10-16 0:31,2012-10-16 0:43
6283,2012-10-16 0:00,0.43,2012-10-16 0:47,2012-10-16 0:48
6283,2012-10-16 0:00,4.73,2012-10-16 0:53,2012-10-16 0:58
9887,2012-10-16 0:00,17.8,2012-10-16 0:00,2012-10-16 0:18
9887,2012-10-16 0:00,0.7,2012-10-16 0:53,2012-10-16 0:53
9887,2012-10-16 0:00,0.8,2012-10-16 0:59,2012-10-16 1:00
10568,2012-10-16 0:00,5.9,2012-10-16 0:19,2012-10-16 0:25
12143,2012-10-16 0:00,3.6,2012-10-16 0:44,2012-10-16 0:47
47144,2012-10-16 0:00,4.35,2012-10-16 0:26,2012-10-16 0:30
9887,2012-10-16 0:00,8.08,2012-10-16 1:19,2012-10-16 1:27
61080,2012-10-16 0:00,0.32,2012-10-16 6:56,2012-10-16 6:56
9887,2012-10-16 0:00,0.62,2012-10-16 1:59,2012-10-16 1:59
18941,2012-10-16 0:00,0.5,2012-10-16 1:37,2012-10-16 1:38
18941,2012-10-16 0:00,0.6,2012-10-16 1:59,2012-10-16 2:00
18941,2012-10-16 0:00,6.48,2012-10-16 2:40,2012-10-16 2:47
21443,2012-10-16 0:00,0.73,2012-10-16 1:18,2012-10-16 1:19
21443,2012-10-16 0:00,6.82,2012-10-16 2:00,2012-10-16 2:07
22214,2012-10-16 0:00,0.7,2012-10-16 1:27,2012-10-16 1:27
22214,2012-10-16 0:00,0.6,2012-10-16 2:32,2012-10-16 2:32
22214,2012-10-16 0:00,11.83,2012-10-16 2:47,2012-10-16 2:59
22244,2012-10-16 0:00,0.55,2012-10-16 1:00,2012-10-16 1:00
22244,2012-10-16 0:00,11.9,2012-10-16 1:38,2012-10-16 1:50
22244,2012-10-16 0:00,0.5,2012-10-16 2:24,2012-10-16 2:25
22373,2012-10-16 0:00,0.62,2012-10-16 1:50,2012-10-16 1:51
22373,2012-10-16 0:00,7.32,2012-10-16 2:17,2012-10-16 2:24
27975,2012-10-16 0:00,8.75,2012-10-16 1:01,2012-10-16 1:10
27975,2012-10-16 0:00,0.55,2012-10-16 2:40,2012-10-16 2:40
61096,2012-10-16 0:00,0.82,2012-10-16 1:00,2012-10-16 1:01
61096,2012-10-16 0:00,6.72,2012-10-16 2:25,2012-10-16 2:32
61121,2012-10-16 0:00,5.32,2012-10-16 1:11,2012-10-16 1:16
61121,2012-10-16 0:00,0.8,2012-10-16 1:17,2012-10-16 1:18
61571,2012-10-16 0:00,0.62,2012-10-16 1:10,2012-10-16 1:10
61571,2012-10-16 0:00,5.12,2012-10-16 1:29,2012-10-16 1:34
61571,2012-10-16 0:00,1.73,2012-10-16 1:35,2012-10-16 1:37
61571,2012-10-16 0:00,0.6,2012-10-16 2:47,2012-10-16 2:47
61592,2012-10-16 0:00,0.55,2012-10-16 1:50,2012-10-16 1:50
61592,2012-10-16 0:00,8.47,2012-10-16 2:08,2012-10-16 2:16
61607,2012-10-16 0:00,0.57,2012-10-16 1:37,2012-10-16 1:37
61607,2012-10-16 0:00,7.33,2012-10-16 2:32,2012-10-16 2:40
61686,2012-10-16 0:00,0.63,2012-10-16 1:10,2012-10-16 1:11
61686,2012-10-16 0:00,4.27,2012-10-16 1:51,2012-10-16 1:55
61686,2012-10-16 0:00,3.07,2012-10-16 1:56,2012-10-16 1:59
2355,2012-10-16 0:00,0.55,2012-10-16 3:27,2012-10-16 3:27
2355,2012-10-16 0:00,6.25,2012-10-16 3:48,2012-10-16 3:54
3295,2012-10-16 0:00,0.55,2012-10-16 3:32,2012-10-16 3:33
3295,2012-10-16 0:00,4.38,2012-10-16 3:54,2012-10-16 3:59
6283,2012-10-16 0:00,0.45,2012-10-16 3:14,2012-10-16 3:14
6283,2012-10-16 0:00,5.68,2012-10-16 3:21,2012-10-16 3:27
6283,2012-10-16 0:00,0.65,2012-10-16 3:54,2012-10-16 3:54
8644,2012-10-16 0:00,0.98,2012-10-16 3:14,2012-10-16 3:15
8644,2012-10-16 0:00,0.58,2012-10-16 3:33,2012-10-16 3:33
8644,2012-10-16 0:00,3.3,2012-10-16 3:34,2012-10-16 3:37
8644,2012-10-16 0:00,1.4,2012-10-16 3:37,2012-10-16 3:38
8644,2012-10-16 0:00,1.93,2012-10-16 3:38,2012-10-16 3:40
9586,2012-10-16 0:00,5.28,2012-10-16 3:27,2012-10-16 3:32
9887,2012-10-16 0:00,13.23,2012-10-16 3:01,2012-10-16 3:14
40092,2012-10-16 0:00,0.75,2012-10-16 3:20,2012-10-16 3:21
40092,2012-10-16 0:00,5.82,2012-10-16 3:41,2012-10-16 3:47
40092,2012-10-16 0:00,0.25,2012-10-16 3:47,2012-10-16 3:48
44003,2012-10-16 0:00,4.63,2012-10-16 3:15,2012-10-16 3:20
31050,2012-10-16 0:00,0.45,2012-10-16 4:07,2012-10-16 4:08
31050,2012-10-16 0:00,6.45,2012-10-16 4:21,2012-10-16 4:28
31055,2012-10-16 0:00,0.55,2012-10-16 4:13,2012-10-16 4:14
31055,2012-10-16 0:00,5.13,2012-10-16 4:29,2012-10-16 4:35
31055,2012-10-16 0:00,0.53,2012-10-16 4:35,2012-10-16 4:36
31055,2012-10-16 0:00,0.42,2012-10-16 4:51,2012-10-16 4:51
31074,2012-10-16 0:00,6.1,2012-10-16 4:01,2012-10-16 4:07
31094,2012-10-16 0:00,6.97,2012-10-16 4:14,2012-10-16 4:21
31094,2012-10-16 0:00,0.52,2012-10-16 4:43,2012-10-16 4:44
31252,2012-10-16 0:00,5.47,2012-10-16 4:08,2012-10-16 4:13
31347,2012-10-16 0:00,0.4,2012-10-16 4:00,2012-10-16 4:00
31347,2012-10-16 0:00,6.95,2012-10-16 4:36,2012-10-16 4:43
32841,2012-10-16 0:00,0.5,2012-10-16 4:00,2012-10-16 4:01
32841,2012-10-16 0:00,0.48,2012-10-16 4:21,2012-10-16 4:21
32841,2012-10-16 0:00,7.28,2012-10-16 4:44,2012-10-16 4:51
32991,2012-10-16 0:00,0.47,2012-10-16 4:01,2012-10-16 4:01
32991,2012-10-16 0:00,0.43,2012-10-16 4:28,2012-10-16 4:28
32991,2012-10-16 0:00,6.53,2012-10-16 4:52,2012-10-16 4:58
9892,2012-10-16 0:00,0.53,2012-10-16 5:25,2012-10-16 5:26
9892,2012-10-16 0:00,7.7,2012-10-16 5:45,2012-10-16 5:52
61024,2012-10-16 0:00,0.42,2012-10-16 5:10,2012-10-16 5:10
61024,2012-10-16 0:00,4.42,2012-10-16 5:32,2012-10-16 5:36
61024,2012-10-16 0:00,0.57,2012-10-16 5:37,2012-10-16 5:37
61042,2012-10-16 0:00,0.58,2012-10-16 5:17,2012-10-16 5:18
61042,2012-10-16 0:00,5.8,2012-10-16 5:26,2012-10-16 5:32
61042,2012-10-16 0:00,0.42,2012-10-16 6:26,2012-10-16 6:26
61054,2012-10-16 0:00,0.58,2012-10-16 5:01,2012-10-16 5:01
61054,2012-10-16 0:00,7.28,2012-10-16 5:53,2012-10-16 6:00
61054,2012-10-16 0:00,0.47,2012-10-16 6:44,2012-10-16 6:44
