"","PRODUCT_ID","PACKING_SLIP_DESC","MERCH_DIV_DESC","BRAND_NAME"
"1",5643,"A-D tarte Amazonian Clay Volumizing Mascara Duo","Health/Beauty","tarte"
"2",22506,"Dell All-in-One 20 Monitor Intel Dual Core""","Electronics","Dell"
"3",5321,"Dennis Basso 80 x 20"" Floral Lace Shawl""","Accessories","Dennis Basso"
"4",56183,"Prepology 3-piece Magic Tong Set with Silicone","Home Decor","Prepology"
"5",10811,"BareTraps Tall Shaft Boots w/ Ruching & Gore -","Accessories","BareTraps"
"6",8221,"Nature's Code 90 Day Vitamin Foundation System","Health","Nature's Code"
"7",3044,"Susan Graver Faux Leather Trench Coat","Apparel","Susan Graver"
"8",6298,"Denim & Co. Faux Suede Tiered Long Skirt","Apparel","Denim & Co."
"9",54451,"Lock & Lock 6-piece Variety Bowl Storage Set","Home Decor","Lock & Lock"
"10",33601,"MyPillow Custom Fit Standard Pillow","Textile/Furnit","Not Known"
"11",170,"Lee Sands Men's Eelskin Bi-fold Wallet","Accessories","Lee Sands"
"12",37977,"Jacqueline Kennedy Goldtone Paperclip","Jewelry","Jacqueline Kennedy"
"13",22637,"Dell 17 Laptop Intel Core i3 6GB 500GB HD""","Electronics","Dell"
"14",46531,"Honora Cultured Pearl Wide 3.0mm Potato","Jewelry","Honora"
"15",3964,"philosophy candy cane treats for feet scrub &","Health/Beauty","philosophy"
"16",10510,"Carole Hochman Sweet Poppies Microfleece &","Apparel","Carole Hochman"
"17",59633,"Kansas City Steaks (10)4oz Top Sirloin &(10)5oz","Home Decor","Not Known"
"18",11333,"bliss (3) 16 oz. Soapy Suds, (3) 6.7 oz Body","Health/Beauty","Bliss"
"19",7293,"Dooney & Bourke Florentine Leather  Medium","Accessories","Dooney & Bourke"
"20",22624,"PC Treasures Software Bundle","Electronics","PC Treasures"
"21",22847,"Accessory Kit OTE Headphone, Headrest, Armor","Electronics","Not Known"
"22",61151,"Meep 7 Children's 8GB WiFi Tablet w/Apps By""","Entertainment","Not Known"
"23",55631,"Lock & Lock 4-piece Tall Square Storage Set","Home Decor","Lock & Lock"
"24",3104,"Denim & Co. Essentials Long Sleeve Velour Tunic","Apparel","Denim & Co."
"25",22172,"Pivot Power by Quirky Flexible Surge Protector","Housewares","Quirky"
"26",61593,"Don Aslett's 10-piece Ultra Plush Microfiber","Housewares","Don Aslett"
"27",7268,"Nature's Code 90 Day Vitamin Foundation System","Health","Nature's Code"
