age,workclass,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income
39,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,under50k
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,under50k
38,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,under50k
53,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,under50k
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,under50k
37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,under50k
49,Private,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,under50k
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,over50k
31,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,over50k
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,over50k
37,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,over50k
30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,over50k
23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,under50k
32,Private,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,under50k
34,Private,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,under50k
25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,under50k
32,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,under50k
38,Private,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,under50k
43,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,over50k
40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,over50k
54,Private,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,under50k
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,under50k
43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,under50k
59,Private,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,under50k
56,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,over50k
19,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,under50k
