y1,x1,y2,x2
6.44,0.5,9.88,1.7
10.19,2.5,5.1,0.8
5.03,0.6,7.95,1.3
14.58,3,15.2,2.9
27.42,4.8,4.05,0.3
6.58,1.5,11.77,1.9
10.29,2.3,26.03,4.9
19.1,3.7,18.62,3.6
24.6,4.5,23.48,4.7
29.17,4.7,10.43,1.8
29.4,4.9,12.64,2.8
6.63,1.6,8.81,1.6
15.49,3.2,25.52,4.6
13.85,2.8,19.78,3.9
13.34,2.7,2.46,0.4
7.38,1.4,18.1,3.1
14.34,3.1,13.63,2.1
13.3,2.9,20.96,4
9.11,1.9,8.57,1.5
22.89,4.3,4.41,0.5
4.76,0.7,5.55,0.9
10.22,2.6,16.36,3.3
5.66,0.4,4.48,0.6
16.04,3.4,14.37,2.5
24.35,4.4,9.04,1.4
22.31,4.2,-0.81,0
16.88,3.3,7.18,0.7
26.36,4.6,5.87,1.2
19.53,3.9,17.29,3.2
5.69,1,22.61,4.3
7.1,1.2,19.05,3.8
5.58,0.1,25.64,4.8
16.93,3.6,5.7,1.1
5.88,0.8,11.2,2.2
6.8,1.1,23.16,4.5
8.81,2,20.19,3.7
10.05,2.1,22.61,4.2
7.74,1.3,19.31,4.1
17.94,3.5,12.13,2.3
8.91,1.8,18.87,3.5
20.45,4,14.26,2.4
4.99,0.3,10.54,2
30.49,5,14.24,2.6
8.5,1.7,18.53,3.4
3.68,0.2,16.38,2.7
6.23,0.9,25.62,5
11.17,2.4,0.84,0.2
6.91,0,5.35,1
23.09,4.1,15,3
10.23,2.2,23.5,4.4
20.33,3.8,1.29,0.1
