time,sales,year
2013-01-01,4176,2013
2013-01-08,4691,2013
2013-01-15,3610,2013
2013-01-22,3629,2013
2013-01-29,3525,2013
2013-02-05,3991,2013
2013-02-12,3834,2013
2013-02-19,4316,2013
2013-02-26,4980,2013
2013-03-05,4147,2013
2013-03-12,4545,2013
2013-03-19,4006,2013
2013-03-26,4559,2013
2013-04-02,4153,2013
2013-04-09,3610,2013
2013-04-16,4599,2013
2013-04-23,4299,2013
2013-04-30,4513,2013
2013-05-07,3880,2013
2013-05-14,3561,2013
2013-05-21,4815,2013
2013-05-28,3942,2013
2013-06-04,3580,2013
2013-06-11,3911,2013
2013-06-18,4518,2013
2013-06-25,3611,2013
2013-07-02,4139,2013
2013-07-09,3950,2013
2013-07-16,3934,2013
2013-07-23,3581,2013
2013-07-30,4361,2013
2013-08-06,3848,2013
2013-08-13,4087,2013
2013-08-20,3508,2013
2013-08-27,3645,2013
2013-09-03,4574,2013
2013-09-10,3746,2013
2013-09-17,4299,2013
2013-09-24,4380,2013
2013-10-01,4886,2013
2013-10-08,4239,2013
2013-10-15,4391,2013
2013-10-22,4677,2013
2013-10-29,4333,2013
2013-11-05,4710,2013
2013-11-12,3713,2013
2013-11-19,4058,2013
2013-11-26,4180,2013
2013-12-03,4928,2013
2013-12-10,3770,2013
2013-12-17,4629,2013
2013-12-24,4347,2013
2014-01-01,4510,2014
2014-01-08,5063,2014
2014-01-15,3694,2014
2014-01-22,3768,2014
2014-01-29,3850,2014
2014-02-05,4300,2014
2014-02-12,3994,2014
2014-02-19,4372,2014
2014-02-26,5141,2014
2014-03-05,4509,2014
2014-03-12,4745,2014
2014-03-19,4108,2014
2014-03-26,4929,2014
2014-04-02,4555,2014
2014-04-09,3772,2014
2014-04-16,4937,2014
2014-04-23,4439,2014
2014-04-30,4907,2014
2014-05-07,4030,2014
2014-05-14,3656,2014
2014-05-21,5119,2014
2014-05-28,4235,2014
2014-06-04,3706,2014
2014-06-11,4250,2014
2014-06-18,4574,2014
2014-06-25,3920,2014
2014-07-02,4385,2014
2014-07-09,4217,2014
2014-07-16,4206,2014
2014-07-23,3736,2014
2014-07-30,4494,2014
2014-08-06,4060,2014
2014-08-13,4228,2014
2014-08-20,3553,2014
2014-08-27,3707,2014
2014-09-03,4945,2014
2014-09-10,3940,2014
2014-09-17,4698,2014
2014-09-24,4780,2014
2014-10-01,5058,2014
2014-10-08,4333,2014
2014-10-15,4484,2014
2014-10-22,4964,2014
2014-10-29,4590,2014
2014-11-05,4931,2014
2014-11-12,3773,2014
2014-11-19,4224,2014
2014-11-26,4293,2014
2014-12-03,5091,2014
2014-12-10,3879,2014
2014-12-17,4866,2014
2014-12-24,4393,2014
