,인구수,shortName,x,y,면적,광역시도,행정구역
0,202520,강릉,11,4,1040.07,강원도,강릉시
1,25589,고성(강원),9,0,664.19,강원도,고성군
2,86747,동해,11,5,180.01,강원도,동해시
3,63986,삼척,11,8,1185.8,강원도,삼척시
4,76733,속초,9,1,105.25,강원도,속초시
5,20809,양구,8,0,700.8,강원도,양구군
6,24551,양양,10,2,628.68,강원도,양양군
7,34966,영월,10,8,1127.36,강원도,영월군
8,313851,원주,10,7,867.3,강원도,원주시
9,29260,인제,9,2,1646.08,강원도,인제군
10,34242,정선,11,6,1220.67,강원도,정선군
11,43189,철원,6,0,899.82,강원도,철원군
12,264144,춘천,10,3,1116.35,강원도,춘천시
13,44175,태백,11,7,303.57,강원도,태백시
14,38439,평창,10,6,1463.65,강원도,평창군
15,62957,홍천,10,4,1817.94,강원도,홍천군
16,23612,화천,7,0,909.45,강원도,화천군
17,39668,횡성,10,5,997.82,강원도,횡성군
18,53497,가평,9,3,843.04,경기도,가평군
19,955384,고양,4,2,267.33,경기도,고양시
20,63227,과천,7,7,35.813,경기도,과천시
21,327111,광명,3,3,38.5,경기도,광명시
22,290210,광주,8,7,431.84,경기도,광주시
23,175676,구리,9,4,33.3,경기도,구리시
24,273302,군포,5,8,36.35,경기도,군포시
25,326523,김포,2,3,276.64,경기도,김포시
26,610300,남양주,8,3,458.44,경기도,남양주시
27,90398,동두천,7,2,95.68,경기도,동두천시
28,805473,부천,2,4,53.44,경기도,부천시
29,911628,성남,7,8,141.82,경기도,성남시
30,1125461,수원,6,9,121.09,경기도,수원시
31,381412,시흥,3,5,134.4,경기도,시흥시
32,668089,안산,3,6,144.78,경기도,안산시
33,173061,안성,4,8,554.2,경기도,안성시
34,566558,안양,3,4,58.52,경기도,안양시
35,191266,양주,8,2,310.31,경기도,양주시
36,95614,양평,9,6,877.08,경기도,양평군
37,100669,여주,9,7,608.64,경기도,여주시
38,41076,연천,7,1,695.23,경기도,연천군
39,200793,오산,3,8,42.74,경기도,오산시
40,915005,용인,7,9,591.5,경기도,용인시
