범죄분류,계,서울,부산,대구,인천,광주,대전,울산,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타도시,도시이외
살인기수,372,56,21,17,16,12,12,13,6,4,7,6,-,2,7,1,6,9,7,4,5,1,2,4,2,5,6,3,1,2,1,3,2,4,1,8,1,2,-,3,3,1,-,2,4,4,4,1,-,2,2,1,2,33,51
살인미수등,541,100,50,17,34,7,17,10,6,12,5,3,7,12,14,2,5,3,5,7,13,3,7,1,3,-,11,1,1,4,7,5,5,-,-,1,3,2,-,4,4,4,1,1,4,8,6,4,4,1,5,5,4,51,52
강도,"1,586",341,131,63,111,53,82,32,24,31,28,30,12,32,37,12,5,19,7,17,25,12,13,13,8,20,33,8,13,12,19,5,7,5,5,15,11,4,-,4,8,5,3,4,17,12,10,9,13,7,4,6,5,103,81
강간,"5,078","1,045",399,219,308,220,168,126,78,131,102,57,77,79,99,35,40,74,31,43,73,30,46,51,23,44,75,24,31,51,39,35,44,23,24,37,28,15,19,21,23,26,4,12,58,41,36,25,15,22,16,8,13,392,323
유사강간,375,99,35,12,17,18,10,7,6,11,16,3,4,3,5,2,1,7,2,4,9,2,2,2,2,4,4,1,-,-,11,1,2,-,2,1,2,2,-,-,-,-,1,-,2,5,3,4,1,-,1,2,1,26,20
강제추행,"14,611","4,132","1,035",675,822,577,365,296,273,395,299,164,232,199,181,64,96,190,97,224,198,91,144,62,86,59,193,56,70,93,139,72,87,72,61,101,64,35,33,59,69,67,18,37,164,81,84,51,44,56,47,55,29,"1,000",718
기타강간·강제추행등,991,181,80,70,58,22,29,14,18,12,14,18,10,8,11,5,10,10,9,5,33,8,4,9,7,5,13,4,3,6,7,8,4,2,6,1,8,6,3,6,5,4,1,9,19,13,1,4,8,3,7,4,5,88,93
방화,"1,723",314,109,81,112,44,42,36,27,33,21,18,10,64,28,4,9,36,11,28,42,7,24,8,15,10,33,15,8,12,21,13,13,9,6,8,11,10,7,9,11,4,12,1,11,16,12,10,5,12,10,3,8,155,145
절도범죄,"266,222","59,371","21,898","14,609","9,737","10,361","11,453","5,777","5,682","6,774","4,551","3,795","2,179","4,805","5,519","1,666","2,532","4,225","2,265","3,690","4,980","1,637","2,600","1,749","1,311","2,315","4,412","1,144","1,109","1,786","2,820","1,239","3,784","1,344","1,287","1,784","1,074","1,092",746,"1,408","1,430","1,313",571,489,"2,916","1,874","1,270","1,274",734,"1,023",802,583,692,"17,551","13,190"
상해,"50,281","7,985","5,422","2,955","2,344","1,186","1,616","1,349",579,892,852,467,399,821,"1,237",195,614,632,349,543,878,346,357,201,262,568,536,288,437,465,551,386,624,334,165,310,409,257,236,275,362,468,145,121,429,339,241,286,190,120,207,175,156,"4,638","4,082"
폭행,"132,920","35,962","7,821","5,280","8,300","5,718","2,457","3,654","2,747","3,628","2,666","1,645","1,596","2,097","1,991","1,134",857,"2,276",659,"1,763","2,196",801,"1,920",719,838,626,"1,385",810,644,"1,167","1,489",354,"1,284",773,767,"1,456",428,268,249,472,687,366,200,277,"1,445","1,334","1,021",544,601,814,254,349,67,"9,060","5,004"
체포·감금,945,177,55,38,60,30,27,19,13,25,14,9,7,18,14,8,7,11,6,22,7,5,4,5,8,2,16,6,5,5,5,9,11,3,10,11,7,4,6,3,8,1,3,2,13,10,10,8,2,4,2,2,4,107,77
협박,"5,187","1,149",507,230,211,168,152,102,63,112,100,45,44,55,84,36,38,66,25,87,158,28,51,18,35,32,57,21,42,38,49,22,52,47,11,74,22,20,24,23,30,18,10,15,54,41,34,34,25,18,15,10,4,433,348
약취·유인,198,39,11,8,11,9,5,4,5,3,3,4,1,1,3,-,-,3,-,1,2,5,3,3,2,1,6,-,1,2,3,2,1,-,2,1,-,-,-,-,-,-,1,-,4,1,3,1,1,1,1,-,-,22,18
폭력행위등,"37,689","7,325","2,796","1,740","2,305",921,914,937,688,"1,128",686,402,383,562,661,194,352,745,212,521,598,308,414,211,287,334,493,230,214,281,473,226,363,215,141,332,256,154,109,156,234,176,86,107,397,443,299,203,213,186,121,132,56,"3,099","2,670"
공갈,"4,862",958,717,381,294,144,91,122,124,108,94,51,27,48,92,24,40,85,32,58,70,30,44,87,26,33,68,11,14,19,35,17,46,21,8,34,10,10,16,25,19,9,6,5,61,33,25,16,23,14,13,3,12,299,210
손괴,"57,997","11,721","3,813","3,106","3,266","2,009","1,604","1,458","1,165","1,452","1,240",556,624,"1,169","1,110",484,532,"1,118",305,880,"1,263",294,545,289,275,513,820,304,411,621,728,292,609,292,325,564,373,286,209,378,358,204,106,84,683,493,388,323,306,268,153,181,97,"4,351","2,999"
직무유기,577,121,34,25,19,18,24,22,3,13,10,5,1,5,9,2,-,5,8,6,5,1,1,3,4,1,5,1,11,7,1,1,6,1,3,-,23,-,2,1,1,1,1,3,5,2,1,-,-,-,-,3,2,64,87
직권남용,364,84,34,16,9,10,9,6,3,11,10,2,4,1,3,-,2,3,-,7,5,1,6,1,1,-,10,-,5,4,3,1,1,1,1,5,13,1,-,3,-,3,-,-,6,4,2,-,-,-,1,2,2,43,25
증수뢰,251,64,17,5,10,11,6,3,1,5,4,2,2,3,3,-,2,1,1,2,2,2,-,2,1,1,5,4,1,-,-,4,1,2,6,2,2,-,4,-,-,-,-,2,1,-,2,-,-,1,-,-,-,35,29
통화,"2,770","1,434",69,70,136,41,78,7,44,46,63,9,44,22,11,25,12,31,5,52,19,7,45,5,5,25,31,3,13,7,7,10,6,4,6,31,11,6,3,6,6,1,3,-,28,11,23,1,9,23,6,3,2,123,82
문서·인장,"14,441","3,320","1,227",761,"1,008",420,451,277,291,363,212,224,158,139,264,55,119,264,46,265,161,91,146,82,74,104,152,52,75,74,141,53,133,56,61,134,68,38,37,52,67,76,20,22,152,117,110,47,48,72,37,33,50,"1,066",876
유가증권인지,360,158,14,19,23,4,4,4,14,3,6,1,3,3,5,3,-,6,1,3,1,-,3,1,3,9,4,2,-,2,2,-,1,1,2,4,-,1,1,-,2,-,-,1,2,3,2,-,-,1,-,-,1,28,9
사기,"238,409","56,040","19,818","10,571","12,887","7,661","7,115","5,256","4,576","4,888","4,063","2,751","2,120","2,550","5,061","1,274","1,946","3,623","1,448","4,232","3,086","1,730","2,284","1,029","1,439","2,382","3,337",963,717,"1,338","1,988","1,112","2,412","1,208",978,"1,902",926,810,887,975,982,"1,283",468,368,"2,792","2,291","2,204","1,150",931,"1,145",670,529,607,"18,796","14,810"
횡령,"37,024","9,628","2,671","1,238","2,262","1,294",994,568,898,886,878,287,441,253,641,251,210,593,204,"1,048",385,165,400,139,146,216,467,128,172,197,336,149,303,117,159,394,119,96,90,153,349,159,53,52,491,343,320,171,135,159,83,72,62,"3,023","1,976"
배임,"4,456","1,203",379,163,226,169,101,86,57,69,73,46,42,28,71,15,33,58,14,84,77,27,21,14,14,19,41,18,17,24,41,25,43,11,12,35,11,11,14,12,20,28,5,4,65,35,48,13,22,14,12,12,8,425,341
성풍속범죄,"16,683","4,527","1,626","1,130","1,110",443,473,311,325,331,271,242,339,164,158,108,88,227,94,248,219,82,83,136,75,116,144,43,53,78,105,133,223,48,52,119,64,37,28,104,87,39,13,7,194,290,77,51,42,86,98,16,18,"1,015",493
도박범죄,"8,293","1,271",619,612,329,285,306,157,102,163,131,81,132,457,99,35,169,130,31,88,126,52,56,104,38,86,92,66,34,31,82,69,44,75,60,47,32,41,20,36,41,113,18,25,73,69,40,46,28,24,20,21,17,705,665
특별경제범죄,"72,908","20,932","7,562","3,066","4,343","2,337","1,337","1,238","1,523","1,481","2,127",816,744,681,931,645,459,"1,107",368,"1,344","1,109",361,553,247,235,461,726,249,227,307,837,301,636,227,321,452,207,159,212,190,281,162,144,56,651,632,553,288,202,286,105,85,117,"5,201","3,087"
마약범죄,"4,825","1,098",663,324,389,26,30,81,75,106,98,23,23,36,109,21,11,73,56,63,29,1,41,9,13,34,44,31,17,27,76,13,128,14,14,19,12,12,24,24,18,19,10,-,26,33,18,19,18,5,32,5,18,355,362
보건범죄,"14,657","4,089","1,773",436,569,379,281,240,219,389,211,177,109,133,373,93,87,191,134,269,113,37,114,63,72,82,90,48,34,92,141,58,160,47,78,199,39,27,28,29,37,86,43,36,156,157,85,51,41,54,40,27,30,"1,186",925
환경범죄,"2,536",65,191,7,46,11,10,34,11,37,9,11,3,18,77,2,53,23,13,45,39,11,12,22,14,19,25,25,5,11,44,20,139,9,2,50,6,4,11,3,3,19,6,6,51,66,35,6,34,11,16,13,18,653,462
교통범죄,"573,493","76,497","36,035","38,676","32,322","24,008","12,544","14,514","10,761","12,667","8,594","6,980","6,179","7,749","11,329","2,221","7,413","7,553","3,346","11,978","12,953","3,999","3,986","3,438","3,998","8,147","8,832","4,456","5,128","4,789","7,701","4,205","7,234","4,797","2,393","4,373","2,582","3,077","1,799","2,679","2,186","4,313","1,915","1,238","7,157","6,518","5,304","3,443","2,618","2,197","1,691","2,027","1,198","55,076","44,680"
노동범죄,"1,308",148,193,11,46,17,20,60,25,14,7,15,17,10,26,5,7,54,2,8,11,341,3,-,7,9,16,1,12,1,5,1,9,2,3,6,2,2,3,5,4,8,-,1,14,4,2,-,-,3,3,2,-,75,68
안보범죄,84,21,2,1,4,4,2,2,4,2,2,3,-,-,1,-,-,-,-,2,2,-,-,-,1,-,-,1,-,1,-,2,-,1,-,-,1,-,-,3,-,-,-,-,2,-,5,-,-,-,1,-,-,6,8
선거범죄,"1,874",239,81,49,91,59,54,42,28,31,41,39,21,14,29,14,28,14,13,15,28,17,6,25,9,7,9,20,10,10,14,12,11,20,7,2,8,9,3,7,6,8,11,6,19,11,8,7,7,12,10,3,4,216,410
병역범죄,"21,549","5,488","1,209",838,"1,621",433,537,485,377,548,329,204,275,395,487,98,220,480,91,365,195,98,237,63,95,274,398,86,86,125,148,68,306,63,64,344,52,65,52,104,97,128,22,24,248,243,183,146,85,65,39,29,84,"1,724","1,029"
기타,"180,526","38,048","16,640","8,283","11,390","5,619","4,241","3,977","3,617","3,895","2,965","1,836","1,649","2,305","3,454",968,"2,064","2,766",932,"3,090","2,664","1,295","1,396",827,"1,113","1,232","2,192",923,864,"1,134","1,858",861,"2,184",699,586,"2,128",820,583,498,740,961,659,326,279,"2,031","1,495","1,116",787,782,653,520,450,395,"14,998","12,738"
