x,y,광역시도,행정구역
11,4,강원도,강릉시
9,0,강원도,고성군
11,5,강원도,동해시
11,8,강원도,삼척시
9,1,강원도,속초시
8,0,강원도,양구군
10,2,강원도,양양군
10,8,강원도,영월군
10,7,강원도,원주시
9,2,강원도,인제군
11,6,강원도,정선군
6,0,강원도,철원군
10,3,강원도,춘천시
11,7,강원도,태백시
10,6,강원도,평창군
10,4,강원도,홍천군
7,0,강원도,화천군
10,5,강원도,횡성군
9,3,경기도,가평군
4,2,경기도,고양시
7,7,경기도,과천시
3,3,경기도,광명시
8,7,경기도,광주시
9,4,경기도,구리시
5,8,경기도,군포시
2,3,경기도,김포시
8,3,경기도,남양주시
7,2,경기도,동두천시
2,4,경기도,부천시
7,8,경기도,성남시
6,9,경기도,수원시
3,5,경기도,시흥시
3,6,경기도,안산시
4,8,경기도,안성시
3,4,경기도,안양시
8,2,경기도,양주시
9,6,경기도,양평군
9,7,경기도,여주시
7,1,경기도,연천군
3,8,경기도,오산시
7,9,경기도,용인시
6,8,경기도,의왕시
7,3,경기도,의정부시
8,8,경기도,이천시
3,2,경기도,파주시
5,9,경기도,평택시
8,1,경기도,포천시
9,5,경기도,하남시
3,7,경기도,화성시
9,20,경상남도,거제시
6,15,경상남도,거창군
7,19,경상남도,고성군
8,19,경상남도,김해시
6,19,경상남도,남해군
8,16,경상남도,밀양시
6,18,경상남도,사천시
5,18,경상남도,산청군
8,17,경상남도,양산시
7,16,경상남도,의령군
6,17,경상남도,진주시
7,15,경상남도,창녕군
7,18,경상남도,창원시
8,20,경상남도,통영시
5,19,경상남도,하동군
7,17,경상남도,함안군
6,16,경상남도,함양군
7,14,경상남도,합천군
11,12,경상북도,경산시
12,12,경상북도,경주시
7,13,경상북도,고령군
9,10,경상북도,구미시
9,11,경상북도,군위군
8,11,경상북도,김천시
9,8,경상북도,문경시
11,9,경상북도,봉화군
8,9,경상북도,상주시
8,12,경상북도,성주군
10,10,경상북도,안동시
12,10,경상북도,영덕군
11,10,경상북도,영양군
10,9,경상북도,영주시
10,12,경상북도,영천시
9,9,경상북도,예천군
13,6,경상북도,울릉군
12,9,경상북도,울진군
10,11,경상북도,의성군
8,13,경상북도,청도군
11,11,경상북도,청송군
9,12,경상북도,칠곡군
12,11,경상북도,포항시
2,19,광주광역시,광산구
2,21,광주광역시,남구
3,20,광주광역시,동구
3,19,광주광역시,북구
2,20,광주광역시,서구
9,14,대구광역시,남구
8,15,대구광역시,달서구
9,15,대구광역시,달성군
11,13,대구광역시,동구
9,13,대구광역시,북구
8,14,대구광역시,서구
10,14,대구광역시,수성구
10,13,대구광역시,중구
5,12,대전광역시,대덕구
5,13,대전광역시,동구
4,14,대전광역시,서구
4,13,대전광역시,유성구
5,14,대전광역시,중구
8,18,부산광역시,강서구
10,15,부산광역시,금정구
12,16,부산광역시,기장군
11,19,부산광역시,남구
10,17,부산광역시,동구
11,16,부산광역시,동래구
10,16,부산광역시,부산진구
9,16,부산광역시,북구
9,17,부산광역시,사상구
9,19,부산광역시,사하구
9,18,부산광역시,서구
11,18,부산광역시,수영구
11,17,부산광역시,연제구
10,19,부산광역시,영도구
10,18,부산광역시,중구
12,17,부산광역시,해운대구
6,7,서울특별시,강남구
8,5,서울특별시,강동구
5,2,서울특별시,강북구
4,4,서울특별시,강서구
5,6,서울특별시,관악구
7,6,서울특별시,광진구
4,7,서울특별시,구로구
5,7,서울특별시,금천구
6,1,서울특별시,노원구
5,1,서울특별시,도봉구
7,4,서울특별시,동대문구
5,5,서울특별시,동작구
5,4,서울특별시,마포구
5,3,서울특별시,서대문구
6,6,서울특별시,서초구
7,5,서울특별시,성동구
6,2,서울특별시,성북구
8,6,서울특별시,송파구
4,5,서울특별시,양천구
4,6,서울특별시,영등포구
6,5,서울특별시,용산구
4,3,서울특별시,은평구
6,3,서울특별시,종로구
6,4,서울특별시,중구
8,4,서울특별시,중랑구
4,11,세종특별자치시,세종시
12,15,울산광역시,남구
12,14,울산광역시,동구
12,13,울산광역시,북구
11,15,울산광역시,울주군
11,14,울산광역시,중구
1,3,인천광역시,강화군
2,5,인천광역시,계양구
2,7,인천광역시,남구
2,8,인천광역시,남동구
1,5,인천광역시,동구
2,6,인천광역시,부평구
1,4,인천광역시,서구
1,8,인천광역시,연수구
0,8,인천광역시,옹진군
1,7,인천광역시,중구
1,22,전라남도,강진군
3,22,전라남도,고흥군
3,18,전라남도,곡성군
5,20,전라남도,광양시
4,18,전라남도,구례군
1,20,전라남도,나주시
2,18,전라남도,담양군
0,20,전라남도,목포시
1,19,전라남도,무안군
3,21,전라남도,보성군
4,20,전라남도,순천시
0,19,전라남도,신안군
4,21,전라남도,여수시
1,17,전라남도,영광군
1,21,전라남도,영암군
2,23,전라남도,완도군
2,17,전라남도,장성군
2,22,전라남도,장흥군
0,22,전라남도,진도군
1,18,전라남도,함평군
0,21,전라남도,해남군
4,19,전라남도,화순군
1,16,전라북도,고창군
2,14,전라북도,군산시
3,15,전라북도,김제시
5,17,전라북도,남원시
5,15,전라북도,무주군
2,15,전라북도,부안군
3,17,전라북도,순창군
4,15,전라북도,완주군
3,14,전라북도,익산시
4,17,전라북도,임실군
5,16,전라북도,장수군
3,16,전라북도,전주시
2,16,전라북도,정읍시
4,16,전라북도,진안군
4,25,제주특별자치도,서귀포시
4,24,제주특별자치도,제주시
4,12,충청남도,계룡시
4,10,충청남도,공주시
3,13,충청남도,금산군
3,12,충청남도,논산시
2,9,충청남도,당진시
2,11,충청남도,보령시
2,12,충청남도,부여군
1,10,충청남도,서산시
2,13,충청남도,서천군
3,9,충청남도,아산시
3,10,충청남도,예산군
4,9,충청남도,천안시
3,11,충청남도,청양군
1,9,충청남도,태안군
2,10,충청남도,홍성군
7,11,충청북도,괴산군
7,10,충청북도,단양군
7,12,충청북도,보은군
6,14,충청북도,영동군
6,13,충청북도,옥천군
5,10,충청북도,음성군
8,10,충청북도,제천시
6,11,충청북도,증평군
5,11,충청북도,진천군
6,12,충청북도,청주시
6,10,충청북도,충주시
