소관명,회계명,분야명,부문명,프로그램명,sum(확정안)
A부서,과학관관련,기술,기술일반,계정간거래,1301000
A부서,과학관관련,기술,기술일반,과학관관련운영,25336500
A부서,과학관관련,기술,기술일반,회계기금간거래,486000
A부서,과학관,기술,기술일반,계정간거래,1501000
A부서,과학관,기술,기술일반,과학관운영,31113145
A부서,과학관,기술,기술일반,회계기금간거래,419000
A부서,에너지및자원사업특별회계,기술,기술연구지원,출연연구기관지원,575311000
A부서,에너지및자원사업특별회계,기술,기술개발,미래유망원천기술개발,4100000
A부서,보험특별회계,통신,정운사업,정운사업행정지원,126000
A부서,보험특별회계,통신,정운사업,보험내실화,199220000
A부서,보험특별회계,통신,정운사업,회계간거래(전출금),282218000
A부서,보험특별회계,통신,정운사업,회계기금간거래,102101000
A부서,보험특별회계,통신,정운사업,회계기금간거래(전출금),2.60E+07
A부서,예금특별회계,통신,정운사업,계정간거래,11548000
A부서,예금특별회계,통신,정운사업,정운사업행정지원,202000
A부서,예금특별회계,통신,정운사업,지속가능경영,314414000
A부서,예금특별회계,통신,정운사업,회계간거래(전출금),618901000
A부서,예금특별회계,통신,정운사업,회계간거래,108173000
A부서,예금특별회계,통신,정운사업,회계간거래(전출금),62050000
A부서,사업특별회계,통신,정운사업,계정간거래,116136000
A부서,사업특별회계,통신,정운사업,함께하는서비스,385279000
A부서,사업특별회계,통신,정운사업,정운사업경영지원,76922000
A부서,사업특별회계,통신,정운사업,정운사업행정지원,384288785
A부서,사업특별회계,통신,정운사업,회계간거래(전출금),15770000
A부서,사업특별회계,통신,정운사업,회계기금간거래,132242000
A부서,일반회계,기술,기술연구지원,기술국제협력,87980379
A부서,일반회계,기술,기술연구지원,기술기반조성,96662621
A부서,일반회계,기술,기술연구지원,기술연구지원_,12900000
A부서,일반회계,기술,기술연구지원,기술인력양성,2338000
A부서,일반회계,기술,기술연구지원,과학문화창달,64200000
A부서,일반회계,기술,기술연구지원,연구공동체활성화,8036000
A부서,일반회계,기술,기술연구지원,출연연구기관지원,2513293000
A부서,일반회계,기술,기술일반,기술국제협력,1600000
A부서,일반회계,기술,기술일반,기술종합조정,38657000
A부서,일반회계,기술,기술일반,A부서운영지원,36857516
A부서,일반회계,기술,기술일반,회계간거래,52258000
A부서,일반회계,기술,기술일반,회계기금간거래,5884000
A부서,일반회계,기술,기술개발,기초연구진흥,2103589000
A부서,일반회계,기술,기술개발,미래유망원천기술개발,582778000
A부서,일반회계,기술,기술개발,우주개발진흥,371891000
A부서,일반회계,기술,기술개발,원자력진흥,84920000
A부서,일반회계,교육,고등교육,기술인력양성,185025000
A부서,일반회계,교육,교육일반,A부서운영지원,2800000
A부서,일반회계,교육,평생·직업교육,연구공동체활성화,1.20E+07
A부서,일반회계,교육,평생·직업교육,평생직업교육체제구축,17974000
A부서,일반회계,문화및관광,문화및관광일반,A부서운영지원,45496502
A부서,일반회계,문화및관광,문화예술,콘텐츠방송산업육성,28250000
A부서,일반회계,산업·중소기업및에너지,산업진흥·고도화,SW산업활성화,172057000
A부서,일반회계,일반·지방행정,국정운영,A부서운영지원,2118000
A부서,일반회계,일반·지방행정,정부자원관리,국가사회정보화,94996000
A부서,일반회계,통신,방송통신,A부서운영지원,60060963
A부서,일반회계,통신,방송통신,정보보호강화,25234000
A부서,일반회계,통신,방송통신,방송기반조성,34611000
A부서,일반회계,통신,방송통신,방송산업진흥,12006000
A부서,일반회계,통신,방송통신,회계간거래,7236000
A부서,발전균형특별회계,기술,기술연구지원,기술기반조성,91617000
A부서,발전균형특별회계,기술,기술연구지원,출연연구기관지원,82560000
A부서,발전균형특별회계,기술,기술개발,원자력진흥,64170000
A부서,발전균형특별회계,교육,고등교육,기술인력양성,225560000
A부서,발전균형특별회계,교육,평생·직업교육,연구공동체활성화,14600000
A부서,발전균형특별회계,산업·중소기업및에너지,산업진흥·고도화,지역경제활성화,3017375000
A부서,발전균형특별회계,통신,방송통신,방송산업진흥,4.00E+06
