title,release_date,week1_sales,week1_seen,nation,production,distributor,rating,genre,total_seen,total_sales
다크아워,2012-01-05,1165058500,142322,미국,,이십세기폭스코리아(주),12세이상관람가,액션/어드벤쳐,162704,1321149000
원더풀 라디오,2012-01-05,3992913500,541314,한국,"(주)영화사아이비젼,(주)기안컬처테인먼트",쇼박스㈜미디어플렉스,15세이상관람가,드라마,986287,7255598000
밀레니엄 : 여자를 증오한 남자들,2012-01-11,2196718000,281785,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,스릴러/공포,443855,3504237000
장화신은 고양이,2012-01-12,7747103000,883384,미국,,씨제이이앤엠 주식회사,전체관람가,애니메이션,2080445,17602643500
코알라 키드 : 영웅의 탄생,2012-01-12,737016000,104258,한국,"㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,206344,1439227500
우리는 동물원을 샀다,2012-01-18,1338645500,183724,미국,,이십세기폭스코리아(주),전체관람가,가족,276334,1993190500
부러진 화살,2012-01-18,7074434500,916902,한국,(주)아우라픽처스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,3459864,25937273000
페이스메이커,2012-01-18,2507683500,335960,한국,"(주)드림캡쳐,(주)에이트볼픽쳐스 ,(주)필통픽쳐스","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",12세이상관람가,드라마,467697,3443753000
네버엔딩 스토리,2012-01-18,1575837500,209516,한국,아일랜드픽처스(주),(주)화앤담이엔티,15세이상관람가,코미디,283449,2106823000
댄싱퀸,2012-01-18,9574583500,1239057,한국,"(주)제이케이필름,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,12세이상관람가,코미디,4058225,30130775500
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,6844753500,786407,미국,,워너브러더스코리아(주),전체관람가,액션/어드벤쳐,1149628,9784305000
점박이:한반도의 공룡3D,2012-01-26,3976670500,432520,한국,"(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오",씨제이이앤엠 주식회사,전체관람가,애니메이션,1050852,9681445500
파파,2012-02-01,2256970500,334975,한국,상상필름(주),롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,가족,587291,4000072000
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,11895618000,1540852,한국,"(주)팔레트픽처스,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,청소년관람불가,미스터리/범죄,4720050,36540327500
해피 피트 2,2012-02-02,1023392000,123635,호주,,워너브러더스코리아(주),전체관람가,애니메이션,185744,1463939000
토르: 마법망치의 전설,2012-02-09,1853500500,243178,아이슬란드,,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",전체관람가,애니메이션,768426,5550797500
워 호스,2012-02-09,649028000,90257,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션/어드벤쳐,102195,734302500
우먼 인 블랙,2012-02-16,702557500,95515,영국,,"(주)넥스트엔터테인먼트월드(NEW),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",15세이상관람가,드라마,117188,862144800
아티스트,2012-02-16,274149000,35829,미국,,(주)영화사 진진,12세이상관람가,멜로/로맨스,120434,921795100
