"","symboling","normalized_losses","maker","fuel","aspiration","doors","body","wheels","engine_location","wheel_base","length","width","height","curb_weight","engine_type","cylinders","engine_size","fuel_system","bore","stroke","compression_ratio","horsepower","peak_rpm","city_mpg","highway_mpg","price"
"18",-1,110,"dodge","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921
"26",0,78,"honda","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295
"46",-1,93,"mercedes-benz","diesel","turbo","four","wagon","rwd","front",110,190.9,70.3,58.7,3750,"ohc","five",183,"idi",3.58,3.64,21.5,123,4350,22,25,28248
"64",1,103,"nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7349
"68",1,103,"nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7999
"73",0,108,"nissan","gas","std","four","wagon","fwd","front",100.4,184.6,66.5,56.1,3296,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,22,14399
"90",-1,74,"plymouth","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,24,30,8921
"106",0,89,"subaru","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2290,"ohcf","four",108,"2bbl",3.62,2.64,9,82,4800,28,32,7463
"107",0,89,"subaru","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2455,"ohcf","four",108,"mpfi",3.62,2.64,9,94,5200,25,31,10198
"108",0,85,"subaru","gas","std","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2420,"ohcf","four",108,"2bbl",3.62,2.64,9,82,4800,23,29,8013
"109",0,85,"subaru","gas","turbo","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2650,"ohcf","four",108,"mpfi",3.62,2.64,7.7,111,4800,23,23,11694
"113",0,77,"toyota","gas","std","four","wagon","fwd","front",95.7,169.7,63.6,59.1,2280,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,31,37,6918
"114",0,81,"toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,2290,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,32,7898
"115",0,91,"toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,3110,"ohc","four",92,"2bbl",3.05,3.03,9,62,4800,27,32,8778
"150",-1,74,"volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3034,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,13415
"152",-1,74,"volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3042,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,28,16515
"154",-1,74,"volvo","gas","turbo","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3157,"ohc","four",130,"mpfi",3.62,3.15,7.5,162,5100,17,22,18950
