"STATE","ZIP_CODE","CUSTOMER_NBR","SHOPPER_SEGMENT_CODE","city","latitude","longitude","timezone"
"AK","99501",442649,2,"Anchorage",61.216799,-149.87828,"US/Alaska"
"AK","99501",657615,3,"Anchorage",61.216799,-149.87828,"US/Alaska"
"AK","99501",315353,1,"Anchorage",61.216799,-149.87828,"US/Alaska"
"AK","99501",235837,2,"Anchorage",61.216799,-149.87828,"US/Alaska"
"AK","99502",516194,3,"Anchorage",61.153693,-149.95932,"US/Alaska"
"AK","99502",224909,0,"Anchorage",61.153693,-149.95932,"US/Alaska"
"AK","99502",539706,1,"Anchorage",61.153693,-149.95932,"US/Alaska"
"AK","99503",577450,3,"Anchorage",61.19026,-149.89341,"US/Alaska"
"AK","99503",96002,3,"Anchorage",61.19026,-149.89341,"US/Alaska"
"AK","99504",475124,0,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99504",601719,1,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99504",658238,1,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99504",640834,2,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99504",613308,3,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99504",195495,3,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99504",78433,0,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99504",261006,5,"Anchorage",61.204466,-149.74633,"US/Alaska"
"AK","99505",34501,4,"Fort Richardson",61.261518,-149.66336,"US/Alaska"
"AK","99507",369348,5,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",729849,3,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",302501,0,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",110486,2,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",115020,1,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",433827,2,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",336851,3,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",219429,1,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99507",578685,2,"Anchorage",61.154834,-149.82865,"US/Alaska"
"AK","99508",251910,3,"Anchorage",61.203953,-149.8144,"US/Alaska"
"AK","99508",262209,3,"Anchorage",61.203953,-149.8144,"US/Alaska"
"AK","99508",227369,4,"Anchorage",61.203953,-149.8144,"US/Alaska"
"AK","99508",253551,5,"Anchorage",61.203953,-149.8144,"US/Alaska"
"AK","99508",480780,0,"Anchorage",61.203953,-149.8144,"US/Alaska"
"AK","99508",166651,1,"Anchorage",61.203953,-149.8144,"US/Alaska"
"AK","99515",151519,2,"Anchorage",61.122943,-149.88852,"US/Alaska"
"AK","99515",609723,4,"Anchorage",61.122943,-149.88852,"US/Alaska"
"AK","99515",24243,3,"Anchorage",61.122943,-149.88852,"US/Alaska"
"AK","99515",216063,0,"Anchorage",61.122943,-149.88852,"US/Alaska"
"AK","99516",732807,0,"Anchorage",61.101142,-149.77311,"US/Alaska"
"AK","99516",307889,0,"Anchorage",61.101142,-149.77311,"US/Alaska"
"AK","99516",575566,5,"Anchorage",61.101142,-149.77311,"US/Alaska"
"AK","99516",522464,1,"Anchorage",61.101142,-149.77311,"US/Alaska"
"AK","99516",282136,5,"Anchorage",61.101142,-149.77311,"US/Alaska"
"AK","99559",681593,2,"Bethel",60.766603,-161.88006,"US/Alaska"
"AK","99559",631636,0,"Bethel",60.766603,-161.88006,"US/Alaska"
"AK","99559",324221,0,"Bethel",60.766603,-161.88006,"US/Alaska"
"AK","99567",688116,0,"Chugiak",61.413717,-149.42644,"US/Alaska"
"AK","99567",648252,2,"Chugiak",61.413717,-149.42644,"US/Alaska"
"AK","99567",261769,1,"Chugiak",61.413717,-149.42644,"US/Alaska"
"AK","99574",48296,4,"Cordova",60.474512,-145.40256,"US/Alaska"
"AK","99574",615631,4,"Cordova",60.474512,-145.40256,"US/Alaska"
"AK","99576",156353,0,"Dillingham",59.068709,-158.44407,"US/Alaska"
"AK","99577",319565,4,"Eagle River",61.310222,-149.51689,"US/Alaska"
"AK","99577",90897,4,"Eagle River",61.310222,-149.51689,"US/Alaska"
"AK","99577",179110,1,"Eagle River",61.310222,-149.51689,"US/Alaska"
"AK","99577",507747,5,"Eagle River",61.310222,-149.51689,"US/Alaska"
"AK","99577",651745,0,"Eagle River",61.310222,-149.51689,"US/Alaska"
"AK","99577",88992,4,"Eagle River",61.310222,-149.51689,"US/Alaska"
"AK","99604",516561,3,"Hooper Bay",61.52898,-166.09619,"US/Alaska"
"AK","99606",428507,4,"Iliamna",59.748806,-154.8124,"US/Alaska"
"AK","99610",61924,4,"Kasilof",60.318451,-151.28948,"US/Alaska"
"AK","99611",256741,4,"Kenai",60.587598,-151.23355,"US/Alaska"
"AK","99615",494648,0,"Kodiak",57.74663,-152.51142,"US/Alaska"
"AK","99615",547906,0,"Kodiak",57.74663,-152.51142,"US/Alaska"
"AK","99615",622084,0,"Kodiak",57.74663,-152.51142,"US/Alaska"
"AK","99631",585492,1,"Moose Pass",60.499602,-149.40247,"US/Alaska"
"AK","99635",257842,4,"Nikiski",60.784804,-151.06473,"US/Alaska"
"AK","99645",265885,3,"Palmer",61.598203,-149.04109,"US/Alaska"
"AK","99645",165238,1,"Palmer",61.598203,-149.04109,"US/Alaska"
"AK","99645",49209,1,"Palmer",61.598203,-149.04109,"US/Alaska"
"AK","99645",376517,2,"Palmer",61.598203,-149.04109,"US/Alaska"
"AK","99645",325403,4,"Palmer",61.598203,-149.04109,"US/Alaska"
"AK","99653",702947,4,"Port Alsworth",60.102331,-154.55708,"US/Alaska"
"AK","99654",657281,3,"Wasilla",61.580187,-149.48821,"US/Alaska"
"AK","99654",571541,5,"Wasilla",61.580187,-149.48821,"US/Alaska"
"AK","99654",616398,2,"Wasilla",61.580187,-149.48821,"US/Alaska"
"AK","99654",718342,3,"Wasilla",61.580187,-149.48821,"US/Alaska"
"AK","99654",148409,0,"Wasilla",61.580187,-149.48821,"US/Alaska"
"AK","99654",218166,2,"Wasilla",61.580187,-149.48821,"US/Alaska"
"AK","99654",523739,3,"Wasilla",61.580187,-149.48821,"US/Alaska"
"AK","99662",554344,1,"Scammon Bay",61.783788,-165.53972,"US/Alaska"
"AK","99664",345825,3,"Seward",60.151652,-149.41271,"US/Alaska"
"AK","99665",710007,1,"Shageluk",62.655998,-159.53113,"US/Alaska"
"AK","99669",736986,0,"Soldotna",60.489536,-151.02091,"US/Alaska"
"AK","99669",709802,0,"Soldotna",60.489536,-151.02091,"US/Alaska"
"AK","99669",142235,1,"Soldotna",60.489536,-151.02091,"US/Alaska"
"AK","99669",276739,3,"Soldotna",60.489536,-151.02091,"US/Alaska"
"AK","99669",146318,0,"Soldotna",60.489536,-151.02091,"US/Alaska"
"AK","99672",427173,2,"Sterling",60.532394,-150.74033,"US/Alaska"
"AK","99680",329667,1,"Tuntutuliak",60.343879,-162.66587,"US/Alaska"
"AK","99684",176882,0,"Unalakleet",63.882081,-160.76294,"US/Alaska"
"AK","99686",586682,0,"Valdez",61.128176,-146.2357,"US/Alaska"
"AK","99686",381742,2,"Valdez",61.128176,-146.2357,"US/Alaska"
"AK","99687",48150,0,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",572521,4,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",283022,1,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",448424,2,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",418779,4,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",226210,1,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",594359,3,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",511001,4,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99687",91424,4,"Wasilla",61.391728,-149.99002,"US/Alaska"
"AK","99701",658361,1,"Fairbanks",64.83507,-147.72045,"US/Alaska"
"AK","99703",455057,2,"Fort Wainwright",64.827164,-147.6265,"US/Alaska"
"AK","99703",744170,0,"Fort Wainwright",64.827164,-147.6265,"US/Alaska"
"AK","99705",727982,3,"North Pole",64.777233,-147.3649,"US/Alaska"
"AK","99705",443280,3,"North Pole",64.777233,-147.3649,"US/Alaska"
"AK","99705",375044,1,"North Pole",64.777233,-147.3649,"US/Alaska"
"AK","99705",516803,4,"North Pole",64.777233,-147.3649,"US/Alaska"
"AK","99705",627025,2,"North Pole",64.777233,-147.3649,"US/Alaska"
"AK","99705",736071,4,"North Pole",64.777233,-147.3649,"US/Alaska"
"AK","99708",617740,4,"Fairbanks",64.947462,-147.856443,"US/Alaska"
"AK","99709",442554,4,"Fairbanks",64.854937,-147.87406,"US/Alaska"
"AK","99709",519767,2,"Fairbanks",64.854937,-147.87406,"US/Alaska"
"AK","99709",135370,3,"Fairbanks",64.854937,-147.87406,"US/Alaska"
"AK","99712",559375,1,"Fairbanks",64.926041,-147.49573,"US/Alaska"
"AK","99723",269069,4,"Barrow",71.299525,-156.74891,"US/Alaska"
