star,comment
10,관객에게 미끼를 던진 영화  
10,반전에반전...감독한테놀아난느낌  
9,나감독.. 숨은 쉬게해줘야지...  
1,...할말없는 영화임.본사람은 공감할듯..무섭고 잔인하고 징그럽고 소름끼치는 반전까지 고루 갖췄지만 그 모든걸 넘어서는 찝찝함.  
10,어이없어서 웃기고 그냥 보고난후 뭐지...?이느낌  
8,보는 내내 골룸 생각났음ㅋㅋ  
9,맨정신으로 작두에 올라 영화보는 기분  
10,정말로 곡소리 나오는 영화. 222  
10,현혹된 자만이 느낄수 있는 공포 그리고 후유증..  
9,"긴장감만점 다만9점을준건 결말이 너무모호하다 개연성도 부족한거같고 천우희가도와준이유,황전민정체,할배가천우희쫓아뛰는이유 등등 감독한테직접물어보고싶은게많다  "
7,엔딩크레딧이 올라갈때 사람들의 반응은 절반은 욕하고 절반은 벙찐 상태가 된다. 개인적으로 결국 영화에대한 생각은 계속 맴돌더라 찝찝함인지 궁금함인지 아직도 잘 모르겠다  
1,잘만들었지만 관람은 비추입니다.  
6,초반엔 범인찾고 추리하는 스릴런줄 알았더만 생각해보니 그것도 일단은 맞네.. 미끼를 내가 물었구나  
10,난해한거 싫어하시는 분들 비추천. 불친절한 영화 싫어하시는 분들 비추천. 의미부여 된거 (일명 떡밥) 해석하는거 싫어하시는 분들 비추천. 그냥 별 생각않고 영화 즐기고픈 분들이 볼만 한 영화는 아님. 그런 분들이 이 영화보면 스트레스 받음  
10,성인배우는 물론 아역연기가..아주..후기 신경안쓰고 보고싶으면 보고 후회는 절대 안하실듯..  
1,"-15세의 황해... 좀비, 엑소시스트 이런 거 싫어하는 사람은 보지마세요. 구역질납니다.  "
10,몰입감 장난 아니네요 2시간 반이 길게 안느껴져요 다보고 나오는데 뭔가 지침ㅎㅎ 근데 좀 난해해서 한번 더 봐야겠음  
10,끊임없이 의심하게 만드는 영화  
8,이상해요 무슨장르에요 이게  
1,무슨영화인지 모르겟다  
10,"관객을 악마처럼 손아귀에 가지고 논 나홍진감독에게 찬사를 바칩니다. 카메라 앵글, 조명, 미쟝센까지.. 첫장면 부터 마지막까지 완벽하게 잘 짜여진 요 근래 한국 영화 최고의 작품입니다.  "
1,감독 이름부터 외웠다... 다음부턴 안보려고...  
9,"한국영화 같지 않은 연출,전개방식,엔딩  "
1,배우들의 연기력과 숨을 조여오는 연출이 훌륭합니다.근데 그게 다 내용과는 상관 없이 오로지 관객을 속여먹으려는 의도라는게 기가 막힙니다.  
10,되게 토론하고싶은 영화 ..  진짜 나랑같이 봤던. 관객들붙잡아서 의견을 묻고싶은 영화  
1,감독이 던진 미끼에 내가 덥석 물었다.. 반전에 반전이 영화를 아주 조잡하게 만드네..도대체 영화의 주제가 뭔가?  
1,내용도 없고 잔인한 장면만 많네요 부성애를 자극하려면 결말이라도 잘 내던가하지 배우의 연기력은 최고 평점이지만 스토리는 정말 아닌듯 합니다. 보고 기분나쁜영화였습니다.  
3,정말 지대로 낚네요. 통수영화 지리구연  
8,음....ㅋㅋㅋ 영화보고 왜케 기분 나쁘지?  
1,곡성이 관객을 낚았다.  
1,볼때는 재밌었다. 그렇게 끝날지 몰랐으니까.  
8,살인의추억+콘스탄틴+새벽의저주+디아더스+추격자+박수무당  
1,7천원으로 밥을 사드새오  
1,"떡밥만 줄창 던지고 회수는 안되고, 에라 모르겠다 반전이라 처먹어라 느낌.  황정민은 개연성도 없도 뭣도 없는 역할.  한편이야 뭐야. 살날릴때 일본놈 억억 하는 건 왜 자꾸 화면에 잡아줌?  "
1,이게 왜 평론가들한테 극찬감이지ㅠㅠㅠ  
1,구라안치고 영화 엔딩크레딧 올라오자마자  다들 뭐야...ㅋ이소리하고 나감  
1,별루... 피칠갑만 잔뜩구경  
5,돈내고 스트레스를 받아왔다  
6,천우희에서 끝났어야되... 왜 갑자기 또 반전을 만들어서 에혀.. 좀비는 진짜 에러다..ㅡㅡ  
3,그닥 그래요 별로에요ㅠㅠㅠ  
7,넘 어려웠다 종교와 무속신앙 귀신과 악마동양과 서양 ...결말은 대체 어떤건지 하지만 정말 무서웠다 보는내내 내가 굿받는것같은현기증을 느꼈다  
9,대단해요ㅋㅋ보는 내내 넘긴장해서 땀나고ㅜㅜ엔딩이 찝찝한데 곡성2하시는건지..꿈에나올까 살짝무섭고 아역 배우 연기 정말잘하던데 ..연기하느라 애먹었을듯 어린 나이에  
5,나홍진 전작을 생각하고가면 오산이다... 뭔가 미스터리 스릴러가 있을꺼라고 생각했지만 그냥 미스터리만 남는다....결말도 미스터리다.  
7,일본 부두술사의 한국 원정기  
5,스릴러 아니고 공포영화. 무서운거 못보는 사람들은 너무 무섭네요  
1,정말 짜증지대루.남친과보다 헤어질뻔.보자고한내가 죄인.배우들연기력은 인정이가지만.시나리오는 진짜대박그냥 보는내내 스트레스였음.ㅠㅠ  
10,내용이해도가 조금딸리나 스토리는 정말 지루할틈이없네요  
1,우와아아 모르겟다모냐이거  
1,이 영화 재밌다고 하는 사람들 다시 보게되네요재밌다고 하는 사람들이 무서움  
3,나홍진이 미끼를 던지고  관객은 물었다 ....영화를 다보고 났는데 왜이렇게 찝찝하지  
1,보는내내 기분이 꾸리꾸리했던 영화 앞으로 황정민을 믿지 않으리  
10,새가 참 고생하더라..  
1,죽기 전에 절대 이런 류의 영화를 다시는 보지 말아야겠다고 생각했습니다. 모든 정신이 피폐해지는 느낌....요즘 영화볼게 없어서 예매율 높은건듯  
1,영화까는건 아닌데 솔직히 기대 이하는 확실하다2시간30분동안 스트레스 받을려면 이영화를 봐라 는 뎃글을보고 어떤 무식한놈이 이런뎃글을 남겨했는데그뎃글을 믿어야했다...어떤사람에겐 재밋을지모르지만나에겐 정말 스트레스받게하는 영화였다....  
1,귀신이 예수 흉내내며 육체를 입기위해 사탄에게 사람을 제물로 바치는 인신제사를 모티브로 한 사타니즘 영화. 신을 희롱하고 무지한 관객들을 우롱한다. 영적인 시각이 없는 사람은 이 영화의 무서움을 알지못한 채 찝찝함만 남을 것. 역대 최'악'의 한국영화  
1,중간에나오고싶을정도..기분나쁜영화  
1,평점 잘주는 사람들 꿈보다 해몽이 예술이네. 돈+시간 버리고 싶은 사람은 극장에 보러 가시길.. 1점도 아깝다는거에 공감  
8,절대 현혹되지 마쇼 그 놈도 한 패요  
1,역시 방화는 보는게 아닙니다  
1,스트레스만 받고나왔네 ㅋㅋ 골룸녀석 ㅋㅋ  
7,스릴러로 포장한 오컬트. 종반부는 특별했지만 소문만큼 엄청난 것인지는 잘...  
1,골룸이 왜 나오는지 전혀 모르겠고 한국판 배틀로얄 보는 기분 1점도 아깝습니다  
1,최고의 평론가가10점줘서 봤는데 평론가..급전필요했습니까??동생엄마애인같이봤는데 동생한테 미안했네요 이게 15세 말이 됩니까? 내 휴일 내 돈 너무 아까웠네요..볼건 배우들의 연기 연기는 정말 잘합니다.다만 영화가 정신병 걸리게 하는 더러운기분들게해요  
6,보는 동안 공포로 인한 재미와 스릴은 있었으나 끝나고 느낌이 너무 안 좋았습니다.  
8,찜찜한데.. 기억난다  
1,친절하지 않다 관객을 희롱하는 영화  
1,재미없어요ㅜ 그냥 끔찍하기만하고 내용도 조잡스러움  
1,무서운거 조금이라도 싫어하시는 분은 절대 피하세요 큰일납니다 ㅜㅜ  
1,아는 척 좋아하는 해석충들이나 빨아댈 영화 아는 만큼 보이고 재밌다는데  아는 만큼 보이는건 맞는데 진심 재미가 하나도 없다  언플 농간에 놀아나지 마라 마치 벌거숭이 임금님을 보는 듯 하다 뭔 뜻인지 알거라 믿는다  
1,아 좀비영화인지 무슨 영화인지 몰랏네요긴장감을 주거든 끝까지 주던가 중간중간에 어이없이 웃길라고 하는데 분위기 깨지던데요  
1,진심 재미 없다 ;;잔인하게 찍었다고 했는데 나만 졸린거야?  
10,세상에 믿을놈 하나도 읍어부러~ 아주 지려  
5,평론가들은 재미있을지 모르지만 관객들은 아닐수 있다.  
1,영화를 관객의 상상력에 맡기는 것은 좋다. 그렇다고해서 '왜'라는 부분을 전부 배제하면 평이 극명하게 갈라진다. 영화는 관객에게 벌어지는 상황들을 설명해야 할 암묵적 의무가 있다. 각종 추리를 내놓으며 이해한다해서 '영화를 잘 보는 사람'은  
1,정신건강에 좋지 않습니다 ㅠ  
1,호불호가 많이 나뉘는 영화라는데 저는 별로네요  정신만 사납고 ㅠㅠ 돈이 아까웠어요  
1,보고나면 나올때 웃는영화  
1,평점 리뷰 예고편 기대 엄청 했는데 엄청 실망 제 코드에는 아닌가봅니다 이도저도 아닌 짬뽕물같음 어줍잖게 반전으로 관객 마음 잡을라는거같음  
1,정말..최악이였습니다..  
1,번개맞고 좀비나오고 까마귀 날아다니고 난리 잡동사니.  
1,초반부 진심 너무 쩔었음  근데 황정민 나오고 부터 점점 ㅋㅋㅋ B급 영화로 떨어짐 ㅋㅋㅋㅋ 주변사람들한테 추천 안할꺼고 다시는 안보고싶음  
1,별로에요... 보기힘든영화  
1,"제가 본 영화중, 최악의 영화였음보는 내내 역겹고, 불편한 상태만 지속되다니...주제도 모르겠고, 감독이 말하고자 하는 내용도 파악하기 어렵고, 정말 불쾌한 영화였슴이런 영화는 만들지도 보지도 말 것을 말씀드립니다  "
