연번,기 관 명,요양기관기호,종별,대 표 자,address,진료과,병상,연락처,정보시스템현황,latitude,longtitude
1,강화병원,31200451,종합병원,장성호,인천 강화군 강화읍 강화대로312번길 11 ,,200,032-930-8100,,126.4961098,37.7424362
2,검단탑병원,31100970,종합병원,이준섭,인천 서구 청마로19번길 5 ,,300,032-590-0114,NG테크,126.671175,37.5924904
3,근로복지공단 안산병원,31101020,종합병원,임호영,경기도 안산시 상록구 구룡로 87,,300,031-500-0114,,126.874139,37.3167269
4,근로복지공단 인천병원,31101208,종합병원,양유휘,인천 부평구 무네미로 446 (구산동),,300,032-500-0114,,126.7536333,37.4767018
5,나사렛국제병원,31101011,종합병원,이순자,인천 연수구 먼우금로 98 (동춘동) ,,300,032-899-9999,NG테크,126.6705223,37.4079542
6,의료법인루가의료재단나은병원,31100724,종합병원,하헌영,인천 서구 가좌3동 277,,300,032-584-0114,Metor HIS,126.6787598,37.4893111
7,뉴고려병원,31101101,종합병원,윤영순,경기 김포시 김포한강3로 283  (장기동)   ,,300,031-980-9114,,126.6602289,37.6409296
8,동의성단원병원,31100929,종합병원,최석광,경기 안산시 단원구 원포공원1로 20 (초지동),,200,031-8040-6600,,126.8132183,37.3002174
9,의료법인성세의료재단성민병원,31100694,종합병원,안병문,인천 서구 신석로 70 (석남동) ,,400,1661-1199,EM-HIS V4.1,126.6698666,37.5097941
10,부평세림병원,31100171,종합병원,양문술,인천 부평구 청천동 302,,300,1899-9555,NG테크,126.7189438,37.5073824
11,의료법인석경의료재단센트럴병원,31100911,종합병원,성기열,경기 시흥시 공단1대로 237(정왕동) ,,300,031-8041-3000,,126.7281267,37.3369084
12,시화병원,31100643,종합병원,최창균,경기 시흥시 정왕동 1860-1,,300,031-432-2600,,126.7245828,37.3528901
13,의료법인녹향의료재단신천연합병원,31100635,종합병원,노경선,경기 시흥시 복지로 57 (대야동) ,,200,031-310-6300,,126.7894932,37.4445152
14,인천광역시의료원,31100015,종합병원,조승연,인천 동구 송림동 318-1,,200,032-580-6000,PHIS,126.6686046,37.4786381
15,인천광역시의료원백령병원,31202098,종합병원,이두익,인천 옹진군 백령면 진촌리 807-1,,100,032-836-1731,PHIS,124.7204516,37.9727633
16,인천기독병원,31100023,종합병원,유수일,인천 중구 답동로30번길 10 ,,200,032-270-8000,,126.6321078,37.471217
18,의료법인인천사랑병원,31100619,종합병원,김태완,인천 남구 미추홀대로 726  (주안동) ,,300,032-457-2000,NG테크,126.6806118,37.4622055
19,인천적십자병원,31100261,종합병원,호종수,인천 연수구 원인재로 263(연수동) ,,200,032-899-4000,비트 6.3,126.68922,37.4185425
19,인천적십자병원,31100261,종합병원,호종수,인천 연수구 원인재로 263(연수동) ,,200,032-899-4000,비트 6.3,126.68922,37.4185425
43,경인의료재활센터병원,31283756,요양병원,신창혁,인천 연수구 원인재로 263(연수동) ,,200,032-899-4000,비트 6.3,126.68922,37.4185425
43,경인의료재활센터병원,31283756,요양병원,신창혁,인천 연수구 원인재로 263(연수동) ,,200,032-899-4000,비트 6.3,126.68922,37.4185425
20,대아의료재단한도병원,31100899,종합병원,오일성,경기 안산시 단원구 선부1동 1071-1,,300,031-8040-1114,,126.8076132,37.3340563
21,한림병원,31100830,종합병원,정영호,인천 계양구 장제로 722  (작전동) ,,300,032-540-9114,EM-HIS V4.0,126.7343382,37.5322598
22,현대유비스병원,31101160,종합병원,이성호,인천 남구 독배로 503  (숭의동) ,,300,032-888-7575,Metor HIS,126.6430019,37.4615479
23,고은여성병원,31207782,병 원,오철학,인천 남구 독배로 463  (숭의동) ,,100,032-883-3535,,126.6471027,37.4600771
24,나누리병원,31210058,병 원,김진욱,인천 남구 인주대로 483,,200,1688-9797,,126.6903724,37.4503363
25,나래병원,31208991,병 원,문지수,인천 연수구 청능대로 69(청학동) ,,200,032-821-0033,,126.6741433,37.4160154
26,모두병원,31205631,병 원,이동주,인천 남동구 논고개로 88 ,,100,1588-0255,,126.7260306,37.3995512
27,바로병원,31207073,병 원,이정준,인천 남구 인주대로 458  (주안동) ,,100,032-722-8585,,126.6875398,37.4505457
28,부평중앙병원,31202675,병 원,한완수,인천 부평구 부평동 465-2,,100,032-513-5500,,126.7217104,37.4997295
29,새봄여성병원,31202781,병 원,정찬영,인천 부평구 마장로 316 ,,200,032-521-7200,,126.7037161,37.5062407
30,의료법인아인의료재단서울여성병원,31208240,병 원,오익환,인천 남구 경원대로 771  (주안동) ,,200,032-247-2000,,126.6893318,37.4515292
31,시흥21세기병원,31207081,병 원,정병욱,경기 시흥시 비둘기공원1길 7 (대야동) ,,200,031-8084-9500,,126.7893448,37.4422485
32,엠앤비여성병원,31204155,병 원,이환구,인천 계양구 장제로772번길 2  (계산동) ,,100,032-552-3500,,126.7347782,37.5365402
33,연수병원,31201741,병 원,황성식,인천 연수구 선학동 411-6,,200,032-813-6300,,126.6968637,37.4239266
34,인천연세병원,31207961,병 원,주민홍,인천 서구 연희동 683번지,,200,032-561-3457,,126.6741084,37.5503188
35,전병원,31201806,병 원,전영훈,인천 남동구 만수1동 982-1,,200,032-464-6181,,126.7313345,37.4487451
36,제일여성병원,31208878,병 원,함결렬,인천 남구 인주대로 400  (주안동) ,,100,032-451-0000,,126.6808642,37.4509302
37,청라여성병원,31209815,병 원,손문성,"인천 서구 중봉대로 602 2~6, 9층(연희동)",,100,032-716-6000,,126.6502958,37.5333641
38,청라연세어린이병원,31210317,병 원,송준영,인천 서구 중봉대로612번길 10-16 마르씨엘 3~5F,,100,032-590-1500,kchart,126.6516244,37.5333852
39,플러스병원,31209971,병 원,강석봉,인천 연수구 컨벤시아대로130번길 14 송도메디컬타워,,100,032-859-8000,,126.6448822,37.3928793
41,힘찬병원,31207596,병 원,박혜영,인천 연수구 용담로 118 (연수동) ,,300,1899-2220,,126.6774142,37.4146713
44,글로리병원,31206751,요양병원,김경진,인천 부평구 길주로 655 ,,300,032-262-9000,닥터스 2.0,126.7353946,37.5071774
45,도화요양병원,31286925,요양병원,정혁채,인천 남구 경인로 302  (도화동) ,,200,032-865-0033,닥터스 2.0,126.6738666,37.4600526
46,동암노블휴요양병원,31282199,요양병원,문종태,인천 부평구 십정2동 441-5,,100,032-421-7119,,126.6993594,37.4689163
47,로하스인천요양병원,31285708,요양병원,천일영,인천 남동구 호구포로 214(논현동) 대진프라자,,100,032-421-1288,,126.7100756,37.4019842
48,미추홀재활병원,31285147,요양병원,신용수,인천 남동구 남동대로799번길 25 (구월동) ,,200,032-430-6200,비트,126.7065142,37.4537125
50,부평성심요양병원,31285929,요양병원,박정훈,인천 부평구 청천동 15-31,,100,032-504-9966,,126.7039341,37.5182576
51,브래덤병원,31206247,요양병원,장진,인천 남동구 예술로192번길 36,,200,032-456-7600,,126.7033678,37.4508737
52,새올요양병원,31285597,요양병원,강종권,인천 부평구 마장로 246 ,,100,032-507-3355,,126.7033043,37.4999771
53,새희망병원,31207031,요양병원,이선영,인천 남동구 간석4동  240-5,,100,032-431-2555,,126.7064006,37.4670989
54,송도효자병원,31281222,요양병원,김대훈,인천 연수구 옥련동 186번지 7필지,,100,032-832-9900,Brain,126.6427433,37.4273983
55,알엠병원,31208258,요양병원,임병국,인천 남구 학익2동 4-21,,100,032-874-2727,,126.6676087,37.4467596
56,예지요양병원,31281320,요양병원,염기훈,인천 중구 경동 187-3,,100,032-773-6035,,126.631819,37.4716945
57,예진요양병원,31282415,요양병원,하상범,인천 계양구 계양대로 188  (계산동) 대덕노바체빌딩,,100,032-556-8810,,126.7231214,37.5405264
58,올리브요양병원,31285074,요양병원,차경수,인천 부평구 장제로 129 (부평동) ,,100,032-523-7771,,126.7299173,37.4970992
59,우리사랑요양병원,31286780,요양병원,김기준,인천 연수구 청능대로 54,,100,032-813-0059,medichart,126.6723954,37.4166138
60,의료법인정강의료재단위드미요양병원,31284914,요양병원,이재혁,인천 남동구 논고개로123번길 35 ,,200,032-438-5800,,126.7220786,37.4014917
61,인일요양병원,31286046,요양병원,윤중,인천 남구 미추홀대로 699,,100,032-863-0051,medichart,126.6798609,37.4599745
62,인천논현요양병원,41280008,요양병원,한규완,인천 남동구 호구포로 212 대양프라자6.7층,,100,032-439-1800,닥터스 2.0,126.7099037,37.4017447
63,인천백세요양병원,31284451,요양병원,박용수,인천 남구 아암대로29번길 48  (용현동) ,,100,032-884-7551,Brain,126.6390805,37.4571734
64,인천봄뜰재활요양병원,31285571,요양병원,한광수,인천 남구 경원대로 891 (주안동) ,,100,032-432-7585,닥터스 2.0,126.6893893,37.4623838
65,인천삼성요양병원,31287298,요양병원,윤여준,인천 중구 우현로 62번길 30,,100,032-721-7575,,126.6307672,37.4722423
66,인천참사랑병원,31205411,요양병원,천영훈,인천 서구 원창로240번길 9 ,,100,032-571-9111,,126.6761506,37.5166031
67,인천휴요양병원,31282440,요양병원,김영래,인천 남구 한나루로 505번지,,100,032-873-0010,닥터스 2.0,126.6671727,37.4520238
68,인천힐링스병원,31284531,요양병원,조호,인천 서구 가정로 270 ,,200,032-577-2000,닥터스 2.0,126.6726897,37.5088848
69,한아름재활병원,31282822,요양병원,권지수,인천 계양구 오조산로 51  (계산동) ,,100,032-541-8575,,126.7382704,37.5353885
70,햇살요양병원,31282571,요양병원,김인수,인천 남구 인중로 13  (숭의동) ,,100,032-891-9558,,126.6410356,37.4624991
71,효사랑요양병원,31283195,요양병원,이민호,인천 계양구 장제로 672 광평프라자 2층,,100,032-543-7582,,126.7338153,37.5278236
