연번,기 관 명,요양기관기호,종별,대 표 자,address,진료과,병상,연락처,정보시스템현황,latitude,longtitude
91,남궁내과의원,31320511,의 원,남궁은경,인천 강화군 강화읍 강화대로 422 ,IM,0,032-934-2142,,126.4848382,37.7472453
166,인성의원,31352294,의 원,김강식,인천 강화군 강화읍 중앙로 23 일석빌딩,IM,0,032-932-4455,,126.4910945,37.741058
138,연세베스트이비인후과의원,31388574,의 원,조정일,인천 계양구 장제로 708 한샘프라자,EN,0,032-297-2975,,126.7342622,37.5310186
73,계양장문외과의원,31385834,의 원,최선경,인천 계양구 장제로 808  그랜드코아빌딩3층,GS,0,032-545-7899,,126.7350023,37.5398456
116,상우내과의원,41338740,의 원,박상우,인천 계양구 경명대로 1096 계산메디컬 302,IM,0,032-551-0860,,126.7286514,37.542925
178,임창재내과의원,31373330,의 원,임창재,인천 계양구 안남로 548  효성프라자 312호,IM,0,032-552-0900,,126.7110687,37.5319545
167,인천계양속편한내과의원,31325386,의 원,윤형선,인천 계양구 용종로 2 계산프라자 202호,IM,0,032-545-8837,,126.7413955,37.5340609
203,홍도신경외과의원,31325521,의 원,박세정,인천 계양구 계양대로 55  (작전동) ,NS,0,032-546-2000,,126.7221006,37.5287586
197,하나정형외과의원,31349307,의 원,권혁규,인천 계양구 계양대로 102 (작전동) ,OS,0,032-542-5111,,126.7228932,37.5328413
176,인하피부비뇨기과의원,31381561,의 원,이정행,인천 남구 낙섬중로 36  (용현동) ,DM,0,032-891-6181,,126.637479,37.4513373
107,박이비인후과의원,31380425,의 원,박승원,인천 남구 낙섬중로 40  (용현동) ,EN,0,032-891-9797,,126.637743,37.4517084
88,김이비인후과의원,31368298,의 원,김주묵,인천 남구 독배로 422  (용현동) 용현시장입구,EN,0,032-884-2686,,126.6498261,37.4573922
195,코코이비인후과의원,41316401,의 원,최상학,인천 남구 소성로 150(학익동) ,EN,0,032-864-5075,,126.6650206,37.442368
149,열린이비인후과,31375316,의 원,김준형,인천 남구 인하로 269  (주안동) ,EN,0,032-876-7582,,126.6780677,37.4483136
161,이선덕가정의학과의원,31372210,의 원,이선덕,인천 남구 경원대로652번길 31  493-6,FM,0,032-441-8275,,126.6947623,37.4421854
97,덕양가정의학과의원,31388582,의 원,김선태,인천 남구 경인로 231 (도화동) ,FM,0,032-872-8275,,126.6682268,37.4644483
150,예지항외과,41348362,의 원,손태경,인천 남구 숙골로 57  (도화동) ,GS,0,032-887-0153,,126.6652474,37.467862
180,정우식내과의원,31370985,의 원,정우식,인천 남구 경인로 128-1  (숭의동)  ,IM,0,032-891-8275,,126.6569284,37.4660031
110,변내과의원,31311083,의 원,변기수,인천 남구 경인로 387  (주안동) ,IM,0,032-424-4037,,126.6830749,37.4585287
104,박규섭내과의원,31315593,의 원,박규섭,인천 남구 낙섬서로 32 (용현동) ,IM,0,032-884-5868,,126.6353863,37.4523489
95,다정한내과의원,31387195,의 원,함정식,인천 남구 낙섬서로 4  (용현동) ,IM,0,032-888-9003,,126.633687,37.4500181
85,김영주가정의원,31359086,의 원,김영주,인천 남구 낙섬중로 54  (용현동) ,IM,0,032-887-9966,,126.6385666,37.4527933
81,김가정의원,31346685,의 원,계원숙,인천 남구 독배로 431  (용현동) ,IM,0,032-885-3588,,126.6490034,37.4579405
199,한국건강관리협회건강증진의원,41500300,의 원,백승일,인천 남구 독배로 500  (숭의동) ,IM,0,032-884-7131,,126.6436819,37.4620352
120,서해사랑내과의원,41332873,의 원,박근호,인천 남구 아암대로 87  (용현동) 서해관광호텔,IM,0,032-891-7575,,126.6336321,37.4537827
183,주안의원,31303901,의 원,노동우,인천 남구 인주대로 273  (주안동) ,IM,0,032-863-0105,,126.6668866,37.4526567
151,온가정의원,31317553,의 원,김정아,인천 남구 인중로 13  (숭의동) ,IM,0,032-889-3585,,126.6410356,37.4624991
106,박용주내과의원,31344321,의 원,박용주,인천 남구 인하로 292  (주안동) ,IM,0,032-424-1261,,126.6802584,37.4469771
143,연세이명래내과의원,31364985,의 원,이명래,인천 남구 토금중로40번길 11  (용현동) ,IM,0,032-881-7583,,126.6375664,37.4520498
109,백선열정형외과의원,31383033,의 원,김형관,인천 남구 아암대로 97 (용현동) ,OS,0,032-891-0119,,126.6331996,37.453204
156,유원정형외과의원,31372261,의 원,오재진,인천 남구 아암대로29번길 86  (용현동) ,OS,0,032-567-8600,,126.6409044,37.4563241
198,학익정형외과의원,31399711,의 원,김영규,인천 남구 학익동 214-4,OS,0,032-868-5200,,126.6630035,37.4419632
80,기분좋은소아청소년과의원,41330226,의 원,김진택,인천 남구 경원대로 858  시티프라자 301호,PD,0,032-427-4496,,126.6898625,37.4593748
134,양소아과의원,31306845,의 원,양희우,인천 남구 경인로 427 (주안동) ,PD,0,032-423-0056,,126.6877653,37.4581615
86,김원배소아청소년과의원,31359507,의 원,김원배,인천 남구 낙섬중로38번길 2  (용현동) ,PD,0,032-881-4509,,126.6375585,37.4514599
172,인하소아과의원,31390862,의 원,김태완,인천 남구 매소홀로 470 (학익동) 천일빌딩2층,PD,0,032-876-5288,,126.6743542,37.4393073
111,변화진소아과의원,31333834,의 원,변화진,인천 남구 아암대로29번길 86(용현동) 태영빌딩2층,PD,0,032-561-5108,,126.6409044,37.4563241
164,이하영소아과의원,31332820,의 원,이하영,인천 남구 인하로 251  (주안동) ,PD,0,032-862-0582,,126.6759388,37.4484445
163,이진숙소아과의원,31313566,의 원,이진숙,인천 남구 인하로 273  (주안동) ,PD,0,032-866-5645,,126.67854,37.4483302
140,연세소아과의원,31345182,의 원,장병식,인천 남구 토금남로 55  (용현동) 세반쇼핑202호,PD,0,887-0044,,126.6386985,37.4506041
148,연재활의학과의원,31390501,의 원,최승호,인천 남구 낙섬중로 49  (용현동) ,RM,0,032-885-1075,,126.6380911,37.4526373
202,호림재활의학과의원,41332598,의 원,김준기,인천 남구 독정이로 79 (숭의동) ,RM,0,032-883-9114,,126.6511902,37.4627031
174,인하통증의원,31392296,의 원,송정훈,인천 남동구 인주대로 773(구월동)  ,AN,0,032-468-7111,,126.723189,37.4491902
122,세이미피부과의원,31398766,의 원,원덕환,인천 남동구 인하로 501 ,DM,0,032-435-3114,,126.7023809,37.4435308
193,코아이비인후과의원,41325061,의 원,양태용,인천 남동구 논현동 631-11 S닻몰 신한은행4층,EN,0,032-439-0011,,126.7237997,37.4018897
129,송승용이비인후과의원,31373208,의 원,송승용,인천 남동구 장승남로 54 ,EN,0,032-464-8400,,126.7382716,37.4431905
192,최재빈가정의학과 의원,31378382,의 원,최재빈,인천 남동구 간석4동 612-3 정은아파트상가 202,FM,0,032-433-1751,,126.6986487,37.4670661
171,인하내과의원,31399487,의 원,지동한,인천 남동구 구월로 280 ,IM,0,032-466-0101,,126.7216463,37.4555277
93,논현새로운내과의원,41339495,의 원,이승희,인천 남동구 논고개로 87 논현메디스타워 4층,IM,0,032-424-3334,,126.7253591,37.3990647
92,논현사랑내과의원,41336143,의 원,이지영,"인천 남동구 논현역로 8(논현동) 631-1,아이엠프라자",IM,0,032-433-9900,,126.7209908,37.4014243
205,휴내과의원,41348265,의 원,김성현,인천 남동구 인하로 497-5(구월동) 아이타워 801호 ,IM,0,032-437-5111,,126.7015939,37.4435957
108,방금화산부인과의원,31399428,의 원,방금화,인천 남동구 남동대로 890 탑메디칼202호,OG,0,432-8275,,126.7086525,37.4618417
99,리앤아이산부인과소아청소년과의원,41304756,의 원,윤준,인천 남동구 논고개로 71(논현동) 가산타워3층,OG,0,032-270-7777,,126.7268215,37.3980292
74,고은소아과의원,31359795,의 원,이지은,인천 남동구 구월4동 1273-9,PD,0,032-472-5292,,126.7207707,37.4519048
182,조앤문소아청소년과의원,41320352,의 원,조수신,인천 남동구 논현동 632-1 칼리오페 B/D 314호,PD,0,032-433-7175,,126.7220569,37.4014668
181,정우식소아청소년과의원,31369065,의 원,정우식,인천 남동구 호구포로535번길 24 ,PD,0,032-467-9933,,126.7168662,37.4301062
94,다듬성형외과의원,31357172,의 원,백승우,인천 남동구 구월동 1463 효명프라자3층,PS,0,032-432-2777,,126.7015286,37.4452151
128,송림이비인후과의원,41309391,의 원,전용선,인천 동구 송림로 96 송림메디컬빌딩3층,EN,0,032-772-7500,,126.6453334,37.4757776
146,연세제일의원,31372619,의 원,김성도,인천 동구 금곡동 9-5,IM,0,032-765-6557,,126.636478,37.4729821
96,대동의원,31329888,의 원,윤인섭,인천 동구 동산로 86-2 ,IM,0,032-766-7701,,126.6455934,37.4750969
139,연세성모의원,31327443,의 원,김건순,인천 동구 만석동 38-1,IM,0,032-772-0266,,126.6199943,37.4852171
87,김의원,31337040,의 원,김신호,인천 동구 송림2동 55-17,IM,0,032-766-8384,,126.6438512,37.4758334
152,우리내과의원,31386849,의 원,정길만,인천 동구 송림동 50-26 동우클리닉빌딩3층 ,IM,0,032-777-3601,,126.6450846,37.4762872
76,굿모닝내과의원,31391443,의 원,정은미,인천 동구 송림로 76 ,IM,0,032-762-0971,,126.6432864,37.4751097
76,굿모닝내과의원,31391443,의 원,정은미,인천 동구 송림로 76 ,IM,0,032-762-0971,,126.6432864,37.4751097
77,굿모닝정형외과의원,31391443,의 원,김선남,인천 동구 송림로 76 ,OS,0,032-762-0971,,126.6432864,37.4751097
77,굿모닝정형외과의원,31391443,의 원,김선남,인천 동구 송림로 76 ,OS,0,032-762-0971,,126.6432864,37.4751097
98,동인천내과의원,31373305,의 원,권은상,인천 동구 송현로 1  (송현동)   ,IM,0,032-765-5676,,126.633314,37.4770516
115,비타민내과의원,41305884,의 원,김홍기,인천 동구 운교로 5 (화수동) ,IM,0,032-773-7008,,126.6280609,37.479579
103,모세정형외과의원,41304489,의 원,김정호,인천 동구 송림동 61-20,OS,0,032-764-1700,,126.6461125,37.4760071
121,세강정형외과의원,31341314,의 원,이강현,인천 동구 화도진로 38-1 ,OS,0,032-766-3001,,126.6342045,37.4762386
105,박미향이비인후과의원,31355480,의 원,박미향,인천 부평구 산곡동 143-4 백마타운3층,EN,0,032-504-8583,,126.7097552,37.5038696
113,부평연세내과의원,31374603,의 원,김성철,인천 부평구 경원대로 1266 2층,IM,0,032-529-1256,,126.7101435,37.4894501
82,김남호내과의원,31358471,의 원,김남호,인천 부평구 부평동 549-18,IM,0,032-511-1240,,126.7224739,37.4937771
114,부평열린내과의원,41351258,의 원,김정구,인천 부평구 부평동 725-11번지 201호 ,IM,0,032-501-0036,,126.7240001,37.4888147
