기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2015	종로구	소계	61,580 	22,776 	15,314 	11,272 	8,840 	2,535 	628 	215 
2015	종로구	사직동	3,562 	1,125 	1,006 	731 	500 	145 	40 	15 
2015	종로구	삼청동	1,092 	363 	296 	214 	151 	45 	14 	9 
2015	종로구	부암동	3,841 	995 	1,082 	836 	660 	190 	53 	25 
2015	종로구	평창동	6,310 	1,252 	1,709 	1,573 	1,248 	388 	105 	35 
2015	종로구	무악동	2,823 	508 	698 	734 	692 	153 	29 	9 
2015	종로구	교남동	1,888 	653 	523 	339 	288 	66 	15 	X 
2015	종로구	가회동	1,843 	590 	507 	371 	261 	90 	18 	6 
2015	종로구	종로1.2.3.4가동	3,733 	2,299 	820 	321 	208 	56 	18 	11 
2015	종로구	종로5·6가동	2,376 	1,100 	597 	335 	258 	73 	10 	X 
2015	종로구	이화동	3,981 	1,880 	907 	581 	453 	121 	30 	9 
2015	종로구	창신1동	2,465 	1,029 	641 	413 	267 	97 	15 	X 
2015	종로구	창신2동	3,774 	1,211 	997 	731 	606 	174 	41 	14 
2015	종로구	창신3동	2,635 	508 	714 	691 	506 	169 	37 	10 
2015	종로구	숭인1동	2,740 	931 	734 	522 	408 	108 	29 	8 
2015	종로구	숭인2동	4,478 	2,206 	1,080 	598 	450 	113 	21 	10 
2015	종로구	청운효자동	4,920 	1,232 	1,258 	1,104 	965 	260 	79 	22 
2015	종로구	혜화동	9,119 	4,894 	1,745 	1,178 	919 	287 	74 	22 
2015	중구	소계	51,205 	19,161 	13,157 	9,392 	6,987 	1,879 	483 	146 
2015	중구	소공동	517 	263 	122 	76 	41 	9 	6 	X 
2015	중구	회현동	2,343 	1,174 	575 	313 	208 	51 	17 	5 
2015	중구	명동	1,191 	657 	257 	158 	93 	19 	5 	X 
2015	중구	필동	2,168 	1,199 	472 	264 	167 	46 	15 	5 
2015	중구	장충동	2,675 	1,403 	597 	347 	225 	81 	16 	6 
2015	중구	광희동	2,269 	1,133 	561 	293 	215 	51 	13 	X 
2015	중구	을지로동	914 	589 	209 	64 	37 	13 	X 	X 
2015	중구	신당5동	4,143 	1,492 	1,041 	781 	596 	184 	37 	12 
2015	중구	황학동	5,301 	2,128 	1,360 	926 	656 	176 	43 	12 
2015	중구	중림동	3,541 	1,322 	914 	661 	471 	123 	38 	12 
2015	중구	신당동	3,401 	1,613 	806 	497 	353 	103 	21 	8 
2015	중구	다산동	6,103 	2,000 	1,681 	1,156 	908 	265 	73 	20 
2015	중구	약수동	7,118 	1,887 	2,111 	1,623 	1,140 	266 	76 	15 
2015	중구	청구동	5,747 	1,613 	1,570 	1,218 	1,008 	258 	59 	21 
2015	중구	동화동	3,774 	688 	881 	1,015 	869 	234 	63 	24 
2015	용산구	소계	90,313 	31,025 	23,776 	17,826 	13,222 	3,436 	788 	240 
2015	용산구	후암동	7,184 	2,411 	1,850 	1,420 	1,122 	306 	56 	19 
2015	용산구	용산2가동	4,820 	1,711 	1,348 	933 	612 	168 	41 	7 
2015	용산구	남영동	3,919 	2,403 	793 	373 	261 	67 	18 	X 
2015	용산구	원효로2동	5,418 	1,290 	1,354 	1,299 	1,092 	304 	54 	25 
2015	용산구	효창동	3,430 	804 	946 	784 	640 	187 	49 	20 
2015	용산구	용문동	4,626 	1,098 	1,285 	1,048 	909 	228 	49 	9 
2015	용산구	이촌1동	8,490 	1,227 	2,265 	2,385 	2,033 	438 	108 	34 
2015	용산구	이촌2동	3,370 	684 	1,088 	817 	580 	141 	49 	11 
2015	용산구	이태원1동	3,056 	1,328 	804 	519 	288 	83 	29 	5 
2015	용산구	이태원2동	4,058 	1,599 	1,139 	687 	469 	120 	32 	12 
2015	용산구	서빙고동	4,541 	1,036 	1,157 	1,067 	944 	265 	59 	13 
2015	용산구	보광동	6,952 	2,882 	1,753 	1,211 	834 	209 	49 	14 
2015	용산구	청파동	9,567 	4,393 	2,144 	1,512 	1,109 	319 	69 	21 
2015	용산구	원효로1동	5,599 	1,939 	1,503 	1,125 	798 	181 	37 	16 
2015	용산구	한강로동	6,194 	2,377 	1,842 	1,112 	664 	159 	33 	7 
2015	용산구	한남동	9,089 	3,843 	2,505 	1,534 	867 	261 	56 	23 
2015	성동구	소계	114,719 	35,259 	28,415 	24,622 	20,125 	4,748 	1,220 	330 
2015	성동구	왕십리2동	6,044 	1,776 	1,432 	1,375 	1,098 	271 	74 	18 
2015	성동구	마장동	9,414 	2,997 	2,243 	1,965 	1,671 	387 	114 	37 
2015	성동구	사근동	6,976 	4,322 	1,198 	688 	546 	170 	39 	13 
2015	성동구	행당1동	5,927 	2,015 	1,467 	1,161 	957 	250 	60 	17 
2015	성동구	행당2동	8,727 	1,405 	2,262 	2,345 	2,151 	435 	102 	27 
2015	성동구	응봉동	5,572 	864 	1,404 	1,471 	1,376 	345 	89 	23 
2015	성동구	금호1가동	4,876 	1,091 	1,288 	1,219 	969 	227 	69 	13 
2015	성동구	금호4가동	5,438 	1,337 	1,515 	1,373 	952 	196 	49 	16 
