ZIP,시도,시군구
256,강원도,강릉시
254,강원도,강릉시
255,강원도,강릉시
247,강원도,고성군
257,강원도,동해시
258,강원도,동해시
259,강원도,삼척시
248,강원도,속초시
249,강원도,속초시
245,강원도,양구군
250,강원도,양양군
262,강원도,영월군
263,강원도,원주시
264,강원도,원주시
265,강원도,원주시
246,강원도,인제군
261,강원도,정선군
240,강원도,철원군
242,강원도,춘천시
243,강원도,춘천시
244,강원도,춘천시
260,강원도,태백시
253,강원도,평창군
251,강원도,홍천군
241,강원도,화천군
252,강원도,횡성군
124,경기도,가평군
104,경기도,고양시 덕양구
105,경기도,고양시 덕양구
102,경기도,고양시 덕양구
104,경기도,고양시 일산동구
102,경기도,고양시 일산동구
103,경기도,고양시 일산동구
102,경기도,고양시 일산서구
103,경기도,고양시 일산서구
104,경기도,고양시 일산서구
138,경기도,과천시
143,경기도,광명시
142,경기도,광명시
127,경기도,광주시
128,경기도,광주시
119,경기도,구리시
158,경기도,군포시
101,경기도,김포시
100,경기도,김포시
122,경기도,남양주시
121,경기도,남양주시
120,경기도,남양주시
113,경기도,동두천시
147,경기도,부천시
144,경기도,부천시
146,경기도,부천시
145,경기도,부천시
136,경기도,성남시 분당구
135,경기도,성남시 분당구
134,경기도,성남시 분당구
133,경기도,성남시 분당구
131,경기도,성남시 수정구
134,경기도,성남시 수정구
133,경기도,성남시 수정구
132,경기도,성남시 수정구
136,경기도,성남시 수정구
134,경기도,성남시 중원구
131,경기도,성남시 중원구
132,경기도,성남시 중원구
133,경기도,성남시 중원구
166,경기도,수원시 권선구
164,경기도,수원시 권선구
163,경기도,수원시 권선구
165,경기도,수원시 권선구
166,경기도,수원시 영통구
165,경기도,수원시 영통구
167,경기도,수원시 영통구
164,경기도,수원시 영통구
162,경기도,수원시 영통구
162,경기도,수원시 장안구
163,경기도,수원시 장안구
164,경기도,수원시 장안구
164,경기도,수원시 팔달구
162,경기도,수원시 팔달구
165,경기도,수원시 팔달구
166,경기도,수원시 팔달구
163,경기도,수원시 팔달구
150,경기도,시흥시
149,경기도,시흥시
151,경기도,시흥시
152,경기도,안산시 단원구
153,경기도,안산시 단원구
154,경기도,안산시 단원구
156,경기도,안산시 단원구
155,경기도,안산시 단원구
155,경기도,안산시 상록구
156,경기도,안산시 상록구
153,경기도,안산시 상록구
152,경기도,안산시 상록구
154,경기도,안산시 상록구
175,경기도,안성시
176,경기도,안성시
139,경기도,안양시 동안구
140,경기도,안양시 동안구
141,경기도,안양시 동안구
139,경기도,안양시 만안구
140,경기도,안양시 만안구
114,경기도,양주시
115,경기도,양주시
125,경기도,양평군
126,경기도,여주시
110,경기도,연천군
181,경기도,오산시
170,경기도,용인시 기흥구
171,경기도,용인시 기흥구
169,경기도,용인시 기흥구
168,경기도,용인시 기흥구
168,경기도,용인시 수지구
169,경기도,용인시 수지구
170,경기도,용인시 처인구
171,경기도,용인시 처인구
168,경기도,용인시 처인구
169,경기도,용인시 처인구
160,경기도,의왕시
161,경기도,의왕시
116,경기도,의정부시
117,경기도,의정부시
118,경기도,의정부시
173,경기도,이천시
174,경기도,이천시
108,경기도,파주시
109,경기도,파주시
177,경기도,평택시
178,경기도,평택시
179,경기도,평택시
180,경기도,평택시
111,경기도,포천시
129,경기도,하남시
130,경기도,하남시
183,경기도,화성시
184,경기도,화성시
182,경기도,화성시
185,경기도,화성시
186,경기도,화성시
532,경상남도,거제시
533,경상남도,거제시
501,경상남도,거창군
529,경상남도,고성군
509,경상남도,김해시
510,경상남도,김해시
508,경상남도,김해시
524,경상남도,남해군
504,경상남도,밀양시
525,경상남도,사천시
522,경상남도,산청군
505,경상남도,양산시
506,경상남도,양산시
521,경상남도,의령군
528,경상남도,진주시
527,경상남도,진주시
526,경상남도,진주시
503,경상남도,창녕군
517,경상남도,창원시 마산합포구
512,경상남도,창원시 마산합포구
513,경상남도,창원시 마산합포구
512,경상남도,창원시 마산회원구
513,경상남도,창원시 마산회원구
515,경상남도,창원시 성산구
514,경상남도,창원시 성산구
517,경상남도,창원시 성산구
514,경상남도,창원시 의창구
511,경상남도,창원시 의창구
513,경상남도,창원시 의창구
512,경상남도,창원시 의창구
516,경상남도,창원시 진해구
515,경상남도,창원시 진해구
517,경상남도,창원시 진해구
530,경상남도,통영시
531,경상남도,통영시
523,경상남도,하동군
520,경상남도,함안군
500,경상남도,함양군
502,경상남도,합천군
385,경상북도,경산시
386,경상북도,경산시
384,경상북도,경산시
381,경상북도,경주시
380,경상북도,경주시
382,경상북도,경주시
401,경상북도,고령군
391,경상북도,구미시
393,경상북도,구미시
392,경상북도,구미시
394,경상북도,구미시
390,경상북도,군위군
395,경상북도,김천시
396,경상북도,김천시
369,경상북도,문경시
370,경상북도,문경시
362,경상북도,봉화군
372,경상북도,상주시
371,경상북도,상주시
400,경상북도,성주군
366,경상북도,안동시
367,경상북도,안동시
364,경상북도,영덕군
365,경상북도,영양군
361,경상북도,영주시
360,경상북도,영주시
389,경상북도,영천시
388,경상북도,영천시
368,경상북도,예천군
402,경상북도,울릉군
363,경상북도,울진군
373,경상북도,의성군
383,경상북도,청도군
374,경상북도,청송군
398,경상북도,칠곡군
399,경상북도,칠곡군
378,경상북도,포항시 남구
379,경상북도,포항시 남구
377,경상북도,포항시 남구
376,경상북도,포항시 남구
375,경상북도,포항시 북구
377,경상북도,포항시 북구
376,경상북도,포항시 북구
379,경상북도,포항시 북구
622,광주광역시,광산구
624,광주광역시,광산구
623,광주광역시,광산구
616,광주광역시,남구
617,광주광역시,남구
614,광주광역시,동구
615,광주광역시,동구
611,광주광역시,북구
612,광주광역시,북구
610,광주광역시,북구
619,광주광역시,서구
620,광주광역시,서구
424,대구광역시,남구
425,대구광역시,남구
427,대구광역시,달서구
426,대구광역시,달서구
428,대구광역시,달서구
429,대구광역시,달성군
430,대구광역시,달성군
410,대구광역시,동구
411,대구광역시,동구
412,대구광역시,동구
415,대구광역시,북구
414,대구광역시,북구
418,대구광역시,서구
417,대구광역시,서구
422,대구광역시,수성구
421,대구광역시,수성구
420,대구광역시,수성구
419,대구광역시,중구
343,대전광역시,대덕구
344,대전광역시,대덕구
345,대전광역시,동구
346,대전광역시,동구
347,대전광역시,동구
353,대전광역시,서구
352,대전광역시,서구
354,대전광역시,서구
341,대전광역시,유성구
342,대전광역시,유성구
340,대전광역시,유성구
350,대전광역시,중구
349,대전광역시,중구
348,대전광역시,중구
467,부산광역시,강서구
462,부산광역시,금정구
463,부산광역시,금정구
460,부산광역시,기장군
485,부산광역시,남구
484,부산광역시,남구
487,부산광역시,동구
488,부산광역시,동구
478,부산광역시,동래구
479,부산광역시,동래구
477,부산광역시,동래구
473,부산광역시,부산진구
472,부산광역시,부산진구
471,부산광역시,부산진구
465,부산광역시,북구
466,부산광역시,북구
470,부산광역시,사상구
469,부산광역시,사상구
494,부산광역시,사하구
493,부산광역시,사하구
495,부산광역시,사하구
492,부산광역시,서구
482,부산광역시,수영구
483,부산광역시,수영구
475,부산광역시,연제구
476,부산광역시,연제구
490,부산광역시,영도구
491,부산광역시,영도구
489,부산광역시,중구
480,부산광역시,해운대구
481,부산광역시,해운대구
063,서울특별시,강남구
061,서울특별시,강남구
060,서울특별시,강남구
062,서울특별시,강남구
052,서울특별시,강동구
053,서울특별시,강동구
054,서울특별시,강동구
011,서울특별시,강북구
012,서울특별시,강북구
010,서울특별시,강북구
075,서울특별시,강서구
078,서울특별시,강서구
077,서울특별시,강서구
076,서울특별시,강서구
088,서울특별시,관악구
087,서울특별시,관악구
049,서울특별시,광진구
050,서울특별시,광진구
051,서울특별시,광진구
083,서울특별시,구로구
082,서울특별시,구로구
085,서울특별시,금천구
086,서울특별시,금천구
018,서울특별시,노원구
017,서울특별시,노원구
016,서울특별시,노원구
019,서울특별시,노원구
013,서울특별시,도봉구
014,서울특별시,도봉구
026,서울특별시,동대문구
025,서울특별시,동대문구
024,서울특별시,동대문구
069,서울특별시,동작구
070,서울특별시,동작구
041,서울특별시,마포구
042,서울특별시,마포구
040,서울특별시,마포구
039,서울특별시,마포구
036,서울특별시,서대문구
037,서울특별시,서대문구
067,서울특별시,서초구
068,서울특별시,서초구
065,서울특별시,서초구
066,서울특별시,서초구
