comment,like,recom_cnt,unlike,url
"참..
비행기를 잘못탄건지 갑자기 공황장애온건지..항의하는
승객한테 승무원은 공황장애 손님때문이라는데 과연...",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=421&aid=0002771672
역시 짱깨는 어딜 가나 민폐야.,8,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=421&aid=0002771672
타지말지.,3,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=421&aid=0002771672
이 양반 사장되고 나서 회사규모만 커졌지 서비스는 진짜 개판됐다.,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=024&aid=0000056467
오버하지말고 충실히 좀 합시다,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=024&aid=0000056467
현중 너희들은 걍 해양 접어라 ㅋㅋ,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=119&aid=0002189832
꿀팁? 그냥 누구나 아는정보잖아요 ㅠ,4,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=014&aid=0003824508
답답한 사람들이네..미국한테만 불리한 협정 해놓고 고치지도 않겠다면서 탈퇴한다고 발광하냐...미국은 더이상 천사 오바마정권이 아니야..니들끼리 온난화 지키고 미국은 미국대로 지키면 된다..그만 미국 등골 빼먹어라...중국 무역흑자중 70 프로가 미국에서 나오는거다...,0,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=008&aid=0003882411
얼마전 보홀에서 관광객을 상대로 무장단체가 총격 가해 다수 사망자 발생. 한국인 사망자 없다고 뉴스에 안나옴. 범인들 아직 다 못 잡았음.인천-보홀 직항 운항. 세부 섬 바로 앞.이건 멍미,45,6,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=001&aid=0009307741
계엄령으로 취소를 원하는 고객입장도 이해가 되고 밑에분들 말씀처럼 항공사는 당연히 수수료를 받아야 한다는 것도 이해가 가지만 이런 부분에 대해서는 항공사에서 규정을 만들어놓았으면 좋겠어요.이런 일이 있을 경우 단순변심일때와 비교했을 때 취소수수료를 내더라도 조금이라도 더 저렴한 수수료를 물게 하도록 하면 고객입장에서도 항공사 입장에서도 큰 트러블이 없지 않을까 합니다ㅜㅜ,8,4,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=001&aid=0009307741
항공사들 입장에서는 어쩔수가 없지 북한 김정은이 미사일 쏴서 불안해진 외국인이 한국여행 취소하면 한국정부에서 돈 다 물어줘야되냐,32,3,8,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=001&aid=0009307741
제주도에 태풍왔다고 서울 관광 취소하는건 아니지...,9,3,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=001&aid=0009307741
