titles,url,contents
"박명수 외벽청소, 63빌딩 이어 롯데월드타워 도전 '초극한 알바?'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=004&oid=417&aid=0000252838,"개그맨이자 가수 박명수가 외벽청소에 도전했다.MBC 관계자는 30일 ""박명수가 이날 오후 무한도전 촬영 차  서울 송파구 신천동 롯데월드타워에서 외벽청소를 했다""며 ""다른 멤버들은 제외하고 박명수만 촬영했다""고 밝혔다.이 같은 사실은 각종 SNS를 통해 사진과 영상이 퍼지면서 알려졌다. 롯데월드타워는 모두 123층 높이의 건물이다. 박명수는 높은 건물 외벽청소에 힘겨워하는 모습이 포착돼 웃음과 안타까움을 동시에 자아냈다.앞서 박명수는 지난 2014년 11월 방송된 극한 알바 특집에서 서울 영등포구 소재 63빌딩에서 외벽청소에 도전한 바 있다.한편, 박명수의 외벽청소 도전이 담길 무한도전의 방송 일정은 미정이다. 따끈따끈 갓구운 경제뉴스 돈 되는 추천창업 놓치면 후회하는 머니S 포스트 머니S와 카톡플러스 친구되면 정보가 와르르~ <저작권자 ⓒ 성공을 꿈꾸는 사람들의 경제 뉴스 머니S, 무단전재 및 재배포 금지>"
롯데월드와 함께하는 1234 업그레이드 '스도쿠',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=103&oid=023&aid=0003284986,"마감은 다음주 화요일 오후 1시입니다. 그림을 클릭하시면 응모할 수 있는 페이지가 열립니다.81칸 네모 속에 1부터 9까지 숫자를 집어넣습니다. 가로든 세로든 같은 숫자는 한 줄에 딱 한 번 쓸 수 있습니다. 일반 스도쿠와 스도쿠X는 작은 네모, 직소 스도쿠는 직소 모양 속에도 1부터 9까지 한 번만 쓸 수 있습니다. 스도쿠X는 노란색 대각선 블록도 1부터 9까지 숫자가 겹치지 않아야 합니다. 정답 숫자 아홉 개를 365event.chosun.com의 주말매거진 퀴즈 코너에 입력해 주십시오. 다섯 분을 추첨해 롯데월드 자유이용권을 4장씩 드립니다. 마감은 다음 주 화요일 오후 1시입니다.★정답 및 당첨자★●정답: 811 417 349●상품: 롯데월드 자유이용권(1인당 4장)●당첨자: 장윤정(경기도 용인시 상현로) 홍희선(경기도 군포시 고산로) 이정희(서울 송파구 성내천로) 강기원(서울 서초구 신반포로) 김영수(경기 분당구 구미동)※조선닷컴 홈페이지에서 오래된 개인 정보(주소 등)를 수정하지 않아 당첨됐음에도 경품을 못 받는 경우가 종종 발생하고 있습니다. 롯데월드에서 준비한 선물이 한정적이라 재발송되지 않기 때문에 주소와 연락처가 정확한지 꼭 확인하시기 바랍니다. 당첨 경품 배송은 1~2주 정도 소요됩니다.[조선닷컴 바로가기]- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -"
"'무한도전' 박명수, 555m 롯데월드타워 외벽 청소 나서",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922,"뉴스1 DB© News1(서울=뉴스1) = 무한도전의 박명수가 국내 최고층 빌딩 외벽 청소에 나서 화제에 올랐다. 각종 연예관계자에 따르면 방소인 박명수는 30일 서울 송파구에 있는 롯데월드타워에서 외벽 청소에 도전했다. 이날 박명수의 도전은 MBC 무한도전의 촬영 때문이었으며 사전에 약속된 게 있어 다른 멤버들을 제외하고 박명수만 단독으로 촬영을 진행한 것으로 알려졌다. 앞서 박명수는 2014년 11월 방송된 극한알바특집에서 서울 영등포구 소재 63빌딩에서 외벽 청소에 도전한 바 있다. 당시 방송에서 온갖 짜증과 푸념을 내면서도 끝까지 미션을 수행한 모습은 시청자들의 시선을 끌었다. 박명수의 빌딩 외벽 청소는 이후 약 3년 만의 도전으로 63빌딩의 약 2배에 해당하는 123층짜리 초고층 빌딩에서 재도전하게 된 것.이에, 전체 높이 555.65m에 달하는 롯데월드타워 외벽을 청소하게 된 박명수의 두번째 극한 도전은 어떤 재미를 자아낼지 관심이 모이고 있다. 한편 무한도전은 매주 토요일 오후 6시 25분 방송된다.jjm928@ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기 여러분의 제보를 기다립니다. 제보하기(클릭!)[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
"롯데호텔 시그니엘서울, 롯데월드타워 완전 정복 스페셜 패키지 출시",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004003858,"롯데호텔 시그니엘서울에서 시그니엘서울, 아쿠아리움, 서울스카이 전망대를 한 번에 즐길 수 있는 ‘롯데월드타워 스페셜 패키지’를 6월 한 달 동안 선보인다. 시그니엘서울 디럭스 객실 1박과 미쉐린 3스타 셰프 야닉 알레노의 모던 레스토랑 스테이에서의 조식 2인이 기본으로 제공된다.우선 5만원 상당의 서울 스카이 전망대 패스트 패스 입장권 2매와 기념품이 포함된 ‘서울 스카이 스페셜 패키지’를 선택할 경우 롯데월드타워 555m 상공에서 서울 시내를 한눈에 감상할 수 있다. 패스트 패스 입장권은 대기 없이 별도의 창구를 통해 즉시 입장이 가능하다. 아쿠아리움 2인 입장권이 포함된 ‘아쿠아리움 스페셜 패키지’도 준비되어 있다. 이 패키지 모두 50만원부터 예약 가능하며 세금 및 봉사료는 별도이다. 5만원을 추가할 경우, 서울스카이 전망대와 아쿠아리움을 모두 체험할 수 있는 ‘더블 스페셜 패키지’로 변경도 가능하다. 한편 롯데월드타워 스페셜 패키지를 예약하는 모든 고객에게는 롯데월드 아쿠아리움 메인 수조 체험다이빙 할인권, 롯데면세점 월드타워점LVVIP 라운지 이용권, 롯데콘서트홀 기획공연 20% 할인권 등 다양한 혜택이 포함된 롯데월드몰 스페셜 바우처를 제공한다.  뉴스가 재밌다! 세상의 모든 재미 [티잼] 인기최신만화   오늘의 띠별, 별자리 운세<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
서울로7017ㆍ롯데월드타워…‘서울 상징 관광기념품 공모전’ 개최,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=016&aid=0001243963,"- 7월 13일까지 이메일 등록 후 17일까지 접수- 서울시 부문 대상 3000만원, 매장 입점 지원[헤럴드경제=] 서울로7017, 롯데월드타워, 63빌딩 등 서울을 상징하는 다양한 기념품을 개발하기 위해 ‘서울 상징 관광기념품 공모전’이 열린다.서울시 주최, 서울디자인재단 주관으로 출품작은 오는 7월 7일부터 13일까지 접수한다. 올해로 5회째를 맞는 이번 공모전은 천편일률적인 관광기념품에서 벗어나 서울 관광기념품의 다양성을 추구하기 위해 마련됐다. 서울을 오랫동안 추억할 수 있는 실용적이고 상품성이 우수한 기념품을 개발하는 것이 목적이다. 이번 공모전의 지정 주제는 서울로7017, 민간 부문 지정 주제는 롯데월드타워 서울스카이와 63빌딩이다. 이밖에 서울을 상징하는 자유 주제로 응모할 수 있다.누구나 응모에 참여할 수 있으며, 개인(팀) 당 다섯 작품 이하로 출품할 수 있다. 심사를 거쳐 서울시 부문 수상자 20팀을 선정한다. 대상 3000만 원을 포함해 금상 1500만 원, 은상 800만 원, 동상 600만원의 수상작 매입 금액과 서울시장 상장을 준다. 이밖에 주제 구분 없이 아이디어상 80팀을 가려 서울시장 상장을 수여한다. 민간 부문 수상작은 롯데월드 대표이사상, 금상, 은상, 동상과 한화호텔앤드리조트 대표이사상, 금상, 은상으로 구분되며, 수상자에게는 수상작 매입금액과 상장이 수여된다.디자인, 상품 기획, 여행사 전문가 등으로 구성된 전문가 심사, 시민ㆍ관광객 심사, 최종 전문가 심사를 거쳐 서울시 부문 100선, 민간 부문 13선 등 총 113선을 뽑는다.수상작 매입금액은 단순 상금 지급을 넘어서 수상자의 판로 지원을 위해, 서울시와 민간 기업이 상품을 구매하고 수상자에게 지급하는 금액이다. 또한 수상자는 상품의 소비자가 혹은 공급가를 직접 지정할 수 있다. 뿐만 아니라 온ㆍ오프라인 매장 입점 지원, 서울시와 수상작 공동 편람집 제작 등 다양한 혜택을 누릴 수 있다. 특히 서울시 부문 상위 20팀과 민간 부문 수상자에게는 유명 디자이너, 상품기획 전문가와의 멘토링 기회를 제공한다.수상작은 DDP 스토어와 롯데월드타워 서울스카이 상품점, 63빌딩 내 63아트 기프트숍에 입점한다. 자세한 내용은 ‘내 손안에 서울’ 서울 상징 관광기념품 공모전 커뮤니티(http:mediahub.seoul.go.kr/community/?cid=souvenir)에서 확인할 수 있다.7월 7일부터 13일까지 이메일 등록 후 7월 14일부터 17일까지 제출 관련 서류와 출품 작품을 DDP 살림터 3층 서울디자인재단 디자인공예산업팀과 유어스빌딩 5층 패션아트홀에 방문 제출하면 완료된다.이근 서울디자인재단 대표이사는 “서울 상징 관광기념품 공모전이 실력 있는 신진 디자이너를 꾸준히 발굴할 수 있는 장이 되기를 기대한다”면서 “모든 시민이 참여하고 선택할 수 있는 공모전이 될 수 있게끔 많은 관심과 참여를 바란다”고 말했다./ 불꽃에 타오르게할 스토리(INSPIRE)인기 무료 만화 나만의 변호사 찾기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
해질녘 롯데월드 타워는 ‘사우론의 눈’?,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=016&aid=0001243406,"해질녘 서울 송파구 롯데월드타워를 촬영한 사진이 영화 ‘반지의 제왕’에 등장하는 ‘사우론의 눈’을 연상케 해 화제다.해당 사진은 지난 26일 오후 경기도 광주시 남한산성에서 찍힌 것으로 롯데월드타워 뒤로 붉은 해가 넘어가고 있는 모습을 포착한 것이다. 사진 속에는 붉은 노을을 배경으로 롯데월드 타워가 우뚝 서 있는 모습이다. 롯데월드 타워 맨 꼭대기 층 두 갈래로 갈라진 철탑 사이에는 붉은 해가 껴 있다. 마치 영화 ‘반지의 제왕’에 등장하는 어둠의 군주 ‘사우론’의 탑 위에 달려있는 ‘사우론의 눈’을 닮은 모습이다.  [사진제공=연합뉴스]이전부터 롯데월드타워는 ‘사우론의 탑’과 유사하다는 평을 받아온 바 있다.네티즌들은 해당 사진을 보고 “볼때마다 사우론 같다고 생각했는데 이 사진은 더 사우론의 눈 같다”, “날씨가 흐리고 구름까지 끼면 진짜 무서울 것 같다”는 등의 반응을 보였다. 한 네티즌은 롯데월드 타워와 사우론의 눈을 합성한 사진을 게재하기도 했다. 불꽃에 타오르게할 스토리(INSPIRE)인기 무료 만화 나만의 변호사 찾기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
"디네 앙 블랑 서울, 비밀의 장소는 ‘롯데월드타워 아레나광장’",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=421&aid=0002756929,"(서울=뉴스1) = 화이트디너코리아가 주최하고 롯데카드가 후원하는 이색야외디너파티 제2회 디네 앙 블랑 서울의 비밀의 장소가 ‘롯데월드타워 아레나광장’으로 밝혀졌다. 지난 27일 저녁, 참가자들이 공개된 장소로 줄지어 이동하고 있다. (화이트디너코리아 제공) 2017.5.29/ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기 여러분의 제보를 기다립니다. 제보하기(클릭!)[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
"[포토]롯데월드, 가정의달 맞아 '드림티켓' 초청행사 진행",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=018&aid=0003835262,"26일 롯데월드 어드벤처가 공개입양가족을 파크로 초청하는 ‘드림티켓’ 행사를 진행했다. 이번 행사에 참여한 아이들은 환타지 마스크 퍼레이드에 직접 참여했고, 가족과 함께 공연 관람과 놀이시설 자유 이용 등 색다른 추억을 쌓았다. 롯데월드는 5월 한 달간 롯데월드 어드벤처, 롯데워터파크, 롯데월드 아쿠아리움, 롯데월드 키즈파크, 서울스카이 등 전 사업장에서 한부모와 입양가정 300명을 초청하는 ‘드림티켓’ 행사를 진행한다. 이번 행사는 가정의 달을 맞아 가족의 의미와 소중함을 다시 한번 일깨워주기 위해 마련됐다. 롯데월드 제공노진환 ()심쿵유발 스타 화보 [핫포토]이데일리 [] | [포스트]한 눈에 보는 이슈 트렌드 [카드뉴스]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
"[단독] 롯데월드타워 찾은 정의선, 신동빈 만나 신사옥 GBC 건립 조언 받아",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=366&aid=0000370686,"정의선 현대자동차 부회장이 잠실 롯데월드타워를 찾아 신동빈 롯데그룹 회장을 만났다. 현대차그룹의 숙원 사업인 서울 삼성동의 신사옥 글로벌비즈니스센터(GBC) 착공을 앞두고 정 부회장이 신 회장으로부터 초고층 빌딩 건립과 운영 방안 등 다양한 조언을 얻기 위한 방문이었던 것으로 알려졌다.정의선 현대차 부회장(왼쪽)과 신동빈 롯데그룹 회장(오른쪽)이 25일 잠실 롯데월드타워 118층에서 기념사진을 촬영하고 있다. /정 부회장은 25일 오후 5시 잠실 롯데월드타워 지하 1층에서 신 회장과 만나 117층에 위치한 서울 스카이(롯데월드타워 전망대)에 함께 입장했다. 정 부회장은 신 회장의 안내를 받으며 전망대 내부의 주요 시설들을 빠짐없이 둘러보는 등 롯데월드타워에 큰 관심을 보였다. 118층 전망대로 이동한 두 사람은 ‘스카이시어터(외부 전경을 거대한 스크린을 통해 감상할 수 있는 장치)’를 잠시 감상한 뒤 유리 바닥으로 밑을 내려다볼 수 있는 ‘스카이데크’에 올라 기념사진을 촬영했다.이어 120층으로 향한 정 부회장과 신 회장은 지상 486m 높이의 야외 테라스로 이동했다. 정 부회장은 롯데월드타워에서 서쪽에 위치한 서울 삼성동 GBC 부지 방향을 둘러봤고 신 회장과 외부 조망에 대한 이야기를 나누기도 했다.123층 롯데월드타워 라운지로 이동한 이들은 5분 정도 담소를 나눈 뒤 초고층 전망대 관람을 마치고 승강기를 타고 내려갔다. 정 부회장과 신 회장은 초고층 전망대 외에도 롯데월드타워에 위치한 업무시설과 호텔, 레지던스 등을 함께 둘러본 것으로 알려졌다.신동빈 회장이 정의선 부회장에게 롯데월드타워 내부에 대해 설명하고 있다./현대차그룹은 지난 2014년 10조5500억원을 투자해 서울 삼성동의 옛 한국전력 본사 부지를 매입한 뒤 이곳에 그룹의 미래 본거지가 될 GBC를 조성하겠다고 발표했다. GBC의 메인 타워인 현대차그룹 통합 사옥은 105층, 총 569m 높이의 초고층 건물로 지어질 예정이다. 이는 123층, 555m인 롯데월드타워의 높이를 넘어선 것이다. GBC에는 통합 사옥 외에도 40층 규모의 호텔과 업무시설, 7층 공연장, 자동차 테마파크 등 다양한 건물들이 함께 조성된다.그러나 현대차그룹은 GBC 건립을 놓고 진통을 겪고 있다. 현대차그룹은 당초 올해 상반기 안에 서울시의 인허가를 받아 착공에 들어갈 계획이었지만 초고층 건물 조성에 따른 일조권 침해를 주장하는 인근 사찰 봉은사와 갈등을 해결하지 못해 착공이 10월 이후로 미뤄진 상태다. 양측의 갈등은 여전히 해결의 실마리를 찾지 못하고 있어 GBC 착공이 내년을 넘길 것이라는 전망도 나온다.이번 방문에서 정 부회장은 과거 롯데월드타워 건설 과정에서 시민단체의 반발과 환경훼손 논란 등 다양한 난관에 부딪혔던 신동빈 회장에게 갈등 해결 방안 등에 대한 조언도 들었을 것으로 보인다.서울 삼성동 GBC 조감도/현대차그룹 제공정 부회장과 신 회장은 이날 롯데월드타워 주요 시설에 대한 방문을 마친 뒤 약 2시간 동안 저녁식사도 함께한 것으로 알려졌다. 재계 한 관계자는 “초고층 건설 외에도 최근 이슈가 되고 있는 지배구조 개편과 신사업 진출 등 다양한 현안에 대해서도 이야기를 주고받지 않았겠냐”고 말했다.[ ][ ][ ]chosunbiz.com"
롯데월드타워에 걸린 태양,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0009295079,(경기광주=연합뉴스) = 26일 오후 경기도 광주시 남한산성에서 바라본 롯데월드타워 뒤로 붉은 해가 지고 있다. 2017.5.26     유행 트렌드 총집결 흥(클릭!)
