titles,url,contents
"유병언 딸 유섬나, 대한항공 기내서 체포영장 집행…3시쯤 인천공항 도착",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=029&aid=0002406156,세월호 실 소유주 고 유병언 전 세모그룹 회장의 장녀 유섬나가 7일 오후 3시쯤 인천국제공항에 도착한다 인천지검 특수부부장검사 김형근은 이날 특정경제범죄가중처벌법상 횡령·배임 혐의로 유씨를 체포했다고 밝혔다 검찰은 이날 오전 3시26분께 파리 샤를 드골 공항발 인천공항행 대한항공 KE902편 기내에서 현지 경찰로부터 유씨의 신병을 인도받아 체포 영장을 집행했다 우리나라와 프랑스간 범죄인인도 조약이 발효된 2008년 6월 이후 프랑스에서 범죄인을 넘겨받은 사례는 이번이 처음이다  유씨는 이날 오후 3시께 인천국제공항에 도착한 후 5시께 인천지검으로 즉시 압송돼 조사를 받는다  유씨는 과거 디자인업체 모래알디자인을 운영하며 계열사 다판다로부터 컨설팅비 명목으로 48억원을 받는 등 총 492억원을 횡령·배임한 혐의를 받고 있다 2014년 세월호 참사 이후 청해진해운의 실소유주인 유병언 일가의 경영비리에 대한 검찰의 대대적인 수사로 이같은 혐의가 드러났으나 유씨는 프랑스 영주권자인 점을 내세워 그간 검찰의 출석 통보에 불응했다  홈페이지 바로가기SNS 바로가기확바뀐 디지털타임스 연예·스포츠 섹션 바로가기 Copyrights ⓒ 디지털타임스  dtcokr 무단 전재 및 재배포 금지 이미정 lmj0919
"검찰, 유섬나 파리 드골공항 대한항공기내에서 체포· 오후3시 인천공항",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=022&aid=0003180101,세월호 실소유주였던 고 유병언 전 세모그룹 회장의 장녀 섬나씨가 횡령 및 배임혐의로 프랑스 파리 드골공항 국적기안에서 검찰 수사관에 의해 체포 한국으로 강제압송됐다 인천지검 특수부부장검사 김형근은 7일 오전 3시26분 유씨의 신병을 프랑스 경찰로부터 인계받아 파리 샤를 드골 공항발 인천공항행 대한항공 KE902편 기내에서 체포 영장을 집행했다지난 2008년 6월 우리나라와 프랑스간 범죄인인도 조약이 발효된 이후 프랑스에서 범죄인을 넘겨받은 사례는 이번이 처음이다유섬나씨는 이날 오후 3시 인천공항에 도착할 예정이며 검찰은 즉시 유씨를 인천지검으로 압송 조사에 들어갈 예정이다 지난 2014년 5월 특정경제범죄가중처벌법상 횡령·배임 혐의로 체포영장이 발부된 유섬나씨는 과거 디자인업체 모래알디자인을 운영하며 계열사 다판다로부터 컨설팅비 명목으로 48억원을 받는 등 총 492억원을 횡령·배임한 혐의를 받고 있다2014년 세월호 참사 이후 청해진해운의 실소유주인 유병언 일가의 경영비리에 대한 검찰의 대대적인 수사로 이같은 혐의가 드러났으나 유씨는 프랑스 영주권자인 점을 내세워 그간 검찰의 출석 통보에 불응했다 YTN ⓒ 세상을 보는 눈 글로벌 미디어 세계일보
카타르 단교에도 에너지·건설·항공산업 큰 영향 없을듯,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=001&aid=0009318109,중동 등 7국카타르 단교에 국내 산업계도 상황 예의주시 산업팀  사우디아라비아·바레인·아랍에미리트 등 중동 및 북아프리카 7국이 카타르와 일제히 단교를 선언함에 따라 우리 정부와 산업계도 상황 파악에 분주한 모습이다    우리 정부는 우리나라와 직접 단교를 한 것이 아니어서 큰 영향은 없을 것이라면서도 이번 중동국과 카타르 간의 단교가 장기화할 경우 산업계에 미칠 파장 등에 대해 촉각을 곤두세우며 상황을 예의주시하고 있다    산업통상자원부는 이번 사태가 에너지 수입에 미칠 영향을 들여다보고 있다 카타르는 우리나라의 액화천연가스 1위 수입국이다    산업부 관계자는 가스공사와 함께 정확한 상황을 파악 중이라며 우리 기업 등에 미칠 영향과 정부 차원의 대응책이 필요한지 알아보고 있다고 말했다     이 관계자는 다만 이번 사태가 우리와 직접 단교를 한 것이 아니어서 우리나라에 미칠 영향은 제한적일 것이라고 덧붙였다    카타르와 장기계약을 맺고 LNG를 수입 중인 한국가스공사도 이번 사태와 관련한 파장을 예의주시하고 있으나 별다른 영향은 없을 것으로 보고 있다     가스공사 관계자는 현재로썬 카타르로부터의 가스 수입에 차질이 없는 것으로 파악됐다며 가스는 LNG선박으로 수입하는데 호르무즈 해협을 통해 공해상으로 빠져나오기 때문에 외교 단절로 인한 영향은 없을 것이라고 말했다     국토교통부는 카타르 지역 건설 공사에 영향이 있는지 해외건설협회 등을 통해 모니터링하고 있다     현재 카타르에서는 현대건설 GS건설 대우건설 등 국내 17개사가 총 26건 110억 달러가량의 건설공사를 수행 중이다     국토부 관계자는 건설공사는 장기간 계약을 맺고 진행하는 것인 만큼 당장에 큰 영향은 없을 것이라며 일단 건설 자재와 장비 이동 등에 어려움이 없는지 챙겨보고 있다고 말했다    이 관계자는 이번 사태로 중동 국가 간 건설 자재 등의 육로 수송이 안 될 경우 카타르항을 이용한 해로를 활용하면 된다며 건설공사에 실질적으로 미치는 영향은 크지 않을 것이라고 말했다    다만 단교가 장기화할 경우 카타르 경제와 국내 기업들의 활동에도 영향을 미칠 수 있는 만큼 계속해서 상황을 지켜본다는 방침이다     국내 항공사들도 이번 사태에 대해 큰 영향은 없을 것이라는 반응이다    카타르에 취항하는 국내 항공사가 없는 데다 중동에 취항 중인 노선도 대한항공의 두바이주 5회 텔아비브주 3회 노선이 전부이기 때문이다    국적 항공사 관계자는 중동 등 7개국과 카타르 단교로 인한 국내 항공사의 영향은 미미할 것이라며 기본적으로 중동 항공 시장은 지역 내 교류 비중이 높아서 국내 항공사에 미치는 영향이 적다고 말했다    국내에 취항하는 카타르항공 이용에도 큰 지장이 없을 것으로 파악됐다    국토부에 따르면 카타르항공의 국내 이용객 90 이상은 유럽으로 가는 승객이다 카타르에서 유럽으로 가는 항로 일부가 사우디아라비아 영공을 통과하지만 이미 이 항로는 이란 쪽으로 방향을 틀어 운행하고 있다고 국토부는 설명했다     카타르항공을 타고 카타르 도하를 거쳐 사우디아라비아 등 중동으로 가는 승객은 현재 캐세이퍼시픽이나 대한항공 등 대체 편을 제공하고 있다    국토부는 현재 우리 국민이 항공편을 이용하는 데 큰 지장이 없는 것으로 파악하고 있지만 정확한 파급 효과를 점검하고 필요한 대책을 강구하고 있다최신 유행 트렌드 총집결
브리즈번발 대한항공기 램프리턴…中 승객 '고소공포증' 호소,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=421&aid=0002771672,© News1승객 215명 재탑승 절차 밟으며 2시간 지연서울1  이륙을 앞둔 대한항공 여객기에서 중국인 남성이 고소공포증을 호소해 2시간 가량 비행이 지연되는 해프닝이 발생했다대한항공에 따르면 6일 오전 8시25분 브리즈번 공항에서 인천을 향하려던 KE124편A330300에서 20대 중국인 남성이 이륙 직전 고소공포증을 호소하며 하기를 요청했다이 때문에 활주로에서 이륙을 준비하던 해당 항공기는 기수를 돌려 램프리턴 했다 램프리턴은 비행안전에 문제 발생 여지가 있을 때 활주로 진입 전 단계에서 여객기를 돌려 출발 게이트 주기장으로 되돌아오는 것을 말한다램프리턴 매뉴얼에 따라 탑승하고 있던 승객 215명은 모두 하기했다가 다시 전수 보안검색을 받고 재탑승했다 이 과정에서 1시간 50여분 가량 출발이 지연 오후 5시35분 인천공항 도착 예정이던 해당편은 2시간여 순연됐다대한항공 관계자는 매뉴얼에 따라 안전운항을 위해 전수 보안검색을 실시하느라 불가피하게 지연이 발생했다고 밝혔다eonki 놓치면 후회 최신 만화 보기  2017년 나의 운세 보기 여러분의 제보를 기다립니다 제보하기© 1코리아news1kr 무단 전재 및 재배포 금지
여성친화 기업 대한항공 “맘 놓고 맘 하세요”,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003179716,직원 42 여성에 아낌없는 지원육아휴직 등 모성제도 사용 권장이용률 95… 국내 평균 2배 육박지난 1일 서울 강서구 대한항공 객실훈련센터에서는 임신·육아 등으로 장기 휴직한 객실승무원들의 업무 복귀를 위한 복직교육이 한창이었다 이날 교육에는 자녀 2명 출산으로 3년 7개월간의 휴직을 마치고 돌아온 승무원 등도 참여했다 대한항공은 승무원이 장기 휴직 후에도 빠르게 업무에 적응할 수 있도록 매달 차수별로 복직교육을 진행한다전체 직원 1만8700여명 중 약 42 이상이 여성인 대한항공은 대표적인 여성친화 기업이다 여성 직원이 임신과 출산으로 인한 퇴사 고민 없이 마음 놓고 직장에 다닐 수 있도록 배려와 제도적 지원을 아끼지 않는다 무엇보다 능력 있는 여성이 마음껏 직장 생활을 할 수 있도록 사내 문화를 정착하고 제도를 활성화했다5일 업계에 따르면 대한항공은 육아휴직 산전후휴가 가족돌봄휴직 등 법적 모성보호제도를 직원이 자유롭게 사용하도록 권장한다 매년 평균 600명 이상의 직원이 육아휴직을 사용 평균 사용률이 95를 넘는다 한국고용정보원이 발표한 2015년 국내 평균 592에 비해 매우 높다 특히 여성 인력 비중이 큰 객실승무원의 경우 임신을 확인한 순간부터 임신휴직을 사용할 수 있고 출산·육아휴직까지 포함하면 최대 2년 휴직이 가능하다 이러한 분위기 덕분에 2명 이상의 자녀를 둔 여직원 수는 1500명이 넘고 3명 이상 자녀를 둔 경우도 100명이나 된다 만 2554세 기혼 여성의 경력단절 비율이 486여성가족부 조사에 달한다는 한국의 상황이 적어도 대한항공에서는 ‘남의 일’인 셈이다 대한항공은 양성 평등주의 인사 철학으로도 유명하다 이 회사는 여성 인력에 대한 채용을 꾸준히 확대했고 운항 승무·정비·항공기제조 등 남성 중심의 영역에도 여성의 참여 기회를 넓히는 중이다 여직원이 핵심 인재로 성장할 수 있도록 교육 등의 지원도 아끼지 않는다 대한항공은 사내 공모를 통해 선발된 직원에게 국내외 경영전문대학원 진학 기회를 주는데 이 중 30 이상이 여성으로 알려졌다 ⓒ 세상을 보는 눈 글로벌 미디어 세계일보
"인천공항, 델타항공 인천~애틀란타 신규노선 유치",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004008371,4일 오후 5시 인천공항 탑승동 125번 게이트 앞에서 열린 델타항공의 인천애틀란타 노선 신규 취항식에서 인천공항공사 최민아 허브화전략처장왼쪽에서 3번째 델타항공 공항 서비스 부문 아태지역 본부장 카르멘 아귀레왼쪽에서 4번째 등 관계자들이 기념사진을 촬영하고 있다  인천국제공항공사사장 정일영는 4일 오후 인천공항 탑승동 125번 게이트에서 델타항공의 인천미국 애틀란타 노선 신규 취항 기념행사를 열었다고 밝혔다델타항공은 이번 애틀란타 노선 신규 취항으로 기존 디트로이트와 시애틀 2개 노선 외에 미주지역 외항사로는 처음으로 인천공항에 3개의 장거리 노선을 운항하게 됐다델타항공의 거점 공항인 애틀란타공항은 그동안 대한항공이 주 7회 운항해왔으나 델타항공의 취항으로 직항편이 주 14회로 늘어나게 된다 이로써 미주 여행객들이 애틀란타는 물론 애틀란타를 경유해 미국 전역과 멕시코 카리브해 남미 등의 지역으로도 더 편리하게 여행할 수 있게 될 전망이다이번 신규 취항은 향후 인천공항이 글로벌 대형 항공사의 지역 허브로서의 기반을 다지게 된 점에서 의미가 있다고 공사 측은 평가했다델타항공은 공항 확장성과 여객 ·네트워크 규모 등을 고려해 동북아 거점공항을 일본 나리타공항에서 인천공항으로 최근 변경했다 정일영 인천공항공사 사장은 “델타항공이 인천공항에 3번째 노선을 취항함으로써 연간 18만명의 직접적인 여객 증대는 물론 미주와 아시아 간 네트워크 확대에 따른 환승객 증대 등 시너지 효과가 기대된다”고 말했다 델타항공은 지난해 인천공항에서 총 여객 36만명 환승객 65만명을 수송했으며 올해 15월 누적여객과 환승객은 전년 동기대비 각각 12 65 급증했다  가 재밌다 세상의 모든 재미 티잼 인기최신만화   오늘의 띠별 별자리 운세ⓒ세계를 보는 창 경제를 보는 눈 아시아경제 무단전재 배포금지
 연매출 1조 시대 앞둔 최규남 제주항공 사장 | 국내 1위 넘어 아시아 대표 LCC 꿈꾼다,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=024&aid=0000056467,1964년생 서울대 자원공학과 미국 스탠퍼드대 경영대학원 공업경영학 석사 한국씨티은행 게임산업진흥원장 동국대 문화콘텐츠연구원장 이스트게이트파트너스 한국법인 대표 2012년 제주항공 사장 LCCLow Cost Carrier·저비용항공사 1위 11분기 연속 흑자 1000만명 수송 시대… 제주항공에 붙는 화려한 수식어다 중국 사드 보복 국제유가 상승 등 항공업계에 닥친 악재에도 제주항공은 탄탄한 수익을 이어가는 중이다 꿈에 그리던 LCC 업계 최초 매출 1조원 시대도 머지않았다 LCC 대표주자를 넘어 대한항공 아시아나항공까지 위협하는 3대 항공사 입지를 굳힐 거란 기대도 크다제주항공은 지난해 매출 7476억원 영업이익 587억원 당기순이익 532억원이라는 준수한 실적을 올렸다 전년 대비 매출은 23가량 늘었고 당기순이익도 127 증가했다 설립 이후 연평균 매출 성장률만 50를 넘는다 영업이익률도 79로 2년 연속 7를 넘었다올 1분기에도 272억원의 사상 최대 영업이익을 올리면서 분기별로는 2014년 3분기 이후 11분기 연속 흑자 기록을 세웠다 제주항공은 올해 항공기 보유대수를 32대로 늘려 국적 LCC 중 처음으로 1000만명 수송 시대를 열 계획이다 여세를 몰아 올해 매출 1조원 시대를 달성한다는 포부다 제주항공 관계자는 “국제유가 상승 환율 변동 등 악재에도 LCC 수요가 늘면서 좋은 실적을 올렸다 1분기 실적이 예상보다 좋아 연매출 1조원 돌파도 충분히 가능하다”고 말했다 엄경아 신영증권 애널리스트는 “일본 동남아시아 노선 매출이 늘면서 제주항공은 올해 매출 1조398억원 영업이익 1046억원을 올릴 것”이라고 내다봤다 항공업계 불황에도 제주항공이 승승장구하는 비결은 뭘까  연매출 1조원 돌파 기대 1000만명 수송시대 눈앞 LCC 공급과잉 우려도 커   2006년 제주항공이 처음 취항할 때만 해도 항공업계에선 불안해하는 시각이 많았다 대한항공 아시아나항공이라는 터줏대감이 버티고 있었고 안전 등의 문제로 여행객들이 저비용항공 이용을 꺼렸기 때문이다 제주항공은 설립 첫해부터 2010년까지 5년 연속 적자로 누적 손실액만 737억원에 달했다 LCC 경쟁사인 한성항공이 출범 3년 만인 2008년 부도 처리되는 걸 지켜보면서 위기감이 더 커졌다 애경그룹 내부에선 “항공업에 괜히 뛰어들었다” “그룹을 살리기 위해선 항공업에서 손을 떼야 한다”는 목소리가 터져 나왔다 하지만 애경그룹 경영진은 항공업에 강한 애착을 보였다 항공업을 포기하기는커녕 오히려 면세점을 팔아 항공업에 집중하자는 결론을 내렸다 AK홀딩스 등 애경그룹 계열사들은 수차례 유상증자를 통해 1000억원 넘는 자금을 수혈했다 2010년엔 AK면세점을 롯데그룹에 매각하며 항공업에 힘을 보탰다이런 위기 상황에서 구원투수로 등장한 인물이 최규남 제주항공 사장이다 서울대 자원공학과를 졸업하고 미국 스탠퍼드대 공업경영학 석사 학위를 받은 그는 그동안 씨티은행 기업금융부장 미국계 벤처투자회사인 이스트게이트파트너스 한국법인 대표를 맡아왔다 전형적인 ‘금융통’으로 꼽힌다경력만 놓고 보면 항공업계 문외한이지만 애경그룹은 그에게 과감히 ‘제주항공 대표이사’라는 중책을 맡겼다 장영신 애경그룹 회장의 맏사위인 안용찬 부회장과 공동대표이사가 됐고 이후 경영 실무는 최 사장이 주도했다 최규남 사장 취임 이후 제주항공은 면세점 매각대금을 바탕으로 넉넉해진 자금을 실탄 삼아 본격적인 투자에 나섰다 항공기를 대거 도입했고 인력 채용에도 힘썼다 2010년까지만 해도 7대에 불과했던 항공기 보유대수는 2013년 13대 지난해 말 26대로 늘어났다 연말엔 32대 2020년 50대를 확보하는 게 목표다 신규 노선 취항에도 역량을 기울였다 2014년 LCC 업계 최초로 인천베트남 하노이 노선 운항을 시작한 걸 필두로 일본 중국 동남아 노선을 꾸준히 늘려왔다 현재 9개국 36개 노선을 운영한다 신규 항공기를 도입할 때도 철저한 전략을 세우고 진행했다 2개 이상 기종을 보유한 진에어 등 경쟁사와 달리 오로지 한 가지 기종 항공기만 도입한 것 제주항공이 현재 운용 중인 항공기 기종은 모두 186189석 규모의 미국 보잉사 B737800NG 모델이다 항공기 기종을 통일시킨 건 부품 관리나 정비 작업 효율성을 높여 운영비용을 절감하기 위해서다 덕분에 2012년까지만 해도 매출액 대비 원가율이 88였지만 78 수준지난해 3분기 기준으로 감소했다단일 기종을 운용하면서 상황 변화에 따라 항공기 운항 노선을 탄력적으로 운용할 수 있게 됐다 조종사 입장에서는 보유 항공기를 어느 때나 쉽게 조종할 수 있다는 점이 매력이다 제주항공의 항공기 대당 하루 평균 가동시간이 2012년 116시간에서 지난해 13시간으로 개선된 것도 이 덕분이다 하준영 하이투자증권 애널리스트는 “제주항공은 단일 기종 신규 항공기 도입을 통해 부품 조달 정비비용을 줄여 ‘규모의 경제’ 효과를 누릴 것”이라고 평가했다‘LCC 비행기는 불안하다’는 소비자 인식을 떨쳐버리기 위해 안전 투자에도 힘썼다 2015년 200여명이던 항공기 정비 인력을 350명 이상으로 늘린 덕분인지 최근 10년간 제주항공은 단 한 건의 인명 사고도 없다 원가 절감 매출 다변화를 통한 수익 창출에도 힘썼다 최 사장은 2012년 취임하자마자 예약 발권 시스템 예매 홈페이지를 만드는 등 대규모 IT 시스템 투자에 나섰다 탑승객이 탑승권을 받기 위해 공항 카운터를 직접 방문하는 불편함을 없애고 인건비 등 각종 관리비용을 절감하기 위해서다 비행기에서 제공하는 무료 간식과 음료를 없애고 기내식도 전면 유료화했다 고객 불만이 클 법했지만 불필요한 비용을 줄이는 대신 항공권 가격을 낮춰 실질적인 고객 혜택을 강화했다 추가 수하물 기내 물품 판매 등 제주항공의 부가 사업 매출은 2009년까지만 해도 연매출의 006 수준에 그쳤지만 지난해 78까지 성장했다 최 사장은 2015년 11월 제주항공의 숙원 과제였던 증시 상장 업무도 성공적으로 완수했다 공모가 3만원이었던 제주항공 주식은 상장 첫날 주가가 5만1500원까지 오르며 대박을 터뜨렸다 국내 항공사로는 무려 16년 만에 증시에 입성했다는 점에서도 의미가 컸다 ‘금융통’답게 철저히 ‘숫자’로 실력을 증명해낸 셈이다 최 사장은 상장 이후 “제주항공 상장은 국내 시장을 뛰어넘어 아시아 최대 LCC로 가기 위한 초석이 될 것이다 외형 확대 사업 포트폴리오 강화를 통해 지속 가능한 미래 성장동력을 확보해나가겠다”고 밝혔다 최 사장 진두지휘 아래 제주항공이 펄펄 날고 있지만 과제가 아예 없는 건 아니다무엇보다 주가가 지지부진하다 상장 이후 제주항공 주가는 한때 5만원을 넘나들었지만 상승세는 그리 오래가지 못했다 차익 실현 매물이 쏟아지면서 주가가 급락했다 올 들어 반짝 상승하긴 했지만 여전히 기대에 못 미치는 수준이다6월 1일 종가 3만5750원LCC 경쟁사인 진에어 추격도 신경 쓰인다 모기업 대한항공 지원을 등에 업은 진에어는 최근 실적에 날개를 달았다 1분기 영업이익만 341억원으로 제주항공을 한참 앞질렀다 금호아시아나그룹 에어서울이 출범한 데 이어 지자체들이 너도나도 LCC 설립에 나서면서 LCC 업계가 머지않아 공급과잉에 빠질 우려도 크다 “지금도 국내 LCC 숫자는 우리보다 인구가 훨씬 많은 미국과 같다 제주항공이 LCC 1위에 안주해 신규 노선 개발 서비스 차별화에 힘쓰지 않는다면 언제든 도태될 수 있다”는 의견이 끊이질 않는 이유다     일러스트  강유나 본 기사는 매경이코노미 제1911호 201706070613일자 기사입니다 매일경제 공식  오늘의 인기 매경 프리미엄ⓒ 매일경제  mkcokr 무단전재 및 재배포 금지
"대한항공, 52주 신고가 경신...1.24% ↑",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=004&oid=014&aid=0003824707,대한항공은 52주신고가를 기록하고 있어 주목할만하다 동종목의 현재 주가는 36750원 선에서 이루어지고 있다 거래일을 기준으로 최근 3일간 평균 거래량은 84만 주이다 이는 60일 일 평균 거래량 65만 주와 비교해보면 최근 거래량이 다소 증가했다는 것을 알 수 있다   외국인 기관 모두 보유량 증가 5일 누적 최근 5일간 동종목의 외국인 투자자는 242721주 순매수하였고 마찬가지로 기관은 142071주 순매수하였다 전날 두 주체 각각 108981주 142071주 순매수하며 보유 비율을 늘렸다  다음 표는 동종목의 외국인 기관의 일별 순매수량을 나타낸 것이다 퀀트 재무분석 종합점수 17점으로 상승                     지표               항목               값               종합점수                 성장성               매출액증가율               003               3본증가율               015                 안정성               부채비율               74447               361                 유동비율               3784                 이익안정성               722                 수익성               ROA               039               551                 ROE               333                 영업이익율               837           대한항공의 퀀트 재무 점수는 1245점으로 3개월 이전 1127점보다 올랐다 지난 분기에 비해 성장성 점수가 상승했다본 증가율이 증가하였기 때문이다 안정성 종합 점수는 부채비율 감소 실적 안정성 증가로 상승했다 수익성 측면에서 볼때 ROA ROE가 개선되어 이전보다 좋은 점수를 받았다가 실시간으로 생산하는 기사입니다    fnRASSI  세상의 모든 골 때리는 이야기 fn파스 속보이는 연예 fn스타  ※ 저작권자 ⓒ  파이낸셜 무단 전재재배포 금지
유가 흐름 어디로?…조선·철강·항공 희비 교차,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=119&aid=0002189832,대한항공 보잉 7879 항공기와 현대중공업 울산조선소 도크 전경ⓒ각 사조선·철강 유가 하락세에 하반기 업황 악화 우려항공 의외의 저유가 흐름에 ‘반색’…하반기 실적 개선 기대최근 의외의 저유가 흐름에 조선·철강·항공 등 유가에 민감한 업종의 희비가 교차하고 있다 유가 대세상승에 따른 수혜를 전망했던 조선·철강업계는 최근 잇따른 하락 소식에 우려를 드러내는 반면 항공업계는 저유가 시대의 회귀를 바라고 있는 모습이다5일 한국석유공사에 따르면 지난달 다섯째주272일 미국 서부텍사스산원유 가격은 전주보다 배럴당 214달러 하락한 4766달러 중동 두바이유 가격은 전주보다 배럴당 208달러 내린 4834달러를 기록했다지난달 26일 OPEC의 원유생산량 감축합의 9개월 연장 이후에도 유가가 지속 하락한 것은 OPEC의 원유 생산 증가와 미국의 파리기후변화협정 탈퇴 여파 때문이다 특히 미국이 지난 1일 파리기후변화협정 탈퇴를 공식 발표함으로써 원유 생산 증가에 대한 우려가 더욱 심화됐다지난해 심각한 수주 가뭄을 겪었던 조선업계는 글로벌 경기 회복과 국제유가 상승으로 인한 기대감이 컸다유가 상승은 원유생산 및 저장설비 해양플랜트는 물론 원유를 운반하는 운반선의 발주 확대에 긍정적 영향을 미친다 실제 올해 들어 국제 유가 회복세 동남아 정유공장의 신규 가동 등 석유거래가 증가하자 초대형 원유운반선 발주량 역시 전년 대비 크게 늘었다 그러나 유가가 다시 50달러 밑으로 떨어지면서 여기에 맞춰 사업계획을 짠 조선업계 회생에는 걸림돌이 될 것이란 지적이 나온다 당초 수주 목표 달성은 가능하더라도 장기적으로는 업황에 적신호가 켜질 수 있다는 설명이다현대중공업은 올해 유가 전망을 낙관적인 상황일 경우 배럴당 85달러까지 비관적인 경우에도 50달러 밑으로 내려가지는 않을 것으로 보고 사업 계획을 설정했다 대우조선해양 역시 배럴당 55달러에서 60달러 선에서 올해 유가가 움직일 것으로 봤다 전체 수주액의 18의 경우 유가에 민감한 해양플랜트 분야에서 달성하겠다고 밝힌 상태다지난 1분기 유가 상승으로 조선업이 회복 국면에 들어서자 원자재인 후판 등을 공급하는 철강업계도 이를 반겼다 철강업계 관계자는 “국제유가가 상승하면 직접적으로는 유정용 강관 수요가 늘어나고 간접적으로는 오일머니에 의한 글로벌 수요 증가의 수혜를 입는다”고 말했다그러나 이번 유가 하락 우려로 조선업이 기대만큼 회복하지 못한다면 철강업계 역시 장기간 지속된 낮은 공급 가격과 수요 부진에서 벗어나기 어려울 것으로 예상된다반면 고유가로 올 1분기 실적에서 직격탄을 맞은 항공업계는 의외의 저유가 흐름을 내심 반기고 있다업계에 따르면 지난해 1분기 평균유류단가는 425달러였다 그러나 올 1분기는 이보다 51가량 올랐다 이에 대한항공은 올해 1분기 영업이익이 지난해 동기보다 408 하락한 1915억원을 기록했다 아시아나항공도 전년 대비 266 떨어진 263억원의 영업이익을 기록했다 이들은 1분기 부진에 대해 유가상승에 따른 비용 증가가 원인이라고 입을 모았다항공업계 관계자는 “유가가 전체 원가에서 차지하는 비중이 3040에 달하는 것을 감안하면 유가 하락세는 수익성에 긍정적인 영향을 줄 수 있다”며 “이달부터 유류할증료를 부과하지 않게 된 점도 수익 개선에 큰 도움이 될 것”이라고 말했다이어 “5월 연휴 효과 등 한국발 수요 호조세는 하반기에도 지속될 전망”이라며 “유류단가가 하반기부터 전년대비 소폭 감소할 가능성과 더불어 지난해 4분기부터 진행해 온 신형기 도입효과로 인한 실적 개선이 기대된다”고 덧붙였다ⓒ 데일리안  무단전재 변형 무단배포 금지
"한진그룹주 강세, 대한항공ㆍ한진칼 등 52주 신고가 기록",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=016&aid=0001246882,한진그룹주가 연일 강세를 보이고 있다5일 오전 11시 3분 현재 유가증권시장에서 대한항공 주가는 전 거래일 대비 083 오른 3만6650원에 거래되고 있다대한항공은 이날 장 중 3만6350원으로 신고가를 찍었다한진칼 역시 전 거래일보다 142 높은 2만4950원을 기록중이다 한진칼과 한진칼 우선주도 각각 2만4800원과 1만3150원으로 신고가를 경신했다이밖에 한진과 대한항공우도 각각 075 063 오름세를 나타내고 있다김영호 삼성증권 연구원은 대한항공과 관련해 “2분기 매출액과 영업이익은 전년 동기 대비 각각 44 73 증가한 2조9414억 1708억 원을 기록하며 영업이익이 시장 기대치를 크게 상회할 것”으로 전망했다김 연구원은 “비수기 임에도 불구하고 유럽 노선을 중심으로 한 장거리 노선 수요 강세가 이어지고 있으며 화물 부문 운임 및 수송량 증가세가 지속되고 있다”며 투자의견은 ‘매수’를 유지하고 목표주가는 4만1000원으로 상향조정했다 불꽃에 타오르게할 스토리인기 무료 만화 나만의 변호사 찾기  Copyrights ⓒ 헤럴드경제  heraldbizcom 무단 전재 및 재배포 금지 
