titles,url,contents
"맥도날드 시그니처 버거, 수제버거 부문 고객충성도 1위",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004004889,맥도날드가 30일 오후 서울 여의도 콘래드호텔에서 열린 ‘2017 브랜드 고객충성도 대상’에서 패스트푸드 부문 및 수제버거 부문 1위를 수상했다 맥도날드 김기화이사가 대표로 수상하고 있다  맥도날드의 프리미엄 수제버거인 시그니처 버거가 소비자가 선정한 2017 브랜드 고객충성도 대상에서 수제버거 부문 1위를 차지했다 한국소비자포럼이 주최주관하는 ‘2017 브랜드 고객충성도 대상’은 전국의 소비자를 대상으로 브랜드 신뢰 브랜드 애착 재구매 의도 타인 추천 의도 전환 의도 등 총 5개의 항목을 측정한 결과로 선정됐다 맥도날드 시그니처 버거는 다양한 수제버거 브랜드 중 종합 점수 최고점을 얻었다시그니처 버거는 맥도날드가 60년 버거 노하우를 담아 야심차게 선보인 프리미엄 수제버거로 갓 조리한 1 등급 계란에 베이컨과 치즈 텍사스 BBQ 소스로 꽉찬 식감을 자랑하는 ‘골든 에그 치즈버거’ 진하게 구운 버섯과 양파에 정통 아메리칸 치즈 이탈리안 발사믹 소스로 깊은 풍미를 맛볼 수 있는 ‘그릴드 머쉬룸 버거’등 2가지 종류로 구성됐다 각 재료의 특징을 살린 탁월한 맛으로 다양한 고객 입맛을 사로 잡으며 2015년 8월 출시 이후 월평균 20 이상 판매 성장을 기록할 정도로 큰 사랑을 받고 있다 시그니처 버거는 단품 기준 7500원 음료와 사이드 메뉴를 포함해 세트로 즐겨도 8900원이라는 합리적인 가격을 자랑하며 디지털 키오스크를 통해 메뉴 선택부터 주문 결제까지 편리하게 할 수 있다 현재 전국 450여개 맥도날드 매장 중 390여개 매장에서 시그니처 버거를 만나볼 수 있으며 이 중 340여개 매장에서는 시그니처 버거에 대한 배달 서비스도 시행하고 있다 시그니처 버거를 향한 뜨거운 고객 수요에 힘입어 앞으로도 시그니처 버거 판매 매장은 계속해서 늘어날 예정이다  가 재밌다 세상의 모든 재미 티잼 인기최신만화   오늘의 띠별 별자리 운세ⓒ세계를 보는 창 경제를 보는 눈 아시아경제 무단전재 배포금지
맥도날드 일으킨 가맹점 관리…한국선 '갑질 논란',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=015&aid=0003775533,현장에서1950년대 미국 맥도날드 창업 뒷이야기 다룬 영화 파운더그 당시도 점포관리로 갈등가맹업 균일 품질 핵심인데…프랜차이즈 정조준한 공정위본사갑 프레임 벗어나야   “우리 햄버거엔 피클이 두 개라니까 왜 세 개가 들어있냐고”맥도날드 창업자들의 이야기를 다룬 영화 ‘파운더’ 맥도날드를 프랜차이즈로 전환한 직후 레이 크록이 가맹점주를 찾아가 햄버거를 바닥에 내던지며 한 말이다 미국 캘리포니아에서 두 형제가 운영하던 작은 햄버거 레스토랑 맥도날드는 크록의 손을 거쳐 미국 문화의 상징이 됐다 지금도 전 세계 인구의 1가 먹는 세계 최대 프랜차이즈다영화 속에는 세 명의 파운더가 나온다 맥도날드를 처음 만든 맥도날드 형제와 이 가게를 프랜차이즈 사업으로 키운 크록 영화는 맥도날드 형제와 크록의 갈등을 다루면서 프랜차이즈산업의 본질을 끊임없이 이야기한다 창업자들의 고민은 한결같다 “지점을 내줬더니 관리가 안돼 햄버거를 만들라니까 옥수수를 튀기고 요즘 대세라면서 치킨을 팔고 있더군” 1950년대 미국의 이야기다국내에서도 비슷한 논쟁이 벌어지고 있다 지난해 국내 프랜차이즈 점포 수는 20만 개를 넘은 것으로 추산된다 프랜차이즈 본부와 가맹점 간 분쟁도 늘었다 공정거래위원회 산하 공정거래조정원에 들어온 가맹사업 관련 분쟁조정신청은 2006년 212건에서 지난해 593건으로 늘었다 10년 새 3배 가까이 증가했다공정위는 프랜차이즈 본사의 ‘갑질’을 손보겠다고 팔을 걷었다 가맹점에 대한 보복 금지 규정을 신설하고 구매 필수 물품 실태조사도 하겠다고 했다 가맹본부가 가맹점에 필수 식자재를 공급하는 과정에서 과도한 이익을 남기고 있다는 게 이유다가맹점주들은 환영하는 분위기다 본사가 과도한 마진을 붙여 물품을 강매하거나 일부 가맹점주에게 계약 해지 등 보복성 조치를 취하는 행위가 없어질 것이라고 기대하고 있다 피자집을 운영하는 한 가맹점주는 “본사가 마트에서 파는 공산품까지 필수 구매 물품으로 지정해놓아 너무 비싼 가격으로 구매해야 하고 인테리어도 8년 동안 세 차례나 바꿔야 했다”며 “공정위가 나서서 해결해줄 것으로 기대한다”고 말했다반면 ‘프랜차이즈 본사갑질’이라는 프레임에 갇히면 프랜차이즈산업 자체가 위축될 것이라는 우려의 목소리도 나온다 일부 악덕 프랜차이즈 업체가 가족 명의의 인테리어 회사 물류 회사 등을 차려놓고 공산품까지 판매하지만 이는 일부에서의 일이라는 주장이다 오히려 가맹점의 자율권을 확대하면 ‘어디를 가나 같은 맛의 음식을 맛볼 수 있다’는 프랜차이즈산업의 본질을 해칠 수 있다는 의견이 많다 한 피자 프랜차이즈 가맹점 점주들이 “우리 피자에 들어가는 치즈는 우리가 알아서 수급하겠다”고 나선 일도 있었다 하지만 본부는 피자의 핵심 재료가 치즈인데 이를 양보하면 피자 맛이 가맹점마다 다를 수밖에 없다며 버텼다프랜차이즈산업협회 관계자는 “본사가 적게는 수십 개 많게는 1000여 개 점포를 관리하려면 엄격한 관리와 물류 시스템을 운영해야 하는 게 이 업종의 본질”이라며 “공정위가 가맹점의 자율성을 강화하는 방안을 밀어붙이면 프랜차이즈산업 자체가 위축될 가능성도 있다”고 말했다크록은 과거 “본사와 가맹점주 공급 업체가 의자의 세 다리와 같은 역할을 해야 맥도날드가 글로벌 브랜드로 성장할 수 있다”고 말했다 본사가 가맹점주에게 사업 시작 단계부터 운영까지 모든 경영 노하우를 전수해야 한다는 것 그 성장모델의 시작은 철저한 가맹점의 품질 관리에 있었다 한경닷컴 바로가기 스내커 모바일한경 구독신청 ⓒ 한국경제  hankyungcom 무단전재 및 재배포 금지
" 맥도날드 ""알바하며 평창올림픽 무료로 관람하세요""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=015&aid=0003774961,4성급 호텔 숙식·경기티켓 제공   ‘맥도날드 매장 아르바이트도 하고 무료로 올림픽경기 관람도 하고’2018 평창 동계올림픽 공식후원사인 맥도날드가 올림픽 선수촌에서 근무할 매장 직원을 모집한다 선발된 맥도날드 국가대표 크루들은 올림픽 기간2018년 2월925일 중 선수촌 맥도날드 매장에서 근무하면서 글로벌 경험도 쌓고 올림픽 현장도 직접 체험할 수 있다 근무 기간 중에는 전 일정 동안 4성급 호텔 숙박과 식사가 제공되며 근무시간이 끝나면 자유시간이 주어진다 맥도날드는 크루들에게 올림픽 경기 티켓도 무상으로 제공할 예정이다이런 특별한 경험과 다양한 혜택이 주어지는 만큼 평창 국가대표 크루로 선발되기 위한 과정은 치열하다 맥도날드는 매장별로 6월 중순까지 지원자를 모집한다 전국 매장에서 지원자를 대상으로 예선전을 치른다 예선전은 매장에서 직무평가 인터뷰 등으로 이뤄지며 본선은 서울 맥도날드 본사에서 7월 중 치러질 예정이다 선발된 100여 명의 크루들은 8월 중 발대식을 열고 올림픽이 열릴 때까지 근무수칙 식품안전 지식 고객 응대 등의 교육을 받는다 한경닷컴 바로가기 스내커 모바일한경 구독신청 ⓒ 한국경제  hankyungcom 무단전재 및 재배포 금지
 본격적인 더위.. 위생 관리 신경쓰는 외식업계,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=366&aid=0000372060,본격적인 더위가 시작하면서 외식업계 먹거리 안전에 빨간불이 들어왔다 여름철엔 음식이 쉽게 부패하고 병균 전염이 쉬운 만큼 매장 위생 관리를 철저하게 해야 한다외식업계에서는 지난달부터 시행된 위생등급제에 맞춰 식품 안전 솔루션을 도입하는 등 다양한 방법으로 대처하고 있다하남돼지집 직원들이 매장 위생 점검을 하고 있다하남돼지집 제공삼겹살 전문 프랜차이즈 ‘하남돼지집’은 고기구이 전문점 중에선 최초로 종합환경위생기업인 ㈜세스코로부터 토털 식품안전 솔루션을 도입했다하남돼지집은 2016년 7월 ‘세스코 푸드 세이프티’를 도입 현재 직영점 및 희망 가맹점을 대상으로 서비스를 운영하고 있다 그 결과 일부 직영점과 가맹점은 식품위생관리가 안전하게 이뤄지는 식당이라는 것을 증명하는 식품 위생 A등급을 획득했다하남돼지집은 앞으로 세스코의 토털 식품안전 솔루션을 전체 가맹점으로 확대해 나갈 방침이다 하남돼지집 관계자는 “식품의약품안전처에서 진행하는 위생등급제 시행에 적극 동참해 전국 모든 매장에서 고기를 안심하게 즐길 수 있도록 만들겠다”고 말했다패스트푸드 프랜차이즈 맥도날드는 매장 내 위생 관리 캠페인을 통해 식품 안전을 도모하고 있다 맥도날드의 대표적인 먹거리 안전 캠페인은 제품을 미리 만들어 놓지 않고 주문 즉시 조리하는 ‘메이드 포 유’ 시스템과 30분마다 20초씩 손을 씻는 ‘30분 20초 타임아웃 제도’다배달족이 늘어난 소비 트렌드에 맞춰 배달앱을 통해서도 위생 정보를 제공받을 수 있다주요 배달 어플리케이션과 식품의약품안전처는 협약을 맺고 배달음식점의 위생정보를 공유할 수 있도록 했다소비자는 앱에서 배달음식의 영양 성분과 위생 정보를 확인할 수 있어 안전한 음식을 선택하는데 도움을 받고 있다외식업계관계자는 “먹거리 위생은 소비자의 안전과 건강에 직결되는 부분이기 때문에 음식을 다루는 외식업계에서는 특별히 위생에 신경을 써야 한다”며 “최근 실시되는 위생등급제와 더운 날씨에 따른 식품의 신선도 유지를 위해 업계의 위생 관련 정책은 강화될 것으로 보인다 또한 소비자들사이에서도 위생 관리가 철저한 기업이나 매장이 신뢰를 받을 수 있을 것”이라고 말했다 chosunbizcom
"맥도날드 망원점, 내달 직영점으로 재오픈",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003039512,임금체불 문제 전액 해결상권 좋아 개장 서둘러기존 직원 상당수 재채용 방침
"평창에서 활약할 기회, 맥도날드 크루에 지원하세요!",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=001&aid=0009290792, 25일 맥도날드 전국 채용의 날을 맞아 맥도날드 크루들이 행사를 홍보하고 있다    이날 채용되는 크루 2500명에게는 2018평창 동계올림픽대회 현장에 근무하는 맥도날드 국가대표 크루 선발전 참여 기회가 주어진다 2017525 맥도날드 제공연합     유행 트렌드 총집결 흥
 스타벅스·맥도날드 없는 명상 도시 … 존 레넌·채플린 즐겨찾던 지상낙원,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=025&aid=0002720244,━ 미국 캘리포니아주의 소도시 오하이  미국은 체인 공화국이다 프랜차이즈의 원조이기도 할 뿐더러 세계 곳곳에서 마주치는 맥도날드 스타벅스 등 체인점들은 그 자체가 미국식 자본주의를 상징한다 미국 안에서의 위세는 더 말할 나위가 없다 시골 마을에도 고속도로 출구 주변엔 어김없이 익숙한 이름의 체인 카페와 햄버거집 등이 옹기종기 모여 있다 그런 미국에 체인 청정 도시가 있다 캘리포니아 로스앤젤레스에서 100㎞ 떨어져 있는 오하이다 맞다 오자이가 아니라 오하이  캘리포니아주의 소도시 오하이 미국에서도 이례적으로 체인점 입점 금지 조례를 제정한 도시다 자부심 강한 시민들은 오하이의 독특한 분위기를 지키고 싶어한다 오하이 데이를 맞은 다운타운 풍경 사진 오하이관광청    오하이는 인구 약 7500명 면적 11㎢에 불과한 소도시다 한국의 ‘읍’과 비슷한 규모인데 2007년 이곳 시의회가 미국에서도 이례적인 조례를 제정했다 도시 안에 체인점 입점을 금지하는 조례다 현재 오하이 시내에는 주유소와 은행 외엔 체인 상점을 찾아볼 수 없다 주유소와 은행마저도 185㎡약 56평 이하로 면적을 제한했다 2007년 법 제정 당시 스콧 아이커 오하이 상공회의소 대표는 이렇게 말했다 “오하이에 스타벅스가 없는 게 중요한 것이 아니라 오하이만의 분위기를 유지하면서 주민들의 경제활동이 거대 자본에 침해당하지 않는다는 게 중요하다”  체인점 없는 다운타운 풍경은 한 세기 전 모습 그대로다    공식 기록은 없어도 사람들 사이에서 미국의 첫 체인점 거부 도시로 알려져 있다 하지만 오하이에는 체인 샌드위치 가게가 하나 있다 2007년 조례 통과 직전에 문을 연 ‘저지 마이크스 서브스’다 순전히 공무원 실수 때문에 살아남았다 당시 시청 직원이 ‘뉴저지에서 온 마이크의 샌드위치 집’이라고 생각해 허가를 내줬다 베로니카 콜 오하이관광청 홍보이사는 “허가를 내준 뒤 전국에 300 개가 넘는 체인점 중 하나라는 걸 알고는 도시 미관을 고려해 스페인풍으로 외관을 꾸미도록 했다”며 “다행히 직영이 아니라 이곳 주민이 운영하는 가맹점이라 수익 대부분은 지역사회로 돌아온다”고 설명했다 조례 제정 전에도 오하이에는 건물과 간판 디자인을 규제하는 법이 있었다 시에서 왕복 2차로인 중심가를 4차로로 확장하려다 시민들의 반대로 포기한 적도 있다  오하이는 예술가들이 사랑하는 도시다 존 레넌도 이곳을 자주 찾았다 메디테이션 마운트에 있는 국제 평화의 정원     그래서인지 도시 분위기는 판박이처럼 똑같은 여느 미국 소도시가 아니라 꼭 스페인의 어느 작은 도시 같다 유리공장을 운영하던 에드워드 리베이가 1917년 화재로 전소된 오하이 중심가에 연 스페인풍 아케이드와 종탑이 그런 느낌을 진하게 전해준다 예술가들은 아케이드 안에 갤러리와 부티크숍을 열었고 주민들은 주변에 식당과 카페를 열었다 그때부터 지금까지 100년 동안 다운타운의 분위기는 거의 달리지지 않았다 동서로 길게 뻗은 계곡에 들어앉은 오하이는 평화로운 분위기다 예부터 신비한 기가 흐른다는 전설이 있었고 ‘미국의 샹그릴라’라는 수식어가 붙었다 그래서인지 영성가와 예술가들이 많이 찾는다 인도의 영성가 지두 크리슈나무르티가 특히 큰 영향을 미쳤다 그는 1922년부터 86년까지 오하이에서 살았다 그의 영향을 받은 존 레넌과 오노 요코 배우 찰리 채플린 화가 잭슨 폴록도 수시로 오하이를 찾아와 휴식을 누렸다  메디테이션 마운트의 국제 평화의 정원 입구     어찌 보면 마냥 심심한 도시를 여행객은 왜 찾을까 아침에 스타벅스에서 커피 한잔 할 수도 급할 때 맥도날드 햄버거를 먹을 수도 없어 불편한데 말이다 대신 사람들은 오하이 식으로 먹고 걷고 자는 것만으로 치유를 누린다 파머스마켓이 열리는 일요일이면 질 좋은 유기농 제품을 사려는 사람들로 북적인다 한국식 귤과 비슷한 픽시 탄제린 이탈리아·스페인산에 견줄 만한 올리브 등이 오하이에서 난다 와이너리도 있다 이런 싱싱한 농산물로 만든 건강식을 개성 넘치는 식당에서 대도시보다 저렴한 가격에 먹을 수 있다  오하이에서는 유기농을 즐겨 먹는다 질 좋고 값싼 유기농 전문 식당 팜투테이블 식당이 많다    오하이에서는 하이킹이 인기다 등산복을 빼입은 채 작정하고 산을 타기보다 조용히 명상하며 산책을 즐긴다 ‘메디테이션 마운트’에 좋은 산책로가 있다 산이 아니라 도시 동쪽 해발 440m에 있는 명상센터다 이곳에 있는 ‘국제 평화의 정원’을 걸어봤다 사찰 일주문 같은 건축물을 지나니 아담한 동양식 정원이 있었다 사람들은 차분히 걸으며 자연경관을 감상하거나 벤치에 앉아 책을 읽었다 수다를 떨거나 스마트폰을 만지는 사람은 없었다 고요 속 평화를 누리기 완벽한 정원이었다  오하이의 대표적인 고급 숙소 오하이 밸리 인 앤드 스파 사진 오하이관광청    오하이에는 근사한 숙소도 많다 물론 힐튼·하얏트 같은 대형 체인 호텔은 하나도 없다 대신 미국 스파 리조트 중 다섯 손가락 안에 든다는 ‘오하이 밸리 인 앤드 스파’가 있고 크리슈나무르티가 살던 집을 개조한 ‘페퍼 트리 리트리트’도 있다 요가·명상 프로그램을 운영하는 숙소도 있다 이런 숙소 대부분이 음주·흡연을 금하고 12세 미만은 아예 받지 않는다  아늑한 분위기와 환상적인 전망이 어우러진 오하이 리트리트 객실 사진 오하이관광청    오하이 시민들은 요즘 고민이 많다 대형 호텔과 식당이 없는데도 관광객이 늘면서 도시가 시끄러워졌다고 불평하기도 한다 베로니카 콜 오하이관광청 홍보이사는 “많은 관광객을 유치하는 것도 좋지만 주민들이 삶의 질을 유지하는 것도 그 못지않게 중요하다”며 “지금의 분위기를 잘 간직해야 방문객도 오하이의 매력을 발견하고 좋은 기억을 갖고 돌아갈 것”이라고 말했다  세계 속으로    S BOX 걷기 좋은 도시 표방 ‘드라이브 스루’ 금지하는 곳도미국 캘리포니아주에는 체인점 입점을 금지하는 오하이처럼 체인 상점의 영업을 제한하고 있는 도시가 더 있다 주민들의 삶의 만족도가 높은 소도시가 대부분이다 그중 캘리포니아 중부에 있는 샌루이스어비스포가 선구적이었다 자동차를 몰고 음식을 가져가는 ‘드라이브 스루’를 금지하는 시 조례가 1982년에 벌써 통과됐다 대중교통이 편한 대도시도 아닌데 왜 이런 법을 통과시켰을까 ‘걷기 좋은 도시’를 표방하기에 자동차 중심의 비즈니스는 어울리지 않는다는 게 이유였다 SLO는 1999년 세계 최초로 실내 금연법을 통과시킨 도시이기도 하다 그런가 하면 실리콘밸리 인근 도시 팰로앨토에서는 중심가인 캘리포니아 애비뉴에 체인점 진입을 막는 조례를 2015년 9월 제정했다 기존에 있던 스타벅스나 서브웨이 등은 영업을 계속하도록 했지만 신규 입점은 금지했다 당시 팻 버트 팰로앨토 시의원은 “오랫동안 자리를 지킨 상인들이 치솟는 임대료 때문에 떠나는 걸 원치 않는다”고 말했다 오하이  만나는 중앙일보  트위터 네이버포스트ⓒ중앙일보httpjoongangcokr and JTBC Content Hub Co Ltd 무단 전재 및 재배포 금지
美맥도날드 주총 앞두고 '최저시급 15달러' 요구 대규모 시위,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=001&aid=0009288423, 김 현 통신원  세계 최대 패스트푸드 체인 맥도날드 연례 주주총회를 하루 앞둔 23일 미국의 시간제 노동자들이 맥도날드 본사가 있는 시카고에 모여 최저 시급 15달러약 1만7천 원 보장을 촉구하는 대규모 시위를 벌였다     국제서비스종업원노조가 조직한 이 날 집회에는 1천500여 명이 참가한 것으로 시카고 경찰은 추산했다    시위로 인해 비 오는 퇴근 시간 도심 도로 일부 구간이 폐쇄되면서 혼잡이 빚어졌지만 큰 사고 없이 마무리됐다     시위대는 시카고 도심 최대 번화가 미시간 애비뉴에 집결해 트럼프 타워와 시청을 지나 웨스트룹의 맥도날드 신사옥 건설 현장까지 행진했다    이들은 15달러 쟁취 투쟁Fight for 15 이윤보다 사람이 먼저다People Over Profit 등의 문구가 적힌 피켓을 손에 들고 존중받기 원한다 급여 수표에  15달러를 써달라We want respect put 15 on the check는 구호를 함께 외쳤다    시카고 트리뷴은 이날 시위에 맥도날드 직원 외에도 동종업계 종사자 간병인 어린이집 교사 공항 일용직 노동자 겸임 교수 소매점 종업원 등 저임금 노동자들이 대거 참여했다고 전했다    15달러 쟁취 투쟁은 2012년 11월 뉴욕 시 시간제 노동자와 SEIU 조직원 200여 명이 최저 시급 15달러와 노조 결성권 등을 요구하는 시위를 벌이면서 처음 시작됐다     이후 뉴욕 주와 캘리포니아 주에서 시간당 최저 임금을 15달러로 인상하는 법안이 통과됐고 시애틀과 워싱턴DC 등 10여 개 도시 대형 의료보험사 애트나와 월마트 등이 최저 임금 인상을 약속했다    하지만 미국 연방정부 최저 임금은 2009년 이래 시간당 725달러에 머물러 있는 등 대부분 지방 정부와 관공서 기업체 최저 시급은 10달러를 넘지 못한다     한편 맥도날드는 24일 시카고 교외도시 오크브룩의 본사에서 연례 주주총회를 개최한다    에드 렌시 전 맥도날드 최고경영자는 지난해 시간제 노동자를 시급 15달러를 주고 고용하느니 로봇팔 등을 이용한 매장 자동화가 더 합리적이라는 발언을 해 논란이 된 바 있다15달러 쟁취 투쟁  유행 트렌드 총집결 흥
"맥도날드, 2018평창 동계올림픽대회 맞아 2500명 채용",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0003999025,맥도날드는 2018평창 동계올림픽대회를 맞아 전국 372개 매장에서 크루 2500명을 선발하는 대규모 채용 행사 ‘전국 채용의 날’을 진행한다 전국 채용의 날 행사는 25일 오전 10시부터 오후 7시까지 전국 맥도날드 매장에 방문한 지원자를 대상으로 회사 소개와 매장 투어를 제공할 예정이다 사전 신청자에 한해 현장 면접 및 직무적성 테스트도 진행된다  신규 크루에게는 2018평창 동계올림픽대회 기간 중 선수촌 내 맥도날드 레스토랑에서 근무하며 맥도날드 국가대표 크루로 활약할 수 있는 선발전 참여 기회가 주어진다 맥도날드 국가대표 크루는 2018평창 동계올림픽대회 공식 후원사인 맥도날드가 전개하는 피플 캠페인 중 크루 리워드 프로그램의 일환이다 전국 각지에 근무하는 매장 직원들에게 2018평창 동계올림픽대회 경기 관람 기회와 글로벌 경험을 선사하고자 기획됐다  가 재밌다 세상의 모든 재미 티잼 인기최신만화   오늘의 띠별 별자리 운세ⓒ세계를 보는 창 경제를 보는 눈 아시아경제 무단전재 배포금지
"""이름을 걸었더니 제품이 작품이 됐다""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003179832,이름에 창작자와 브랜드 철학을 표현하는 시그니처 제품 눈길…패션·식품 등 생활형 제품부터 전자·주류 제품 등 프리미엄 고가품까지 다양시그니처란 서명 또는 특징을 설명하는 영어 단어다 일반적으로는 브랜드를 대표할 수 있는 제품에 사용되어 브랜드 역사나 고유의 정체성을 알리는 역할을 하기도 한다다시 말해 하루 아침에 만들어지고 유행에 따라 사라지는 제품이 아닌 오랜 시간에 걸쳐 형성된 브랜드 이미지와 소비자의 선호도를 기반으로 만들어진 브랜드를 대표하는 제품이 바로 시그니처인 것이다 시그니처라는 이름으로 회사나 장인의 명예와 자존심을 걸고 내놓는 상품인 만큼 그 이름 하나로도 소비자에게 주는 신뢰와 만족은 남다를 수밖에 없다제품의 이름에 시그니처라는 말을 붙일 때에는 그만큼 특별한 의미가 있을 터 실제 특허청에 시그니처에 대한 상표등록 건수를 검색해보면 한글 47건 영어 685건의 상표등록이 되어 있고 미국·유럽·호주·캐나다 등 해외 상표등록 건수는 1만5000건이 넘는다이를 통해 생각보다 많은 제품이 시그니처라는 이름으로 만들어졌거나 만들어질 예정이라는 것을 알 수 있다 그 범위도 패션·뷰티 등 생활형 제품부터 전자·주류 같은 프리미엄 제품에 이르기 까지 굉장히 다양하다우선 LG의 초 프리미엄 가전제품 라인인 LG 시그니처는 냉장고와 올레드 TV 공기청정기를 한 점의 작품으로 소개하고 있다 가전 작품의 시대를 열겠다는 의지가 돋보인다 실제 LG 시그니처 올레드 TV W는 예술 작품에 가깝다는 평가를 받으며 세계 최대 전자쇼 CES 2017에서 최고 중 최고라는 찬사를 받기도 했다이에 LG전자는 시그니처 브랜드를 앞세워 프리미엄 가전시장에서 영토를 넓히고 있는 상황이며 가전 사업은 10가 넘는 영업이익률을 기록하며 LG전자의 질적 성장을 주도하고 있다빙그레를 대표하는 장수 스테디셀러 아이스크림 투게더는 지난해 출시 42년 만에 파격적인 변신을 단행 최근 트렌드인 1인 가구 공략에 적극 나서고 있어 업계의 주목을 받고 있다그동안 아빠 가족이라는 컨셉으로 출시 이후 줄곧 가족용 900ml 대용량을 고집해왔던 투게더가 지난해 기존 제품대비 용량을 18로 줄여 2배 이상 진한 투게더 시그니처를 출시하며 1인 가구 공략에 나선 것빙과업계에 따르면 빙그레 투게더는 지난 1974년 출시 이후 황금색·바닐라맛 주력제품 900ml 용량을 유지하며 누적 판매 개수 2억2000만개 연매출 약 300억원으로 떠먹는 아이스크림 시장에서 독보적인 입지를 구축해 오고 있다시그니처 버거는 맥도날드가 60년 전통의 버거 노하우를 담아 야심차게 선보인 프리미엄 수제버거로 지난 2015년 8월 처음 선보인 이후 월평균 20 이상 판매 성장을 기록할 정도로 뜨거운 사랑을 받고 있다 맥도날드는 이번 시그니처 버거 전국 론칭을 통해 더욱 많은 고객들의 입맛과 수요를 만족시킬 수 있을 것으로 기대하고 있다시그니처 버거는 갓 조리한 1 등급 계란에 베이컨과 치즈 텍사스 BBQ 소스로 꽉찬 식감을 자랑하는 골든 에그 치즈버거와 진하게 구운 버섯과 양파에 정통 아메리칸 치즈 이탈리안 발사믹 소스로 깊은 풍미를 맛 볼 수 있는 그릴드 머쉬룸 버거 등 2가지 종류로 구성되어 있다제조 과정에서 남다른 장인정신을 필요로 하는 주류업계에도 시그니처가 존재한다 국민 위스키로 사랑 받아온 윈저 브랜드가 이름을 걸고 내놓은 35도 스피릿 드링크 ‘윈저 더블유 시그니처’ 얘기다이례적으로 3명의 마스터 블렌더가 협업 그 어떤 제품과도 비교할 수 없는 완벽한 부드러운 맛과 향 목넘김으로 탄생시킨 제품이 바로 ‘윈저 더블유 시그니처’이다 이 3명의 서명이 눈에 띄는 자리에 새겨져 있어 이 제품의 가치를 대변하고 있다1996년 한국 소비자만을 위한 스카치 위스키로 개발된 이래 윈저는 한국 위스키 시장을 선도해왔다 디아지오코리아는 20여년간 쌓아온 스카치 위스키의 정통성을 바탕으로 윈저 브랜드 역사상 최초로 스코틀랜드에서 17년간 숙성된 위스키 원액을 최적의 밸런스로 블렌딩하여 35도의 부드러운 맛과 향을 완성했다특히 부드러운 맛에 대한 선호도가 높은 한국 소비자들의 입맛을 사로잡기 위해 디아지오는 세계적인 마스터 블렌더 3명에게 각자의 이름을 걸고 최상의 부드러움을 만족시키는 블렌딩 해줄 것을 특별 주문했다업계 관계자는 “한번의 트렌드나 유행보다는 진정성과 제품의 가치로 승부를 거는 시그니처 제품 출시는 많은 것은 시사하고 있다”며 “하나의 제품이 시그니처 작품으로 재탄생하는 과정에서 제품이 지닌 가치에 집중하고 기존에 쌓아왔던 노하우를 총동원한다는 점에서 더 많은 고민과 더 깊은 통찰이 필요하기 때문”이라고 설명했다  ⓒ 세상을 보는 눈 글로벌 미디어 세계일보
