comment,like,recom_cnt,unlike,url
"삼성 - 인터넷에서는 졸라 빨리면서 판매량은 중고가라인으로 먹고삼, LG - 인터넷에서는 세계를 평정함, 애플 - 인터넷에서는 졸라 까이면서 실제로는 세계 1위기업, 단일 스마트폰 판매량 1위 ㅋㅋㅋㅋ",6,3,11,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
ㅋㅋㅋ 6부터 커지면서 예전처럼 귀티는 안 나요 ㅎㅎ 이젠 차별성이 없어요,30,3,13,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
그래서 삼성디스플레이가 올레드 공급한다는말은 어디로 갔죠?,3,2,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
애플이 갤럭시를 따라한다뇨? 처음엔 갤럭시가 따라하고 나중엔 아이폰이 조금... 음? 결국은 둘 다 따라하네? ㅎㅎ,17,2,8,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
아이폰 7s 살란다 화면만 크면 뭐해,2,2,7,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
아이폰8 물리 홈버튼 이 없다는건 좀..,1,1,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
애플이 폭스콘의 생산기지를 못 벗어나고 있다.중국얘들만 배불리고 있지.,1,1,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
아이폰 ios 완전 쓰레기로 변했어! 안드로이드 안전성만 개션 된다면 아이폰 쳐다도 안본다.,11,1,13,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
플러스보다 더 크면 많이 불편하겠다,6,1,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
상성이 빨리 나와야되겠네..보니까 아이폰이  빨리 나올폼이네ㅡ,18,1,6,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
"인간과 바퀴벌레 비교좀 그만해아 ㅎㅎ왜 자꾸 갤레기랑 비교하지?


자국 노비들 털어서 해외에서 무료로 풀어서 점유율 조금 높여놓고, 온갖 구라 날조로 노비들만 털어먹는 헬조센 조립업체ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ",3,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
윗부분 그냥 일자로 자르는게 낫지싶은데..,0,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
a10 ap가 엑시노스8895보다 테스트성능 4배빠른데 아이폰8 a11이면 삼성이 할수있는건 비슷하다고 구라치는거 말곤 할게없네 ㅋㅋㅋ,7,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
저 사이즈에 5.8인치 디스플레이라면 정말 베젤을 거의 다 없앴다는 거네. 기대된다.,11,0,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
"액정수리비 장난아니겠다.
보험들던지 케이스로 감던지,
케이스 쓰는분들은 디자인이 좋아서 아이폰 쓴다고 하지마시길,  케이스가 아이폰 감성을 막으니까",3,0,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
"뭔가 차별화가 필요하지 않을까요?? 지금 거의 모든 폰들은 베젤리스 , 홈버튼 없고, 디자인도 별로 차별화가 없고",5,0,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
"최슌실.정율라..그리고...
삼성..제품 안쓴다. 이제부턴",3,0,10,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
"이제 스마트폰 앞면은 다 똑같아지겠군....
뒷면이 유일한 디자인 차별화 방법인데 ...
케이스끼면 그것도 거기서 거기...
 음....그냥 베젤리스 뭐 이런거 필요없는데 난....ㅜㅜ",9,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
홈버튼 없애는 건 잘한 거여. 광활한 베젤을 없애려면 어쩔 수 없다.,25,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
이어폰 잭 꽂을 수 있게좀.. ㅋㅋ 아직 무언가 듣기인 선이 필요한거 같음;;ㅋㅋ,8,0,7,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0009307928
한국 스래끼,0,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=469&aid=0000206132
사진이 잘못 나온거냐? 아님 숫자를 잘못 적은거냐,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=004&oid=123&aid=0002161477
그래서 성과는 좀 있나요? 저렇게까지하는데,19,5,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
중국인들은 저렴한 스마트폰을 원한다,13,4,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
진짜 궁금해서 그러는데 왜 이러는 거야? 한국기업이 한국 내에서 자국민들에게 더 많은 혜택을 줘야하는게 당연한거 아닌가? 내 생각이 잘못된건가...? 왜 우리나라 기업들은 타국에만 잘 보이려 하고 자국민들은 천대하는거야? 이유 아시는 분,19,4,7,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
OS를 만들지 못하다보니 뭐하나 새로 하려고 해도 삼성이 직접 자질구레 앱을 만들어끼워넣지 않는한 어정쩡한 기술이 되고 마는가봅니다.,25,3,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
엎드려 절을해도 안죌꼰데~,5,1,7,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
"중국사람들 차러리 엘지쓰세요~
훨 양심적이고 폰도 더 튼튼합니다!!",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
삼성 댓글 알바는 BBC에서도 보도 됐지 오늘도 화이팅입니다요,2,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
우리가족은 삼성제품 안써요.,2,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
"중국은 미세먼지강국, 공산주의, 쫌생이 국가다. 망해야한다. 인도를 노려라.",3,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
삼성 갤럭시 s7. 1년쓰구 고장나게 만든거냐?,5,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
10퍼만 넘겨도 대박인데,5,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
엽충엽충 !!!! 쒼난다 쒼나 !! ㅋㅋ,7,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
"A9 프로 , C9 프로  국내에 좀 출시하자 .",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
판매순위 기타 분류 업체의 마지막 발악?,8,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
