comment,like,recom_cnt,unlike,url
많이 위험할텐데..ㅠㅠ 그 일을 직업으로 하시는 분들도 계실테니.. 항상 조심 또 조심하세요. 약속을 지키는 모습이 아름답습니다.,19,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
도전하는 정신이 멋있다고 생각합니다! 지금까지 응원해왔고 앞으로도 응원하겠습니다!,21,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ명수형 욕하는그림 살포시 상상된다 열일하시니까 출연료많이받으시겠다!!,9,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
하지말지 ㅠㅜ,14,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
와 미쳤어ㅠㅠㅠㅠㅠㅠㅠ,10,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
헉! 왜 저높은 빌딩을 닦고 있는지 이유는 나중에 방송보면 알겠지만 이러다 진짜 두바이빌딩가는거 아니겠지..ㄷㄷㅎㅎㅎ,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
무한도전 위기야 아저씨가 초창기처럼 멱살잡고 캐리해줘,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
오타 방소인->방송인,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
롯데가 홍보하려고 피디한테 돈 얼마나 처먹였을까 꼭대기 올라가보면 미세먼지 때문에 뵈늡것도 없고 별것도 없는데 값만 비싸더라,1,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
무리수 두지 마시고 명수옹 몸 좀 사려요.. 오래 사셔야죠;;,1,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=106&oid=421&aid=0002760922
ㅠㅠ순간 제목만보고 살까햇는데 가격50부터...최저50이며누ㅜ ㅜ 55 ...결코저렴한건아니다..그냥 섬투어나가야지..,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004003858
너무 보기좋아요 어쩜 잘생겻다고 친구를 질투하고 그러면 안되요 알겟죠?친구끼리 서로 감싸줘야죠..!퍼그가 잘생겻다구 미워하고 그러면 안됨 잘생긴건 죄가아님 ㅋㅋ밤은고슬고슬 하죵? 저 보면 기절합니다,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=366&aid=0000370686
