category,date,href,number,president,sub_category,title
국정전반,2008.02.25,?spMode=view&catid=c_pa02062&artid=1310127,819,이명박,취임사,제17 대 대통령 취임사
국방,2008.02.28,?spMode=view&catid=c_pa02062&artid=1310128,818,이명박,치사,학군사관후보생 제46기 임관식 축사
국정전반,2008.03.01,?spMode=view&catid=c_pa02062&artid=1310129,817,이명박,기념사,제89주년 3·1절 기념사
국방,2008.03.05,?spMode=view&catid=c_pa02062&artid=1310130,816,이명박,치사,2008 KR/FE 연습 격려편지
정치/사회,2008.03.10,?spMode=view&catid=c_pa02062&artid=1310131,815,이명박,기념사,한국노동조합총연맹 창립 제62주년 축사
국방,2008.03.11,?spMode=view&catid=c_pa02062&artid=1310132,814,이명박,치사,육군사관학교 제64기 졸업 및 임관식 축사
국방,2008.03.14,?spMode=view&catid=c_pa02062&artid=1310133,813,이명박,치사,육군3사관학교 제43기 졸업 및 임관식 축사
정치/사회,2008.03.15,?spMode=view&catid=c_pa02062&artid=1310134,812,이명박,기념사,제48주년 3·15의거 기념사
국방,2008.03.18,?spMode=view&catid=c_pa02062&artid=1310135,811,이명박,치사,해군사관학교 제62기 졸업 및 임관식 축사
산업/경제,2008.03.19,?spMode=view&catid=c_pa02062&artid=1310136,810,이명박,기념사,제35회 상공의 날 축사
기타,2008.03.20,?spMode=view&catid=c_pa02062&artid=1310137,809,이명박,치사,추비선 어린이에게 보내는 편지
국방,2008.03.21,?spMode=view&catid=c_pa02062&artid=1310138,808,이명박,치사,공군사관학교 제56기 졸업 및 임관식 축사
기타,2008.03.22,?spMode=view&catid=c_pa02062&artid=1310139,807,이명박,치사,원담 대종사 조의메시지
기타,2008.03.22,?spMode=view&catid=c_pa02062&artid=1310140,806,이명박,기념사,2008 세계 물의 날 기념 청계천 걷기 대회 축사
정치/사회,2008.03.26,?spMode=view&catid=c_pa02062&artid=1310141,805,이명박,치사,국민통합실천전국협의회 창립대회축사
정치/사회,2008.03.28,?spMode=view&catid=c_pa02062&artid=1310142,804,이명박,치사,6·25 참전 유공자의 국가유공자 지정 경축행사 축사
기타,2008.04.04,?spMode=view&catid=c_pa02062&artid=1310143,803,이명박,기념사,제52회 신문의 날 기념사
문화/체육/관광,2008.04.04,?spMode=view&catid=c_pa02062&artid=1310144,802,이명박,치사,"문화일보 지령 5,000호 발간 축하 메시지"
국방,2008.04.04,?spMode=view&catid=c_pa02062&artid=1310145,801,이명박,치사,제40주년 향토 예비군의 날 축하 메시지
환경,2008.04.07,?spMode=view&catid=c_pa02062&artid=1310146,800,이명박,기념사,제36회 보건의 날 축사
외교/통상,2008.04.13,?spMode=view&catid=c_pa02062&artid=1310147,799,이명박,성명/담화문,미·일 순방 관련 기자회견 모두 연설
외교/통상,2008.04.15,?spMode=view&catid=c_pa02062&artid=1310148,798,이명박,성명/담화문,미·일 순방 출국 메시지
외교/통상,2008.04.15,?spMode=view&catid=c_pa02062&artid=1310149,797,이명박,성명/담화문,[미국방문] 뉴욕동포 간담회 격려사
외교/통상,2008.04.15,?spMode=view&catid=c_pa02062&artid=1310154,796,이명박,만찬사,영연방 UN 참전 용사 초청 환영만찬 격려사
외교/통상,2008.04.15,?spMode=view&catid=c_pa02062&artid=1310150,795,이명박,만찬사,[미국방문] 코리아 소사이어티 주최 만찬사
외교/통상,,?spMode=view&catid=c_pa02062&artid=1329877,794,이명박,치사,[미국 방문] Global Korea: A Gateway to Asia
외교/통상,2008.04.16,?spMode=view&catid=c_pa02062&artid=1310151,793,이명박,성명/담화문,[미국방문] 워싱턴 동포 간담회 격려사
산업/경제,2008.04.16,?spMode=view&catid=c_pa02062&artid=1310155,792,이명박,기념사,제9회 서울국제금융포럼 개막식 축사
외교/통상,2008.04.16,?spMode=view&catid=c_pa02062&artid=1310152,791,이명박,성명/담화문,[미국방문] 뉴욕 한국투자설명회 연설
외교/통상,,?spMode=view&catid=c_pa02062&artid=1329879,790,이명박,기타(연설),"[미국 방문] Towards a Renewed Partnership of Shared Values, Friendship, and Prosperity"
외교/통상,2008.04.17,?spMode=view&catid=c_pa02062&artid=1310153,789,이명박,만찬사,[미국방문] 미 상공회의소 및 한·미 재계회의 공동 주최만찬사
정치/사회,2008.04.17,?spMode=view&catid=c_pa02062&artid=1310156,788,이명박,만찬사,4·19혁명 제48주년 기념 국가조찬기도회 축사
문화/체육/관광,2008.04.17,?spMode=view&catid=c_pa02062&artid=1310157,787,이명박,기념사,2008 함평 세계 나비·곤충 엑스포 개막식 축사
기타,2008.04.18,?spMode=view&catid=c_pa02062&artid=1310158,786,이명박,기념사,제28회 장애인의 날 기념사
외교/통상,2008.04.20,?spMode=view&catid=c_pa02062&artid=1310159,785,이명박,성명/담화문,[일본 방문]재일동포 간담회 격려사
외교/통상,2008.04.21,?spMode=view&catid=c_pa02062&artid=1310160,784,이명박,성명/담화문,[일본 방문]일본 경제단체 주최 오찬사
외교/통상,2008.04.23,?spMode=view&catid=c_pa02062&artid=1310161,783,이명박,치사,나라기록관 개관식 축사
기타,2008.04.28,?spMode=view&catid=c_pa02062&artid=1310162,782,이명박,치사,원기 93년 원불교 대각개교절 봉축 메시지
