star,comment
1,ㅇㄴㅁㄹ호ㅓㅂㄷ교ㅑ  
1,"ㅡ.ㅡ,!^%♡-~,?!'@  "
1,"글쎄요,.,.,.,  "
6,이걸지금영화라고..괵도원혼자다이끌어가고황정민 천우희는당췌 왜나온건지..  
2,넘난해한내용..개인적으로영화결론해석을인터넷으로찾아봐야되는..짜증나는영화..  
2,완전 과대포장된 영화이딴 영화가지고 아티스트 코스프레하는 감독이나 연기자들이나 한심하다  
6,엔딩스토리가없고  내용에비해영화상영시간이너무길다  
1,씹노잼개노잼핵노잼우ㅜ우우ㅜ아오아앙어ㅗㅇ나닌  
1,최악의영화ㅡㅡ기분이 찝찝하고 다신보고싶지않은 그런영화. .  
5,시종일관 산만하고 우당탕거려서 좀 집중이 안됐어요  
6,난 별루. .  .ㅠㅠㅠㅠ  
5,내 개인적으론 귀만 아픈영화 꽥꽥 거리다 끝남  
8,영화는신선하고몰입감을주긴했지만보고나오면 뭔가 기분나쁜느낌을 주는영화돈주고스트레스산느낌..?ㅋ  
6,주관적으로는 영화이해도잘안되고....별로 와닿는게없는듯싶네요  
1,난 별루 기대를 많이햤나  
5,시간아까운....영화였어요  
6,영화에 의도를 모르겠고 찜찜하고 짜증나요 ㅋㅋ  
6,너무 산만하고 내용이  부적절함  
5,그냥징그럽기만 하고 소소  
5,내용에 비해 너무긴 영화이고 스토리도 마지막에 흐지부지 되는것같습니다  
8,배우들 연기도 좋은것같고 재밌게 봤어요~^^  
9,황정민연기에소름..  
10,영화좋아하는사람은 열광할수밖에  
7,"검은사제들과 평면적 비교가 가능하다. 초자연적인 문제 해결에는 서구적 해법과 한국적 샤먼의 해법, 모두 나름의 기제를 지니고 있다는 것을 보여주었다. 허나 곡성은 분명한 인과를 보여주지 못했다.  "
7,영화를 다 봤으나 결말이 무엇인지 알 수 없던 영화  
3,스토리는좋은데 너무무섭고... 진짜귀신씌일꺼같은영화 ㅎ 개인적으로 이런물을 별로안좋아해서그런지 ... 가족과보기에는비추인듯합니다 ㄷㄷ  
7,이해가안됨 뜬금없는 좀비씬  
2,아..정말..어이없고 찝찝하고ㅡㅅㅡ괜히봤다는 생각뿐..  
6,기대를 너무 한거같아요 ㅎㅎ  
2,재미가없어서돈이아꺼워요  
7,결말을 너무 열어두셨네..  
6,음.. 결말이 마음에 안드네요  
4,극단으로 몰고가는 솜씨가 뛰어나네요. 잘 봤습니다.  
5,생각.기대이하..ㅜㅠ  
5,끝나고나서 머리가 아팠어요  
2,헐 ‥전에 황해 보다가 피범벅 뭔가 더러운 잔인함에   보다 나왔는데 황해감독인지 모르고 봤네요 ‥보고나서 찜찜한영화  
8,피가 너무 나오고 잔인하서 15세보단 19세가 어울릴거같아요 ㅠ  
5,"이 영화가 어떻게 15세등급을 받았는지 의문이 드네요.. 잔인함을 둘째치고 상황, 흐름이 주는 스릴과 공포가 정신적으로 정말 충격적이고 찝찝함이 정말큰데 청소년들이 봤을 땐 충격이 더클거같네요...러닝타임내내 스릴과 소름돋습니다..되도록 보지마세요..  "
8,추상적인결말...중간에 좀비같은놈이랑 싸우는 부분이 너무 별로였음 코메딘줄  
5,기대했던것보다 별로...  
1,개떡같은영화네요 뭣이중헌디  
1,워킹데드인줄 드럽게도 재미없고 무섭지도않고 주인공은 고함만지르고 영화비가 아까움 여자는 이뻣음  
1,무슨영화가 결말이 이따구예요  
1,저는 개인적으로 별루였던거 같아여  
1,시나리오를 알수가 없네요  
