date,sales
1992-01,4889
1992-02,5197
1992-03,6061
1992-04,6720
1992-05,6811
1992-06,6579
1992-07,6598
1992-08,7536
1992-09,6923
1992-10,7566
1992-11,8257
1992-12,12804
1993-01,5480
1993-02,5322
1993-03,6390
1993-04,7155
1993-05,7175
1993-06,6770
1993-07,6954
1993-08,7438
1993-09,7144
1993-10,7585
1993-11,8558
1993-12,12753
1994-01,5166
1994-02,5464
1994-03,7145
1994-04,7062
1994-05,6993
1994-06,6995
1994-07,6886
1994-08,7824
1994-09,7229
1994-10,7772
1994-11,8873
1994-12,13397
1995-01,5377
1995-02,5516
1995-03,6995
1995-04,7131
1995-05,7246
1995-06,7140
1995-07,6863
1995-08,7790
1995-09,7618
1995-10,7484
1995-11,9055
1995-12,13201
1996-01,5375
1996-02,6105
1996-03,7246
1996-04,7335
1996-05,7712
1996-06,7337
1996-07,7059
1996-08,8374
1996-09,7554
1996-10,8087
1996-11,9180
1996-12,13109
1997-01,5833
1997-02,5949
1997-03,7695
1997-04,7161
1997-05,7978
1997-06,7506
1997-07,7602
1997-08,8877
1997-09,7859
1997-10,8500
1997-11,9594
1997-12,13952
1998-01,6282
1998-02,6419
1998-03,7795
1998-04,8478
1998-05,8501
1998-06,8044
1998-07,8272
1998-08,9189
1998-09,8099
1998-10,9054
1998-11,10093
1998-12,14668
1999-01,6617
1999-02,6928
1999-03,8734
1999-04,8973
1999-05,9237
1999-06,8689
1999-07,8869
1999-08,9764
1999-09,8970
1999-10,9481
1999-11,10577
1999-12,15552
2000-01,6726
2000-02,7514
2000-03,9330
2000-04,9472
2000-05,9551
2000-06,9203
2000-07,8910
2000-08,10378
2000-09,9731
2000-10,9868
2000-11,11512
2000-12,16422
2001-01,7263
2001-02,7866
2001-03,9535
2001-04,9710
2001-05,9711
2001-06,9324
2001-07,9063
2001-08,10584
2001-09,8928
2001-10,9843
2001-11,11211
2001-12,16470
2002-01,7508
2002-02,8002
2002-03,10203
2002-04,9548
2002-05,9906
2002-06,9530
2002-07,9298
2002-08,10755
2002-09,9128
2002-10,10408
2002-11,11618
2002-12,16721
2003-01,7891
2003-02,7892
2003-03,9874
2003-04,9920
2003-05,10431
2003-06,9758
2003-07,10003
2003-08,11055
2003-09,9941
2003-10,10763
2003-11,12058
2003-12,17535
