date,shipment
1992-01,3519
1992-02,3803
1992-03,4332
1992-04,4251
1992-05,4661
1992-06,4811
1992-07,4448
1992-08,4451
1992-09,4343
1992-10,4067
1992-11,4001
1992-12,3934
1993-01,3652
1993-02,3768
1993-03,4082
1993-04,4101
1993-05,4628
1993-06,4898
1993-07,4476
1993-08,4728
1993-09,4458
1993-10,4004
1993-11,4095
1993-12,4056
1994-01,3641
1994-02,3966
1994-03,4417
1994-04,4367
1994-05,4821
1994-06,5190
1994-07,4638
1994-08,4904
1994-09,4528
1994-10,4383
1994-11,4339
1994-12,4327
1995-01,3856
1995-02,4072
1995-03,4563
1995-04,4561
1995-05,4984
1995-06,5316
1995-07,4843
1995-08,5383
1995-09,4889
1995-10,4681
1995-11,4466
1995-12,4463
1996-01,4217
1996-02,4322
1996-03,4779
1996-04,4988
1996-05,5383
1996-06,5591
1996-07,5322
1996-08,5404
1996-09,5106
1996-10,4871
1996-11,4977
1996-12,4706
1997-01,4193
1997-02,4460
1997-03,4956
1997-04,5022
1997-05,5408
1997-06,5565
1997-07,5360
1997-08,5490
1997-09,5286
1997-10,5257
1997-11,5002
1997-12,4897
1998-01,4577
1998-02,4764
1998-03,5052
1998-04,5251
1998-05,5558
1998-06,5931
1998-07,5476
1998-08,5603
1998-09,5425
1998-10,5177
1998-11,4792
1998-12,4776
1999-01,4450
1999-02,4659
1999-03,5043
1999-04,5233
1999-05,5423
1999-06,5814
1999-07,5339
1999-08,5474
1999-09,5278
1999-10,5184
1999-11,4975
1999-12,4751
2000-01,4600
2000-02,4718
2000-03,5218
2000-04,5336
2000-05,5665
2000-06,5900
2000-07,5330
2000-08,5626
2000-09,5512
2000-10,5293
2000-11,5143
2000-12,4842
2001-01,4627
2001-02,4881
2001-03,5321
2001-04,5290
2001-05,6002
2001-06,5811
2001-07,5671
2001-08,6102
2001-09,5482
2001-10,5429
2001-11,5356
2001-12,5167
2002-01,4608
2002-02,4889
2002-03,5352
2002-04,5441
2002-05,5970
2002-06,5750
2002-07,5670
2002-08,5860
2002-09,5449
2002-10,5401
2002-11,5240
2002-12,5229
2003-01,4770
2003-02,5006
2003-03,5518
2003-04,5576
2003-05,6160
2003-06,6121
2003-07,5900
2003-08,5994
2003-09,5841
2003-10,5832
2003-11,5505
2003-12,5573
2004-01,5331
2004-02,5355
2004-03,6057
2004-04,6055
2004-05,6771
2004-06,6669
2004-07,6375
2004-08,6666
2004-09,6383
2004-10,6118
2004-11,5927
2004-12,5750
2005-01,5122
2005-02,5398
2005-03,5817
2005-04,6163
2005-05,6763
2005-06,6835
2005-07,6678
2005-08,6821
2005-09,6421
2005-10,6338
2005-11,6265
2005-12,6291
2006-01,5540
2006-02,5822
2006-03,6318
2006-04,6268
2006-05,7270
2006-06,7096
2006-07,6505
2006-08,7039
2006-09,6440
2006-10,6446
2006-11,6717
2006-12,6320
