"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160301","화","여","60대이상","서울특별시","강남구","치킨","25"
"20160301","화","여","10대","서울특별시","강남구","치킨","28"
"20160301","화","남","40대","서울특별시","강남구","치킨","135"
"20160301","화","남","30대","서울특별시","강남구","치킨","202"
"20160301","화","남","60대이상","서울특별시","강남구","치킨","27"
"20160301","화","여","30대","서울특별시","강남구","치킨","226"
"20160301","화","남","10대","서울특별시","강남구","치킨","38"
"20160301","화","여","50대","서울특별시","강남구","치킨","73"
"20160301","화","남","50대","서울특별시","강남구","치킨","61"
"20160301","화","남","20대","서울특별시","강남구","치킨","158"
"20160301","화","여","20대","서울특별시","강남구","치킨","161"
"20160301","화","여","40대","서울특별시","강남구","치킨","223"
"20160301","화","남","10대","서울특별시","강동구","치킨","24"
"20160301","화","남","60대이상","서울특별시","강동구","치킨","9"
"20160301","화","여","30대","서울특별시","강동구","치킨","139"
"20160301","화","여","40대","서울특별시","강동구","치킨","143"
"20160301","화","여","10대","서울특별시","강동구","치킨","23"
"20160301","화","남","40대","서울특별시","강동구","치킨","96"
"20160301","화","여","60대이상","서울특별시","강동구","치킨","22"
"20160301","화","여","20대","서울특별시","강동구","치킨","77"
"20160301","화","남","20대","서울특별시","강동구","치킨","97"
"20160301","화","남","50대","서울특별시","강동구","치킨","42"
"20160301","화","여","50대","서울특별시","강동구","치킨","43"
"20160301","화","남","30대","서울특별시","강동구","치킨","115"
"20160301","화","여","10대","서울특별시","강북구","치킨","22"
"20160301","화","여","60대이상","서울특별시","강북구","치킨","15"
"20160301","화","남","30대","서울특별시","강북구","치킨","128"
"20160301","화","남","40대","서울특별시","강북구","치킨","77"
"20160301","화","남","10대","서울특별시","강북구","치킨","29"
"20160301","화","여","40대","서울특별시","강북구","치킨","170"
"20160301","화","남","60대이상","서울특별시","강북구","치킨","16"
"20160301","화","남","20대","서울특별시","강북구","치킨","71"
"20160301","화","여","20대","서울특별시","강북구","치킨","79"
"20160301","화","여","50대","서울특별시","강북구","치킨","42"
"20160301","화","남","50대","서울특별시","강북구","치킨","22"
"20160301","화","여","30대","서울특별시","강북구","치킨","151"
"20160301","화","여","60대이상","서울특별시","강서구","치킨","41"
"20160301","화","여","10대","서울특별시","강서구","치킨","56"
"20160301","화","남","50대","서울특별시","강서구","치킨","80"
"20160301","화","여","20대","서울특별시","강서구","치킨","210"
"20160301","화","남","60대이상","서울특별시","강서구","치킨","37"
"20160301","화","남","20대","서울특별시","강서구","치킨","151"
"20160301","화","남","10대","서울특별시","강서구","치킨","52"
"20160301","화","여","40대","서울특별시","강서구","치킨","245"
"20160301","화","남","40대","서울특별시","강서구","치킨","156"
"20160301","화","여","30대","서울특별시","강서구","치킨","319"
"20160301","화","남","30대","서울특별시","강서구","치킨","273"
"20160301","화","여","50대","서울특별시","강서구","치킨","68"
"20160301","화","남","60대이상","서울특별시","관악구","치킨","21"
"20160301","화","남","10대","서울특별시","관악구","치킨","34"
"20160301","화","여","50대","서울특별시","관악구","치킨","57"
"20160301","화","남","20대","서울특별시","관악구","치킨","241"
"20160301","화","여","60대이상","서울특별시","관악구","치킨","22"
"20160301","화","여","20대","서울특별시","관악구","치킨","180"
"20160301","화","여","10대","서울특별시","관악구","치킨","32"
"20160301","화","남","40대","서울특별시","관악구","치킨","132"
"20160301","화","여","40대","서울특별시","관악구","치킨","142"
"20160301","화","남","30대","서울특별시","관악구","치킨","252"
"20160301","화","여","30대","서울특별시","관악구","치킨","215"
"20160301","화","남","50대","서울특별시","관악구","치킨","36"
"20160301","화","남","10대","서울특별시","광진구","치킨","34"
"20160301","화","남","60대이상","서울특별시","광진구","치킨","7"
"20160301","화","여","30대","서울특별시","광진구","치킨","90"
"20160301","화","여","40대","서울특별시","광진구","치킨","84"
"20160301","화","여","10대","서울특별시","광진구","치킨","21"
"20160301","화","남","40대","서울특별시","광진구","치킨","47"
"20160301","화","여","60대이상","서울특별시","광진구","치킨","14"
"20160301","화","여","20대","서울특별시","광진구","치킨","90"
"20160301","화","남","20대","서울특별시","광진구","치킨","80"
"20160301","화","남","50대","서울특별시","광진구","치킨","18"
"20160301","화","여","50대","서울특별시","광진구","치킨","42"
"20160301","화","남","30대","서울특별시","광진구","치킨","94"
"20160301","화","여","60대이상","서울특별시","구로구","치킨","22"
"20160301","화","여","10대","서울특별시","구로구","치킨","35"
"20160301","화","남","50대","서울특별시","구로구","치킨","28"
"20160301","화","여","20대","서울특별시","구로구","치킨","136"
"20160301","화","남","60대이상","서울특별시","구로구","치킨","18"
"20160301","화","남","20대","서울특별시","구로구","치킨","104"
"20160301","화","남","10대","서울특별시","구로구","치킨","53"
"20160301","화","여","40대","서울특별시","구로구","치킨","191"
"20160301","화","남","40대","서울특별시","구로구","치킨","81"
"20160301","화","여","30대","서울특별시","구로구","치킨","180"
"20160301","화","남","30대","서울특별시","구로구","치킨","147"
"20160301","화","여","50대","서울특별시","구로구","치킨","68"
"20160301","화","남","60대이상","서울특별시","금천구","치킨","8"
"20160301","화","남","10대","서울특별시","금천구","치킨","32"
"20160301","화","여","50대","서울특별시","금천구","치킨","26"
"20160301","화","남","20대","서울특별시","금천구","치킨","61"
"20160301","화","여","60대이상","서울특별시","금천구","치킨","15"
"20160301","화","여","20대","서울특별시","금천구","치킨","51"
