"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20161101","화","남","10대","서울특별시","강남구","일원동","치킨","5"
"20161101","화","남","10대","서울특별시","강남구","역삼동","치킨","7"
"20161101","화","여","30대","서울특별시","강남구","대치동","치킨","5"
"20161101","화","남","10대","서울특별시","강남구","도곡동","치킨","5"
"20161101","화","여","20대","서울특별시","강남구","논현동","치킨","13"
"20161101","화","남","20대","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","20대","서울특별시","강남구","삼성동","치킨","21"
"20161101","화","여","10대","서울특별시","강남구","개포동","치킨","5"
"20161101","화","남","50대","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","50대","서울특별시","강남구","삼성동","치킨","8"
"20161101","화","여","50대","서울특별시","강남구","논현동","치킨","8"
"20161101","화","남","40대","서울특별시","강남구","대치동","치킨","7"
"20161101","화","남","60대이상","서울특별시","강남구","삼성동","치킨","5"
"20161101","화","여","20대","서울특별시","강남구","역삼동","치킨","50"
"20161101","화","여","30대","서울특별시","강남구","세곡동","치킨","5"
"20161101","화","여","20대","서울특별시","강남구","도곡동","치킨","5"
"20161101","화","여","20대","서울특별시","강남구","일원동","치킨","5"
"20161101","화","여","40대","서울특별시","강남구","수서동","치킨","5"
"20161101","화","여","10대","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","10대","서울특별시","강남구","논현동","치킨","5"
"20161101","화","남","20대","서울특별시","강남구","개포동","치킨","6"
"20161101","화","여","10대","서울특별시","강남구","삼성동","치킨","5"
"20161101","화","남","50대","서울특별시","강남구","개포동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강남구","일원동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강남구","역삼동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강남구","도곡동","치킨","5"
"20161101","화","남","40대","서울특별시","강남구","세곡동","치킨","5"
"20161101","화","남","30대","서울특별시","강남구","수서동","치킨","5"
"20161101","화","여","50대","서울특별시","강남구","도곡동","치킨","6"
"20161101","화","여","50대","서울특별시","강남구","일원동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강남구","개포동","치킨","5"
"20161101","화","여","50대","서울특별시","강남구","역삼동","치킨","11"
"20161101","화","남","40대","서울특별시","강남구","수서동","치킨","5"
"20161101","화","남","20대","서울특별시","강남구","일원동","치킨","8"
"20161101","화","남","30대","서울특별시","강남구","세곡동","치킨","5"
"20161101","화","남","20대","서울특별시","강남구","역삼동","치킨","41"
"20161101","화","남","20대","서울특별시","강남구","도곡동","치킨","5"
"20161101","화","여","10대","서울특별시","강남구","논현동","치킨","5"
"20161101","화","남","10대","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","10대","서울특별시","강남구","삼성동","치킨","8"
"20161101","화","여","20대","서울특별시","강남구","개포동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강남구","일원동","치킨","5"
"20161101","화","여","30대","서울특별시","강남구","수서동","치킨","5"
"20161101","화","여","50대","서울특별시","강남구","개포동","치킨","6"
"20161101","화","여","40대","서울특별시","강남구","세곡동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강남구","역삼동","치킨","5"
"20161101","화","남","50대","서울특별시","강남구","역삼동","치킨","11"
"20161101","화","남","50대","서울특별시","강남구","일원동","치킨","5"
"20161101","화","여","10대","서울특별시","강남구","역삼동","치킨","6"
"20161101","화","여","10대","서울특별시","강남구","도곡동","치킨","5"
"20161101","화","여","10대","서울특별시","강남구","일원동","치킨","5"
"20161101","화","여","20대","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","20대","서울특별시","강남구","논현동","치킨","24"
"20161101","화","남","10대","서울특별시","강남구","개포동","치킨","5"
"20161101","화","여","20대","서울특별시","강남구","삼성동","치킨","16"
"20161101","화","여","50대","서울특별시","강남구","삼성동","치킨","16"
"20161101","화","여","40대","서울특별시","강남구","대치동","치킨","22"
"20161101","화","여","50대","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","50대","서울특별시","강남구","논현동","치킨","8"
"20161101","화","여","60대이상","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강남구","삼성동","치킨","5"
"20161101","화","남","40대","서울특별시","강남구","신사동","치킨","6"
"20161101","화","남","40대","서울특별시","강남구","삼성동","치킨","21"
"20161101","화","여","40대","서울특별시","강남구","논현동","치킨","28"
"20161101","화","남","50대","서울특별시","강남구","대치동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강남구","대치동","치킨","5"
"20161101","화","남","10대","서울특별시","강남구","수서동","치킨","5"
"20161101","화","여","30대","서울특별시","강남구","신사동","치킨","11"
"20161101","화","여","30대","서울특별시","강남구","삼성동","치킨","38"
"20161101","화","남","30대","서울특별시","강남구","논현동","치킨","23"
"20161101","화","남","20대","서울특별시","강남구","대치동","치킨","7"
"20161101","화","남","40대","서울특별시","강남구","개포동","치킨","5"
"20161101","화","여","40대","서울특별시","강남구","도곡동","치킨","11"
"20161101","화","여","40대","서울특별시","강남구","일원동","치킨","7"
"20161101","화","여","20대","서울특별시","강남구","수서동","치킨","5"
"20161101","화","여","40대","서울특별시","강남구","역삼동","치킨","40"
"20161101","화","여","30대","서울특별시","강남구","개포동","치킨","12"
"20161101","화","남","30대","서울특별시","강남구","도곡동","치킨","5"
"20161101","화","남","30대","서울특별시","강남구","일원동","치킨","6"
"20161101","화","남","30대","서울특별시","강남구","역삼동","치킨","53"
"20161101","화","여","40대","서울특별시","강남구","개포동","치킨","17"
"20161101","화","남","40대","서울특별시","강남구","역삼동","치킨","34"
"20161101","화","남","40대","서울특별시","강남구","도곡동","치킨","5"
"20161101","화","남","40대","서울특별시","강남구","일원동","치킨","5"
"20161101","화","남","30대","서울특별시","강남구","개포동","치킨","9"
"20161101","화","여","20대","서울특별시","강남구","세곡동","치킨","5"
"20161101","화","남","10대","서울특별시","강남구","대치동","치킨","5"
"20161101","화","여","30대","서울특별시","강남구","역삼동","치킨","51"
"20161101","화","여","30대","서울특별시","강남구","도곡동","치킨","11"
"20161101","화","여","30대","서울특별시","강남구","일원동","치킨","5"
"20161101","화","여","40대","서울특별시","강남구","삼성동","치킨","60"
"20161101","화","여","50대","서울특별시","강남구","대치동","치킨","5"
"20161101","화","여","40대","서울특별시","강남구","신사동","치킨","5"
"20161101","화","남","40대","서울특별시","강남구","논현동","치킨","11"
"20161101","화","여","60대이상","서울특별시","강남구","대치동","치킨","5"
"20161101","화","남","30대","서울특별시","강남구","삼성동","치킨","45"
"20161101","화","남","30대","서울특별시","강남구","신사동","치킨","6"
"20161101","화","여","30대","서울특별시","강남구","논현동","치킨","22"
"20161101","화","여","20대","서울특별시","강남구","대치동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강동구","암사동","치킨","5"
"20161101","화","남","30대","서울특별시","강동구","천호동","치킨","6"
"20161101","화","여","30대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","남","30대","서울특별시","강동구","성내동","치킨","59"
"20161101","화","여","40대","서울특별시","강동구","길동","치킨","5"
"20161101","화","여","50대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","여","40대","서울특별시","강동구","성내동","치킨","53"
"20161101","화","여","20대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","여","40대","서울특별시","강동구","천호동","치킨","9"
"20161101","화","남","40대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","남","30대","서울특별시","강동구","길동","치킨","9"
"20161101","화","남","30대","서울특별시","강동구","상일동","치킨","5"
"20161101","화","여","40대","서울특별시","강동구","명일동","치킨","10"
"20161101","화","여","40대","서울특별시","강동구","상일동","치킨","5"
"20161101","화","남","10대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","여","30대","서울특별시","강동구","상일동","치킨","5"
"20161101","화","남","40대","서울특별시","강동구","명일동","치킨","5"
"20161101","화","여","10대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","남","40대","서울특별시","강동구","상일동","치킨","5"
"20161101","화","여","30대","서울특별시","강동구","명일동","치킨","10"
"20161101","화","여","30대","서울특별시","강동구","천호동","치킨","8"
"20161101","화","남","30대","서울특별시","강동구","강일동","치킨","7"
"20161101","화","남","60대이상","서울특별시","강동구","암사동","치킨","7"
"20161101","화","여","30대","서울특별시","강동구","성내동","치킨","66"
"20161101","화","여","30대","서울특별시","강동구","고덕동","치킨","5"
"20161101","화","남","50대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","남","40대","서울특별시","강동구","길동","치킨","5"
"20161101","화","남","40대","서울특별시","강동구","천호동","치킨","5"
"20161101","화","여","40대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","남","20대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","남","40대","서울특별시","강동구","고덕동","치킨","5"
"20161101","화","남","40대","서울특별시","강동구","성내동","치킨","42"
"20161101","화","여","30대","서울특별시","강동구","길동","치킨","8"
"20161101","화","남","10대","서울특별시","강동구","명일동","치킨","5"
"20161101","화","여","50대","서울특별시","강동구","성내동","치킨","12"
"20161101","화","여","20대","서울특별시","강동구","길동","치킨","5"
"20161101","화","여","50대","서울특별시","강동구","천호동","치킨","5"
"20161101","화","남","50대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강동구","천호동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강동구","성내동","치킨","8"
"20161101","화","남","30대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강동구","길동","치킨","5"
"20161101","화","여","50대","서울특별시","강동구","길동","치킨","5"
"20161101","화","여","20대","서울특별시","강동구","천호동","치킨","6"
"20161101","화","남","20대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","여","20대","서울특별시","강동구","성내동","치킨","19"
"20161101","화","여","40대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","여","20대","서울특별시","강동구","명일동","치킨","5"
"20161101","화","여","50대","서울특별시","강동구","상일동","치킨","5"
"20161101","화","남","10대","서울특별시","강동구","길동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강동구","명일동","치킨","5"
"20161101","화","남","10대","서울특별시","강동구","고덕동","치킨","5"
"20161101","화","남","10대","서울특별시","강동구","성내동","치킨","18"
"20161101","화","남","10대","서울특별시","강동구","천호동","치킨","5"
"20161101","화","여","10대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","여","50대","서울특별시","강동구","명일동","치킨","6"
"20161101","화","남","20대","서울특별시","강동구","명일동","치킨","5"
"20161101","화","여","10대","서울특별시","강동구","길동","치킨","5"
"20161101","화","남","50대","서울특별시","강동구","상일동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강동구","명일동","치킨","5"
"20161101","화","여","10대","서울특별시","강동구","천호동","치킨","5"
"20161101","화","남","10대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","남","50대","서울특별시","강동구","명일동","치킨","5"
"20161101","화","여","10대","서울특별시","강동구","성내동","치킨","12"
"20161101","화","남","50대","서울특별시","강동구","천호동","치킨","6"
"20161101","화","여","50대","서울특별시","강동구","강일동","치킨","5"
"20161101","화","여","10대","서울특별시","강동구","명일동","치킨","5"
"20161101","화","남","20대","서울특별시","강동구","길동","치킨","5"
"20161101","화","남","50대","서울특별시","강동구","고덕동","치킨","5"
"20161101","화","남","50대","서울특별시","강동구","성내동","치킨","16"
"20161101","화","남","60대이상","서울특별시","강동구","성내동","치킨","7"
"20161101","화","여","60대이상","서울특별시","강동구","강일동","치킨","5"
"20161101","화","여","30대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강동구","길동","치킨","5"
"20161101","화","남","40대","서울특별시","강동구","암사동","치킨","5"
"20161101","화","남","20대","서울특별시","강동구","고덕동","치킨","5"
"20161101","화","남","20대","서울특별시","강동구","성내동","치킨","40"
"20161101","화","남","20대","서울특별시","강동구","천호동","치킨","5"
"20161101","화","여","10대","서울특별시","강동구","상일동","치킨","5"
"20161101","화","남","50대","서울특별시","강동구","길동","치킨","5"
"20161101","화","남","10대","서울특별시","강북구","미아동","치킨","23"
"20161101","화","남","10대","서울특별시","강북구","번동","치킨","5"
"20161101","화","여","50대","서울특별시","강북구","수유동","치킨","5"
"20161101","화","여","60대이상","서울특별시","강북구","미아동","치킨","15"
"20161101","화","여","60대이상","서울특별시","강북구","번동","치킨","5"
"20161101","화","여","50대","서울특별시","강북구","미아동","치킨","30"
"20161101","화","여","50대","서울특별시","강북구","번동","치킨","6"
"20161101","화","여","20대","서울특별시","강북구","미아동","치킨","46"
"20161101","화","여","20대","서울특별시","강북구","번동","치킨","7"
"20161101","화","남","60대이상","서울특별시","강북구","번동","치킨","5"
"20161101","화","남","60대이상","서울특별시","강북구","미아동","치킨","11"
"20161101","화","남","50대","서울특별시","강북구","미아동","치킨","16"
"20161101","화","남","50대","서울특별시","강북구","번동","치킨","5"
"20161101","화","남","20대","서울특별시","강북구","미아동","치킨","56"
"20161101","화","남","20대","서울특별시","강북구","번동","치킨","9"
"20161101","화","여","10대","서울특별시","강북구","미아동","치킨","17"
"20161101","화","여","10대","서울특별시","강북구","번동","치킨","5"
"20161101","화","여","40대","서울특별시","강북구","수유동","치킨","5"
"20161101","화","남","30대","서울특별시","강북구","수유동","치킨","5"
"20161101","화","남","30대","서울특별시","강북구","번동","치킨","10"
"20161101","화","남","30대","서울특별시","강북구","미아동","치킨","63"
"20161101","화","여","40대","서울특별시","강북구","미아동","치킨","101"
"20161101","화","여","40대","서울특별시","강북구","번동","치킨","12"
"20161101","화","여","30대","서울특별시","강북구","미아동","치킨","111"
"20161101","화","여","30대","서울특별시","강북구","번동","치킨","11"
"20161101","화","남","40대","서울특별시","강북구","미아동","치킨","46"
"20161101","화","남","40대","서울특별시","강북구","번동","치킨","5"
"20161101","화","남","40대","서울특별시","강북구","수유동","치킨","5"
"20161101","화","여","30대","서울특별시","강북구","수유동","치킨","5"
"20161101","화","남","30대","서울특별시","강서구","등촌동","치킨","23"
