seq   loan_status loan_amnt grade home_ownership annual_inc age emp_cat  ir_cat
26537           1     15000     E           RENT   62000.00  21    0-15   13.5+
19503           1      6600     D           RENT   30000.00  29    0-15   13.5+
5461            1      2200     A       MORTGAGE   45000.00  31    0-15     0-8
23727           1     24250     D           RENT  136000.00  31    0-15   13.5+
19192           1      2500     C           RENT   18984.00  22   15-30   13.5+
19653           1      5000     B           RENT   49800.00  45    0-15 Missing
28168           1     10000     C       MORTGAGE   80000.00  36    0-15 11-13.5
11819           1     10000     B           RENT   54996.00  28    0-15    8-11
4904            1      3000     C       MORTGAGE   58000.00  27   15-30   13.5+
14072           1      3000     A       MORTGAGE   48000.00  37 Missing     0-8
26431           1      3500     D       MORTGAGE   97992.00  22   15-30   13.5+
3857            1      6000     B           RENT   47000.00  25    0-15 11-13.5
13286           1      6700     A           RENT   12000.00  22    0-15     0-8
20533           1     10000     C       MORTGAGE   23000.00  25    0-15 Missing
23899           1      5000     A       MORTGAGE   88000.00  28   15-30    8-11
18762           1     10000     A       MORTGAGE  135000.00  31    0-15     0-8
37              1      5000     A       MORTGAGE  100000.00  27   15-30    8-11
11386           1      2400     C           RENT   18000.00  26    0-15 11-13.5
24100           1     25000     B       MORTGAGE   80000.00  23    0-15 11-13.5
27327           1     12250     D           RENT   30000.00  22    0-15   13.5+
19266           1     10000     C           RENT   32000.00  23   15-30 11-13.5
16052           1      8000     D           RENT   50000.00  21    0-15   13.5+
6178            1      6000     D           RENT   18835.20  27    0-15   13.5+
24891           1     20000     B           RENT   85000.00  29    0-15 11-13.5
21838           1     15200     C       MORTGAGE  125000.00  29    0-15   13.5+
20097           1      1600     B           RENT   18000.00  33    0-15    8-11
8854            1      9950     C           RENT   30784.00  33    0-15 11-13.5
28270           1      7200     C           RENT   31000.00  29    0-15 11-13.5
19394           1     19600     D           RENT   77000.00  33   15-30   13.5+
11530           1      2500     A           RENT  150000.00  44    0-15     0-8
24029           1      8000     C           RENT   39100.00  39    0-15   13.5+
1064            1      8475     B           RENT   38423.87  32    0-15 Missing
11986           1     10000     B           RENT   36000.00  27    0-15    8-11
28512           1      5000     B           RENT   69600.00  30    0-15    8-11
25180           1     14800     F       MORTGAGE   60000.00  29    0-15   13.5+
6029            1     10000     A       MORTGAGE   50000.00  26    0-15     0-8
11751           1     10000     A           RENT   57000.00  22   15-30     0-8
12648           1      5250     A           RENT   24000.00  23    0-15     0-8
12352           1      3000     B           RENT   40000.00  28    0-15    8-11
2930            1      7000     A            OWN   27600.00  24    0-15     0-8
14694           1     25000     B       MORTGAGE   65000.00  21   15-30    8-11
