date,s_price,s_rate
2015-03-25,1485000 ,
2015-03-26,1421000 ,-4.310 
2015-03-27,1421000 ,0.000 
2015-03-30,1428000 ,0.493 
2015-03-31,1441000 ,0.910 
2015-04-01,1423000 ,-1.249 
2015-04-02,1434000 ,0.773 
2015-04-03,1434000 ,0.000 
2015-04-06,1470000 ,2.510 
2015-04-07,1462000 ,-0.544 
2015-04-08,1479000 ,1.163 
2015-04-09,1483000 ,0.270 
2015-04-10,1490000 ,0.472 
2015-04-13,1479000 ,-0.738 
2015-04-14,1474000 ,-0.338 
2015-04-15,1446000 ,-1.900 
2015-04-16,1477000 ,2.144 
2015-04-17,1450000 ,-1.828 
2015-04-20,1430000 ,-1.379 
2015-04-21,1444000 ,0.979 
2015-04-22,1461000 ,1.177 
2015-04-23,1451000 ,-0.684 
2015-04-24,1410000 ,-2.826 
2015-04-27,1395000 ,-1.064 
2015-04-28,1366000 ,-2.079 
2015-04-29,1385000 ,1.391 
2015-04-30,1410000 ,1.805 
2015-05-04,1400000 ,-0.709 
2015-05-06,1362000 ,-2.714 
2015-05-07,1370000 ,0.587 
2015-05-08,1338000 ,-2.336 
2015-05-11,1336000 ,-0.149 
2015-05-12,1331000 ,-0.374 
2015-05-13,1333000 ,0.150 
2015-05-14,1340000 ,0.525 
2015-05-15,1326000 ,-1.045 
2015-05-18,1320000 ,-0.452 
2015-05-19,1338000 ,1.364 
2015-05-20,1366000 ,2.093 
2015-05-21,1352000 ,-1.025 
2015-05-22,1350000 ,-0.148 
2015-05-26,1362000 ,0.889 
2015-05-27,1314000 ,-3.524 
2015-05-28,1309000 ,-0.381 
2015-05-29,1307000 ,-0.153 
2015-06-01,1291000 ,-1.224 
2015-06-02,1303000 ,0.930 
2015-06-03,1273000 ,-2.302 
2015-06-04,1337000 ,5.027 
2015-06-05,1341000 ,0.299 
2015-06-08,1314000 ,-2.013 
2015-06-09,1282000 ,-2.435 
2015-06-10,1262000 ,-1.560 
2015-06-11,1257000 ,-0.396 
2015-06-12,1277000 ,1.591 
2015-06-15,1270000 ,-0.548 
2015-06-16,1255000 ,-1.181 
2015-06-17,1254000 ,-0.080 
2015-06-18,1265000 ,0.877 
2015-06-19,1266000 ,0.079 
2015-06-22,1281000 ,1.185 
2015-06-23,1321000 ,3.123 
2015-06-24,1302000 ,-1.438 
2015-06-25,1269000 ,-2.535 
2015-06-26,1278000 ,0.709 
2015-06-29,1281000 ,0.235 
2015-06-30,1268000 ,-1.015 
2015-07-01,1295000 ,2.129 
2015-07-02,1299000 ,0.309 
2015-07-03,1268000 ,-2.386 
2015-07-06,1230000 ,-2.997 
2015-07-07,1240000 ,0.813 
2015-07-08,1239000 ,-0.081 
2015-07-09,1265000 ,2.098 
2015-07-10,1259000 ,-0.474 
2015-07-13,1266000 ,0.556 
2015-07-14,1225000 ,-3.239 
2015-07-15,1235000 ,0.816 
2015-07-16,1282000 ,3.806 
2015-07-17,1305000 ,1.794 
2015-07-20,1275000 ,-2.299 
2015-07-21,1263000 ,-0.941 
2015-07-22,1253000 ,-0.792 
2015-07-23,1234000 ,-1.516 
2015-07-24,1229000 ,-0.405 
2015-07-27,1230000 ,0.081 
2015-07-28,1230000 ,0.000 
2015-07-29,1263000 ,2.683 
2015-07-30,1215000 ,-3.800 
2015-07-31,1185000 ,-2.469 
2015-08-03,1175000 ,-0.844 
2015-08-04,1182000 ,0.596 
2015-08-05,1159000 ,-1.946 
2015-08-06,1115000 ,-3.796 
2015-08-07,1136000 ,1.883 
2015-08-10,1141000 ,0.440 
2015-08-11,1157000 ,1.402 
2015-08-12,1154000 ,-0.259 
2015-08-13,1140000 ,-1.213 
2015-08-17,1104000 ,-3.158 
2015-08-18,1131000 ,2.446 
2015-08-19,1154000 ,2.034 
2015-08-20,1139000 ,-1.300 
2015-08-21,1101000 ,-3.336 
2015-08-24,1079000 ,-1.998 
2015-08-25,1079000 ,0.000 
2015-08-26,1067000 ,-1.112 
2015-08-27,1067000 ,0.000 
2015-08-28,1081000 ,1.312 
2015-08-31,1089000 ,0.740 
