DATE,교환,포장,TV,고등어,곰팡이,구두,노트북,라면,초밥,스팸,연어,신사복,카페,식당,운동복,핸드폰,프린터,세탁기,탁자,장롱
2016-01-10,0,0,2,30,13,5,4,4,20,3,38,4,2,0,0,2,1,8,6,19
2016-01-11,19,12,13,52,12,1,10,0,60,8,34,4,5,17,12,6,1,3,18,15
2016-01-12,18,7,16,32,20,9,16,20,34,4,43,20,2,3,7,5,5,10,16,8
2016-01-13,1,4,3,40,2,7,14,15,34,1,34,1,4,4,8,8,13,3,8,8
2016-01-14,6,0,19,52,0,1,11,12,22,11,24,16,0,10,6,5,15,2,10,19
2016-01-15,1,8,12,32,1,3,6,13,50,11,45,16,16,2,20,3,10,7,16,17
2016-01-16,8,16,16,51,0,13,15,18,30,6,32,5,19,19,15,10,9,16,16,15
2016-01-17,10,17,11,39,10,5,18,14,25,5,40,3,10,7,0,19,19,5,6,1
2016-01-18,6,19,16,25,5,20,5,19,23,2,45,19,3,16,11,20,8,19,5,1
2016-01-19,5,13,0,53,12,13,3,19,37,2,27,1,13,17,2,11,12,19,1,14
2016-01-20,6,14,20,43,18,2,8,19,29,4,21,18,18,4,9,18,16,5,9,12
2016-01-21,8,15,11,42,18,17,7,11,50,11,42,4,11,14,20,17,0,11,9,5
2016-01-22,8,7,4,54,17,0,4,12,44,8,44,16,6,4,16,4,3,18,10,19
2016-01-23,8,7,18,35,2,19,6,14,49,0,33,16,18,5,16,14,12,3,7,12
2016-01-24,18,14,9,42,14,4,15,15,31,0,46,1,6,15,3,17,16,11,17,17
2016-01-25,15,6,3,40,1,19,6,11,53,6,40,1,2,19,0,7,14,14,18,9
2016-01-26,4,18,6,37,9,14,2,9,42,18,44,9,3,7,0,18,6,16,2,14
2016-01-27,7,7,9,46,14,12,9,6,49,17,25,0,19,12,9,3,18,9,2,20
2016-01-28,1,13,7,49,19,16,17,2,58,18,49,1,0,9,0,11,1,16,17,2
2016-01-29,17,11,15,43,4,1,0,12,52,8,28,12,16,20,20,10,3,1,15,15
2016-01-30,2,18,9,59,10,2,1,5,37,1,58,5,7,16,15,5,6,16,7,17
2016-01-31,20,10,7,27,4,4,19,0,46,10,28,10,1,14,19,8,6,7,18,8
2016-02-01,18,13,14,37,14,6,19,13,28,5,48,6,14,9,9,18,17,9,14,11
2016-02-02,1,3,14,43,5,11,19,3,39,13,37,20,3,5,13,14,17,5,20,2
2016-02-03,16,15,0,49,14,6,9,2,30,17,22,18,8,15,10,20,0,12,8,5
2016-02-04,7,16,17,47,2,14,7,19,45,2,28,5,8,2,15,14,20,11,4,7
2016-02-05,14,13,4,27,12,19,10,18,35,16,47,5,0,3,18,3,12,4,13,10
2016-02-06,11,17,11,60,14,16,0,12,56,12,20,6,12,17,11,0,18,2,11,12
2016-02-07,11,13,3,58,19,6,6,17,24,19,37,16,17,0,14,12,1,17,8,6
2016-02-08,4,15,17,31,9,3,5,6,24,4,30,4,7,0,8,5,4,20,19,14
2016-02-09,14,3,9,40,8,16,1,0,52,2,45,11,5,14,2,10,17,8,14,4
2016-02-10,12,6,14,27,15,2,4,3,33,16,42,15,12,11,1,9,13,19,1,5
2016-02-11,19,14,19,28,17,4,15,12,55,11,45,2,12,12,2,16,17,13,17,1
2016-02-12,9,8,2,46,13,1,13,17,23,4,39,6,6,6,3,15,12,13,9,14
2016-02-13,14,13,8,46,1,11,0,1,29,10,29,16,1,6,4,6,0,15,9,12
2016-02-14,12,9,11,26,1,18,19,14,49,8,22,3,13,17,12,11,16,8,19,1
2016-02-15,20,2,2,42,6,10,15,7,49,20,37,20,16,20,18,19,8,13,1,8
2016-02-16,2,18,6,55,2,18,15,15,45,16,54,5,12,3,3,11,0,5,9,16
2016-02-17,14,20,1,23,14,12,19,5,49,8,29,15,13,3,12,13,1,17,15,14
2016-02-18,11,18,19,28,2,13,14,19,56,6,26,8,15,0,5,5,1,19,19,11
2016-02-19,5,15,12,30,19,5,17,20,34,0,44,3,11,11,10,2,4,5,19,17
2016-02-20,16,10,6,45,9,15,20,3,33,0,24,17,5,10,2,17,16,4,10,2
2016-02-21,18,12,15,30,18,5,1,7,42,17,35,2,15,8,2,13,20,13,8,15
2016-02-22,17,13,11,44,15,11,10,3,46,20,37,7,14,18,3,7,4,6,19,19
2016-02-23,16,0,1,39,16,5,11,4,59,12,41,8,16,15,1,13,11,6,3,2
2016-02-24,3,19,2,36,0,4,19,15,32,3,41,10,15,3,1,9,7,13,1,12
2016-02-25,19,0,11,37,17,9,9,3,54,15,36,0,2,15,12,14,1,7,5,8
2016-02-26,14,12,3,33,7,6,0,14,44,17,21,11,8,0,9,6,19,9,9,0
2016-02-27,3,13,2,57,5,9,13,3,49,16,60,6,17,7,7,11,4,14,1,13
2016-02-28,1,15,8,32,2,15,1,2,23,14,29,18,18,14,4,17,5,20,1,18
2016-02-29,10,14,9,48,2,14,20,13,52,5,26,16,16,2,14,12,6,12,6,2
2016-03-01,17,5,7,48,4,6,13,5,30,18,26,20,18,8,13,16,8,14,7,14
2016-03-02,11,11,16,38,18,1,19,17,22,6,21,8,8,2,4,6,19,15,14,16
2016-03-03,14,17,3,25,18,4,0,18,56,7,41,10,8,17,3,3,2,14,12,5
2016-03-04,17,7,8,22,7,13,6,6,40,16,56,19,18,13,6,0,3,16,18,15
2016-03-05,4,4,11,23,15,15,13,16,51,0,40,3,10,15,6,2,19,5,1,18
2016-03-06,18,11,0,44,7,4,19,11,48,11,34,6,4,20,3,18,6,6,18,14
2016-03-07,14,2,4,58,8,2,10,20,32,1,22,19,12,6,17,17,7,13,4,20
2016-03-08,1,16,15,22,6,14,7,12,31,5,56,5,16,12,6,1,6,0,14,8
2016-03-09,8,12,17,30,3,12,8,3,57,9,37,11,6,15,4,0,15,6,12,15
2016-03-10,16,16,19,59,7,3,12,0,53,12,46,13,9,9,1,12,20,12,8,4
2016-03-11,3,1,6,25,16,11,10,15,37,10,34,2,20,2,11,6,1,12,4,2
2016-03-12,1,5,1,30,16,19,7,4,34,5,35,6,5,4,18,2,5,15,1,10
2016-03-13,17,2,8,25,0,3,14,20,35,17,23,18,19,18,2,8,3,10,10,3
2016-03-14,14,11,17,20,10,20,9,19,38,16,58,7,13,16,0,3,20,12,18,2
2016-03-15,10,15,5,40,10,9,17,0,48,11,48,5,5,14,4,15,13,15,20,7
2016-03-16,1,18,9,31,20,9,15,3,55,15,55,7,7,9,2,17,0,14,2,10
2016-03-17,5,10,12,31,14,14,0,14,34,8,39,12,8,12,3,14,12,11,7,17
2016-03-18,20,2,2,38,11,8,2,5,38,10,60,16,13,18,18,4,16,15,5,7
2016-03-19,11,1,6,48,0,18,10,2,51,18,23,6,19,7,19,20,19,1,5,7
2016-03-20,19,14,11,38,11,9,16,14,57,7,53,8,0,15,20,15,3,20,8,10
2016-03-21,11,16,12,37,1,11,5,7,42,5,54,18,5,5,15,7,10,2,17,17
2016-03-22,7,17,6,35,6,9,8,17,31,8,24,17,4,8,19,2,18,14,17,14
2016-03-23,0,16,7,29,15,18,10,14,32,7,41,14,16,9,18,2,20,6,12,14
2016-03-24,11,6,0,33,14,6,7,15,44,4,44,2,11,20,19,13,0,20,4,0
2016-03-25,12,2,18,47,12,1,5,12,45,4,43,7,8,10,4,9,1,13,6,1
2016-03-26,9,7,3,37,4,19,1,12,50,19,27,10,9,14,10,9,5,0,17,2
2016-03-27,20,7,5,26,1,5,9,16,48,11,44,10,13,4,19,6,1,8,14,11
