date,samlip,kospi,samyang,sampyo,seoul,sinsegye
2016-05-24,212500 ,1961 ,23700 ,49700 ,4245 ,145500 
2016-05-23,219000 ,1938 ,24000 ,50000 ,4460 ,147500 
2016-05-20,219000 ,1955 ,24000 ,49700 ,4350 ,140500 
2016-05-19,223000 ,1948 ,24300 ,49800 ,4320 ,139000 
2016-05-18,229000 ,1947 ,24600 ,50000 ,4600 ,147000 
2016-05-17,239500 ,1957 ,24850 ,49750 ,4720 ,149500 
2016-05-16,232500 ,1968 ,24950 ,50000 ,4200 ,147500 
2016-05-13,233000 ,1968 ,25400 ,51000 ,4250 ,146000 
2016-05-12,234500 ,1967 ,24700 ,51100 ,4250 ,147000 
2016-05-11,229500 ,1977 ,25150 ,50300 ,4105 ,152500 
2016-05-10,237000 ,1980 ,23750 ,49850 ,4105 ,148000 
2016-05-09,235500 ,1983 ,23650 ,49700 ,4000 ,147000 
2016-05-04,230500 ,1968 ,23750 ,49000 ,4030 ,145000 
2016-05-03,235000 ,1977 ,24100 ,49100 ,4070 ,144500 
2016-05-02,220000 ,1986 ,23600 ,48250 ,4050 ,139500 
2016-04-29,213000 ,1978 ,23750 ,48550 ,4145 ,139000 
2016-04-28,212000 ,1994 ,24250 ,48900 ,4115 ,132500 
2016-04-27,215500 ,2001 ,24050 ,48800 ,4165 ,130000 
2016-04-26,220500 ,2015 ,24250 ,47500 ,4175 ,128500 
2016-04-25,214500 ,2020 ,23900 ,45900 ,4085 ,125500 
2016-04-22,215500 ,2015 ,24100 ,45000 ,4200 ,122500 
2016-04-21,218000 ,2015 ,23950 ,44200 ,4210 ,122000 
2016-04-20,221500 ,2022 ,23800 ,44000 ,4115 ,121500 
2016-04-19,220000 ,2006 ,23700 ,44400 ,4050 ,126000 
2016-04-18,217000 ,2011 ,23550 ,44000 ,3950 ,126000 
2016-04-15,209500 ,2009 ,23750 ,42000 ,3900 ,121500 
2016-04-14,202500 ,2015 ,23850 ,41800 ,3915 ,120000 
2016-04-12,210500 ,2016 ,24100 ,42250 ,3900 ,123000 
2016-04-11,211500 ,1981 ,24150 ,42500 ,3895 ,121500 
2016-04-08,218500 ,1970 ,24250 ,42550 ,3965 ,126500 
2016-04-07,219000 ,1972 ,24100 ,43300 ,3970 ,128500 
2016-04-06,211000 ,1974 ,24150 ,43200 ,4050 ,130500 
2016-04-05,212000 ,1971 ,24300 ,43200 ,4125 ,128500 
2016-04-04,210000 ,1963 ,24500 ,42300 ,4125 ,128000 
2016-04-01,216500 ,1979 ,24250 ,43150 ,3995 ,129500 
2016-03-31,214000 ,1974 ,24050 ,43150 ,4145 ,130000 
2016-03-30,225000 ,1996 ,23850 ,43300 ,4140 ,131500 
2016-03-29,220500 ,2002 ,23800 ,41450 ,4230 ,133000 
2016-03-28,229000 ,1995 ,23900 ,42500 ,4265 ,134000 
2016-03-25,229000 ,1983 ,24050 ,43700 ,4190 ,134000 
2016-03-24,234500 ,1984 ,24400 ,43600 ,4160 ,134000 
2016-03-23,237000 ,1986 ,24600 ,43550 ,4190 ,133500 
2016-03-22,241500 ,1995 ,24650 ,43600 ,4330 ,137500 
2016-03-21,239500 ,1997 ,24600 ,44500 ,4370 ,137500 
2016-03-18,243000 ,1990 ,24550 ,44300 ,4120 ,140500 
2016-03-17,244000 ,1992 ,24450 ,44300 ,4050 ,140500 
2016-03-16,249000 ,1988 ,24750 ,44800 ,4035 ,141500 
2016-03-15,250000 ,1975 ,24700 ,45600 ,4060 ,145000 
2016-03-14,250000 ,1970 ,24650 ,45600 ,3910 ,145500 
2016-03-11,251000 ,1972 ,24950 ,45200 ,3935 ,146000 
2016-03-10,253000 ,1971 ,24950 ,46550 ,3925 ,141500 
2016-03-09,246000 ,1969 ,24450 ,46800 ,3900 ,138500 
2016-03-08,239500 ,1953 ,24400 ,46900 ,3920 ,135500 
2016-03-07,250500 ,1946 ,24350 ,47500 ,4020 ,138000 
2016-03-04,250000 ,1958 ,24400 ,47450 ,3970 ,138000 
2016-03-03,255500 ,1956 ,24000 ,47700 ,3895 ,139500 
2016-03-02,251500 ,1958 ,23900 ,47400 ,3855 ,138500 
2016-02-29,251000 ,1947 ,23700 ,47300 ,3900 ,137500 
2016-02-26,256000 ,1917 ,23200 ,48000 ,3955 ,137500 
2016-02-25,259000 ,1920 ,23350 ,48000 ,3975 ,139000 
2016-02-24,253500 ,1919 ,23400 ,46900 ,3985 ,137000 
2016-02-23,258000 ,1913 ,23050 ,43600 ,3950 ,136500 
2016-02-22,265500 ,1914 ,23850 ,43850 ,3805 ,137500 
2016-02-19,261000 ,1916 ,23800 ,44000 ,3840 ,139000 
2016-02-18,259000 ,1916 ,23750 ,43100 ,3550 ,141000 
2016-02-17,257000 ,1909 ,23000 ,42650 ,3450 ,139000 
2016-02-16,277000 ,1884 ,23150 ,44800 ,3510 ,143000 
2016-02-15,277500 ,1888 ,22850 ,42950 ,3450 ,141500 
2016-02-12,278000 ,1862 ,22800 ,42700 ,3390 ,148000 
2016-02-11,295500 ,1835 ,23600 ,46300 ,3500 ,148000 
2016-02-05,315500 ,1862 ,25250 ,49000 ,3745 ,159000 
2016-02-04,328000 ,1918 ,25900 ,50400 ,3785 ,165500 
2016-02-03,328000 ,1916 ,26300 ,50500 ,3760 ,164000 
2016-02-02,330000 ,1891 ,26300 ,50900 ,3610 ,156000 
2016-02-01,333000 ,1907 ,25200 ,51400 ,3400 ,159000 
2016-01-29,320500 ,1925 ,24550 ,48850 ,3460 ,161500 
2016-01-28,323000 ,1912 ,24800 ,46700 ,3455 ,158000 
2016-01-27,322000 ,1907 ,24400 ,45550 ,3535 ,151000 
2016-01-26,327500 ,1898 ,24850 ,46800 ,3500 ,150000 
2016-01-25,334500 ,1872 ,25200 ,47550 ,3560 ,151000 
2016-01-22,337000 ,1893 ,25050 ,46800 ,3570 ,150000 
2016-01-21,319500 ,1879 ,25550 ,49600 ,3565 ,147500 
2016-01-20,315000 ,1841 ,25400 ,50600 ,3630 ,132500 
2016-01-19,324000 ,1845 ,27000 ,50700 ,3810 ,132500 
2016-01-18,297500 ,1890 ,25900 ,50900 ,3840 ,144500 
