date	close
May-16	"62,800"
Apr-16	"62,300"
Mar-16	"60,200"
Feb-16	"60,600"
Jan-16	"52,700"
Dec-15	"50,300"
Nov-15	"53,000"
Oct-15	"53,300"
Sep-15	"49,700"
Aug-15	"52,200"
Jul-15	"50,900"
Jun-15	"46,200"
May-15	"48,500"
Apr-15	"47,950"
Mar-15	"46,000"
Feb-15	"45,900"
Jan-15	"43,250"
Dec-14	"46,900"
Nov-14	"47,700"
Oct-14	"49,450"
Sep-14	"48,200"
Aug-14	"44,350"
Jul-14	"42,450"
Jun-14	"39,900"
May-14	"41,900"
Apr-14	"40,500"
Mar-14	"37,800"
Feb-14	"37,600"
Jan-14	"36,400"
Dec-13	"34,750"
Nov-13	"33,100"
Oct-13	"29,750"
Sep-13	"30,600"
Aug-13	"30,700"
Jul-13	"29,150"
Jun-13	"27,200"
May-13	"32,500"
Apr-13	"32,600"
Mar-13	"33,200"
Feb-13	"33,600"
Jan-13	"34,850"
Dec-12	"30,450"
Nov-12	"29,900"
Oct-12	"28,500"
Sep-12	"27,900"
Aug-12	"25,600"
Jul-12	"26,350"
Jun-12	"25,850"
May-12	"23,500"
Apr-12	"22,650"
Mar-12	"25,050"
Feb-12	"27,900"
Jan-12	"27,900"
Dec-11	"27,150"
Nov-11	"25,950"
Oct-11	"25,400"
Sep-11	"22,700"
Aug-11	"25,800"
Jul-11	"28,400"
Jun-11	"28,950"
May-11	"30,000"
Apr-11	"27,550"
Mar-11	"27,600"
Feb-11	"29,350"
Jan-11	"30,050"
Dec-10	"30,900"
Nov-10	"29,700"
Oct-10	"32,700"
Sep-10	"30,200"
Aug-10	"32,300"
Jul-10	"33,600"
Jun-10	"34,250"
May-10	"33,400"
Apr-10	"36,600"
