date,close
2016-05-01,3245 
2016-04-01,4165 
2016-03-01,24500 
2016-02-01,15200 
2016-01-01,12800 
2015-12-01,14000 
2015-11-01,14950 
2015-10-01,17400 
2015-09-01,17400 
2015-08-01,17600 
2015-07-01,25200 
2015-06-01,25700 
2015-05-01,18000 
2015-04-01,22650 
2015-03-01,38600 
2015-02-01,46150 
2015-01-01,19400 
2014-12-01,3525 
2014-11-01,3600 
2014-10-01,3960 
2014-09-01,4320 
2014-08-01,4355 
2014-07-01,4390 
2014-06-01,4700 
2014-05-01,4720 
2014-04-01,4785 
2014-03-01,4740 
2014-02-01,4910 
2014-01-01,4810 
2013-12-01,4635 
2013-11-01,4810 
2013-10-01,4980 
2013-09-01,5040 
2013-08-01,5080 
2013-07-01,5200 
2013-06-01,5250 
2013-05-01,5340 
2013-04-01,5500 
2013-03-01,5260 
2013-02-01,5270 
2013-01-01,5230 
2012-12-01,5280 
2012-11-01,5510 
2012-10-01,5780 
2012-09-01,6260 
2012-08-01,5800 
2012-07-01,6150 
2012-06-01,5650 
2012-05-01,5150 
2012-04-01,5840 
2012-03-01,6370 
2012-02-01,6170 
2012-01-01,5000 
2011-12-01,4980 
2011-11-01,5600 
2011-10-01,5390 
2011-09-01,5110 
2011-08-01,6640 
2011-07-01,6960 
2011-06-01,9020 
2011-05-01,8160 
2011-04-01,9400 
2011-03-01,7120 
2011-02-01,8420 
2011-01-01,7650 
2010-12-01,4535 
2010-11-01,5080 
2010-10-01,5350 
2010-09-01,6010 
2010-08-01,6590 
2010-07-01,6790 
2010-06-01,7970 
2010-05-01,8200 
2010-04-01,8230 
2010-03-01,8290 
2010-02-01,8650 
2010-01-01,9270 
2009-12-01,8730 
2009-11-01,7780 
2009-10-01,8250 
2009-09-01,8460 
2009-08-01,7680 
2009-07-01,7250 
2009-06-01,7500 
2009-05-01,5210 
2009-04-01,5000 
2009-03-01,4980 
2009-02-01,5130 
2009-01-01,5130 
2008-12-01,5190 
2008-11-01,5150 
2008-10-01,5700 
2008-09-01,6140 
2008-08-01,6210 
2008-07-01,6380 
2008-06-01,6600 
2008-05-01,6390 
2008-04-01,7300 
2008-03-01,8000 
2008-02-01,9570 
2008-01-01,7180 
2007-12-01,7700 
2007-11-01,7760 
2007-10-01,10750 
2007-09-01,13050 
2007-08-01,6270 
2007-07-01,6530 
2007-06-01,8180 
2007-05-01,7840 
2007-04-01,7390 
2007-03-01,6710 
2007-02-01,5700 
2007-01-01,5860 
2006-12-01,5600 
2006-11-01,5860 
2006-10-01,4495 
2006-09-01,4400 
2006-08-01,5220 
2006-07-01,5210 
2006-06-01,5350 
2006-05-01,5540 
2006-04-01,6140 
