date,close
2016-05-20,2970 
2016-05-19,2900 
2016-05-18,2840 
2016-05-17,2950 
2016-05-16,3050 
2016-05-13,3050 
2016-05-12,3110 
2016-05-11,3145 
2016-05-10,3140 
2016-05-09,3040 
2016-05-04,3130 
2016-05-03,3245 
2016-05-02,3210 
2016-04-29,3320 
2016-04-28,3325 
2016-04-27,3395 
2016-04-26,3380 
2016-04-25,3440 
2016-04-22,3695 
2016-04-21,3270 
2016-04-20,3390 
2016-04-19,3400 
2016-04-18,3415 
2016-04-15,3480 
2016-04-14,3565 
2016-04-12,3740 
2016-04-11,4000 
2016-04-08,4010 
2016-04-07,3850 
2016-04-06,3850 
2016-04-05,3740 
2016-04-04,3665 
2016-04-01,4165 
2016-03-31,24500 
2016-03-30,24500 
2016-03-29,24500 
2016-03-28,24500 
2016-03-25,24500 
2016-03-24,24500 
2016-03-23,24500 
2016-03-22,24500 
2016-03-21,24500 
2016-03-18,24500 
2016-03-17,24500 
2016-03-16,24500 
2016-03-15,24500 
2016-03-14,24500 
2016-03-11,20000 
2016-03-10,16500 
2016-03-09,16000 
2016-03-08,16000 
2016-03-07,15800 
2016-03-04,15500 
2016-03-03,14300 
2016-03-02,13950 
2016-02-29,13900 
2016-02-26,13300 
2016-02-25,13400 
2016-02-24,13250 
2016-02-23,13300 
2016-02-22,13650 
2016-02-19,13850 
2016-02-18,13700 
2016-02-17,13650 
2016-02-16,15150 
2016-02-15,15200 
2016-02-12,13800 
2016-02-11,13150 
2016-02-05,13050 
2016-02-04,12650 
2016-02-03,12550 
2016-02-02,12650 
2016-02-01,12650 
2016-01-29,12400 
2016-01-28,12150 
2016-01-27,12400 
2016-01-26,12500 
2016-01-25,12450 
2016-01-22,12000 
2016-01-21,12050 
2016-01-20,12250 
2016-01-19,12050 
2016-01-18,12400 
2016-01-15,12600 
2016-01-14,12750 
2016-01-13,12800 
2016-01-12,12200 
2016-01-11,12750 
2016-01-08,12050 
2016-01-07,12050 
2016-01-06,12050 
2016-01-05,12250 
2016-01-04,12650 
2015-12-30,12850 
2015-12-29,11800 
2015-12-28,11500 
2015-12-24,11750 
2015-12-23,11800 
2015-12-22,12200 
2015-12-21,12700 
2015-12-18,13300 
2015-12-17,12400 
2015-12-16,12300 
2015-12-15,13100 
2015-12-14,10100 
2015-12-11,10800 
2015-12-10,11900 
2015-12-09,12350 
2015-12-08,13000 
2015-12-07,13550 
2015-12-04,13850 
2015-12-03,14000 
2015-12-02,13900 
2015-12-01,13900 
2015-11-30,14150 
2015-11-27,14500 
2015-11-26,14600 
2015-11-25,14400 
2015-11-24,13850 
2015-11-23,14000 
2015-11-20,14050 
2015-11-19,14200 
2015-11-18,14050 
2015-11-17,14200 
2015-11-16,13800 
2015-11-13,13850 
2015-11-12,14000 
2015-11-11,14500 
2015-11-10,14000 
2015-11-09,14600 
2015-11-06,14900 
2015-11-05,14900 
2015-11-04,14950 
2015-11-03,14850 
2015-11-02,14850 
2015-10-30,14750 
2015-10-29,15150 
2015-10-28,14900 
2015-10-27,14800 
2015-10-26,14950 
2015-10-23,14800 
2015-10-22,14950 
2015-10-21,15250 
2015-10-20,14700 
2015-10-19,14650 
2015-10-16,15200 
2015-10-15,15400 
2015-10-14,15300 
2015-10-13,14900 
2015-10-12,14650 
2015-10-08,14600 
2015-10-07,14550 
2015-10-06,15400 
2015-10-05,15000 
2015-10-02,15400 
2015-10-01,17400 
2015-09-30,13400 
2015-09-25,13850 
2015-09-24,13800 
2015-09-23,14100 
2015-09-22,14850 
2015-09-21,14850 
2015-09-18,15150 
2015-09-17,15050 
2015-09-16,15250 
2015-09-15,15050 
2015-09-14,15100 
2015-09-11,16000 
2015-09-10,16000 
2015-09-09,15700 
2015-09-08,15050 
2015-09-07,15500 
2015-09-04,15600 
2015-09-03,16600 
2015-09-02,16750 
2015-09-01,17400 
2015-08-31,17400 
2015-08-28,16550 
2015-08-27,16850 
2015-08-26,17250 
2015-08-25,13300 
2015-08-24,12600 
2015-08-21,12800 
2015-08-20,13850 
2015-08-19,13900 
2015-08-18,14800 
2015-08-17,16000 
2015-08-13,16650 
2015-08-12,16500 
2015-08-11,17450 
2015-08-10,17250 
2015-08-07,17150 
2015-08-06,17500 
2015-08-05,17600 
2015-08-04,17400 
2015-08-03,16800 
2015-07-31,17500 
2015-07-30,16950 
2015-07-29,18450 
2015-07-28,18600 
2015-07-27,19350 
2015-07-24,20400 
2015-07-23,19500 
2015-07-22,20000 
2015-07-21,20300 
2015-07-20,20950 
2015-07-17,20800 
2015-07-16,21050 
2015-07-15,22600 
2015-07-14,25200 
2015-07-13,20950 
2015-07-10,20950 
2015-07-09,21400 
2015-07-08,22300 
2015-07-07,22700 
2015-07-06,21500 
2015-07-03,23150 
2015-07-02,23750 
2015-07-01,23500 
2015-06-30,24000 
2015-06-29,25700 
2015-06-26,25300 
2015-06-25,24650 
2015-06-24,25400 
2015-06-23,23500 
2015-06-22,18100 
2015-06-19,17750 
2015-06-18,18100 
2015-06-17,18000 
2015-06-16,17800 
2015-06-15,18850 
2015-06-12,20000 
2015-06-11,21200 
2015-06-10,21900 
2015-06-09,22600 
2015-06-08,20400 
2015-06-05,17750 
2015-06-04,16500 
2015-06-03,16300 
2015-06-02,16200 
2015-06-01,16200 
2015-05-29,16100 
2015-05-28,16500 
2015-05-27,16700 
2015-05-26,18000 
2015-05-22,16500 
2015-05-21,16250 
2015-05-20,16500 
