date,c_food
2016-05-20,3610 
2016-05-19,3630 
2016-05-18,3730 
2016-05-17,3795 
2016-05-16,3710 
2016-05-13,3520 
2016-05-12,3525 
2016-05-11,3525 
2016-05-10,3470 
2016-05-09,3415 
2016-05-04,3410 
2016-05-03,3450 
2016-05-02,3400 
2016-04-29,3445 
2016-04-28,3475 
2016-04-27,3530 
2016-04-26,3570 
2016-04-25,3615 
2016-04-22,3650 
2016-04-21,3630 
2016-04-20,3620 
2016-04-19,3585 
2016-04-18,3565 
2016-04-15,3540 
2016-04-14,3585 
2016-04-12,3610 
2016-04-11,3570 
2016-04-08,3580 
2016-04-07,3540 
2016-04-06,3510 
2016-04-05,3440 
2016-04-04,3480 
2016-04-01,3555 
2016-03-31,3555 
2016-03-30,3540 
2016-03-29,3615 
2016-03-28,3625 
2016-03-25,3675 
2016-03-24,3625 
2016-03-23,3600 
2016-03-22,3685 
2016-03-21,3670 
2016-03-18,3610 
2016-03-17,3560 
2016-03-16,3515 
2016-03-15,3510 
2016-03-14,3515 
2016-03-11,3525 
2016-03-10,3540 
2016-03-09,3540 
2016-03-08,3530 
2016-03-07,3580 
2016-03-04,3580 
2016-03-03,3530 
2016-03-02,3505 
2016-02-29,3470 
2016-02-26,3415 
2016-02-25,3375 
2016-02-24,3410 
2016-02-23,3385 
2016-02-22,3400 
2016-02-19,3380 
2016-02-18,3305 
2016-02-17,3245 
2016-02-16,3285 
2016-02-15,3205 
2016-02-12,3150 
2016-02-11,3365 
2016-02-05,3545 
2016-02-04,3620 
2016-02-03,3640 
2016-02-02,3695 
2016-02-01,3680 
2016-01-29,3710 
2016-01-28,3690 
2016-01-27,3670 
2016-01-26,3635 
2016-01-25,3650 
2016-01-22,3500 
2016-01-21,3485 
2016-01-20,3375 
2016-01-19,3580 
2016-01-18,3620 
2016-01-15,3615 
2016-01-14,3570 
2016-01-13,3540 
2016-01-12,3585 
2016-01-11,3625 
2016-01-08,3620 
2016-01-07,3640 
2016-01-06,3585 
2016-01-05,3540 
2016-01-04,3465 
2015-12-30,3490 
2015-12-29,3385 
2015-12-28,3290 
2015-12-24,3360 
2015-12-23,3375 
2015-12-22,3390 
2015-12-21,3480 
2015-12-18,3465 
2015-12-17,3415 
2015-12-16,3295 
2015-12-15,3240 
2015-12-14,3240 
2015-12-11,3390 
2015-12-10,3415 
2015-12-09,3380 
2015-12-08,3415 
2015-12-07,3495 
2015-12-04,3530 
2015-12-03,3585 
2015-12-02,3670 
2015-12-01,3690 
2015-11-30,3700 
2015-11-27,3730 
2015-11-26,3690 
2015-11-25,3680 
2015-11-24,3650 
2015-11-23,3615 
2015-11-20,3630 
2015-11-19,3570 
2015-11-18,3535 
2015-11-17,3520 
2015-11-16,3310 
2015-11-13,3475 
2015-11-12,3550 
2015-11-11,3570 
2015-11-10,3490 
2015-11-09,3490 
2015-11-06,3720 
2015-11-05,3800 
2015-11-04,3735 
2015-11-03,3770 
2015-11-02,3720 
2015-10-30,3655 
2015-10-29,3825 
2015-10-28,3855 
2015-10-27,3935 
2015-10-26,3865 
2015-10-23,3845 
2015-10-22,3965 
2015-10-21,4285 
2015-10-20,4385 
2015-10-19,4380 
2015-10-16,4585 
2015-10-15,4595 
2015-10-14,4595 
2015-10-13,4750 
2015-10-12,4530 
2015-10-08,4585 
2015-10-07,4620 
2015-10-06,4740 
2015-10-05,4665 
2015-10-02,4580 
2015-10-01,4740 
2015-09-30,4795 
2015-09-25,4795 
2015-09-24,4590 
2015-09-23,4415 
2015-09-22,4650 
2015-09-21,4610 
2015-09-18,4300 
2015-09-17,4200 
2015-09-16,4325 
2015-09-15,4320 
2015-09-14,4235 
2015-09-11,4315 
2015-09-10,4180 
2015-09-09,4145 
2015-09-08,4060 
2015-09-07,4140 
2015-09-04,4115 
2015-09-03,4305 
2015-09-02,4390 
2015-09-01,4140 
2015-08-31,4280 
2015-08-28,4350 
2015-08-27,4300 
2015-08-26,4330 
2015-08-25,4310 
2015-08-24,3910 
2015-08-21,3900 
2015-08-20,4140 
2015-08-19,4200 
2015-08-18,4535 
2015-08-17,4755 
2015-08-13,4975 
2015-08-12,4850 
2015-08-11,5110 
2015-08-10,5390 
2015-08-07,5010 
2015-08-06,4730 
2015-08-05,4865 
2015-08-04,4835 
2015-08-03,4895 
2015-07-31,4690 
2015-07-30,4515 
2015-07-29,4500 
2015-07-28,4800 
2015-07-27,5000 
2015-07-24,5400 
2015-07-23,5240 
2015-07-22,5240 
2015-07-21,5220 
2015-07-20,5020 
2015-07-17,3865 
2015-07-16,3950 
2015-07-15,3750 
2015-07-14,3620 
2015-07-13,3390 
2015-07-10,3250 
2015-07-09,3265 
2015-07-08,3315 
2015-07-07,3295 
2015-07-06,3100 
2015-07-03,3205 
2015-07-02,3230 
2015-07-01,3175 
2015-06-30,3205 
2015-06-29,3180 
2015-06-26,3350 
2015-06-25,3490 
2015-06-24,3450 
2015-06-23,3470 
2015-06-22,3325 
2015-06-19,3380 
2015-06-18,3230 
2015-06-17,3230 
2015-06-16,3210 
2015-06-15,3195 
2015-06-12,3170 
2015-06-11,3300 
2015-06-10,3360 
2015-06-09,3310 
2015-06-08,3290 
2015-06-05,3170 
2015-06-04,3335 
2015-06-03,3355 
2015-06-02,3395 
2015-06-01,3575 
2015-05-29,3700 
2015-05-28,3770 
2015-05-27,3505 
2015-05-26,3650 
2015-05-22,3275 
2015-05-21,3255 
2015-05-20,3200 
