date,close
2016-05-01,1299000 
2016-04-01,1305000 
2016-03-01,1312000 
2016-02-01,1190000 
2016-01-01,1208000 
2015-12-01,1321000 
2015-11-01,1383000 
2015-10-01,1372000 
2015-09-01,1190000 
2015-08-01,1182000 
2015-07-01,1305000 
2015-06-01,1341000 
2015-05-01,1400000 
2015-04-01,1490000 
2015-03-01,1503000 
2015-02-01,1395000 
2015-01-01,1400000 
2014-12-01,1352000 
2014-11-01,1287000 
2014-10-01,1244000 
2014-09-01,1226000 
2014-08-01,1317000 
2014-07-01,1395000 
2014-06-01,1470000 
2014-05-01,1460000 
2014-04-01,1407000 
2014-03-01,1343000 
2014-02-01,1349000 
2014-01-01,1328000 
2013-12-01,1467000 
2013-11-01,1500000 
2013-10-01,1500000 
2013-09-01,1425000 
2013-08-01,1368000 
2013-07-01,1335000 
2013-06-01,1540000 
2013-05-01,1544000 
2013-04-01,1540000 
2013-03-01,1560000 
2013-02-01,1550000 
2013-01-01,1576000 
2012-12-01,1533000 
2012-11-01,1437000 
2012-10-01,1373000 
2012-09-01,1346000 
2012-08-01,1348000 
2012-07-01,1309000 
2012-06-01,1271000 
2012-05-01,1410000 
2012-04-01,1390000 
2012-03-01,1311000 
2012-02-01,1206000 
2012-01-01,1125000 
2011-12-01,1084000 
2011-11-01,1005000 
2011-10-01,968000 
2011-09-01,840000 
2011-08-01,870000 
2011-07-01,899000 
2011-06-01,911000 
2011-05-01,938000 
2011-04-01,945000 
2011-03-01,945000 
2011-02-01,983000 
2011-01-01,1010000 
2010-12-01,949000 
2010-11-01,851000 
2010-10-01,793000 
2010-09-01,788000 
2010-08-01,815000 
2010-07-01,837000 
2010-06-01,830000 
2010-05-01,834000 
2010-04-01,870000 
2010-03-01,820000 
2010-02-01,779000 
2010-01-01,850000 
2009-12-01,799000 
2009-11-01,759000 
2009-10-01,792000 
2009-09-01,825000 
2009-08-01,783000 
2009-07-01,724000 
2009-06-01,598000 
2009-05-01,582000 
2009-04-01,627000 
2009-03-01,584000 
2009-02-01,545000 
2009-01-01,524000 
2008-12-01,489500 
2008-11-01,516000 
2008-10-01,560000 
2008-09-01,567000 
2008-08-01,595000 
2008-07-01,636000 
2008-06-01,726000 
2008-05-01,764000 
2008-04-01,716000 
2008-03-01,623000 
2008-02-01,613000 
2008-01-01,595000 
2007-12-01,614000 
2007-11-01,570000 
2007-10-01,579000 
2007-09-01,576000 
2007-08-01,621000 
2007-07-01,687000 
2007-06-01,591000 
2007-05-01,587000 
2007-04-01,604000 
2007-03-01,602000 
2007-02-01,606000 
2007-01-01,625000 
2006-12-01,641000 
2006-11-01,662000 
2006-10-01,665000 
2006-09-01,673000 
2006-08-01,660000 
2006-07-01,608000 
2006-06-01,614000 
2006-05-01,663000 
2006-04-01,690000 
