"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"cc",0,0,2,30,13,5,4,4,20,3,38,4,2,0,0,2,1,8,6,19
"cc",19,12,13,52,12,1,10,0,60,8,34,4,5,17,12,6,1,3,18,15
"cc",18,7,16,32,20,9,16,20,34,4,43,20,2,3,7,5,5,10,16,8
"cc",1,4,3,40,2,7,14,15,34,1,34,1,4,4,8,8,13,3,8,8
"cc",6,0,19,52,0,1,11,12,22,11,24,16,0,10,6,5,15,2,10,19
"cc",1,8,12,32,1,3,6,13,50,11,45,16,16,2,20,3,10,7,16,17
"cc",8,16,16,51,0,13,15,18,30,6,32,5,19,19,15,10,9,16,16,15
"cc",10,17,11,39,10,5,18,14,25,5,40,3,10,7,0,19,19,5,6,1
"cc",6,19,16,25,5,20,5,19,23,2,45,19,3,16,11,20,8,19,5,1
"cc",5,13,0,53,12,13,3,19,37,2,27,1,13,17,2,11,12,19,1,14
"cc",6,14,20,43,18,2,8,19,29,4,21,18,18,4,9,18,16,5,9,12
"cc",8,15,11,42,18,17,7,11,50,11,42,4,11,14,20,17,0,11,9,5
"cc",8,7,4,54,17,0,4,12,44,8,44,16,6,4,16,4,3,18,10,19
"cc",8,7,18,35,2,19,6,14,49,0,33,16,18,5,16,14,12,3,7,12
"cc",18,14,9,42,14,4,15,15,31,0,46,1,6,15,3,17,16,11,17,17
"cc",15,6,3,40,1,19,6,11,53,6,40,1,2,19,0,7,14,14,18,9
"cc",4,18,6,37,9,14,2,9,42,18,44,9,3,7,0,18,6,16,2,14
"cc",7,7,9,46,14,12,9,6,49,17,25,0,19,12,9,3,18,9,2,20
"cc",1,13,7,49,19,16,17,2,58,18,49,1,0,9,0,11,1,16,17,2
"cc",17,11,15,43,4,1,0,12,52,8,28,12,16,20,20,10,3,1,15,15
"cc",2,18,9,59,10,2,1,5,37,1,58,5,7,16,15,5,6,16,7,17
"cc",20,10,7,27,4,4,19,0,46,10,28,10,1,14,19,8,6,7,18,8
"cc",18,13,14,37,14,6,19,13,28,5,48,6,14,9,9,18,17,9,14,11
"cc",1,3,14,43,5,11,19,3,39,13,37,20,3,5,13,14,17,5,20,2
"cc",16,15,0,49,14,6,9,2,30,17,22,18,8,15,10,20,0,12,8,5
"cc",7,16,17,47,2,14,7,19,45,2,28,5,8,2,15,14,20,11,4,7
"cc",14,13,4,27,12,19,10,18,35,16,47,5,0,3,18,3,12,4,13,10
"cc",11,17,11,60,14,16,0,12,56,12,20,6,12,17,11,0,18,2,11,12
"cc",11,13,3,58,19,6,6,17,24,19,37,16,17,0,14,12,1,17,8,6
"cc",4,15,17,31,9,3,5,6,24,4,30,4,7,0,8,5,4,20,19,14
"cc",14,3,9,40,8,16,1,0,52,2,45,11,5,14,2,10,17,8,14,4
"cc",12,6,14,27,15,2,4,3,33,16,42,15,12,11,1,9,13,19,1,5
