NUM,식료품,의복,외식비,책값,온라인소액결제,의료비
1,19400,143000,8600,29000,5600,19200
2,22200,120400,7000,26000,3300,13000
3,24600,88500,7500,22000,7500,16600
4,22300,124800,7700,78000,3900,28100
5,31800,130100,8400,25000,7700,20500
6,43000,118200,6300,25000,4300,32500
7,29400,147600,10700,24000,12000,26500
8,29200,161900,7500,33000,6300,3500
9,29100,134900,4600,27000,7300,18700
10,24000,136100,8100,32000,6600,24400
11,30100,139600,7500,23000,7300,27300
12,13500,141500,7800,25000,2900,22300
13,24000,132600,6700,28000,7000,28800
14,20600,105600,32000,21000,6200,41000
15,20600,153500,6700,27000,3100,19100
16,28500,118500,8200,25000,6000,25800
17,22900,69100,6700,33000,6900,14600
18,26400,230000,8800,24000,7500,19600
19,24200,47500,8900,21000,4900,11100
20,28600,127000,9800,23000,3700,4500
21,21700,110400,6500,28000,5600,25500
22,34500,123900,8200,134000,6000,27900
23,21700,124300,42000,21000,13000,15000
24,27400,112400,3800,24000,5800,21300
25,25400,253000,6200,27000,5700,26000
26,28600,139300,7100,33000,6000,21800
27,38100,122900,6000,26000,6800,22400
28,27800,134200,8600,21000,7200,17400
29,31300,93800,6600,30000,5400,29200
30,24600,163100,6900,30000,4800,10000
