,"?""키값""",약국이름,행정시,행정구,행정동,전화번호,latitude,longtitude
0,BE_LiST22-0102,Saegwang Pharmacy,Seoul,Dongdaemun-gu,Jegi-dong,029628989,37.5794511,127.0421273
1,BE_LiST22-0103,Bokji Pharmacy,Seoul,Dongdaemun-gu,Dapsimni1-dong,0222173606,37.5705108,127.0481395
2,BE_LiST22-0104,Chamewha Pharmacy,Seoul,Dongdaemun-gu,Dapsimni1-dong,0222475029,37.565682,127.054819
3,BE_LiST22-0105,Janganpyeong Pharmacy,Seoul,Dongdaemun-gu,Jangan2-dong,0222129430,37.571577,127.074285
4,BE_LiST22-0106,Saeewha Pharmacy,Seoul,Dongdaemun-gu,Jangan2-dong,0222142488,37.5729167,127.072075
5,BE_LiST22-0107,Nana Pharmacy,Seoul,Dongdaemun-gu,Jangan2-dong,0222452594,37.5676501,127.0722409
6,BE_LiST22-0109,Dongdaemun 21st Century Pharmacy,Seoul,Dongdaemun-gu,Yongsin-dong,029641717,37.57449,127.0387234
7,BE_LiST22-0110,Dapsimni Baekhwajeom Pharmacy,Seoul,Dongdaemun-gu,Dapsimni2-dong,0222159454,37.5740822,127.058008
8,BE_LiST22-0111,Newmedical Pharmacy,Seoul,Dongdaemun-gu,Jeonnong1-dong,0222156291,37.578063,127.057294
9,BE_LiST22-0112,Sinhaengdang Pharmacy,Seoul,Dongdaemun-gu,Jeonnong2-dong,0222121931,37.5799521,127.0662796
10,BE_LiST22-0113,Eunhyedang Pharmacy,Seoul,Jungnang-gu,Myeonmok2-dong,024373337,37.591774,127.0773558
11,BE_LiST22-0114,Saebonghwa Pharmacy,Seoul,Jungnang-gu,Sinnae2-dong,0234213383,37.61626,127.0926047
12,BE_LiST22-0115,Geongang Jeil Onnuri Pharmacy,Seoul,Jungnang-gu,Junghwa1-dong,024911114,37.6006358,127.0799967
13,BE_LiST22-0116,Ian Onnuri Pharmacy,Seoul,Jungnang-gu,Myeonmok7-dong,024935074,37.5797107,127.0874548
14,BE_LiST22-0117,Naeul,Seoul,Jungnang-gu,Myeonmok5-dong,024334955,37.586006203019934,127.02227256113622
15,BE_LiST22-0118,Taereung Plaza ,Seoul,Jungnang-gu,Junghwa2-dong,0222080922,37.5983427,127.0769382
16,BE_LiST22-0119,Uri Jongno ,Seoul,Jungnang-gu,Mangubon-dong,024331100,37.5957613,127.0999584
17,BE_LiST22-0120,Seoul Medical ,Seoul,Jungnang-gu,Sinnae1-dong,0234225000,37.6142381,127.0972206
18,BE_LiST22-0121,Unyong Pharmacy,Seoul,Seongbuk-gu,Jongam-dong,029123417,37.5914404,127.0376875
19,BE_LiST22-0122,Gangwon Pharmacy,Seoul,Seongbuk-gu,Jeongneung2-dong,029148814,37.6025065,127.012967
20,BE_LiST22-0123,Seoul Gomyeong Pharmacy,Seoul,Seongbuk-gu,Donam1-dong,029236811,37.5986821,127.020575
21,BE_LiST22-0124,Alpha Pharmacy,Seoul,Seongbuk-gu,Seongbuk-dong,029187692,37.6141738,127.0421636
22,BE_LiST22-0125,Onnuri Cheongsu Pharmacy,Seoul,Seongbuk-gu,Jeongneung4-dong,029132328,37.6170288,127.0032494
23,BE_LiST22-0126,Yeongsaeng Pharmacy,Seoul,Seongbuk-gu,Jongam-dong,029285777,37.5942535,127.0341612
24,BE_LiST22-0127,Sinseonmyeong Pharmacy,Seoul,Seongbuk-gu,Seokgwan-dong,029665913,37.6059404,127.0631875
25,BE_LiST22-0128,Daerimdang Pharmacy,Seoul,Seongbuk-gu,Gireum1-dong,029130832,37.603182,127.022775
26,BE_LiST22-0129,Jaseong Pharmacy,Seoul,Seongbuk-gu,Anam-dong,029288974,37.5890412,127.0216791
27,BE_LiST22-0130,Busan Pharmacy,Seoul,Seongbuk-gu,Jangwi2-dong,029154560,37.6133791,127.0506157
28,BE_LiST22-0131,Jeongneung Pharmacy,Seoul,Seongbuk-gu,Jeongneung4-dong,029143982,37.6085263,127.009741
29,BE_LiST22-0132,Daegeon Pharmacy,Seoul,Seongbuk-gu,Jeongneung1-dong,029146815,37.6039191,127.014952
30,BE_LiST22-0134,Namjin Pharmacy,Seoul,Seongbuk-gu,Gireum1-dong,029139270,37.604726,127.022902
31,BE_LiST22-0135,Sejong Pharmacy,Seoul,Seongbuk-gu,Jeongneung4-dong,029143685,37.617117,127.002859
32,BE_LiST22-0136,Onnuri Jae Pharmacy,Seoul,Seongbuk-gu,Bomun-dong,029266678,37.5840251,127.0195544
33,BE_LiST22-0137,Inhyeon Pharmacy,Seoul,Seongbuk-gu,Jangwi1-dong,029187353,37.6175669,127.0463225
34,BE_LiST22-0138,Bogeon Pharmacy,Seoul,Seongbuk-gu,Jangwi1-dong,029151336,37.618513,127.0517734
35,BE_LiST22-0139,Baekgyeong Pharmacy,Seoul,Seongbuk-gu,Seokgwan-dong,029638974,37.607354,127.060815
36,BE_LiST22-0140,Dongseon Pharmacy,Seoul,Seongbuk-gu,Dongseon-dong,029237731,37.594674,127.0201416
37,BE_LiST22-0141,Subo Pharmacy,Seoul,Seongbuk-gu,Jeongneung3-dong,029141555,37.6087558,127.0080923
38,BE_LiST22-0142,Gwanmun Pharmacy,Seoul,Seongbuk-gu,Jangwi3-dong,029151241,37.615929,127.055272
39,BE_LiST22-0143,Guwon Pharmacy,Seoul,Seongbuk-gu,Wolgok2-dong,029131139,37.6036335,127.0376258
40,BE_LiST22-0144,Nabaron Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,027626300,37.5890079,127.0066844
41,BE_LiST22-0145,Saeminu Pharmacy,Seoul,Seongbuk-gu,Jeongneung1-dong,029174275,37.5992888,127.0182937
42,BE_LiST22-0147,Somang Pharmacy,Seoul,Seongbuk-gu,Jeongneung1-dong,029188055,37.602217,127.018914
43,BE_LiST22-0148,Jangil Pharmacy,Seoul,Seongbuk-gu,Jeongneung1-dong,029168373,37.6031981,127.0137169
44,BE_LiST22-0149,Dongbu Pharmacy,Seoul,Seongbuk-gu,Gireum2-dong,029837950,37.6103915,127.0242478
45,BE_LiST22-0150,Gungmin Pharmacy,Seoul,Seongbuk-gu,Jeongneung3-dong,029145782,37.6080273,126.9996287
46,BE_LiST22-0151,Modang Pharmacy,Seoul,Seongbuk-gu,Dongseon-dong,029254465,37.5923009,127.0136325
47,BE_LiST22-0152,Sewon Pharmacy,Seoul,Seongbuk-gu,Dongseon-dong,029226060,37.593707,127.018775
48,BE_LiST22-0153,Onnuri Minu Pharmacy,Seoul,Seongbuk-gu,Seokgwan-dong,029694582,37.6106899,127.0606747
49,BE_LiST22-0154,Onnuri Jinho Pharmacy,Seoul,Seongbuk-gu,Seokgwan-dong,029641944,37.6075804,127.0605459
50,BE_LiST22-0155,Seungil Pharmacy,Seoul,Seongbuk-gu,Jangwi3-dong,029154057,37.6137479,127.0575749
51,BE_LiST22-0156,Daehak Pharmacy,Seoul,Seongbuk-gu,Anam-dong,029241919,37.586446,127.029217
52,BE_LiST22-0157,Hyejo Pharmacy,Seoul,Seongbuk-gu,Jongam-dong,029225076,37.603536,127.030378
53,BE_LiST22-0158,Simhwa Pharmacy,Seoul,Seongbuk-gu,Jangwi1-dong,029114642,37.6178224,127.0479007
54,BE_LiST22-0159,Wolgok Pharmacy,Seoul,Seongbuk-gu,Wolgok2-dong,029132900,37.602565,127.041572
