"키값","약국이름","행정시","행정구","행정동","전화번호"
"BE_LiST22-0102","Saegwang Pharmacy","Seoul","Dongdaemun-gu","Jegi-dong","962-8989"
"BE_LiST22-0103","Bokji Pharmacy","Seoul","Dongdaemun-gu","Dapsimni1-dong","2217-3606"
"BE_LiST22-0104","Chamewha Pharmacy","Seoul","Dongdaemun-gu","Dapsimni1-dong","2247-5029"
"BE_LiST22-0105","Janganpyeong Pharmacy","Seoul","Dongdaemun-gu","Jangan2-dong","2212-9430"
"BE_LiST22-0106","Saeewha Pharmacy","Seoul","Dongdaemun-gu","Jangan2-dong","2214-2488"
"BE_LiST22-0107","Nana Pharmacy","Seoul","Dongdaemun-gu","Jangan2-dong","2245-2594"
"BE_LiST22-0108","Dongdaemun Pharmacy","Seoul","Dongdaemun-gu","Yongsin-dong","965-7162"
"BE_LiST22-0109","Dongdaemun 21st Century Pharmacy","Seoul","Dongdaemun-gu","Yongsin-dong","964-1717"
"BE_LiST22-0110","Dapsimni Baekhwajeom Pharmacy","Seoul","Dongdaemun-gu","Dapsimni2-dong","2215-9454"
"BE_LiST22-0111","Newmedical Pharmacy","Seoul","Dongdaemun-gu","Jeonnong1-dong","2215-6291"
"BE_LiST22-0112","Sinhaengdang Pharmacy","Seoul","Dongdaemun-gu","Jeonnong2-dong","2212-1931"
"BE_LiST22-0113","Eunhyedang Pharmacy","Seoul","Jungnang-gu","Myeonmok2-dong","437-3337"
"BE_LiST22-0114","Saebonghwa Pharmacy","Seoul","Jungnang-gu","Sinnae2-dong","3421-3383"
"BE_LiST22-0115","Geongang Jeil Onnuri Pharmacy","Seoul","Jungnang-gu","Junghwa1-dong","491-1114"
"BE_LiST22-0116","Ian Onnuri Pharmacy","Seoul","Jungnang-gu","Myeonmok7-dong","493-5074"
"BE_LiST22-0117","Naeul","Seoul","Jungnang-gu","Myeonmok5-dong","433-4955"
"BE_LiST22-0118","Taereung Plaza ","Seoul","Jungnang-gu","Junghwa2-dong","2208-0922"
"BE_LiST22-0119","Uri Jongno ","Seoul","Jungnang-gu","Mangubon-dong","433-1100"
"BE_LiST22-0120","Seoul Medical ","Seoul","Jungnang-gu","Sinnae1-dong","3422-5000"
"BE_LiST22-0121","Unyong Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","912-3417"
"BE_LiST22-0122","Gangwon Pharmacy","Seoul","Seongbuk-gu","Jeongneung2-dong","914-8814"
