"키값","약국이름","주소","도로명주소","행정시","행정구","행정동","전화번호","가능외국어"
"BE_LiST22-0375","아이사랑태평양약국","","구로구 새말로 15 삼전솔하임 101,102호 (구로동 586-5)","서울특별시","구로구","구로5동","853-3001","영어"
"BE_LiST22-0376","종로프라자약국","","구로구 구로중앙로 17 (구로동 142-62)","서울특별시","구로구","구로4동","839-7422","영어"
"BE_LiST22-0377","메디신약국","","구로구 목동남로 32 보광빌딩 1층 (고척동 38-8)","서울특별시","구로구","고척2동","2687-0322","영어"
"BE_LiST22-0378","대학약국","","구로구 구로동로 149-1 (구로동 704-58)","서울특별시","구로구","구로2동","865-4910","영어"
"BE_LiST22-0379","참온누리약국","","구로구 오리로 1149 랑데르 B-108호 (오류동 306-4)","서울특별시","구로구","오류2동","070-4222-1177","중국어, 영어"
"BE_LiST22-0380","가산약국","","가산로 116(가산동)","서울특별시","금천구","가산동","838-1158","영어"
"BE_LiST22-0381","토마스약국","","시흥대로112길 6(독산동)","서울특별시","금천구","독산동","855-3843","영어, 독일어"
"BE_LiST22-0382","신양온누리약국","","시흥대로58길 38(시흥동)","서울특별시","금천구","시흥동","804-1230","중국어"
"BE_LiST22-0383","메디팜큰사랑약국","","시흥대로 201, 지하1층(시흥동)","서울특별시","금천구","시흥동","805-8943","영어"
"BE_LiST22-0384","윤경약국","","남부순환로 1426(독산동)","서울특별시","금천구","독산3동","802-5639, 838-9256","영어"
"BE_LiST22-0385","한중약국","","독산로 136(시흥동)","서울특별시","금천구","시흥4동","804-6985","중국어"
"BE_LiST22-0386","전진상약국","","탑골로3가길 22(시흥동)","서울특별시","금천구","시흥5동","802-9314","영어, 불어"
"BE_LiST22-0387","마미약국","","금하로 720, 206호(시흥동)","서울특별시","금천구","시흥5동","895-8902","영어"
"BE_LiST22-0388","프라자약국","","가산디지털1로 168, A/115(가산동, 우림라이온스밸리)","서울특별시","금천구","가산동","2026-0011","영어"
"BE_LiST22-0389","평안온누리약국","","양평로 24길 9 한신아파트상가","서울특별시","영등포구","양평2동","2634-6769","영어"
"BE_LiST22-0390","육교약국","","신길로150 ","서울특별시","영등포구","신길4동","833-4830","영어"
"BE_LiST22-0391","서울온누리약국","","당산로31길 14","서울특별시","영등포구","당산1동","3667-1360","영어"
"BE_LiST22-0392","부부정약국","","양평로 64","서울특별시","영등포구","당산2동","2676-8288","영어"
"BE_LiST22-0393","선경약국","","국제금융로2길 24 지하1층","서울특별시","영등포구","여의동","786-1192","영어"
"BE_LiST22-0394","이도약국","","당산로31길 6","서울특별시","영등포구","당산1동","2633-7167","영어"
"BE_LiST22-0395","흑석유약국","","동작구 현충로 10길 6 흑석한강센트레빌상가 110호","서울특별시","동작구","흑석동","884-1511","중국어"
"BE_LiST22-0396","대일약국","","동작구 동작대로27길 22","서울특별시","동작구","사당2동","591-4655","영어"
"BE_LiST22-0397","효성약국","","동작구 상도로 181","서울특별시","동작구","상도2동","813-0467","영어, 중국어"
"BE_LiST22-0398","화생약국","","동작구 노량진로6길 26","서울특별시","동작구","노량진2동","813-1551","중국어"
"BE_LiST22-0399","강림약국","","동작구 시흥대로 668-2","서울특별시","동작구","신대방1동","832-8975","영어"
"BE_LiST22-0400","옵티마 다정약국","","동작구 동작대로29길 69 두성프라자120,121호","서울특별시","동작구","사당2동","595-8804","영어"
"BE_LiST22-0401","성대약국","","동작구 성대로 11","서울특별시","동작구","상도4동","821-1519","일본어"
"BE_LiST22-0402","보라매대학약국","","동작구 보라매로5길 23 101호","서울특별시","동작구","신대방2동","831-1922","영어"
"BE_LiST22-0403","해뜨는약국","","동작구 양녕로 281 1층","서울특별시","동작구","상도1동","816-3869","영어"
"BE_LiST22-0404","사당프라자약국","","동작구 사당로 230-1 1층","서울특별시","동작구","사당4동","3474-4170","영어"
"BE_LiST22-0405","한빛평화약국","","동작구 시흥대로 668","서울특별시","동작구","신대방1동","848-4566","영어,중국어"
"BE_LiST22-0406","신대방약국","","동작구 상도로 77","서울특별시","동작구","대방동","822-1344","영어"
"BE_LiST22-0407","해가든약국","","동작구 서달로150 해가든상가 202호","서울특별시","동작구","사당2동","821-8531","영어"
"BE_LiST22-0408","큰사랑약국","","동작구 상도로 47길 99-5","서울특별시","동작구","상도1동","826-8976","영어"
"BE_LiST22-0409","열린약국","","동작구 보라매로5길 23 지하1층 B117호","서울특별시","동작구","신대방2동","849-8250","영어"
"BE_LiST22-0410","신세명약국","","동작구 서달로 163","서울특별시","동작구","흑석동","812-0993","영어"
"BE_LiST22-0411","바다의별약국","","동작구 상도로 172","서울특별시","동작구","상도2동","821-3130","영어"
"BE_LiST22-0412","신중앙약국","","동작구 흑석로 103","서울특별시","동작구","흑석동","822-0443","영어"
"BE_LiST22-0413","보라매조은약국","","동작구 보라매로5길 23 지하1층 122호","서울특별시","동작구","신대방2동","833-9505","영어, 중국어"
"BE_LiST22-0414","금강약국","","동작구 매봉로 178 B02호","서울특별시","동작구","노량진1동","817-1918","영어"
"BE_LiST22-0415","엄마랑약국","","동작구 장승배기로 107","서울특별시","동작구","노량진2동","813-1593","영어, 일본어"
"BE_LiST22-0416","친절한약국","","동작구 사당로 224","서울특별시","동작구","사당4동","584-0072","영어"
"BE_LiST22-0417","태평양약국","","동작구 사당로 227","서울특별시","동작구","사당3동","3477-9477","영어"
"BE_LiST22-0418","정다운약국","","동작구 만양로 19 311,312호","서울특별시","동작구","노량진1동","6267-7575","영어"
"BE_LiST22-0419","튼튼약국","","신원로 16 (신림동)","서울특별시","관악구","신원동","856-0528","영어"
"BE_LiST22-0420","오렌지약국","","관악로 164 (봉천동)","서울특별시","관악구","낙성대동","888-5887","영어"
"BE_LiST22-0421","봉천프라자약국","","남부순환로 1734 (봉천동)","서울특별시","관악구","청룡동","875-1711","영어"
"BE_LiST22-0422","인제약국","","원신2길 17 (신림동)","서울특별시","관악구","삼성동","877-8597","영어"
"BE_LiST22-0423","한미약국","","호암로 535 (신림동)","서울특별시","관악구","삼성동","878-7949","영어"
