"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20160201","월","00","서울특별시","강서구","방화동","5"
"20160201","월","00","서울특별시","노원구","상계동","5"
"20160201","월","00","서울특별시","도봉구","창동","5"
"20160201","월","00","서울특별시","마포구","상수동","5"
"20160201","월","00","서울특별시","서초구","서초동","5"
"20160201","월","00","서울특별시","서초구","반포동","5"
"20160201","월","00","서울특별시","송파구","가락동","5"
"20160201","월","00","서울특별시","송파구","송파동","5"
"20160201","월","00","서울특별시","용산구","한강로1가","5"
"20160201","월","00","서울특별시","용산구","동자동","5"
"20160201","월","01","서울특별시","노원구","상계동","5"
"20160201","월","02","서울특별시","강남구","역삼동","5"
"20160201","월","02","서울특별시","강남구","수서동","5"
"20160201","월","02","서울특별시","송파구","가락동","5"
"20160201","월","02","서울특별시","송파구","송파동","5"
"20160201","월","02","서울특별시","영등포구","여의도동","5"
"20160201","월","02","서울특별시","종로구","창신동","5"
"20160201","월","03","서울특별시","강남구","역삼동","5"
"20160201","월","04","서울특별시","도봉구","창동","5"
"20160201","월","04","서울특별시","양천구","신월동","5"
"20160201","월","05","서울특별시","강남구","역삼동","5"
"20160201","월","05","서울특별시","강동구","천호동","5"
"20160201","월","05","서울특별시","송파구","송파동","5"
"20160201","월","06","서울특별시","강서구","화곡동","5"
"20160201","월","06","서울특별시","강서구","내발산동","5"
"20160201","월","06","서울특별시","도봉구","창동","5"
"20160201","월","06","서울특별시","마포구","공덕동","5"
"20160201","월","06","서울특별시","성북구","동선동2가","5"
"20160201","월","06","서울특별시","양천구","신정동","5"
"20160201","월","07","서울특별시","강남구","삼성동","5"
"20160201","월","07","서울특별시","강남구","논현동","5"
"20160201","월","07","서울특별시","강동구","강일동","5"
"20160201","월","07","서울특별시","강서구","내발산동","5"
"20160201","월","07","서울특별시","금천구","시흥동","5"
"20160201","월","07","서울특별시","도봉구","창동","5"
"20160201","월","07","서울특별시","마포구","상암동","5"
"20160201","월","07","서울특별시","마포구","창전동","5"
"20160201","월","07","서울특별시","서초구","양재동","5"
"20160201","월","07","서울특별시","서초구","방배동","5"
"20160201","월","07","서울특별시","서초구","반포동","5"
"20160201","월","07","서울특별시","송파구","신천동","5"
"20160201","월","07","서울특별시","송파구","가락동","5"
"20160201","월","07","서울특별시","양천구","목동","5"
"20160201","월","07","서울특별시","용산구","한강로1가","5"
"20160201","월","07","서울특별시","은평구","불광동","5"
"20160201","월","08","서울특별시","강남구","대치동","5"
"20160201","월","08","서울특별시","강남구","논현동","5"
"20160201","월","08","서울특별시","강동구","강일동","5"
"20160201","월","08","서울특별시","강동구","길동","5"
"20160201","월","08","서울특별시","강북구","우이동","5"
"20160201","월","08","서울특별시","도봉구","창동","5"
"20160201","월","08","서울특별시","마포구","대흥동","5"
"20160201","월","08","서울특별시","서초구","반포동","5"
"20160201","월","08","서울특별시","송파구","송파동","5"
"20160201","월","08","서울특별시","용산구","이촌동","5"
"20160201","월","08","서울특별시","은평구","불광동","5"
"20160201","월","09","서울특별시","강남구","대치동","5"
"20160201","월","09","서울특별시","강동구","길동","5"
"20160201","월","09","서울특별시","강동구","강일동","5"
"20160201","월","09","서울특별시","강서구","방화동","5"
"20160201","월","09","서울특별시","강서구","화곡동","5"
"20160201","월","09","서울특별시","강서구","내발산동","5"
"20160201","월","09","서울특별시","강서구","가양동","5"
"20160201","월","09","서울특별시","구로구","개봉동","5"
"20160201","월","09","서울특별시","도봉구","창동","5"
"20160201","월","09","서울특별시","서대문구","연희동","5"
"20160201","월","09","서울특별시","서초구","방배동","5"
"20160201","월","10","서울특별시","강남구","논현동","5"
"20160201","월","10","서울특별시","강남구","삼성동","5"
"20160201","월","10","서울특별시","강남구","역삼동","5"
"20160201","월","10","서울특별시","강동구","둔촌동","5"
"20160201","월","10","서울특별시","금천구","시흥동","5"
"20160201","월","10","서울특별시","도봉구","창동","5"
"20160201","월","10","서울특별시","은평구","불광동","5"
"20160201","월","11","서울특별시","강동구","강일동","5"
"20160201","월","11","서울특별시","강서구","화곡동","5"
"20160201","월","11","서울특별시","도봉구","창동","5"
"20160201","월","11","서울특별시","서대문구","홍은동","5"
"20160201","월","11","서울특별시","용산구","보광동","5"
"20160201","월","11","서울특별시","용산구","갈월동","5"
"20160201","월","12","서울특별시","강남구","역삼동","5"
"20160201","월","12","서울특별시","도봉구","창동","5"
"20160201","월","12","서울특별시","서초구","방배동","5"
"20160201","월","12","서울특별시","성동구","성수동2가","5"
"20160201","월","12","서울특별시","송파구","송파동","5"
"20160201","월","13","서울특별시","강남구","신사동","5"
"20160201","월","13","서울특별시","강남구","대치동","5"
"20160201","월","13","서울특별시","강동구","길동","5"
"20160201","월","13","서울특별시","강동구","강일동","5"
"20160201","월","13","서울특별시","강서구","공항동","5"
"20160201","월","13","서울특별시","광진구","자양동","5"
"20160201","월","13","서울특별시","도봉구","창동","5"
"20160201","월","13","서울특별시","동대문구","제기동","5"
"20160201","월","13","서울특별시","마포구","서교동","5"
"20160201","월","13","서울특별시","서대문구","남가좌동","5"
"20160201","월","13","서울특별시","서초구","양재동","5"
"20160201","월","13","서울특별시","송파구","신천동","5"
"20160201","월","13","서울특별시","송파구","송파동","5"
"20160201","월","13","서울특별시","은평구","불광동","5"
"20160201","월","13","서울특별시","중구","충무로1가","5"
"20160201","월","14","서울특별시","강남구","역삼동","5"
"20160201","월","14","서울특별시","강동구","상일동","5"
"20160201","월","14","서울특별시","강서구","염창동","5"
"20160201","월","14","서울특별시","강서구","내발산동","5"
"20160201","월","14","서울특별시","관악구","봉천동","5"
"20160201","월","14","서울특별시","구로구","구로동","5"
"20160201","월","14","서울특별시","도봉구","창동","9"
"20160201","월","14","서울특별시","서초구","신원동","5"
"20160201","월","14","서울특별시","송파구","송파동","5"
"20160201","월","14","서울특별시","양천구","신월동","5"
