발신지_시도,발신지_시군구,발신지_읍면동,geo
서울특별시,강남구,수서동,"(37.4889628, 127.105154)"
서울특별시,강남구,세곡동,"(37.46927120000001, 127.1073203)"
서울특별시,강남구,대치동,"(37.4994914, 127.0610527)"
서울특별시,강남구,신사동,"(37.524124, 127.022883)"
서울특별시,강남구,개포동,"(37.4789643, 127.0609282)"
서울특별시,강남구,논현동,"(37.5135304, 127.0315341)"
서울특별시,강남구,삼성동,"(37.5139848, 127.0565207)"
서울특별시,강동구,길동,"(37.5392074, 127.1461206)"
서울특별시,강동구,강일동,"(37.5626796, 127.1742333)"
서울특별시,강서구,내발산동,"(37.5472236, 126.8210719)"
서울특별시,구로구,개봉동,"(37.4888722, 126.8557494)"
서울특별시,노원구,상계동,"(37.67480279999999, 127.0730618)"
서울특별시,도봉구,창동,"(37.648965, 127.0433646)"
서울특별시,마포구,노고산동,"(37.5538162, 126.9367619)"
서울특별시,서초구,반포동,"(37.5031833, 127.0079167)"
서울특별시,서초구,서초동,"(37.4876872, 127.0174271)"
서울특별시,성동구,성수동2가,"(37.5394428, 127.0542534)"
서울특별시,송파구,방이동,"(37.5164031, 127.1215351)"
서울특별시,송파구,송파동,"(37.50460899999999, 127.1119305)"
서울특별시,송파구,문정동,"(37.4851331, 127.1238462)"
서울특별시,송파구,가락동,"(37.4952783, 127.1157128)"
서울특별시,송파구,장지동,"(37.4773867, 127.1285282)"
서울특별시,용산구,이태원동,"(37.5400456, 126.9921017)"
서울특별시,용산구,보광동,"(37.5265039, 127.0011919)"
서울특별시,용산구,이촌동,"(37.5161216, 126.9660695)"
서울특별시,은평구,응암동,"(37.5926646, 126.9205206)"
서울특별시,중구,수하동,"(37.5673277, 126.984633)"
서울특별시,중구,을지로7가,"(37.5661787, 127.0097427)"
서울특별시,강남구,역삼동,"(37.4999072, 127.0373932)"
서울특별시,강동구,성내동,"(37.5302922, 127.1287651)"
서울특별시,강북구,미아동,"(37.6268335, 127.0269077)"
서울특별시,구로구,신도림동,"(37.5077345, 126.8805914)"
서울특별시,동대문구,제기동,"(37.5833567, 127.0367969)"
서울특별시,마포구,동교동,"(37.5576862, 126.923487)"
서울특별시,마포구,상암동,"(37.5781711, 126.894616)"
서울특별시,서대문구,대현동,"(37.5606558, 126.9465796)"
서울특별시,서초구,방배동,"(37.4799348, 126.9934602)"
서울특별시,성북구,동선동2가,"(37.5901288, 127.0200219)"
서울특별시,영등포구,여의도동,"(37.5285732, 126.9289741)"
서울특별시,영등포구,영등포동3가,"(37.5177549, 126.907807)"
서울특별시,은평구,구산동,"(37.6117223, 126.9103085)"
서울특별시,강동구,둔촌동,"(37.5272032, 127.144105)"
서울특별시,구로구,구로동,"(37.4951854, 126.8820641)"
서울특별시,서초구,양재동,"(37.4731977, 127.0381702)"
서울특별시,은평구,불광동,"(37.6183087, 126.9390451)"
서울특별시,은평구,신사동,"(37.5953803, 126.9075953)"
서울특별시,종로구,서린동,"(37.5694905, 126.9806743)"
서울특별시,관악구,신림동,"(37.4626176, 126.9383251)"
서울특별시,마포구,마포동,"(37.5368623, 126.9435802)"
서울특별시,양천구,목동,"(37.5370192, 126.8735297)"
서울특별시,용산구,한강로1가,"(37.5290615, 126.9694881)"
서울특별시,강남구,청담동,"(37.5231998, 127.0486655)"
서울특별시,강서구,등촌동,"(37.558653, 126.8532512)"
서울특별시,영등포구,신길동,"(37.5062485, 126.9139521)"
서울특별시,용산구,동빙고동,"(37.520402, 126.9945799)"
서울특별시,중구,신당동,"(37.5615738, 127.0194523)"
서울특별시,강동구,명일동,"(37.5502209, 127.1500409)"
서울특별시,강북구,번동,"(37.6279206, 127.037216)"
서울특별시,금천구,가산동,"(37.4758795, 126.8838298)"
서울특별시,용산구,동자동,"(37.5523409, 126.972128)"
서울특별시,은평구,수색동,"(37.5840042, 126.8955434)"
서울특별시,강서구,방화동,"(37.5764563, 126.813873)"
서울특별시,성북구,성북동,"(37.5909485, 127.003439)"
서울특별시,마포구,공덕동,"(37.54686969999999, 126.9521717)"
서울특별시,강동구,상일동,"(37.55110639999999, 127.1646653)"
서울특별시,양천구,신월동,"(37.519981, 126.8365553)"
서울특별시,광진구,자양동,"(37.5324005, 127.0715809)"
서울특별시,송파구,마천동,"(37.4976485, 127.1530166)"
서울특별시,광진구,군자동,"(37.5530066, 127.0736292)"
서울특별시,영등포구,도림동,"(37.5094016, 126.8960068)"
서울특별시,강서구,공항동,"(37.558949, 126.8103748)"
서울특별시,관악구,봉천동,"(37.4794085, 126.9535822)"
서울특별시,마포구,대흥동,"(37.5498977, 126.9427769)"
서울특별시,중구,충무로2가,"(37.5615919, 126.9877434)"
서울특별시,중구,순화동,"(37.5624639, 126.9706122)"
서울특별시,강서구,가양동,"(37.5648322, 126.8342406)"
서울특별시,동대문구,장안동,"(37.570627, 127.0706515)"
서울특별시,성북구,정릉동,"(37.61449289999999, 127.0002306)"
서울특별시,강서구,화곡동,"(37.53811839999999, 126.8471024)"
서울특별시,서대문구,홍은동,"(37.5871322, 126.9319759)"
서울특별시,중랑구,면목동,"(37.5811454, 127.0883961)"
서울특별시,강서구,염창동,"(37.5540319, 126.8717993)"
서울특별시,동작구,대방동,"(37.5080962, 126.9262539)"
서울특별시,마포구,도화동,"(37.53980079999999, 126.9495112)"
서울특별시,송파구,거여동,"(37.4900434, 127.1462058)"
서울특별시,종로구,숭인동,"(37.5747055, 127.0186416)"
서울특별시,영등포구,문래동3가,"(37.5176033, 126.895289)"
서울특별시,강남구,도곡동,"(37.4898434, 127.0438136)"
서울특별시,강동구,천호동,"(37.5439937, 127.1256452)"
서울특별시,동작구,사당동,"(37.4862548, 126.9733325)"
서울특별시,서대문구,창천동,"(37.5584944, 126.9345627)"
서울특별시,마포구,성산동,"(37.5657426, 126.9033058)"
서울특별시,마포구,망원동,"(37.5559772, 126.9012821)"
서울특별시,금천구,독산동,"(37.4681147, 126.8981937)"
서울특별시,강남구,일원동,"(37.4810133, 127.0801089)"
서울특별시,중랑구,망우동,"(37.60002619999999, 127.1068617)"
서울특별시,서대문구,연희동,"(37.5717975, 126.9325254)"
서울특별시,광진구,능동,"(37.5535934, 127.0791827)"
서울특별시,용산구,갈월동,"(37.5473301, 126.9722574)"
서울특별시,중구,을지로4가,"(37.5664649, 126.9978028)"
서울특별시,종로구,계동,"(37.5806885, 126.9871195)"
서울특별시,강동구,고덕동,"(37.5632814, 127.1570594)"
서울특별시,종로구,내수동,"(37.5733392, 126.97195)"
서울특별시,종로구,인의동,"(37.57223130000001, 126.9974345)"
서울특별시,구로구,가리봉동,"(37.4823943, 126.888251)"
서울특별시,마포구,합정동,"(37.5463089, 126.9101219)"
서울특별시,서초구,잠원동,"(37.514847, 127.0143281)"
서울특별시,종로구,명륜1가,"(37.5881388, 126.9979737)"
서울특별시,영등포구,양평동4가,"(37.5361297, 126.8960904)"
서울특별시,동작구,상도1동,"(37.498071, 126.9530576)"
서울특별시,용산구,원효로4가,"(37.5323003, 126.9504725)"
서울특별시,동대문구,청량리동,"(37.588908, 127.0445965)"
서울특별시,종로구,교북동,"(37.5714471, 126.961324)"
서울특별시,서대문구,북가좌동,"(37.5784186, 126.9099561)"
서울특별시,노원구,중계동,"(37.6514398, 127.0831273)"
서울특별시,종로구,적선동,"(37.5745573, 126.9739195)"
서울특별시,중구,충무로1가,"(37.5609432, 126.9825464)"
서울특별시,마포구,당인동,"(37.54273939999999, 126.9194445)"
서울특별시,종로구,동숭동,"(37.5808755, 127.0051633)"
서울특별시,강북구,우이동,"(37.6479697, 127.0118806)"
서울특별시,강북구,수유동,"(37.6387326, 127.0089103)"
서울특별시,중구,남대문로5가,"(37.5562032, 126.9749646)"
서울특별시,서대문구,남가좌동,"(37.5743455, 126.9188972)"
서울특별시,용산구,용산동2가,"(37.5407943, 126.9835695)"
서울특별시,송파구,신천동,"(37.5200705, 127.0995)"
서울특별시,금천구,시흥동,"(37.4492857, 126.9104662)"
서울특별시,은평구,대조동,"(37.6141112, 126.9208904)"
서울특별시,양천구,신정동,"(37.5166014, 126.8638714)"
서울특별시,종로구,경운동,"(37.57452869999999, 126.9866772)"
서울특별시,노원구,공릉동,"(37.6304778, 127.0901988)"
서울특별시,마포구,서교동,"(37.5534897, 126.9177304)"
서울특별시,성북구,삼선동5가,"(37.5885021, 127.0155886)"
서울특별시,영등포구,당산동,"(37.5391115, 126.9033939)"
서울특별시,종로구,낙원동,"(37.57284569999999, 126.9884126)"
서울특별시,중구,을지로3가,"(37.5661262, 126.9916862)"
서울특별시,동작구,노량진동,"(37.5110026, 126.9416329)"
서울특별시,중구,수표동,"(37.5674037, 126.9895729)"
서울특별시,중구,서소문동,"(37.5628953, 126.97381)"
서울특별시,강동구,암사동,"(37.558248, 127.1304539)"
서울특별시,종로구,관수동,"(37.5690222, 126.9904296)"
서울특별시,서대문구,충정로3가,"(37.5618617, 126.9616111)"
서울특별시,노원구,월계동,"(37.6277451, 127.0568215)"
서울특별시,서대문구,대신동,"(37.5677894, 126.9488821)"
서울특별시,성북구,동선동1가,"(37.5921647, 127.0181885)"
서울특별시,중구,충무로4가,"(37.5622705, 126.996153)"
서울특별시,종로구,종로1가,"(37.5701623, 126.9802978)"
서울특별시,영등포구,영등포동8가,"(37.5283387, 126.905394)"
서울특별시,종로구,신영동,"(37.60223480000001, 126.9616183)"
서울특별시,종로구,창신동,"(37.5750914, 127.0121575)"
서울특별시,영등포구,영등포동5가,"(37.5210958, 126.9067076)"
서울특별시,중랑구,상봉동,"(37.5990737, 127.0893441)"
서울특별시,송파구,오금동,"(37.5029895, 127.1278734)"
서울특별시,서대문구,홍제동,"(37.58551120000001, 126.9489831)"
서울특별시,은평구,갈현동,"(37.6220821, 126.9137086)"
서울특별시,중구,남대문로2가,"(37.5638735, 126.9820656)"
서울특별시,동작구,신대방동,"(37.4915587, 126.9166265)"
서울특별시,구로구,오류동,"(37.4901258, 126.8385254)"
서울특별시,중구,남대문로3가,"(37.5619687, 126.9803334)"
서울특별시,동작구,본동,"(37.51244210000001, 126.9534025)"
서울특별시,서초구,내곡동,"(37.4617711, 127.05116)"
서울특별시,서대문구,신촌동,"(37.5594793, 126.9435838)"
서울특별시,영등포구,영등포동2가,"(37.5212309, 126.911986)"
서울특별시,용산구,한남동,"(37.5311789, 127.0062454)"
서울특별시,마포구,상수동,"(37.5454728, 126.9244174)"
서울특별시,광진구,구의동,"(37.5466951, 127.0914159)"
서울특별시,용산구,청파동3가,"(37.5433425, 126.9675767)"
서울특별시,광진구,광장동,"(37.5478086, 127.1052825)"
서울특별시,마포구,신수동,"(37.54684170000001, 126.934558)"
서울특별시,마포구,창전동,"(37.5501124, 126.9309867)"
서울특별시,용산구,신계동,"(37.53528379999999, 126.9666019)"
서울특별시,종로구,돈의동,"(37.571887, 126.990924)"
서울특별시,마포구,아현동,"(37.5541171, 126.9569379)"
서울특별시,광진구,화양동,"(37.5435547, 127.073456)"
서울특별시,도봉구,도봉동,"(37.6837277, 127.0318174)"
서울특별시,동대문구,답십리동,"(37.5696589, 127.0576058)"
서울특별시,서초구,신원동,"(37.4446745, 127.0614206)"
서울특별시,도봉구,쌍문동,"(37.6522545, 127.0304855)"
서울특별시,은평구,증산동,"(37.5849961, 126.907314)"
서울특별시,도봉구,방학동,"(37.6666657, 127.0337541)"
서울특별시,용산구,도원동,"(37.5383838, 126.9554387)"
서울특별시,관악구,난향동,"(37.4616858, 126.9188389)"
서울특별시,성북구,길음동,"(37.6073126, 127.023926)"
서울특별시,종로구,종로5가,"(37.5704682, 127.0038437)"
서울특별시,성동구,행당동,"(37.5574629, 127.0347413)"
서울특별시,구로구,궁동,"(37.5003075, 126.8289067)"
서울특별시,종로구,종로6가,"(37.571853, 127.0078329)"
서울특별시,종로구,관철동,"(37.5689971, 126.9856706)"
서울특별시,광진구,중곡동,"(37.5626197, 127.0853672)"
서울특별시,성동구,성수동1가,"(37.5435182, 127.0437247)"
서울특별시,성북구,돈암동,"(37.6005277, 127.023636)"
서울특별시,용산구,효창동,"(37.5417318, 126.9613055)"
서울특별시,성북구,종암동,"(37.60017089999999, 127.031602)"
서울특별시,중랑구,묵동,"(37.6113617, 127.0787546)"
서울특별시,성북구,석관동,"(37.6084827, 127.0609186)"
서울특별시,중구,산림동,"(37.5675704, 126.9958581)"
서울특별시,영등포구,대림동,"(37.4955091, 126.899438)"
서울특별시,영등포구,당산동3가,"(37.5255183, 126.8972369)"
서울특별시,중구,장충동1가,"(37.5608027, 127.0076024)"
서울특별시,중구,남창동,"(37.5578822, 126.9772626)"
서울특별시,강남구,압구정동,"(37.531684, 127.0302926)"
서울특별시,용산구,서빙고동,"(37.520402, 126.9945799)"
서울특별시,중구,봉래동2가,"(37.5564965, 126.9710206)"
서울특별시,중구,흥인동,"(37.5674439, 127.0167756)"
서울특별시,성북구,하월곡동,"(37.6041779, 127.0409997)"
서울특별시,종로구,신문로1가,"(37.5700056, 126.9738934)"
서울특별시,동대문구,전농동,"(37.5792622, 127.0554405)"
서울특별시,동대문구,회기동,"(37.5907275, 127.055128)"
서울특별시,성동구,상왕십리동,"(37.5679524, 127.0249238)"
서울특별시,서대문구,북아현동,"(37.56096770000001, 126.9542682)"
서울특별시,동작구,상도동,"(37.4989895, 126.9377193)"
서울특별시,중구,예장동,"(37.5551027, 126.9896164)"
서울특별시,노원구,하계동,"(37.637576, 127.0725939)"
서울특별시,동대문구,휘경동,"(37.5900176, 127.0636187)"
서울특별시,종로구,평창동,"(37.6053351, 126.9668582)"
서울특별시,영등포구,당산동6가,"(37.5340872, 126.9029485)"
서울특별시,서대문구,충정로2가,"(37.5646792, 126.9640448)"
서울특별시,구로구,온수동,"(37.4939934, 126.8206441)"
서울특별시,강서구,마곡동,"(37.5764888, 126.8307466)"
서울특별시,종로구,도렴동,"(37.5734791, 126.974746)"
서울특별시,성동구,응봉동,"(37.5505499, 127.0341139)"
서울특별시,중구,태평로1가,"(37.5679872, 126.9771635)"
서울특별시,중구,무교동,"(37.568084, 126.9791516)"
서울특별시,중구,인현동1가,"(37.5640095, 126.9940488)"
서울특별시,중구,을지로2가,"(37.5658904, 126.9850802)"
서울특별시,강서구,오쇠동,"(37.5435816, 126.7965682)"
서울특별시,용산구,용산동6가,"(37.52332699999999, 126.9841218)"
서울특별시,중구,회현동2가,"(37.5589433, 126.9829133)"
서울특별시,종로구,통의동,"(37.57794930000001, 126.973046)"
서울특별시,종로구,익선동,"(37.5742793, 126.989835)"
서울특별시,중구,방산동,"(37.5688961, 127.0028604)"
서울특별시,영등포구,영등포동,"(37.5132559, 126.9057791)"
서울특별시,성북구,안암동5가,"(37.5866998, 127.0290956)"
서울특별시,은평구,진관동,"(37.6413466, 126.9421897)"
서울특별시,은평구,역촌동,"(37.6044517, 126.9169535)"
서울특별시,중구,충정로1가,"(37.5665316, 126.9681594)"
서울특별시,중구,명동2가,"(37.5629038, 126.9854869)"
서울특별시,중랑구,중화동,"(37.5995064, 127.0778661)"
서울특별시,종로구,연지동,"(37.5734515, 126.9999636)"
서울특별시,용산구,원효로3가,"(37.5347545, 126.95735)"
서울특별시,서대문구,봉원동,"(37.5725233, 126.9469831)"
서울특별시,종로구,신교동,"(37.5843639, 126.9681153)"
서울특별시,중구,회현동1가,"(37.5566746, 126.981124)"
서울특별시,중구,다동,"(37.5678759, 126.9811398)"
서울특별시,영등포구,영등포동1가,"(37.5175327, 126.9129245)"
서울특별시,종로구,안국동,"(37.5771212, 126.983616)"
서울특별시,송파구,잠실동,"(37.5061273, 127.0842945)"
서울특별시,중구,의주로2가,"(37.5607117, 126.9697947)"
서울특별시,구로구,고척동,"(37.5011414, 126.8625002)"
서울특별시,종로구,당주동,"(37.5714728, 126.9741524)"
서울특별시,성북구,상월곡동,"(37.603604, 127.0499508)"
서울특별시,용산구,후암동,"(37.5498915, 126.9814212)"
서울특별시,중구,태평로2가,"(37.5630763, 126.9765618)"
서울특별시,종로구,종로3가,"(37.5703665, 126.9919515)"
서울특별시,중구,남대문로1가,"(37.5675088, 126.982792)"
서울특별시,중구,주교동,"(37.5682819, 126.9993778)"
서울특별시,용산구,한강로2가,"(37.5290615, 126.9694881)"
서울특별시,송파구,풍납동,"(37.5327384, 127.1134887)"
서울특별시,종로구,와룡동,"(37.581994, 126.9927447)"
서울특별시,서초구,원지동,"(37.4423018, 127.0498797)"
서울특별시,중구,저동1가,"(37.5642948, 126.9879413)"
서울특별시,마포구,용강동,"(37.5417874, 126.9416684)"
서울특별시,중구,만리동1가,"(37.55612, 126.9676729)"
서울특별시,종로구,세종로,"(37.5822874, 126.9769233)"
서울특별시,종로구,행촌동,"(37.5729372, 126.9623776)"
서울특별시,마포구,신공덕동,"(37.54459170000001, 126.9557029)"
서울특별시,강서구,오곡동,"(37.5523346, 126.784398)"
