"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160201","월","여","10대","서울특별시","강남구","치킨","39"
"20160201","월","여","60대이상","서울특별시","강남구","치킨","25"
"20160201","월","남","30대","서울특별시","강남구","치킨","120"
"20160201","월","남","40대","서울특별시","강남구","치킨","82"
"20160201","월","남","10대","서울특별시","강남구","치킨","44"
"20160201","월","여","40대","서울특별시","강남구","치킨","171"
"20160201","월","남","60대이상","서울특별시","강남구","치킨","18"
"20160201","월","남","20대","서울특별시","강남구","치킨","152"
"20160201","월","여","20대","서울특별시","강남구","치킨","81"
"20160201","월","여","50대","서울특별시","강남구","치킨","44"
"20160201","월","남","50대","서울특별시","강남구","치킨","31"
"20160201","월","여","30대","서울특별시","강남구","치킨","133"
"20160201","월","남","60대이상","서울특별시","강동구","치킨","12"
"20160201","월","남","10대","서울특별시","강동구","치킨","23"
"20160201","월","여","40대","서울특별시","강동구","치킨","77"
"20160201","월","여","30대","서울특별시","강동구","치킨","102"
"20160201","월","여","60대이상","서울특별시","강동구","치킨","7"
"20160201","월","남","30대","서울특별시","강동구","치킨","88"
"20160201","월","여","10대","서울특별시","강동구","치킨","24"
"20160201","월","남","50대","서울특별시","강동구","치킨","31"
"20160201","월","여","50대","서울특별시","강동구","치킨","46"
"20160201","월","여","20대","서울특별시","강동구","치킨","66"
"20160201","월","남","20대","서울특별시","강동구","치킨","55"
"20160201","월","남","40대","서울특별시","강동구","치킨","57"
"20160201","월","여","60대이상","서울특별시","강북구","치킨","9"
"20160201","월","여","10대","서울특별시","강북구","치킨","8"
"20160201","월","남","40대","서울특별시","강북구","치킨","51"
"20160201","월","남","30대","서울특별시","강북구","치킨","65"
"20160201","월","남","60대이상","서울특별시","강북구","치킨","15"
"20160201","월","여","30대","서울특별시","강북구","치킨","90"
"20160201","월","남","10대","서울특별시","강북구","치킨","18"
"20160201","월","여","50대","서울특별시","강북구","치킨","24"
"20160201","월","남","50대","서울특별시","강북구","치킨","21"
"20160201","월","남","20대","서울특별시","강북구","치킨","31"
"20160201","월","여","20대","서울특별시","강북구","치킨","45"
"20160201","월","여","40대","서울특별시","강북구","치킨","44"
"20160201","월","여","10대","서울특별시","강서구","치킨","29"
"20160201","월","여","60대이상","서울특별시","강서구","치킨","11"
"20160201","월","여","20대","서울특별시","강서구","치킨","109"
"20160201","월","남","50대","서울특별시","강서구","치킨","41"
"20160201","월","남","10대","서울특별시","강서구","치킨","32"
"20160201","월","여","50대","서울특별시","강서구","치킨","59"
"20160201","월","남","60대이상","서울특별시","강서구","치킨","18"
"20160201","월","여","30대","서울특별시","강서구","치킨","168"
"20160201","월","남","30대","서울특별시","강서구","치킨","106"
"20160201","월","여","40대","서울특별시","강서구","치킨","140"
"20160201","월","남","40대","서울특별시","강서구","치킨","78"
"20160201","월","남","20대","서울특별시","강서구","치킨","111"
"20160201","월","남","10대","서울특별시","관악구","치킨","29"
"20160201","월","남","60대이상","서울특별시","관악구","치킨","11"
"20160201","월","남","20대","서울특별시","관악구","치킨","144"
"20160201","월","여","50대","서울특별시","관악구","치킨","42"
"20160201","월","여","10대","서울특별시","관악구","치킨","22"
"20160201","월","남","50대","서울특별시","관악구","치킨","26"
"20160201","월","여","60대이상","서울특별시","관악구","치킨","14"
"20160201","월","남","30대","서울특별시","관악구","치킨","145"
"20160201","월","여","30대","서울특별시","관악구","치킨","122"
"20160201","월","남","40대","서울특별시","관악구","치킨","52"
"20160201","월","여","40대","서울특별시","관악구","치킨","93"
"20160201","월","여","20대","서울특별시","관악구","치킨","96"
"20160201","월","남","60대이상","서울특별시","광진구","치킨","6"
"20160201","월","남","10대","서울특별시","광진구","치킨","14"
"20160201","월","여","40대","서울특별시","광진구","치킨","52"
"20160201","월","여","30대","서울특별시","광진구","치킨","43"
"20160201","월","여","60대이상","서울특별시","광진구","치킨","5"
"20160201","월","남","30대","서울특별시","광진구","치킨","32"
"20160201","월","여","10대","서울특별시","광진구","치킨","12"
"20160201","월","남","50대","서울특별시","광진구","치킨","9"
"20160201","월","여","50대","서울특별시","광진구","치킨","19"
"20160201","월","여","20대","서울특별시","광진구","치킨","44"
"20160201","월","남","20대","서울특별시","광진구","치킨","42"
"20160201","월","남","40대","서울특별시","광진구","치킨","24"
"20160201","월","여","10대","서울특별시","구로구","치킨","21"
"20160201","월","여","60대이상","서울특별시","구로구","치킨","14"
"20160201","월","여","20대","서울특별시","구로구","치킨","86"
"20160201","월","남","50대","서울특별시","구로구","치킨","23"
"20160201","월","남","10대","서울특별시","구로구","치킨","22"
"20160201","월","여","50대","서울특별시","구로구","치킨","27"
"20160201","월","남","60대이상","서울특별시","구로구","치킨","16"
"20160201","월","여","30대","서울특별시","구로구","치킨","124"
"20160201","월","남","30대","서울특별시","구로구","치킨","83"
"20160201","월","여","40대","서울특별시","구로구","치킨","117"
"20160201","월","남","40대","서울특별시","구로구","치킨","63"
"20160201","월","남","20대","서울특별시","구로구","치킨","89"
"20160201","월","남","10대","서울특별시","금천구","치킨","5"
"20160201","월","남","60대이상","서울특별시","금천구","치킨","6"
"20160201","월","남","20대","서울특별시","금천구","치킨","44"
"20160201","월","여","50대","서울특별시","금천구","치킨","15"
"20160201","월","여","10대","서울특별시","금천구","치킨","9"
"20160201","월","남","50대","서울특별시","금천구","치킨","18"
"20160201","월","여","60대이상","서울특별시","금천구","치킨","10"
"20160201","월","남","30대","서울특별시","금천구","치킨","48"
"20160201","월","여","30대","서울특별시","금천구","치킨","51"
"20160201","월","남","40대","서울특별시","금천구","치킨","22"
"20160201","월","여","40대","서울특별시","금천구","치킨","40"
"20160201","월","여","20대","서울특별시","금천구","치킨","28"
"20160201","월","여","60대이상","서울특별시","노원구","치킨","16"
"20160201","월","여","10대","서울특별시","노원구","치킨","25"
"20160201","월","여","30대","서울특별시","노원구","치킨","77"
"20160201","월","여","40대","서울특별시","노원구","치킨","99"
"20160201","월","남","60대이상","서울특별시","노원구","치킨","14"
"20160201","월","남","40대","서울특별시","노원구","치킨","49"
"20160201","월","남","10대","서울특별시","노원구","치킨","23"
"20160201","월","여","20대","서울특별시","노원구","치킨","56"
"20160201","월","남","20대","서울특별시","노원구","치킨","62"
"20160201","월","남","50대","서울특별시","노원구","치킨","16"
"20160201","월","여","50대","서울특별시","노원구","치킨","30"
"20160201","월","남","30대","서울특별시","노원구","치킨","59"
"20160201","월","여","50대","서울특별시","도봉구","치킨","19"
"20160201","월","남","50대","서울특별시","도봉구","치킨","21"
"20160201","월","여","30대","서울특별시","도봉구","치킨","39"
"20160201","월","여","40대","서울특별시","도봉구","치킨","47"
"20160201","월","남","20대","서울특별시","도봉구","치킨","60"
"20160201","월","남","40대","서울특별시","도봉구","치킨","14"
"20160201","월","여","20대","서울특별시","도봉구","치킨","33"
"20160201","월","여","60대이상","서울특별시","도봉구","치킨","16"
"20160201","월","여","10대","서울특별시","도봉구","치킨","82"
"20160201","월","남","60대이상","서울특별시","도봉구","치킨","5"
"20160201","월","남","10대","서울특별시","도봉구","치킨","99"
"20160201","월","남","30대","서울특별시","도봉구","치킨","38"
"20160201","월","남","60대이상","서울특별시","동대문구","치킨","9"
"20160201","월","남","10대","서울특별시","동대문구","치킨","21"
"20160201","월","여","20대","서울특별시","동대문구","치킨","55"
"20160201","월","남","50대","서울특별시","동대문구","치킨","10"
"20160201","월","여","60대이상","서울특별시","동대문구","치킨","6"
"20160201","월","여","50대","서울특별시","동대문구","치킨","13"
"20160201","월","여","10대","서울특별시","동대문구","치킨","14"
"20160201","월","여","30대","서울특별시","동대문구","치킨","48"
"20160201","월","남","30대","서울특별시","동대문구","치킨","66"
"20160201","월","여","40대","서울특별시","동대문구","치킨","60"
"20160201","월","남","40대","서울특별시","동대문구","치킨","47"
"20160201","월","남","20대","서울특별시","동대문구","치킨","62"
"20160201","월","여","30대","서울특별시","동작구","치킨","59"
"20160201","월","남","30대","서울특별시","동작구","치킨","48"
"20160201","월","여","50대","서울특별시","동작구","치킨","16"
"20160201","월","남","20대","서울특별시","동작구","치킨","45"
