Park Code,Park Name,State,Acres
ACAD,Acadia National Park,ME,47390
ARCH,Arches National Park,UT,76519
BADL,Badlands National Park,SD,242756
BIBE,Big Bend National Park,TX,801163
BISC,Biscayne National Park,FL,172924
BLCA,Black Canyon of the Gunnison National Park,CO,32950
BRCA,Bryce Canyon National Park,UT,35835
CANY,Canyonlands National Park,UT,337598
CARE,Capitol Reef National Park,UT,241904
CAVE,Carlsbad Caverns National Park,NM,46766
CHIS,Channel Islands National Park,CA,249561
CONG,Congaree National Park,SC,26546
CRLA,Crater Lake National Park,OR,183224
CUVA,Cuyahoga Valley National Park,OH,32950
DENA,Denali National Park and Preserve,AK,3372402
DEVA,Death Valley National Park,"CA, NV",4740912
DRTO,Dry Tortugas National Park,FL,64701
EVER,Everglades National Park,FL,1508538
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898
GLAC,Glacier National Park,MT,1013572
GLBA,Glacier Bay National Park and Preserve,AK,3224840
GRBA,Great Basin National Park,NV,77180
GRCA,Grand Canyon National Park,AZ,1217403
GRSA,Great Sand Dunes National Park and Preserve,CO,42984
GRSM,Great Smoky Mountains National Park,"TN, NC",521490
GRTE,Grand Teton National Park,WY,309995
GUMO,Guadalupe Mountains National Park,TX,86416
HALE,Haleakala National Park,HI,29094
HAVO,Hawaii Volcanoes National Park,HI,323431
HOSP,Hot Springs National Park,AR,5550
ISRO,Isle Royale National Park,MI,571790
JOTR,Joshua Tree National Park,CA,789745
KATM,Katmai National Park and Preserve,AK,3674530
KEFJ,Kenai Fjords National Park,AK,669983
KOVA,Kobuk Valley National Park,AK,1750717
LACL,Lake Clark National Park and Preserve,AK,2619733
LAVO,Lassen Volcanic National Park,CA,106372
MACA,Mammoth Cave National Park,KY,52830
MEVE,Mesa Verde National Park,CO,52122
MORA,Mount Rainier National Park,WA,235625
NOCA,North Cascades National Park,WA,504781
OLYM,Olympic National Park,WA,922651
PEFO,Petrified Forest National Park,AZ,93533
PINN,Pinnacles National Park,CA,26606
REDW,Redwood National Park,CA,112512
ROMO,Rocky Mountain National Park,CO,265828
SAGU,Saguaro National Park,AZ,91440
SEKI,Sequoia and Kings Canyon National Parks,CA,865952
SHEN,Shenandoah National Park,VA,199045
THRO,Theodore Roosevelt National Park,ND,70447
VOYA,Voyageurs National Park,MN,218200
WICA,Wind Cave National Park,SD,28295
WRST,Wrangell - St Elias National Park and Preserve,AK,8323148
YELL,Yellowstone National Park,"WY, MT, ID",2219791
YOSE,Yosemite National Park,CA,761266
ZION,Zion National Park,UT,146598
