"","x"
"adverse",-320.217226872113
"accomplish",-312.656288979798
"apology",-275.774008801392
"applaud",-226.304719355003
"boasts",-222.348465657413
"artists",-205.346008700906
"addresses",-200.220456886819
"amazoni",-191.374029626201
"ainol",-187.849933710116
"accesses",-180.961421528741
"comparisons",-180.79971077598
"adddelete",-166.908475763107
"arrange",-165.256138158984
"aka",-163.862698308591
"admitted",-157.418367725717
"blocks",-156.15581560374
"aarp",-153.858017182535
"averaging",-153.192826158528
"annoys",-151.830290745954
"americaits",-141.121681589982
"amazonit",-138.555945387083
"againthe",-128.770618463496
"dates",-120.930573342782
"compromising",-120.029780403993
"adhesive",-119.994658999136
"alike",-118.131463487443
"copied",-118.130079882584
"alerts",-115.458903288332
"adventure",-114.415655596818
"cared",-111.762800513175
"dependent",-111.267089958932
"accessoriesin",-109.637060444065
"bubbles",-108.344018812695
"collar",-108.102132555544
"ancient",-107.38315740744
"begs",-106.225388343224
"buildquality",-104.985677742675
"allover",-104.859742252516
"daughtereÄ∞√õ¬™s social",-100.13671218673
"antutu",-98.6040131741216
"contracting",-97.5525333733534
"ambulance",-94.5805776918325
"bonkers",-93.9608914013975
"brightnessto",-93.5979932876259
"compensated",-92.392959645591
"caselessexcept",-91.2098942835751
"enemy",-91.0490597227609
"composing",-90.5667570089017
"cnn",-90.1934938856171
"androidify",-88.2342745785558
"accent",-87.5225660929778
"animated",-86.3635444780649
"accessoriesi",-85.8654528549399
"asi",-85.476472781736
"adaptor",-85.232272654568
"applies",-83.9470165960826
"anuncio",-82.9774517769034
"authors",-81.8079799326212
"depend",-79.8584955338389
"competitors",-79.238722682271
"complainti",-77.200158542333
"deafening",-76.4411783144325
"angry",-76.0374350124342
"accurately",-75.8562262544341
"approximately",-74.9048971473642
"minutesthe",-74.5387042402907
"depending",-74.4156560377235
"deception",-74.2984989415878
"absulotly",-74.1164237654069
"discussionas",-73.5444007169274
"loyal",-73.4097384509397
"bland",-73.1754062211895
"bribe",-73.0292712697668
"arising",-72.4913136299298
"altogether",-71.8719366129689
"consumers",-71.3737652537592
"agree",-71.2289093902448
"increase",-69.3213578585091
"cruel",-68.9064001406969
"center",-68.7475586772652
"deploying",-68.4044602826399
"drives",-67.7868592854995
"againthird",-67.5531803710199
"checking",-66.7554607515218
"atoz",-66.6387541698228
"curse",-65.7955890534821
