"","x"
"slowness",-1.50118494674383
"limiting",-1.5011784721809
"groove",-1.50115992570011
"engage",-1.50113160535635
"discontinuing",-1.50112840648684
"depending",-1.44612371507286
"apology",-1.44602726135265
"carpet",-1.44575976713539
"disgruntled",-1.4454657118967
"explanation",-1.44530482922171
"hypothesize",-1.44506449881445
"whomever",-1.44505428501919
"voltage",-1.44502474077956
"toi",-1.44498896983842
"jumping",-1.44495301680027
"scuff",-1.444951243708
"returnclaim",-1.44491027389319
"loosely",-1.44488876520091
"refurbishes",-1.44487439399258
"reflect",-1.44484171431268
"paused",-1.44481975865301
"possession",-1.44481657169435
"phoneitem",-1.44480688427511
"depend",-1.44033337996897
"accomplish",-1.41120949652859
"annoys",-1.41094101796499
"anxiously",-1.41072724403218
"brakes",-1.41051263852466
"changedthe",-1.41031285867035
"zillion",-1.41020641062069
"ughhh",-1.41017337991027
"trial",-1.41013022448458
"deliberately",-1.41008096402989
"translates",-1.41007647728444
"synched",-1.41001375777235
"superannoying",-1.40992819627687
"slips",-1.40985086589814
"dozenjudging",-1.40981663400866
"slightest",-1.40977153063445
"slides",-1.40968722250323
"expires",-1.40968456784751
"shiny",-1.40960423687088
"grrr",-1.40954472563728
"seriouslyoh",-1.40952637816558
"rubberized",-1.40949189807501
"habit",-1.40947027855556
"pedals",-1.40939158200889
"measly",-1.40938218572882
"misunderstands",-1.40936954413942
"mellow",-1.40936043822389
"melody",-1.40935826855498
"occur",-1.38583111400137
"resorted",-1.38574327567502
"streak",-1.38570938453509
"waived",-1.3856987022954
"accesses",-1.36434919359281
"backwardthe",-1.36418135476612
"amazoni",-1.36411469997738
"conveniently",-1.3640307611743
"bayi",-1.36393067883406
"weve",-1.36391139031843
"dialer",-1.36390826030797
"weirdits",-1.36388146154066
"catalina",-1.36386524801162
"disables",-1.36379677179398
"cheesy",-1.36379625379893
"tooi",-1.3637893300608
"island",-1.36375343319676
"thisupdate",-1.36374086872306
"soundhound",-1.36370145040723
"walked",-1.36369337561376
"flawsif",-1.36368516973115
"topside",-1.36367790258276
"resolves",-1.3636709696224
"officially",-1.36366219049095
"command",-1.34239753638335
"agreeing",-1.34093370219726
"ownershipi",-1.34088308930784
"troubles",-1.34085947952035
"slogan",-1.34084933906575
"cal",-1.33770603862923
"clockbecause",-1.33755920937001
"elseshe",-1.33740579033715
"worksso",-1.33729499570651
"woman",-1.3372811752929
"whatonline",-1.33725850596189
"literallyit",-1.33725775157293
"wantnow",-1.33722865254361
"twicei",-1.33719223944478
"log",-1.33717066376448
"speaks",-1.33715381435151
"sotwo",-1.33711383172225
"maze",-1.3370921051028
"soooooooooooooo",-1.33707723982939
"recalibrated",-1.33704910148122
"nonenglish",-1.33704212169795
"phoneyoud",-1.33702659556027
"org",-1.33701563608647
"phonenow",-1.3370143891784
"adddelete",-1.3166930610422
"carried",-1.31640697166408
"viewable",-1.31616577760596
"funnyin",-1.31615887318122
"pretend",-1.31613863119338
"jumped",-1.3161293460899
"magically",-1.31611740296797
"picky",-1.31611653777648
"artists",-1.29123895941678
"companywhats",-1.29095621551038
"deduct",-1.29069296372008
"discuss",-1.29053773397505
"walsh",-1.29050115854407
"trained",-1.29047771023642
"theft",-1.29044787483361
"disgusting",-1.29042189061002
"sweet",-1.29040924886377
"stunned",-1.29036341835684
"dispute",-1.29032762644716
"shady",-1.29031536769687
"scamming",-1.29026891693039
"ripoffs",-1.29022198469473
"infuriated",-1.2901378481058
"remedy",-1.29010898701445
"instore",-1.29010583537667
"nexta",-1.29009982963505
"legal",-1.2900899575065
"eager",-1.27574016973996
"emerging",-1.27562505906241
"financial",-1.2755344209806
"helping",-1.27538112184205
"unhelpful",-1.27534314104145
"hopelessly",-1.27533893116293
"understandablemy",-1.27531886155637
"issueanyhow",-1.27531050545264
"notifying",-1.2752873347376
"couldve",-1.26750501131595
"gbmy",-1.23864638134178
"idleness",-1.23857007759361
"itexcept",-1.23851715938102
"stranded",-1.23848153665241
"kiddingthe",-1.23848073519642
"secret",-1.23847747549325
"perform",-1.23846460766172
"addresses",-1.21779538796583
"adverse",-1.21098444308604
"assuredly",-1.21079581636613
"caredfor",-1.21061376630152
"wrappers",-1.21051708247251
"wizard",-1.21051061714197
"wires",-1.21049517068053
"willingness",-1.21045629748373
"void",-1.21041963687095
"cosmetically",-1.21040919831351
"vetting",-1.21037695479349
"unfairly",-1.21032772469429
"umbrella",-1.21027343229437
