"","x"
"news",34.3054064864137
"sharpness",19.9586654526652
"amoled",13.8783986015518
"implementation",11.818634343979
"section",10.3416314494329
"selfies",9.78440071241199
"great",9.54738508512503
"monster",8.61563034344551
"whatsapp",8.26073852220077
"love",7.48989291123252
"remote",6.53338378384315
"kitkat",6.04541438461457
"responsiveness",5.62595124485998
"eyes",5.55973470139553
"swiping",5.18122130137471
"pro",4.80074331318037
"autofocus",4.69827386549755
"fits",4.53824811047452
"easy",4.47056296401209
"perfect",4.43012005603522
"pair",4.21206148724566
"loves",4.06723643518853
"excellent",4.06682516191201
"windows",3.91532903528209
"impressed",3.87676857496439
"fast",3.69363929020697
"meaning",3.68261482793527
"locations",3.67668040241873
"stream",3.60165099939782
"pleasantly",3.50747286471223
"amazing",3.42857358682009
"works",3.30742075406697
"popped",3.299113298549
"friday",3.28314537365626
"price",3.27744422021375
"mei",3.2370471031747
"drag",3.1945983185727
"desk",3.04347417589119
"android",2.99386094475147
"feels",2.72498141837388
"youve",2.72495706247871
"portable",2.71843460986844
"loaded",2.69179869953803
"barrier",2.66203291478776
"moto",2.60917147380512
"ability",2.5469052479936
"arm",2.53586749225397
"fantastic",2.38113236712042
"deep",2.33490051994639
"europe",2.09372638017976
"awesome",2.0878331178412
"outlet",2.06943880281997
"building",2.05009815719141
"crystal",2.02466633522564
"terms",2.00790389639795
"vision",1.99794692243151
"loving",1.95202118515931
"content",1.93044928732959
"breeze",1.92145928303773
"everyday",1.90953900826063
"reminder",1.89001563193347
"grip",1.86356011317706
"vendors",1.81095556981769
"idk",1.80105536764742
"retail",1.8009303125462
"processor",1.77770245655591
"wonderful",1.77761671627315
"nice",1.76284184860986
"handled",1.7423046646149
"freedom",1.65178681464374
"travelling",1.60603481149278
"suffice",1.59925347782336
"algo",1.57798410442321
"trade",1.55369499419336
"galaxy",1.54231363826997
"listen",1.50819230259088
"amused",1.49513026490159
"life",1.47861603970393
"accessories",1.47711198851973
"running",1.46280741167263
"frontfacing",1.43579393625282
"beauty",1.42905274774232
"intrusive",1.42170057255873
"beautiful",1.41845429063418
"anywayim",1.39730068382433
"showed",1.3656272943889
"airtime",1.35769755751952
"nano",1.35276334283092
"happy",1.32217820443591
"doubles",1.3117521711007
"surprised",1.28420594454362
"excessive",1.2815485860683
"bit",1.27880105883697
"witch",1.27463009953643
"recommend",1.26578520082945
"stored",1.26465275651283
"smartphone",1.25326805069057
"drawback",1.24416818884638
"build",1.24045882277487
"bigger",1.2356941206205
"bells",1.2271853741411
"outstanding",1.218815050697
"mom",1.16912348684409
"high",1.13674374554719
"smaller",1.12726021989163
"heavy",1.12362495305884
"easily",1.11983529261264
"otter",1.11724215050775
"tablet",1.11198061806766
"enjoy",1.10960688008162
"marginal",1.09083854079474
"basic",1.08179870866803
"ways",1.08154421036241
"attack",1.07719624395374
"accurateif",1.06304292292206
"display",1.04779009435774
"moderate",1.03139885595585
"conrol",1.01201263562265
"htc",1.0084200414152
"goodso",1.00360749936307
"replaces",0.975255834416336
"upgradeable",0.939845975996275
"arrived",0.930024540132316
"networking",0.918401958123205
"reviews",0.918025565297302
"areas",0.914777681169033
"managed",0.908874184054522
"solid",0.898594801794396
"travel",0.891823418550359
"ease",0.883063966677206
"estoy",0.879921957096557
"pleased",0.857315226934933
