"","x"
"1"," 
										
									"
"2"," 
										
									"
"3"," 
										
									"
"4"," 
										DC의 저스티스 리그보다 낫지만 다크 나이트 시리즈를 넘을 수 없다.
									"
"5"," 
										
									"
"6"," 
										
									"
"7"," 
										
									"
"8"," 
										
									"
"9"," 
										
									"
"10"," 
										
									"
"11"," 
										
									"
"12"," 
										
									"
"13"," 
										
									"
"14"," 
										
									"
"15"," 
										
									"
"16"," 
										
									"
"17"," 
										
									"
"18"," 
										
									"
"19"," 
										
									"
"20"," 
										
									"
"21"," 
										
									"
"22"," 
										
									"
"23"," 
										
									"
"24"," 
										중후반에 살짝 졸렸음
									"
"25"," 
										
									"
"26"," 
										
									"
"27"," 
										
									"
"28"," 
										
									"
"29"," 
										
									"
"30"," 
										
									"
"31"," 
										 
									"
"32"," 
										
									"
"33"," 
										
									"
"34"," 
										
									"
"35"," 
										
									"
"36"," 
										
									"
"37"," 
										
									"
"38"," 
										
									"
"39"," 
										역시 마블
									"
"40"," 
										
									"
"41"," 
										
									"
"42"," 
										
									"
"43"," 
										
									"
"44"," 
										통쾌한 액션과 여러 히어로들의 총출동. 그래도 유치하다
									"
"45"," 
										누구보다 빠르게 남들과는 다르게 씽나게 봤음
									"
"46"," 
										
									"
"47"," 
										
									"
"48"," 
										!!!!!!!
									"
"49"," 
										단합이 안되던 어벤져스가 어셈블을 이뤄 인류정복을 꿈꾸는 교만한 로키의 카리스마를 박살낸다. 톰 히들스턴이 모순적 악역의 연기를 효과적으로 해내어 이 작품의 빌런의 역할을 충실히 해냈다. 그간 단일 작품으로만 보이던 영웅들의 어셈블로 특유 흥미도가 혁신적으로 치솟으며 극적 요소들을 표출한다.
									"
"50"," 
										
									"
"51"," 
										
									"
"52"," 
										마지막전투씬이진짜재미있었다
마크7이너무멋지다
그리고캡틴무시하지마라
									"
"53"," 
										
									"
"54"," 
										
									"
"55"," 
										아이언맨 블랙위도우 헐크까진 좋은데 나머지 놈들은 노잼. 특히 캡틴아메리카는 존나 씹선비같은게 면상 나오면 짜증나
									"
"56"," 
										
									"
"57"," 
										슈퍼히어로들을 한 곳에 모았다는 거에 점수를...
내용은 뭐..
									"
"58"," 
										
									"
"59"," 
										잼있다.
									"
"60"," 
										
									"
"61"," 
										
									"
"62"," 
										
									"
"63"," 
										
									"
"64"," 
										
									"
"65"," 
										
									"
"66"," 
										
									"
"67"," 
										
									"
"68"," 
										
									"
"69"," 
										
									"
"70"," 
										
									"
"71"," 
										
									"
"72"," 
										
									"
"73"," 
										
									"
"74"," 
										
									"
"75"," 
										액션 장면들은 대박이네요...
									"
"76"," 
										
									"
"77"," 
										겁나 꿀잼ㅋㅋㅋㅋㅋㅋ
									"
"78"," 
										
									"
"79"," 
										
									"
"80"," 
										
									"
"81"," 
										
									"
"82"," 
										
									"
"83"," 
										별로임
									"
"84"," 
										
									"
"85"," 
										
									"
"86"," 
										
									"
"87"," 
										
									"
"88"," 
										
									"
"89"," 
										
									"
"90"," 
										
									"
"91"," 
										
									"
"92"," 
										
									"
"93"," 
										
									"
"94"," 
										
									"
"95"," 
										
									"
"96"," 
										
									"
"97"," 
										
									"
"98"," 
										
									"
"99"," 
										
									"
"100"," 
										
									"
"101"," 
										
									"
"102"," 
										굿
									"
"103"," 
										정신없는 액션과 재미
									"
"104"," 
										
									"
"105"," 
										전개가 속도감 있음. 웃음포인트를 의외로 헐크와 스타크가 맡음.
									"
"106"," 
										
									"
"107"," 
										
									"
"108"," 
										
									"
"109"," 
										캡틴과 아이언맨의 갈등 시작
									"
"110"," 
										
									"
"111"," 
										
									"
