,Title,Author,ReviewID,Texts,YMD,Sentiment
127335,Ripoff don't buy it. Would like to know how to get my money back.,Alex Cropper,R112X6CB1GTVF7,Phone does not work. Does not allow outgoing text . Incoming calls. Would not disable South African settings. Waste of money,1/14/14,0
161579,I am not satisfied with the product,Monica Heredia,R3MQ3FY4PWPQFM,"I am not satisfied with the iPhone 5s, because I bought an unlocked iPhone but the one that I recieved is not unlocked, I am not any more in the US, could you tell me how Will you solve this problem.In despiste of your decision, I want yo tell you I am completely not satisfied with the product.",1/7/14,0
152064,Stay away buy something else,Mark Ducette monte carlo,R1QVAAZ9DWLN5Q,"EATS BATTERIES, BRAND NEW BATTERIES IT EATS FASTER, LG KNOWN PROBLEM WITH THIS MODEL THOUGHT IT WAS MY DAUGHTER, BOY WAS I  WRONG.",1/28/14,0
180094,wondering,eaamber,R3AR8LYIC3BOI9,I'm wondering if this phone is good or bad I just bought him and there's good reviews and bad and does it take att go phone sim card or a special kind please let me know,1/15/14,0
180037,virus,pamela,RCYC822DI3R6K,When i got the phone it had a virus on it within 3 days the phone stopped working all together.,1/10/14,0
137918,Sprint Error 34,Jane Paulson,R9C4R6HIQLKM2,Have the phone with Verizon and Sprint. Sprint has said they have a text issue (Error 34) that there are delays / complete shut downs along the network. It varies among phones and the Samsung (on the Sprint network) appears to be more prone to this issue than other manufacturers - love the phone on Verizon - hate it on Sprint.,1/3/14,0
84043,Sprint would not activate,Chris Brafford,RIUK6RHC1511M,"Sprint would not activate the phone they said it was lost or stolen.  The phone was in great shape when I received it, but could not be activated I looked for a phone # to call to see if I was doing something wrong but could not find one.  I hope the return process goes well.",1/28/14,0
181322,My thoughts about the phone,Latasha Zachary,R2GSPUAWPZUGL5,The carma is very bad on the phone and it drop calls the volume doesn't work good with a Bluetooth at all either and the key broad always get locked,1/27/14,0
151953,If I could give less than one I would,RatedPGLV,R222ILH5NK3E12,"I've only had the phone for 2 months and now it will no longer turn on. I've never had a phone just stop working on me, especially one so new. Not to mention after I bought the phone the price went down by $10. I did read what other reviewers had to say and turned off the data so my bill was only $25 a month but Virgin Mobile is still cheaper as I paid that much and had data. The map system was very out of date. The phone was fun and had some nice features though the camera was just average if that. I did purchase a warranty with the phone but it's easier for me just to get another phone and I'll be going back to Virgin with a lesson learned.",1/1/14,0
47925,HTC A9192 Inspire 4G Unlocked Phone with Android OS 3G Support 8MP,SAM,R1THV4DE3YGF3B,"I bought this phone new, and to date although the os has updated, whenever Itry to update it I  cannot.  It wont allow me to personalize my ring tone because I cant use a saved song (like even the bb could because its too big)  I also cant listen to the preset radio stations I have.  Its one thing after another.  Amazon sends me to HTC and to date the so called experts at HTC cannot give me a workable solution to have my phone updated,  when I tell them to replace my new phone which I have had for less than six months they won't because its not in their policy. Even though its less than a month after I bought the phone I had reported the problems I've had with them",1/16/14,0
182281,STAY AWAY it worked for five seconds.,Amazon Customer,R39DJBMWWR5KRS,It never worked. I opened the box put in the sim card and turned on the phone. It worked for five seconds and turned off automatically. I tried to charged bit nothing happen. STAY AWAY.,1/19/14,0
155523,I have had this phone for a while and the camera is still awful,Kerry Kimbrough,R3OI48O2WN7BQX,"While I enjoy everything else about the phone, the camera is just awful. I have read and tried more than enough tips and tricks and camera apps (and I am a tech savvy person) to get clear pictures and still find myself borrowing friends phones to take pictures.",1/20/14,0
102965,Old school phone,Melanie Robles,RUX71WSZ79VN5,"This product is set with alot of old features like the minute minder that I couldn't figure out how to turn off.  Also no book to look up how to do anything, only an online version.  I found this experience very frustrating, also the sound for calls is not so good.  I will be sending this one back and I will be using the LG Prime that I also purchased.",1/8/14,0
161601,"I did not come to my order and did not return the money, and not vidpysuyut my message. Bring me my money has gone a very long t",Igor,R756OWD3LA1WO,"I did not come to my order and did not return the money, and not vidpysuyut my message. Bring me my money has gone a very long time.",1/11/14,0
131329,unlocked blackberry Z10,Carl Dennis,R17G67USLDN4AR,It is advertised as an unlocked GSM phone and when you get it in it has Verizon on the phone and will not let you use mms or data with an att sim card!! Can make calls and text but no texting pictures or any data. Ordered one from different seller and everything worked perfect!,1/10/14,0
169833,Buy if you want a basic phone,jennifer vallian,R264PMLFPP8MLZ,I hated the phone it horrible it cheap and very slow no wifi but I can deal with it does work with family mobile if the service is good,1/21/14,0
