"","x"
"pushed",-7.20564733483503
"wakes",-4.0344606600536
"return",-4.01568782685124
"addresses",-3.57932799125665
"promising",-3.56187973622989
"repeatedly",-3.47879419984979
"money",-3.00424661544802
"back",-2.94377003908303
"contacted",-2.81536626036655
"consistently",-2.65738703860891
"sucks",-2.49475176359335
"told",-2.25728445636393
"utter",-2.24991005566991
"refund",-2.22808411404978
"slow",-2.19083944890573
"horrible",-2.18089838962427
"wouldnt",-2.08817527165575
"terrible",-2.02723423332936
"received",-1.95408515484882
"freezes",-1.94276183119455
"page",-1.90795361404373
"calls",-1.90300259740291
"versions",-1.89202890186618
"list",-1.77866653589814
"activate",-1.77114547952858
"useless",-1.75999921728946
"worst",-1.75172463005164
"work",-1.74948377110919
"entire",-1.64188183812172
"stopped",-1.61724210196103
"swindled",-1.59891671808867
"warranty",-1.59396583269635
"support",-1.5483834760845
"turns",-1.51894614364757
"waste",-1.50979123105502
"imei",-1.49590502200498
"returned",-1.48525176814851
"months",-1.46278416404886
"reset",-1.4620532280318
"disappointed",-1.41710333503254
"buyer",-1.41636173603608
"returning",-1.40757939689345
"doesnt",-1.37226795270982
"bars",-1.34699264250779
"charge",-1.33120388500662
"started",-1.30431169237033
"turned",-1.28558848505357
"turn",-1.28233161957181
"language",-1.27071313200554
"fill",-1.25345320166385
"happening",-1.24362830095274
"bad",-1.2005181572378
"registered",-1.17665743856953
"shut",-1.17604887823997
"false",-1.15682881840566
"send",-1.14856828788687
"buy",-1.14446545897067
"advised",-1.14413973049743
"working",-1.13467199622259
"person",-1.10419300636927
"zip",-1.09431298156395
"happened",-1.08610585095747
"sending",-1.08178925181596
"phone",-1.06000123056177
"ringtone",-1.05325495412079
"broke",-1.05238205362789
"description",-1.03564340079055
"odd",-0.990264635083568
"fourth",-0.987003068651602
"card",-0.986060025829222
"pay",-0.943460806481905
"random",-0.93622135219578
"afternoon",-0.913305391914426
"opened",-0.909730282956173
"speaker",-0.909284979327024
"equipment",-0.900404906366594
"mad",-0.870921745741094
"shows",-0.843259278523644
"mistake",-0.837764543314803
"died",-0.835304873021235
"flaw",-0.799503267348496
"fix",-0.795863744435735
"elses",-0.766728868396167
"damage",-0.762905897800349
"began",-0.762640740369292
"sprint",-0.758309888599327
"refused",-0.756902409377545
