"","x"
"pushed",-8.8340039471939
"addresses",-7.65629432167647
"promising",-6.64325326974661
"consistently",-5.21232775913619
"return",-4.92976244605379
"repeatedly",-4.86875494135458
"wakes",-4.18850977124811
"versions",-3.98118264760519
"money",-3.9134796438412
"utter",-3.47135479902864
"back",-3.34584692988576
"sucks",-3.000736141166
"contacted",-2.99264542413897
"zip",-2.88452455380517
"elses",-2.83183172593467
"swindled",-2.78738553204572
"slow",-2.73159609919461
"horrible",-2.7262085386391
"received",-2.52157154322445
"told",-2.48722744049916
"wouldnt",-2.46840067883738
"refund",-2.41783105620616
"terrible",-2.41099307311317
"leastto",-2.33522642976174
"page",-2.32177969966882
"freezes",-2.3133556394704
"worst",-2.20045067771241
"list",-2.14506193568624
"calls",-2.09382590832896
"activate",-2.09179335718082
"reset",-2.07386959457094
"useless",-2.06285243995643
"work",-2.05162884271831
"registered",-2.01426679038692
"returned",-1.95867019034029
"support",-1.92154461559882
"stopped",-1.80825218271987
"happening",-1.80685533137673
"fourth",-1.79680009995006
"turns",-1.78328992902897
"entire",-1.76424395318668
"fill",-1.70048511875729
"started",-1.68610966108542
"bars",-1.67135589206822
"advised",-1.65995323552177
"months",-1.65166534896411
"buyer",-1.64037185605567
"disappointed",-1.6238177007685
"fixes",-1.61683853274549
"warranty",-1.60182878777332
"turned",-1.59682996934198
"returning",-1.59148708337836
"imei",-1.57016929265317
"bad",-1.55383251482326
"ringtone",-1.52868799248674
"charge",-1.51576642928767
"person",-1.51201229674541
"flaw",-1.50207303013052
"turn",-1.47875177991122
"language",-1.44485901245138
"waste",-1.41862075688733
"send",-1.4112077324169
"labeled",-1.40154355356242
"oddly",-1.39521202838223
"afternoon",-1.38789008753018
"phone",-1.33646050741834
"practice",-1.33170214549218
"shut",-1.3246811119556
"doesnt",-1.30309115093335
"broke",-1.30262565135804
"random",-1.28863813956862
"soft",-1.28863789845846
"mad",-1.28355379297973
"false",-1.2577410518162
"description",-1.24617415386636
"appeared",-1.23362893998874
"working",-1.22519348459287
"speaker",-1.18137531942847
"phoning",-1.16477066400569
"nonintuitive",-1.15996036004459
"happened",-1.14014437854218
"odd",-1.13349424574238
"sending",-1.11943761877825
"card",-1.10145036176021
"intuitively",-1.08163594435042
"mistake",-1.0645751312049
"stores",-1.06257153183841
"sprint",-1.03394710211155
"pay",-1.01723638610811
"damage",-1.00687285682647
"speaking",-1.00649268209377
"shows",-1.00024432271161
"equipment",-0.99997764538464
"happen",-0.995651324885517
"europeans",-0.96174158929605
"died",-0.960348748324755
"buy",-0.928113367164506
"tonight",-0.913037200943801
"opened",-0.897060097283441
"sticks",-0.892072881291547
"network",-0.886817769455057
"manufactures",-0.873567078353495
"boot",-0.85102356673223
"earphones",-0.846428036985433
"resolve",-0.840670883289664
"fix",-0.827288017988462
