"","x"
"adverse",-320.260905230058
"accomplish",-312.671331299853
"apology",-275.789672551169
"applaud",-226.229220855695
"boasts",-221.676151651366
"artists",-205.742962077336
"addresses",-200.184968701087
"amazoni",-191.412547116806
"ainol",-187.929881945934
"accesses",-180.950285754583
"comparisons",-180.438118944044
"adddelete",-166.812000849696
"arrange",-165.141895307622
"aka",-163.883859027754
"admitted",-157.558028321276
"blocks",-156.194422326528
"aarp",-153.824211480372
"averaging",-153.412612753017
"annoys",-151.960708420842
"americaits",-140.98965792904
"amazonit",-138.515899524928
"againthe",-128.805636658685
"dates",-121.425313161272
"adhesive",-119.989873479046
"compromising",-119.45407793423
"alike",-118.051014664597
"copied",-115.959911475421
"alerts",-115.472095664057
"adventure",-114.405408195475
"cared",-111.691993924328
"dependent",-111.226576452112
"accessoriesin",-109.794387407454
"bubbles",-108.310905031133
"collar",-108.179150463567
"ancient",-107.323331033077
"begs",-106.472944189687
"buildquality",-104.859759709008
"allover",-104.759108096535
"daughter‰Ûªs",-100.970444949137
"antutu",-98.5973551562748
"contracting",-97.3165583273812
"ambulance",-94.6953835936216
"bonkers",-93.7720787407765
"brightnessto",-93.7385821172756
"compensated",-92.4050608215863
"caselessexcept",-91.148034352698
"enemy",-90.9250362341276
"composing",-90.6447782001971
"cnn",-90.1700952270425
"androidify",-88.9472631343875
"accent",-87.5342843078948
"animated",-86.3377684417529
"accessoriesi",-85.9132285776431
"asccit",-85.9020175736362
"adaptor",-85.2293068035771
"applies",-83.9462166610263
"authors",-81.8359103906237
"anuncio",-81.8178330181609
"competitors",-79.2325399876561
"depend",-78.9376894613037
"complainti",-76.8439299846833
"deafening",-76.4747488175722
"angry",-76.0256907950469
"accurately",-75.8807395221918
"approximately",-74.6603571310366
"depending",-74.6597884611952
"minutesthe",-74.3867615730498
"deception",-74.376420559314
"absulotly",-74.1123104514787
"loyal",-73.5067839608613
"discussionas",-73.4575695782501
"bland",-73.2468095802695
"bribe",-73.0032061090785
"arising",-72.594757018329
"altogether",-71.8644196038009
"consumers",-71.4714349023852
"agree",-71.2505075621821
"increase",-69.3690133468968
"cruel",-68.7840529969543
"center",-68.7244218832162
"drives",-68.0141016232873
"againthird",-67.6288302939208
"deploying",-67.4254916301788
"atoz",-66.6642357316013
"checking",-66.6351265831546
"breakdown",-65.7161338470823
"curse",-65.4668374826755
"understandablemy",-64.5099432297961
"enabled",-63.2147012684518
"heave",-62.7057983180465
"bare",-62.4811451804805
"deservesi",-62.016610005738
"bits",-61.5901895397392
"aggravated",-61.4748156342493
"allit",-61.2264444862427
"bankanother",-60.7575659831428
"assuming",-60.1314626890954
"abruptly",-60.1101667973639
"blanket",-59.8758872359731
"damm",-59.8712086523924
"pixelsboomsoundi",-59.3989027001033
"quaility",-58.8187271226588
"suffer",-58.392135410648
"cpuit",-58.28452452753
"accident",-57.8543722812745
"activity",-57.7925443007331
"autonomy",-57.6331081954881
"athms",-57.546454918304
"chipped",-56.9533563012774
"andor",-56.516221315792
"nonstandard",-55.5072598127903
"deeply",-55.4245310872203
"occur",-54.5534714310139
"aweful",-54.3499750743038
"amazons",-54.2280522220374
"dealsphones",-54.1785087541604
"annoyed",-54.1325604165271
"behave",-53.1856126501386
"againthey",-53.0491904997296
"king",-53.0102779072239
"elsepeople",-52.9545532019383
"caharger",-52.8881504632096
"eclectic",-52.7045810549142
"hair",-52.6723766822326
"bbb",-52.3089710516729
"depths",-52.2553948525188
"allplease",-52.0816143016459
"eof",-52.0241301101959
"backthis",-51.8921731312047
"bounced",-51.6457725646769
