"","x"
"slowness",-1.50118630906105
"limiting",-1.50117994462754
"groove",-1.50116115855204
"engage",-1.50113255187813
"discontinuing",-1.50112913916666
"depending",-1.44619557464598
"apology",-1.44599029517392
"carpet",-1.44572315161701
"disgruntled",-1.44542949720507
"explanation",-1.44526908941169
"hypothesize",-1.44502980500452
"whomever",-1.44502235763921
"voltage",-1.44499316015406
"toi",-1.44495790035116
"jumping",-1.4449259724713
"scuff",-1.44492058400561
"returnclaim",-1.44488004612902
"loosely",-1.44486134577246
"refurbishes",-1.44484462402447
"reflect",-1.44481240863747
"paused",-1.44479186975783
"possession",-1.44478775245309
"phoneitem",-1.44477851489884
"depend",-1.44107974401055
"accomplish",-1.41134863166084
"annoys",-1.41108021350108
"anxiously",-1.41086658782163
"brakes",-1.41065207052738
"changedthe",-1.41045241753022
"zillion",-1.41034658299034
"ughhh",-1.41031363548166
"trial",-1.41027053980978
"deliberately",-1.41022074569533
"translates",-1.41021685222929
"synched",-1.41015420251089
"superannoying",-1.41006875597255
"slips",-1.40999164694055
"dozenjudging",-1.40995659968643
"slightest",-1.4099123756405
"slides",-1.40982811983457
"expires",-1.40982463749966
"shiny",-1.40974588842148
"grrr",-1.40968536420444
"seriouslyoh",-1.40966806986892
"rubberized",-1.40963382731783
"habit",-1.40961107645215
"pedals",-1.40953327861584
"measly",-1.40952326801847
"misunderstands",-1.40951094940768
"mellow",-1.40950164148424
"melody",-1.40949958098804
"occur",-1.38584216584633
"resorted",-1.38575440166547
"streak",-1.38572037680049
"waived",-1.38570970460522
"accesses",-1.36443838378431
"backwardthe",-1.36427079231423
"amazoni",-1.36413167579849
"conveniently",-1.36412028268391
"weve",-1.3640015573174
"dialer",-1.36399823707664
"weirdits",-1.36397170880585
"bayi",-1.36394796951218
"disables",-1.36388698207208
"catalina",-1.3638826157535
"tooi",-1.36387979744005
"thisupdate",-1.36383144193819
"cheesy",-1.36381371282578
"soundhound",-1.36379233694042
"flawsif",-1.36377574826216
"island",-1.3637707566942
"resolves",-1.36376190277563
"officially",-1.36375301315893
"walked",-1.36371049434447
"topside",-1.36369505882586
"command",-1.34247046517491
"agreeing",-1.34090120962654
"ownershipi",-1.34085081953136
"troubles",-1.34082715517557
"slogan",-1.34081698012462
"cal",-1.3377892102178
"clockbecause",-1.33764234690204
"elseshe",-1.33748882213847
"worksso",-1.33737844000138
"woman",-1.33736463536475
"whatonline",-1.33734195169634
"literallyit",-1.33734090094414
"wantnow",-1.33731211188406
"twicei",-1.33727571848313
"log",-1.33725386482516
"speaks",-1.33723732857367
"sotwo",-1.33719734722116
"maze",-1.33717532855759
"soooooooooooooo",-1.33716075784996
"recalibrated",-1.33713247894
"nonenglish",-1.33712534984785
"phoneyoud",-1.3371099714731
"org",-1.33709892746137
"phonenow",-1.33709774740606
"adddelete",-1.3167460899568
"carried",-1.31645972357266
"viewable",-1.31621721145632
"funnyin",-1.31621019725037
"pretend",-1.31618985303824
"jumped",-1.31618063054781
"magically",-1.31616866464197
"picky",-1.31616780012872
"artists",-1.29122145282153
"companywhats",-1.29093932240951
"deduct",-1.29067677037186
"discuss",-1.29052229107098
"walsh",-1.29048732053201
"trained",-1.29046416018338
"theft",-1.2904347531974
"disgusting",-1.29040709283739
"sweet",-1.29039663765652
"stunned",-1.29035134328789
"dispute",-1.29031339821677
"shady",-1.2903039810445
"scamming",-1.29025806056393
"ripoffs",-1.29021163770968
"infuriated",-1.2901301541243
"remedy",-1.2901000682847
"instore",-1.29009796047422
