"","x"
"news",26.3887952492223
"amoled",10.5662621043381
"sharpness",9.92248902268442
"intrusive",9.52865393337187
"implementation",9.03240309752236
"great",6.97359554490928
"selfies",6.87811063284452
"remote",5.13721804668962
"love",5.10437476620041
"eyes",5.0272981377604
"kitkat",4.62476328070853
"whatsapp",4.24190461036097
"perfect",3.49602539591443
"fits",3.44970679180284
"easy",3.43706410639504
"pro",3.23464006211892
"impressed",3.16481090857893
"windows",3.13477898251751
"fast",3.03050411618301
"loves",2.99870690377402
"works",2.82181430382416
"price",2.74110701763018
"amazing",2.70972584989904
"popped",2.6715150723659
"pleasantly",2.66667327365662
"excellent",2.59428674920347
"android",2.50428098775445
"swiping",2.33706381089993
"mei",2.28922096926386
"loaded",2.28212694169029
"feels",2.24224015311315
"responsiveness",2.11705047824609
"moto",2.05918318919729
"ability",2.01425754031971
"stream",2.00736902976962
"pair",1.98459178695274
"drag",1.94802331106444
"meaning",1.92857725975305
"arm",1.91633820451659
"fantastic",1.79005948827024
"desk",1.76904199099307
"awesome",1.71396753637578
"content",1.67515466222842
"processor",1.65336576434948
"europe",1.59307653990913
"building",1.53441847701554
"crystal",1.49041220458338
"loving",1.48128329611004
"wonderful",1.44715863649054
"everyday",1.43608925516769
"nice",1.38969358794556
"deep",1.3682467619157
"grip",1.36293115530949
"youve",1.32388534837311
"handled",1.27305683606516
"running",1.21742039664045
"galaxy",1.21365478036804
"breeze",1.20010398224875
"accessories",1.18994300611021
"terms",1.16292961635306
"idk",1.14410044116833
"bit",1.12107798023526
"sharp",1.10912448809366
"freedom",1.10910528194253
"listen",1.09286853629443
"display",1.07028954523597
"locations",1.06805076604219
"happy",1.06164958795739
"outlet",1.04931951755501
"drawback",1.04909251568604
"suffice",1.01000716518207
"easily",1.00633090216943
"areas",1.00238388918857
"recommend",0.997083219861577
"beautiful",0.996889440654298
"bells",0.993061365666931
"smartphone",0.985299262355398
"life",0.968145372539022
"perfectly",0.943879073953626
"reading",0.922238349226754
"ways",0.914584902762034
"lasts",0.910552852213415
"surprised",0.910325909859635
"moderate",0.903078073889847
"vendors",0.901767468749628
"high",0.873799319701242
"retail",0.867069999295124
"beauty",0.857388787094699
"basic",0.856796849507732
"mom",0.851578543766496
"bigger",0.846631289439724
"trade",0.8317046399333
"deal",0.823591413585085
"palm",0.812427223811955
"frontfacing",0.811906249466633
"solid",0.808189460516824
"tablet",0.803632474308378
"heavy",0.779057771780874
"travelling",0.770291602547664
"enjoy",0.757946454577875
"size",0.754276681850484
"smart",0.742469603097493
"reviews",0.735245193662223
"build",0.731406090266308
"test",0.716357692500819
"ipad",0.714037233182784
"vast",0.713764458489716
"friday",0.704744418239013
"smaller",0.696485583648358
"outstanding",0.687091055646719
"arrived",0.679595731562986
"htc",0.67685461410681
"barrier",0.67553039036455
"showed",0.649825851738531
"heshe",0.649029896836764
"airtime",0.646570036660323
"witch",0.644151515862731
"siri",0.626942743624638
"pleased",0.609512461594888
"wow",0.60111821494833
"features",0.59970634956534
"expensive",0.593761641151123
"bright",0.582816018018489
"travel",0.576130945292882
"performs",0.566451762645396
"familiar",0.561813655469699
"monster",0.538630524290673
"smooth",0.53603081300504
"hearing",0.534832246751017
"years",0.522717609294812
"direct",0.51488371388961
"average",0.507925632133279
"portable",0.502584867028296
"earlier",0.488257444589849
"complain",0.475977570707971
"anywayim",0.474093849072946
"reminder",0.468343291077612
"social",0.463743911671282
"glad",0.453237681701701
"lumia",0.452152777603703
"hand",0.4432040806213
"fine",0.44050801237606
"goodso",0.436629107302267
"nervious",0.433867562004533
"managed",0.427403724632303
"good",0.419244263673256
"cancelar",0.418296588835299
"speed",0.409972811914159
"technology",0.407611113272485
"otter",0.398467487987675
"estoy",0.396784845339546
"algo",0.390132233977809
"needed",0.383622050372894
"networking",0.383091742110209
"nexus",0.379611856006345
"media",0.37285194222695
"amazes",0.364362505570144
"calendar",0.343526729603946
"fan",0.320444454252099
"xperia",0.319529204952648
"flagship",0.318387439218785
"shell",0.314512242330262
"betterinstead",0.305816210092962
"conrol",0.28612161024554
"loud",0.282004435754519
"reaally",0.27238595315814
"hands",0.271386444564138
"worthy",0.261446345510255
"excessive",0.257207394448031
"rules",0.251195440233046
"unique",0.235826567989128
"wellgot",0.234803588764222
"androids",0.214267125999936
"anouther",0.207346851971868
"iphone",0.189134787280109
"hooked",0.187501445516078
"radio",0.179743771281876
"agan",0.176674660139695
"tiny",0.171352304473116
"pleasant",0.1650668063168
"performed",0.15408410135274
"cantidad",0.153918969398055
"saturday",0.152039474759726
"doubles",0.14682740125251
"autofocus",0.142256041336675
"moreonly",0.139196168263853
"rating",0.135804058203883
"attack",0.134485339920368
"problems",0.128282593548603
"bien",0.128118508637987
"ease",0.127364865600296
"withe",0.127006775670556
"beats",0.124696855340151
"serves",0.124511807377885
"board",0.124436976756054
"condeson",0.122781713978495
"downloaded",0.121243173245296
"experiences",0.114573318663358
"recibido",0.108486897381507
"marginal",0.103387158030693
"highly",0.103122554251626
"lands",0.102927261901659
"bevel",0.0932254575744249
"lte",0.0929826410118306
"coworker",0.091723338209082
"sym",0.090574238913883
"term",0.0832703277571821
"things",0.0789067151141974
"added",0.0752734163615208
"headaches",0.0748155074271504
"fairly",0.0709999074833829
"accurateif",0.070730861335058
"circle",0.0703187223343584
"fin",0.0689840467916757
"onoff",0.0646650140343125
"recommended",0.062605629201884
"lightweight",0.0571378875697972
"justo",0.0550108775900548
"upgraded",0.0530362540243561
"reembolsarme",0.0511184747947718
"rugged",0.0506918428714478
"argentina",0.0438616250558511
"functions",0.0420214561775078
"mart",0.0401585362315543
"user",0.0343007489418143
"cliff",0.0315303243160807
"aid",0.0243918281567362
"fresh",0.0235746330265637
"fence",0.0227648766813845
"fasti",0.0212209118506895
"iver",0.0208085767605202
"crackef",0.0192274953493006
"wat",0.0182398168598479
"phablets",0.014318618627623
"cam",0.0140234775998326
"wal",0.0131387382919318
"considerable",0.0121125356654209
"flew",0.0115668559146878
"duty",0.0113831972301516
"yetpurchased",0.0106455509804847
"phoneits",0.0101279996125244
"smarter",0.0100959724563769
"strong",0.0100379762812206
"girlfriend",0.00832348091847909
"jus",0.00728038814583859
"reimburse",0.00584417459092968
"ofertadothe",0.00569953036316212
"recorder",0.00551290019356235
"fue",0.00395336709823589
"costo",0.00312460013590027
"muy",0.00232523459077691
"dropoed",0.00212341623358287
"brained",0.00207802448467893
"roadtrip",0.000595355959845845
"parece",0.000422294423888512
"timer",0.000411178398774039
"debercca",0.000381510898252467
"ofertar",0.000378686527219789
"everywhete",0.000320322742297991
"surgerys",0.000164887537802584
"desktopin",0.000124745627121172
"parte",0.0000735353662005852
"desbloqueado",0.0000299773590569411
"todo",0.00000696016623154406
"dialercompatible",0.00000580802350999784
"desbloqueo",0.00000292331682729866
