"","x"
"news",34.2179407760508
"sharpness",20.8508915059976
"amoled",13.815370024405
"implementation",11.9325544248031
"section",10.345478842088
"great",9.53813597300808
"selfies",8.85685694387705
"monster",8.53445105594742
"whatsapp",8.18234274025173
"love",7.49055629291823
"remote",6.46097215806249
"kitkat",6.0521664764549
"responsiveness",5.62206587309498
"eyes",5.49619623389649
"swiping",5.19022246019865
"pro",4.79735018001286
"fits",4.54392075518583
"easy",4.47135609507047
"perfect",4.43052802571051
"pair",4.25916245688394
"loves",4.06855655516009
"excellent",4.06772966597097
"windows",3.92057247489057
"impressed",3.87745916886952
"autofocus",3.83560108278185
"fast",3.69659497594832
"meaning",3.68271941776322
"stream",3.62704276844436
"locations",3.61915715501385
"pleasantly",3.50280613239075
"amazing",3.42995799565619
"works",3.3103249815526
"friday",3.3051549054719
"price",3.27894681001722
"mei",3.24452056389354
"popped",3.236562959717
"drag",3.20013198954977
"desk",3.04772316720427
"android",2.99243479919003
"youve",2.96941464650175
"portable",2.73585934837719
"feels",2.72534754643448
"loaded",2.6847956643093
"barrier",2.67257678336171
"moto",2.60858143029463
"ability",2.55430100775371
"arm",2.53203978606434
"fantastic",2.38598311310616
"deep",2.34676498758473
"vision",2.1012022134564
"europe",2.09708436190181
"awesome",2.08364893146553
"outlet",2.06768396521377
"building",2.04225119295611
"crystal",2.02028707427106
"terms",2.01330784212754
"loving",1.95358993576496
"content",1.93785950963303
"breeze",1.92369692330677
"everyday",1.91125580355993
"reminder",1.89577547985117
"grip",1.87042520533283
"vendors",1.81080439736631
"idk",1.80577597374148
"retail",1.79615689717213
"processor",1.77738717281771
"wonderful",1.77504968923909
"nice",1.75508902671379
"handled",1.7466311595407
"intrusive",1.67561867103918
"freedom",1.64586695634361
"suffice",1.60950748198416
"travelling",1.60490057904883
"algo",1.5815893981155
"trade",1.56137719608284
"galaxy",1.54232231128041
"listen",1.51161428148661
"amused",1.49407626119067
"life",1.48086286359767
"accessories",1.47920152777669
"running",1.46423114623901
"beauty",1.42537176298396
"beautiful",1.42371378203794
"anywayim",1.39624238518703
"showed",1.36683934340979
"airtime",1.35600130082837
"nano",1.35070058273228
"happy",1.32243665479762
"frontfacing",1.31290105282216
"doubles",1.31092950907945
"excessive",1.29929774977249
"surprised",1.28555749731557
"bit",1.28040633118523
"witch",1.27553931726106
"recommend",1.27034972384026
"stored",1.25468461002074
"smartphone",1.25393584914511
"drawback",1.2490875625005
"build",1.24086697849502
"bigger",1.23847496283534
"bells",1.23042352880865
"outstanding",1.20737843653654
"mom",1.16818993876557
"high",1.13489591648274
"smaller",1.12865293140077
"easily",1.12707956753764
"heavy",1.12421839722408
"display",1.12420866657166
"otter",1.11697784944871
"tablet",1.11505861829122
"enjoy",1.11163626121
"attack",1.09506709747307
"ways",1.08284003114416
"basic",1.08246698987767
"marginal",1.08198489434326
"upgradeable",1.03903692325942
"conrol",1.0116633884441
"goodso",1.01023601265664
"htc",1.00962060305576
"moderate",1.00487165299845
"replaces",0.969284648822544
"accurateif",0.962265636262397
"arrived",0.934103710148794
"reviews",0.920848277139001
"networking",0.917629615103004
"areas",0.915543777282972
"managed",0.909369364263378
"solid",0.899323899065589
"travel",0.893185503155436
"estoy",0.881602343817371
"pleased",0.857719949223911
"perfectly",0.848949530383427
"earlier",0.846530496307207
"deal",0.838739543769831
"years",0.830827186790356
"ease",0.820690274368729
"expensive",0.8078808619123
"ipad",0.807543906314674
"lasts",0.806000508578837
"sharp",0.803787493269518
"don‰Ûªt",0.791589039934749
"experiences",0.763571428135947
"serves",0.759536942207264
"smart",0.758735250997069
"reading",0.743105154991497
"fine",0.728185391445509
"technology",0.724132773927554
"palm",0.709512580520072
"performs",0.707115213704345
"size",0.702056226526122
"wellgot",0.701025895517961
"hand",0.681879268799684
"complain",0.677384243301278
"xperia",0.673350634429505
"agan",0.661888585621607
"hands",0.650549372751763
"iver",0.623535912535783
"unique",0.595190350423015
"test",0.566724083236242
"speed",0.55926130353657
"asiathanks",0.553627374080974
"amazes",0.543786062856859
"good",0.533352526428488
"features",0.532305714839499
"hooked",0.523428406928554
"siri",0.499784608037043
"natural",0.492089579068212
"moreonly",0.488040968932194
"glad",0.464580593990394
"strong",0.464057027996205
"butt",0.458725963175188
"flagship",0.45108835095881
"worthy",0.442893898170251
"headaches",0.440139706089226
"downloaded",0.440098087877728
"tripled",0.427912845143493
"prices",0.423052493482783
"pin",0.422686999240857
"fan",0.421956328527479
"androids",0.413946938856526
"anouther",0.407260775090721
"shell",0.383815686987758
"performed",0.383259068002271
"familiar",0.365974454732748
"mart",0.363085554287536
"pleasant",0.35857636737808
"hearing",0.357218397044361
"advances",0.348481511040112
"recorder",0.347672353962461
"shots",0.346173678933834
"critically",0.343655156700469
"argentina",0.333900933380575
"recibido",0.3239404760975
"lands",0.312263074181112
"needed",0.311302264237293
"fence",0.301846603954552
"board",0.290335291157461
"duty",0.288399205592557
"ofertadothe",0.279620314736348
"configure",0.274887518564456
"sight",0.268450675605236
"boost",0.256341102215744
"term",0.252727349900986
"smooth",0.251472677665627
"calculate",0.245353323538286
"calendar",0.242826665005422
"fresh",0.241413637115087
"accurate",0.238083611920995
"fasti",0.237974949149155
"designrecommend",0.232934573569671
"beats",0.226179664954029
"ratio",0.223882541630683
"amazingly",0.221007628141768
"lte",0.218554041136434
"fighting",0.215785945265061
"bien",0.213581702006526
"sym",0.209868059192056
"hikes",0.204515510200456
"cliff",0.203343319879234
"cam",0.20130593613766
"betteri",0.192152286781538
"parked",0.184021286651783
"inferno",0.183416737136441
"upgraded",0.159265812933528
"wow",0.157745315494925
"easey",0.156136352203942
"desktopin",0.154332015558402
"nexus",0.146457482076545
"smarter",0.141997661181454
"rating",0.138727966296102
"fairly",0.138546596872366
"recommendthe",0.13493410483564
"projected",0.134899289519949
"loud",0.132964421955468
"powerful",0.132237161611506
"promptly",0.131928628658088
"usefull",0.13012104763072
"ten",0.12046537841302
"justo",0.113992574082071
"recommended",0.113484288900681
"wat",0.107779523467511
"trustworthiness",0.09871965559163
"phoneits",0.09795448420647
"couple",0.0947066148953845
"reseller",0.0927306735775249
"radio",0.09020454454975
"heshe",0.0897763968094162
"muy",0.0880233313471552
"iphone",0.0791448528680526
"things",0.0773775591876078
"tiny",0.0723110445601145
"frame",0.0576293863322492
"saver",0.055266225829363
"evergether",0.0501404396752713
"lumia",0.042229851265965
"flew",0.0393588120290685
"reembolsarme",0.0379039620061543
"anyplace",0.034507905445423
"questionim",0.0299612146233983
"wal",0.0299274422449721
"mail",0.0278921065609311
"greg",0.0186348891883921
"adapter",0.0152351581379898
"phonewould",0.0137460478314051
"reasonsloud",0.0129175406701329
"jealous",0.0119480919293324
"transportation",0.00996115898830258
"thing",0.00979576155321386
"ican",0.00817202953578243
"papania",0.00705201455032939
"toygood",0.00675037975307182
"surgerys",0.00650001873930632
"onoff",0.00554749630637107
"yetpurchased",0.00484122657240342
"withe",0.00386426114126966
"phablets",0.00358557892871454
"nervious",0.00242405415375295
"costo",0.0017533858155667
"tuve",0.00166902659100177
"fue",0.00138793991026155
"cancelar",0.00102889882357329
"iphonealso",0.000816224140838438
"reaally",0.000785866005050087
"unbelivablebeautiful",0.000755055237231977
"pockets",0.00069340491876517
"prodic",0.000583776544177598
"roadtrip",0.000441881438141405
"betterinstead",0.000412865751474593
"everywhete",0.000379461142375681
"timer",0.000352376906152449
"condeson",0.000250209419916735
"fin",0.000246701277256214
"cantidad",0.000236776315209055
"aid",0.000233831169426424
"planfastin",0.000137836774466891
"parece",0.0000672053591026884
"simi",0.0000611396527156996
"crackef",0.0000552203488154635
"saturday",0.0000372397548138708
"weigth",0.0000351635085691552
"jus",0.0000122796570028412
"parte",0.00000118548173834678
"coworker",0.000000613569349317953
"ofertar",0.000000000000142828865851789
"bevel",0.0000000000000109906536363435
