"","x"
"aboutbattery",993.815880689081
"absorption",896.23931998445
"accommodate",670.211698313296
"allthe",666.150187193053
"accustomed",645.985250900621
"allconclusion",632.910455801142
"anywhereâ€dno",616.208888271558
"afterthought",479.07334443966
"beautifully",474.633597111902
"agt",430.673717283613
"blog",348.935575796796
"accidentially",332.876836772163
"alongside",328.404953574811
"anymorei",259.598140043147
"amps",235.913525415904
"acclaimed",231.276765446055
"advocate",217.362663695749
"brightnesscall",199.303246560965
"cleverly",194.944957399316
"canon",181.313956082195
"accurate",180.113757014908
"accelerometer",179.330247206288
"begini",169.252204806643
"blazing",168.674756171423
"carpet",166.162114691
"alive",165.251078732042
"announcements",160.591350052761
"appleâ€™s",154.026205062737
"calender",150.135567226656
"chargerthis",149.023181864251
"aluminium",147.921087285544
"amazingthe",140.877260303605
"allowing",140.656655273261
"companywhats",137.967158862123
"calculations",135.78203489397
"chattering",133.270338411381
"chromebook",127.434031611828
"cad",125.432568875674
"frontend",122.788574466073
"boosters",121.896408930187
"informationit",116.918797662326
"batter",112.981481786149
"builtone",112.643938140558
"baked",112.179820391651
"agethe",111.907474193937
"angles",110.311053775872
"goodsof",108.46419279418
"adjustments",107.405674163867
"adapterïÅ",106.433252515298
"dozenjudging",106.389287014848
"atadsjbe",106.164595288192
"complains",104.972058693619
"daysso",102.472997054894
"blessing",100.241354246772
"lists",99.5461043204287
"antennae",99.5367753100536
"adds",96.6911652771956
"alter",96.6502710890352
"modify",96.2831826578868
"carried",95.0477171743883
"clipping",94.6962780435476
"accordinglyupgrading",94.5190821954296
"ally",93.976298198566
"antiquated",92.5618428414281
"audiophile",92.3995968868162
"aah",91.0217053886443
"java",90.0442311095611
"awkward",89.9291474687089
"timeeverything",89.6369139244407
"dslrsizethe",88.5963753754563
"farther",87.2436978411415
"androids",87.2043238566217
"aiming",85.005004621483
"arirang",84.5168632491378
"amazonok",82.4863248453796
"alarms",79.9122753382244
"amaizing",74.8983687760185
"absolutamente",74.8564777475583
"caboose",74.6729789283177
"batterly",73.5757073267263
"noticing",73.244954716473
"accounts",71.8016572925593
"acquainted",70.9720302701115
"funeral",70.5288830436672
"grandfathered",70.3902627899847
"androidwide",70.1559751516563
"casethe",69.9868719400725
"crank",69.7829387555425
"afffordable",68.6296386348903
"certainty",68.2053306719951
"forgot",67.4629887539495
"aslo",67.3857487246314
"appthat",66.6450915570222
"barnyard",65.1828788749643
"impress",64.8803547835841
